Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MKD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MKD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MKD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MKD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MKD_M_R
713,Wetland,NULL,Wetland,Water,Wetland,Water,Water,Water
714,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
715,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
716,Wetland,NULL,Bareland,NULL,Non_Wetland,Water,Water,Grassland
717,Wetland,NULL,Bareland,NULL,Non_Wetland,Water,Water,Wetland
718,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
719,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
720,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Forest
721,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,Grassland
722,Wetland,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
723,Wetland,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Grassland
724,Wetland,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Wetland
725,Wetland,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Forest
726,Wetland,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Wetland
727,Wetland,NULL,Bareland,Water,Non_Wetland,Water,Water,Forest
728,Wetland,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
729,Wetland,NULL,Water,Non_Water,Water,Wetland,Wetland,Grassland
730,Wetland,NULL,Water,Non_Water,Water,Wetland,Wetland,Wetland
731,Wetland,NULL,Water,Non_Water,Water,Wetland,Wetland,Water
732,Wetland,NULL,Water,Non_Water,Water,Wetland,Water,Grassland
733,Wetland,NULL,Water,Non_Water,Water,Wetland,Water,Wetland
734,Wetland,NULL,Water,Non_Water,Water,Wetland,Water,Water
735,Wetland,NULL,Water,Non_Water,Water,Wetland,Water,Forest
736,Wetland,NULL,Water,Non_Water,Water,Water,Wetland,Wetland
737,Wetland,NULL,Water,Non_Water,Water,Water,Water,Wetland
738,Wetland,NULL,Water,Water,Water,Wetland,Wetland,Grassland
739,Wetland,NULL,Water,Water,Water,Wetland,Wetland,Wetland
740,Wetland,NULL,Water,Water,Water,Wetland,Wetland,Water
741,Wetland,NULL,Water,Water,Water,Wetland,Water,Grassland
742,Wetland,NULL,Water,Water,Water,Wetland,Water,Wetland
743,Wetland,NULL,Water,Water,Water,Wetland,Water,Water
744,Wetland,NULL,Water,Water,Water,Wetland,Water,Forest
745,Wetland,NULL,Water,Water,Water,Water,Water,Grassland
746,Wetland,NULL,Water,Water,Water,Water,Water,Wetland
747,Wetland,NULL,Water,Water,Water,Water,Water,Water
748,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
749,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
750,Wetland,NULL,Forest,NULL,Non_Wetland,Water,Water,Forest
751,Wetland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
752,Wetland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
753,Wetland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
754,Wetland,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Wetland
755,Wetland,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
756,Wetland,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
757,Wetland,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Water
758,Wetland,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
759,Wetland,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
760,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
761,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
762,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Water
763,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
764,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
765,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
766,Wetland,Wetland,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
767,Wetland,Wetland,NULL,Water,Non_Wetland,Wetland,Wetland,Water
768,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
769,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
770,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
771,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
772,Wetland,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
773,Wetland,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
774,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
775,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
776,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Water
777,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
778,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Water,Grassland
779,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
780,Wetland,Wetland,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
781,Wetland,Wetland,Grassland,Water,Non_Wetland,Wetland,Water,Grassland
782,Wetland,Wetland,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
783,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
784,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
785,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
786,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Grassland
787,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Forest
788,Wetland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Grassland
789,Wetland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Wetland
790,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Grassland
791,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Forest
792,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
793,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
794,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
795,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
796,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
797,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
798,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
799,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Water
800,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Forest
801,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
802,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
803,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Forest
804,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Grassland
805,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Wetland
806,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Water
807,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Forest
808,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
809,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Wetland
810,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Water
811,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Forest
812,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Water,Grassland
813,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Water,Wetland
814,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Water,Water
815,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Water,Forest
816,Wetland,Wetland,Wetland,Water,Wetland,Water,Wetland,Grassland
817,Wetland,Wetland,Wetland,Water,Wetland,Water,Wetland,Wetland
818,Wetland,Wetland,Wetland,Water,Wetland,Water,Wetland,Water
819,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Grassland
820,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Wetland
821,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Water
822,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Forest
823,Wetland,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
824,Wetland,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
825,Wetland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
826,Wetland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
827,Wetland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
828,Wetland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Water,Grassland
829,Wetland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Water,Wetland
830,Wetland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Water,Forest
831,Wetland,Wetland,Bareland,Non_Water,Non_Wetland,Water,Wetland,Grassland
832,Wetland,Wetland,Bareland,Non_Water,Non_Wetland,Water,Water,Grassland
833,Wetland,Wetland,Bareland,Non_Water,Non_Wetland,Water,Water,Forest
834,Wetland,Wetland,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
835,Wetland,Wetland,Bareland,Water,Non_Wetland,Wetland,Wetland,Forest
836,Wetland,Wetland,Bareland,Water,Non_Wetland,Wetland,Water,Grassland
837,Wetland,Wetland,Bareland,Water,Non_Wetland,Wetland,Water,Wetland
838,Wetland,Wetland,Bareland,Water,Non_Wetland,Wetland,Water,Water
839,Wetland,Wetland,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
840,Wetland,Wetland,Bareland,Water,Non_Wetland,Water,Water,Grassland
841,Wetland,Wetland,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,Forest
842,Wetland,Wetland,Built-up,Non_Water,Non_Wetland,Wetland,Water,Grassland
843,Wetland,Wetland,Built-up,Water,Non_Wetland,Wetland,Wetland,Grassland
844,Wetland,Wetland,Water,NULL,Water,Wetland,Wetland,Forest
845,Wetland,Wetland,Water,NULL,Water,Wetland,Water,Wetland
846,Wetland,Wetland,Water,NULL,Water,Water,Wetland,Water
847,Wetland,Wetland,Water,Non_Water,Water,Wetland,Wetland,Grassland
848,Wetland,Wetland,Water,Non_Water,Water,Wetland,Wetland,Forest
849,Wetland,Wetland,Water,Non_Water,Water,Wetland,Water,Grassland
850,Wetland,Wetland,Water,Non_Water,Water,Wetland,Water,Wetland
851,Wetland,Wetland,Water,Non_Water,Water,Wetland,Water,Water
852,Wetland,Wetland,Water,Non_Water,Water,Water,Wetland,Grassland
853,Wetland,Wetland,Water,Non_Water,Water,Water,Water,Grassland
854,Wetland,Wetland,Water,Water,Water,Wetland,Wetland,Grassland
855,Wetland,Wetland,Water,Water,Water,Wetland,Wetland,Wetland
856,Wetland,Wetland,Water,Water,Water,Wetland,Wetland,Water
857,Wetland,Wetland,Water,Water,Water,Wetland,Wetland,Forest
858,Wetland,Wetland,Water,Water,Water,Wetland,Water,Grassland
859,Wetland,Wetland,Water,Water,Water,Wetland,Water,Wetland
860,Wetland,Wetland,Water,Water,Water,Wetland,Water,Water
861,Wetland,Wetland,Water,Water,Water,Wetland,Water,Forest
862,Wetland,Wetland,Water,Water,Water,Water,Wetland,Grassland
863,Wetland,Wetland,Water,Water,Water,Water,Wetland,Wetland
864,Wetland,Wetland,Water,Water,Water,Water,Wetland,Water
865,Wetland,Wetland,Water,Water,Water,Water,Wetland,Forest
866,Wetland,Wetland,Water,Water,Water,Water,Water,Grassland
867,Wetland,Wetland,Water,Water,Water,Water,Water,Wetland
868,Wetland,Wetland,Water,Water,Water,Water,Water,Water
869,Wetland,Wetland,Water,Water,Water,Water,Water,Forest
870,Wetland,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
871,Wetland,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
872,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
873,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
874,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
875,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Water,Grassland
876,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Water,Forest
877,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
878,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Water,Water,Grassland
879,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Forest,Wetland,Forest
880,Wetland,Wetland,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
881,Wetland,Wetland,Forest,Water,Non_Wetland,Wetland,Wetland,Wetland
882,Wetland,Wetland,Forest,Water,Non_Wetland,Wetland,Water,Grassland
883,Wetland,Wetland,Forest,Water,Non_Wetland,Wetland,Water,Water
884,Wetland,Wetland,Forest,Water,Non_Wetland,Wetland,Water,Forest
885,Wetland,Wetland,Forest,Water,Non_Wetland,Water,Wetland,Grassland
886,Wetland,Water,Cropland,Water,Non_Wetland,Wetland,Water,Grassland
887,Wetland,Water,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
888,Wetland,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
889,Wetland,Water,Wetland,NULL,Wetland,Wetland,Water,Water
890,Wetland,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
891,Wetland,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
892,Wetland,Water,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
893,Wetland,Water,Wetland,Non_Water,Wetland,Wetland,Water,Forest
894,Wetland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
895,Wetland,Water,Wetland,Water,Wetland,Wetland,Wetland,Grassland
896,Wetland,Water,Wetland,Water,Wetland,Wetland,Wetland,Wetland
897,Wetland,Water,Wetland,Water,Wetland,Wetland,Wetland,Forest
898,Wetland,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
899,Wetland,Water,Wetland,Water,Wetland,Wetland,Water,Wetland
900,Wetland,Water,Wetland,Water,Wetland,Wetland,Water,Water
901,Wetland,Water,Wetland,Water,Wetland,Wetland,Water,Forest
902,Wetland,Water,Wetland,Water,Wetland,Water,Wetland,Water
903,Wetland,Water,Wetland,Water,Wetland,Water,Water,Wetland
904,Wetland,Water,Wetland,Water,Wetland,Water,Water,Water
905,Wetland,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
906,Wetland,Water,Bareland,NULL,Non_Wetland,Water,Water,Grassland
907,Wetland,Water,Bareland,Non_Water,Non_Wetland,Wetland,Water,Grassland
908,Wetland,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Water
909,Wetland,Water,Bareland,Water,Non_Wetland,Wetland,Water,Wetland
910,Wetland,Water,Water,NULL,Water,Water,Wetland,Grassland
911,Wetland,Water,Water,Non_Water,Water,Water,Wetland,Water
912,Wetland,Water,Water,Water,Water,Wetland,Water,Wetland
913,Wetland,Water,Water,Water,Water,Wetland,Water,Water
914,Wetland,Water,Water,Water,Water,Water,Water,Grassland
915,Wetland,Water,Water,Water,Water,Water,Water,Wetland
916,Wetland,Water,Water,Water,Water,Water,Water,Water
917,Wetland,Water,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
918,Wetland,Water,Forest,Water,Non_Wetland,Water,Wetland,Forest
919,Wetland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,NULL
920,Wetland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
921,Wetland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
922,Wetland,Forest,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
923,Wetland,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
924,Wetland,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
925,Wetland,Forest,Wetland,Non_Water,Wetland,Wetland,Water,Forest
926,Wetland,Forest,Wetland,Water,Wetland,Wetland,Wetland,Grassland
927,Wetland,Forest,Wetland,Water,Wetland,Wetland,Wetland,Forest
928,Wetland,Forest,Wetland,Water,Wetland,Wetland,Water,Grassland
929,Wetland,Forest,Wetland,Water,Wetland,Wetland,Water,Wetland
930,Wetland,Forest,Wetland,Water,Wetland,Wetland,Water,Forest
931,Wetland,Forest,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
932,Wetland,Forest,Water,Water,Water,Wetland,Wetland,Grassland
933,Wetland,Forest,Forest,Non_Water,Non_Wetland,NULL,Wetland,Forest
934,Wetland,Forest,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
935,Wetland,Forest,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
936,Bareland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
937,Bareland,NULL,Wetland,Water,Wetland,Wetland,Water,Water
938,Bareland,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
939,Bareland,Wetland,Wetland,Water,Wetland,Wetland,Water,Forest
940,Bareland,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
941,Bareland,Water,Wetland,Water,Wetland,Wetland,Water,Forest
942,Water,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
943,Water,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
944,Water,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
945,Water,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
946,Water,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
947,Water,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
948,Water,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
949,Water,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
950,Water,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
951,Water,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
952,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
953,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
954,Water,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
955,Water,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
956,Water,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
957,Water,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
958,Water,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
959,Water,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
960,Water,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
961,Water,NULL,Grassland,NULL,Non_Wetland,Water,Water,Water
962,Water,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Grassland
963,Water,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Forest
964,Water,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Wetland
965,Water,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
966,Water,NULL,Grassland,Water,Non_Wetland,Water,Water,Grassland
967,Water,NULL,Grassland,Water,Non_Wetland,Water,Water,Water
968,Water,NULL,Grassland,Water,Non_Wetland,Water,Water,Forest
969,Water,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
970,Water,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
971,Water,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
972,Water,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
973,Water,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
974,Water,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
975,Water,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
976,Water,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
977,Water,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
978,Water,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
979,Water,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
980,Water,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
981,Water,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
982,Water,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
983,Water,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Water
984,Water,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
985,Water,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
986,Water,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
987,Water,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Water
988,Water,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
989,Water,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
990,Water,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
991,Water,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
992,Water,NULL,Wetland,Non_Water,Wetland,Water,Water,Forest
993,Water,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
994,Water,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
995,Water,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
996,Water,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
997,Water,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
998,Water,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
999,Water,NULL,Wetland,Water,Wetland,Wetland,Water,Water
1000,Water,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
1001,Water,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
1002,Water,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
1003,Water,NULL,Wetland,Water,Wetland,Water,Wetland,Water
1004,Water,NULL,Wetland,Water,Wetland,Water,Water,Grassland
1005,Water,NULL,Wetland,Water,Wetland,Water,Water,Wetland
1006,Water,NULL,Wetland,Water,Wetland,Water,Water,Water
1007,Water,NULL,Wetland,Water,Wetland,Water,Water,Forest
1008,Water,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1009,Water,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
1010,Water,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
1011,Water,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,Water
1012,Water,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,Forest
1013,Water,NULL,Bareland,NULL,Non_Wetland,Water,Water,Water
1014,Water,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1015,Water,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
1016,Water,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Grassland
1017,Water,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Wetland
1018,Water,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Forest
1019,Water,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,Grassland
1020,Water,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,Wetland
1021,Water,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Grassland
1022,Water,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Water
1023,Water,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Forest
1024,Water,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
1025,Water,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Wetland
1026,Water,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Grassland
1027,Water,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Wetland
1028,Water,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Water
1029,Water,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Forest
1030,Water,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
1031,Water,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Wetland
1032,Water,NULL,Bareland,Water,Non_Wetland,Water,Water,Grassland
1033,Water,NULL,Bareland,Water,Non_Wetland,Water,Water,Wetland
1034,Water,NULL,Bareland,Water,Non_Wetland,Water,Water,Water
1035,Water,NULL,Built-up,Water,Non_Wetland,Wetland,Wetland,Grassland
1036,Water,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
1037,Water,NULL,Water,Non_Water,Water,Wetland,Wetland,Grassland
1038,Water,NULL,Water,Non_Water,Water,Wetland,Wetland,Forest
1039,Water,NULL,Water,Non_Water,Water,Wetland,Water,Grassland
1040,Water,NULL,Water,Non_Water,Water,Wetland,Water,Forest
1041,Water,NULL,Water,Non_Water,Water,Water,Wetland,Wetland
1042,Water,NULL,Water,Non_Water,Water,Water,Water,Water
1043,Water,NULL,Water,Non_Water,Water,Water,Water,Forest
1044,Water,NULL,Water,Water,Water,Wetland,Wetland,Grassland
1045,Water,NULL,Water,Water,Water,Wetland,Wetland,Wetland
1046,Water,NULL,Water,Water,Water,Wetland,Water,Grassland
1047,Water,NULL,Water,Water,Water,Wetland,Water,Wetland
1048,Water,NULL,Water,Water,Water,Wetland,Water,Water
1049,Water,NULL,Water,Water,Water,Wetland,Water,Forest
1050,Water,NULL,Water,Water,Water,Water,Wetland,Grassland
1051,Water,NULL,Water,Water,Water,Water,Wetland,Wetland
1052,Water,NULL,Water,Water,Water,Water,Water,Grassland
1053,Water,NULL,Water,Water,Water,Water,Water,Wetland
1054,Water,NULL,Water,Water,Water,Water,Water,Water
1055,Water,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
1056,Water,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
1057,Water,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Forest
1058,Water,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1059,Water,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
1060,Water,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1061,Water,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Grassland
1062,Water,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Forest
1063,Water,NULL,Forest,Non_Water,Non_Wetland,Wetland,Forest,Forest
1064,Water,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Grassland
1065,Water,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Wetland
1066,Water,NULL,Forest,Non_Water,Non_Wetland,Water,Water,Grassland
1067,Water,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
1068,Water,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Wetland
