Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KHG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KHG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KHG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KHG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KHG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KHG_M_R
8537,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
8538,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
8539,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
8540,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
8541,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
8542,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
8543,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
8544,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
8545,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
8546,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
8547,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
8548,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
8549,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
8550,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
8551,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
8552,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
8553,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
8554,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
8555,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
8556,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
8557,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
8558,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
8559,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
8560,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
8561,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
8562,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
8563,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
8564,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
8565,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
8566,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
8567,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
8568,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
8569,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
8570,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
8571,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
8572,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
8573,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
8574,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Built-up
8575,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Water
8576,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
8577,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
8578,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
8579,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
8580,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
8581,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Cropland
8582,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
8583,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
8584,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,NULL
8585,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
8586,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Cropland
8587,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
8588,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
8589,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
8590,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
8591,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
8592,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
8593,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,NULL
8594,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
8595,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
8596,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Cropland
8597,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
8598,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,NULL
8599,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
8600,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
8601,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
8602,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
8603,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
8604,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Grassland
8605,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
8606,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
8607,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Bareland
8608,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
8609,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
8610,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
8611,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,NULL
8612,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
8613,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Cropland
8614,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
8615,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
8616,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
8617,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Cropland
8618,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Forest,Grassland
8619,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Forest,NULL,Forest
8620,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
8621,Cropland,NULL,Shrubland,Water,Non_Wetland,Shrubland,Wetland,Grassland
8622,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
8623,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
8624,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland,NULL,Cropland
8625,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland,Grassland,Grassland
8626,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
8627,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
8628,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
8629,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
8630,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
8631,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
8632,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
8633,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,NULL
8634,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
8635,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Cropland
8636,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Forest
8637,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
8638,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
8639,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
8640,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
8641,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
8642,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
8643,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Cropland
8644,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
8645,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
8646,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Bareland
8647,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
8648,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Cropland
8649,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Grassland
8650,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Water
8651,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Forest
8652,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
8653,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Cropland
8654,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
8655,Cropland,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,NULL
8656,Cropland,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
8657,Cropland,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Cropland
8658,Cropland,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
8659,Cropland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
8660,Cropland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
8661,Cropland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
8662,Cropland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
8663,Cropland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
8664,Cropland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
8665,Cropland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
8666,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
8667,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
8668,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
8669,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
8670,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
8671,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Water
8672,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
8673,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,NULL
8674,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
8675,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
8676,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
8677,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
8678,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
8679,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
8680,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
8681,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
8682,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
8683,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
8684,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
8685,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
8686,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Cropland
8687,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,NULL
8688,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
8689,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
8690,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
8691,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
8692,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
8693,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
8694,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Built-up
8695,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
8696,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
8697,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,NULL
8698,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
8699,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
8700,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
8701,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,NULL
8702,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
8703,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
8704,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Bareland
8705,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
8706,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,Shrubland,NULL
8707,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
8708,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
8709,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Bareland
8710,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Forest
8711,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,NULL
8712,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
8713,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
8714,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Bareland
8715,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
8716,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,Wetland,Grassland
8717,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,Wetland,Cropland
8718,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,Wetland,Forest
8719,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,Built-up,Grassland
8720,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,Built-up,Cropland
8721,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,Built-up,Bareland
8722,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,NULL
8723,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Grassland
8724,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Cropland
8725,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Bareland
8726,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Forest
8727,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,NULL
8728,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
8729,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Cropland
8730,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,NULL
8731,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
8732,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
8733,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
8734,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
8735,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
8736,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,NULL
8737,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
8738,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
8739,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
8740,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Forest
8741,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,NULL
8742,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
8743,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
8744,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
8745,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
8746,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Water
8747,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
8748,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
8749,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,NULL
8750,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
8751,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Cropland
8752,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
8753,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
8754,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
8755,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
8756,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Cropland
8757,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Bareland
8758,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Bareland
8759,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,NULL
8760,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
8761,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Cropland
8762,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
8763,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
8764,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Cropland
8765,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Built-up
8766,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
8767,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up,Shrubland,Cropland
8768,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
8769,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Cropland
8770,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,NULL
8771,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
8772,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Cropland
8773,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
8774,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
8775,Cropland,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
8776,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,NULL
8777,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Grassland
8778,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Cropland
8779,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Bareland
8780,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Water
8781,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
8782,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest,Shrubland,Grassland
8783,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest,Shrubland,Cropland
8784,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest,Shrubland,Forest
8785,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
8786,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Cropland
8787,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
8788,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest,Bareland,Grassland
8789,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest,Bareland,Forest
8790,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,NULL
8791,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Grassland
8792,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Cropland
8793,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Bareland
8794,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
8795,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
8796,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
8797,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
8798,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
8799,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland,NULL,Grassland
8800,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland,NULL,Cropland
8801,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
8802,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
8803,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland,NULL,Grassland
8804,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland,Grassland,Grassland
8805,Cropland,NULL,Wetland,NULL,Wetland,Forest,Forest,Grassland
8806,Cropland,NULL,Wetland,Non_Water,Wetland,Forest,NULL,Forest
8807,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
8808,Cropland,NULL,Wetland,Water,Wetland,Wetland,NULL,Forest
8809,Cropland,NULL,Wetland,Water,Wetland,Bareland,Shrubland,Grassland
8810,Cropland,NULL,Wetland,Water,Wetland,Water,NULL,Water
8811,Cropland,NULL,Wetland,Water,Wetland,Water,Water,Water
8812,Cropland,NULL,Wetland,Water,Wetland,Forest,NULL,Grassland
8813,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
8814,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
8815,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
8816,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
8817,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,Shrubland,Grassland
8818,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Grassland
8819,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Built-up
8820,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Built-up
8821,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Grassland
8822,Cropland,NULL,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,NULL
8823,Cropland,NULL,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
8824,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
8825,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Cropland
8826,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Bareland
8827,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Built-up
8828,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Forest
8829,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Grassland
8830,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Cropland
8831,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Built-up
8832,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
8833,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Cropland
8834,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
8835,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
8836,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Cropland
8837,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
8838,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
8839,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
8840,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,Water,Grassland
8841,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland,NULL,Grassland
8842,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland,NULL,Cropland
8843,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland,NULL,Bareland
8844,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland,Shrubland,Grassland
8845,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland,Built-up,Cropland
8846,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
8847,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Cropland
8848,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
8849,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Grassland
8850,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Built-up
8851,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
