Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MEM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MEM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MEM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MEM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MEM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MEM_M_R
373,Water,Water,Water,Water,Water,NULL,Water,Forest
374,Water,Water,Water,Water,Water,Grassland,Wetland,Water
375,Water,Water,Water,Water,Water,Grassland,Wetland,Forest
376,Water,Water,Water,Water,Water,Grassland,Water,Water
377,Water,Water,Water,Water,Water,Grassland,Water,Forest
378,Water,Water,Water,Water,Water,Grassland,Forest,Forest
379,Water,Water,Water,Water,Water,Bareland,Water,Water
380,Water,Water,Water,Water,Water,Bareland,Water,Forest
381,Water,Water,Water,Water,Water,Bareland,Forest,Water
382,Water,Water,Water,Water,Water,Water,Wetland,Grassland
383,Water,Water,Water,Water,Water,Water,Wetland,Bareland
384,Water,Water,Water,Water,Water,Water,Wetland,Water
385,Water,Water,Water,Water,Water,Water,Wetland,Forest
386,Water,Water,Water,Water,Water,Water,Water,Grassland
387,Water,Water,Water,Water,Water,Water,Water,Bareland
388,Water,Water,Water,Water,Water,Water,Water,Water
389,Water,Water,Water,Water,Water,Water,Water,Forest
390,Water,Water,Water,Water,Water,Water,Forest,Water
391,Water,Water,Water,Water,Water,Water,Forest,Forest
392,Water,Water,Water,Water,Water,Forest,Wetland,Forest
393,Water,Water,Water,Water,Water,Forest,Water,Water
394,Water,Water,Water,Water,Water,Forest,Water,Forest
395,Water,Water,Water,Water,Water,Forest,Forest,Water
396,Water,Water,Forest,NULL,Non_Wetland,NULL,Grassland,Water
397,Water,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Water
398,Water,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
399,Water,Water,Forest,NULL,Non_Wetland,NULL,Water,Water
400,Water,Water,Forest,NULL,Non_Wetland,NULL,Water,Forest
401,Water,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
402,Water,Water,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
403,Water,Water,Forest,NULL,Non_Wetland,Grassland,Water,Water
404,Water,Water,Forest,NULL,Non_Wetland,Grassland,Water,Forest
405,Water,Water,Forest,NULL,Non_Wetland,Grassland,Forest,Water
406,Water,Water,Forest,NULL,Non_Wetland,Bareland,Wetland,Water
407,Water,Water,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
408,Water,Water,Forest,NULL,Non_Wetland,Bareland,Water,Water
409,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
410,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
411,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Bareland
412,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Water
413,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
414,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Water
415,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
416,Water,Water,Forest,NULL,Non_Wetland,Forest,Wetland,Water
417,Water,Water,Forest,NULL,Non_Wetland,Forest,Water,Forest
418,Water,Water,Forest,Non_Water,Non_Wetland,Water,Grassland,Water
419,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Grassland
420,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
421,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
422,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Bareland
423,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Water
424,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Forest
425,Water,Water,Forest,Non_Water,Non_Wetland,Water,Forest,Forest
426,Water,Water,Forest,Water,Non_Wetland,NULL,Water,Water
427,Water,Water,Forest,Water,Non_Wetland,NULL,Water,Forest
428,Water,Water,Forest,Water,Non_Wetland,Grassland,Wetland,Water
429,Water,Water,Forest,Water,Non_Wetland,Grassland,Water,Water
430,Water,Water,Forest,Water,Non_Wetland,Grassland,Water,Forest
431,Water,Water,Forest,Water,Non_Wetland,Bareland,Wetland,Water
432,Water,Water,Forest,Water,Non_Wetland,Bareland,Wetland,Forest
433,Water,Water,Forest,Water,Non_Wetland,Bareland,Water,Water
434,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Bareland
435,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
436,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Forest
437,Water,Water,Forest,Water,Non_Wetland,Water,Water,Grassland
438,Water,Water,Forest,Water,Non_Wetland,Water,Water,Water
439,Water,Water,Forest,Water,Non_Wetland,Water,Water,Forest
440,Water,Water,Forest,Water,Non_Wetland,Water,Forest,Water
441,Water,Water,Forest,Water,Non_Wetland,Water,Forest,Forest
442,Water,Water,Forest,Water,Non_Wetland,Forest,Water,Forest
443,Water,Forest,Wetland,NULL,Wetland,Water,Water,Forest
444,Water,Forest,Wetland,Non_Water,Wetland,Water,Water,Forest
445,Water,Forest,Wetland,Water,Wetland,Bareland,Water,Water
446,Water,Forest,Wetland,Water,Wetland,Water,Water,Water
447,Water,Forest,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
448,Water,Forest,Water,NULL,Water,Water,Water,Water
449,Water,Forest,Water,Non_Water,Water,NULL,Wetland,Forest
450,Water,Forest,Water,Water,Water,Water,Wetland,Water
451,Water,Forest,Water,Water,Water,Water,Water,Water
452,Water,Forest,Water,Water,Water,Water,Water,Forest
453,Water,Forest,Forest,Non_Water,Non_Wetland,Water,Water,Forest
454,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
455,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
456,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
457,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
458,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
459,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
460,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
461,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
462,Forest,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
463,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
464,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
465,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
466,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
467,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
468,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
469,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
470,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
471,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
472,Forest,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
473,Forest,NULL,Cropland,NULL,Non_Wetland,Water,Wetland,Forest
474,Forest,NULL,Cropland,NULL,Non_Wetland,Water,Bareland,Forest
475,Forest,NULL,Wetland,NULL,Wetland,NULL,Wetland,NULL
476,Forest,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
477,Forest,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
478,Forest,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
479,Forest,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
480,Forest,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
481,Forest,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
482,Forest,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
483,Forest,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
484,Forest,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
485,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
486,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
487,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
488,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
489,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
490,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
491,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
492,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
493,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
494,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
495,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
496,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
497,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
498,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
499,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
500,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
501,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
502,Forest,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
503,Forest,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
504,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
505,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
506,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
507,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
508,Forest,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Forest
509,Forest,Bareland,Wetland,Water,Wetland,Bareland,Wetland,Water
510,Forest,Bareland,Wetland,Water,Wetland,Water,Wetland,Water
511,Forest,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
512,Forest,Built-up,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
513,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
514,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
515,Forest,Built-up,Forest,NULL,Non_Wetland,Water,Grassland,Forest
516,Forest,Water,NULL,NULL,Non_Wetland,NULL,Wetland,Water
517,Forest,Water,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
518,Forest,Water,NULL,NULL,Non_Wetland,NULL,Water,Water
519,Forest,Water,NULL,NULL,Non_Wetland,NULL,Water,Forest
520,Forest,Water,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
521,Forest,Water,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
522,Forest,Water,NULL,NULL,Non_Wetland,Grassland,Water,Forest
523,Forest,Water,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
524,Forest,Water,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
525,Forest,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
526,Forest,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
527,Forest,Water,NULL,NULL,Non_Wetland,Water,Water,Water
528,Forest,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
529,Forest,Water,NULL,NULL,Non_Wetland,Water,Forest,Water
530,Forest,Water,NULL,NULL,Non_Wetland,Water,Forest,Forest
531,Forest,Water,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
532,Forest,Water,NULL,NULL,Non_Wetland,Forest,Water,Forest
533,Forest,Water,NULL,NULL,Non_Wetland,Forest,Forest,Forest
534,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,Wetland,Water
535,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
536,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
537,Forest,Water,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Water
538,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
539,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
540,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
541,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
542,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Water,Forest
543,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Forest,Forest
544,Forest,Water,NULL,Water,Non_Wetland,NULL,Wetland,Water
545,Forest,Water,NULL,Water,Non_Wetland,NULL,Wetland,Forest
546,Forest,Water,NULL,Water,Non_Wetland,NULL,Water,Forest
547,Forest,Water,NULL,Water,Non_Wetland,Grassland,Wetland,Water
548,Forest,Water,NULL,Water,Non_Wetland,Grassland,Wetland,Forest
549,Forest,Water,NULL,Water,Non_Wetland,Grassland,Water,Water
550,Forest,Water,NULL,Water,Non_Wetland,Water,Wetland,Water
551,Forest,Water,NULL,Water,Non_Wetland,Water,Wetland,Forest
552,Forest,Water,NULL,Water,Non_Wetland,Water,Water,Grassland
553,Forest,Water,NULL,Water,Non_Wetland,Water,Water,Water
554,Forest,Water,NULL,Water,Non_Wetland,Water,Water,Forest
555,Forest,Water,NULL,Water,Non_Wetland,Water,Forest,Water
556,Forest,Water,NULL,Water,Non_Wetland,Water,Forest,Forest
557,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
558,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
559,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
560,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
561,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Water,Forest
562,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Water
563,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Forest
564,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,Water,Water
565,Forest,Water,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Forest
566,Forest,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Forest
567,Forest,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Water
568,Forest,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
569,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Wetland,Water
570,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
571,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Water,Water
572,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Water,Forest
573,Forest,Water,Grassland,NULL,Non_Wetland,Grassland,Wetland,Water
574,Forest,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Water
575,Forest,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
576,Forest,Water,Grassland,NULL,Non_Wetland,Water,Water,Water
577,Forest,Water,Grassland,NULL,Non_Wetland,Water,Water,Forest
578,Forest,Water,Grassland,NULL,Non_Wetland,Water,Forest,Water
579,Forest,Water,Grassland,NULL,Non_Wetland,Water,Forest,Forest
580,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Water
581,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Forest
582,Forest,Water,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Water
583,Forest,Water,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
584,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Water
585,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Forest
586,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Water
587,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Forest
588,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Forest,Forest
589,Forest,Water,Grassland,Water,Non_Wetland,NULL,Wetland,Forest
590,Forest,Water,Grassland,Water,Non_Wetland,NULL,Water,Water
591,Forest,Water,Grassland,Water,Non_Wetland,Water,Wetland,Bareland
592,Forest,Water,Grassland,Water,Non_Wetland,Water,Wetland,Water
593,Forest,Water,Grassland,Water,Non_Wetland,Water,Wetland,Forest
594,Forest,Water,Grassland,Water,Non_Wetland,Water,Water,Grassland
595,Forest,Water,Grassland,Water,Non_Wetland,Water,Water,Water
596,Forest,Water,Grassland,Water,Non_Wetland,Water,Water,Forest
597,Forest,Water,Grassland,Water,Non_Wetland,Water,Forest,Forest
598,Forest,Water,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
599,Forest,Water,Cropland,NULL,Non_Wetland,Grassland,Water,Forest
600,Forest,Water,Cropland,NULL,Non_Wetland,Water,Wetland,Forest
601,Forest,Water,Cropland,NULL,Non_Wetland,Water,Water,Forest
602,Forest,Water,Cropland,Non_Water,Non_Wetland,NULL,Water,Water
603,Forest,Water,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
604,Forest,Water,Cropland,Non_Water,Non_Wetland,Water,Water,Water
605,Forest,Water,Cropland,Water,Non_Wetland,Bareland,Wetland,Water
606,Forest,Water,Cropland,Water,Non_Wetland,Water,Grassland,Forest
607,Forest,Water,Cropland,Water,Non_Wetland,Water,Wetland,Water
608,Forest,Water,Cropland,Water,Non_Wetland,Water,Water,Water
609,Forest,Water,Cropland,Water,Non_Wetland,Forest,Water,Water
610,Forest,Water,Wetland,NULL,Wetland,NULL,Grassland,Water
611,Forest,Water,Wetland,NULL,Wetland,NULL,Grassland,Forest
612,Forest,Water,Wetland,NULL,Wetland,NULL,Wetland,Bareland
613,Forest,Water,Wetland,NULL,Wetland,NULL,Wetland,Water
614,Forest,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
615,Forest,Water,Wetland,NULL,Wetland,NULL,Water,Grassland
616,Forest,Water,Wetland,NULL,Wetland,NULL,Water,Water
617,Forest,Water,Wetland,NULL,Wetland,NULL,Water,Forest
618,Forest,Water,Wetland,NULL,Wetland,NULL,Forest,Water
619,Forest,Water,Wetland,NULL,Wetland,NULL,Forest,Forest
620,Forest,Water,Wetland,NULL,Wetland,Grassland,Grassland,Forest
621,Forest,Water,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
622,Forest,Water,Wetland,NULL,Wetland,Grassland,Wetland,Water
623,Forest,Water,Wetland,NULL,Wetland,Grassland,Wetland,Forest
624,Forest,Water,Wetland,NULL,Wetland,Grassland,Bareland,Forest
625,Forest,Water,Wetland,NULL,Wetland,Grassland,Water,Water
626,Forest,Water,Wetland,NULL,Wetland,Grassland,Water,Forest
627,Forest,Water,Wetland,NULL,Wetland,Grassland,Forest,Water
628,Forest,Water,Wetland,NULL,Wetland,Grassland,Forest,Forest
629,Forest,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
630,Forest,Water,Wetland,NULL,Wetland,Bareland,Wetland,Water
631,Forest,Water,Wetland,NULL,Wetland,Bareland,Water,Water
632,Forest,Water,Wetland,NULL,Wetland,Bareland,Water,Forest
633,Forest,Water,Wetland,NULL,Wetland,Bareland,Forest,Water
634,Forest,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
635,Forest,Water,Wetland,NULL,Wetland,Water,Wetland,Bareland
636,Forest,Water,Wetland,NULL,Wetland,Water,Wetland,Water
637,Forest,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
638,Forest,Water,Wetland,NULL,Wetland,Water,Bareland,Grassland
639,Forest,Water,Wetland,NULL,Wetland,Water,Water,Grassland
640,Forest,Water,Wetland,NULL,Wetland,Water,Water,Bareland
641,Forest,Water,Wetland,NULL,Wetland,Water,Water,Water
642,Forest,Water,Wetland,NULL,Wetland,Water,Water,Forest
643,Forest,Water,Wetland,NULL,Wetland,Water,Forest,Bareland
644,Forest,Water,Wetland,NULL,Wetland,Water,Forest,Water
645,Forest,Water,Wetland,NULL,Wetland,Water,Forest,Forest
646,Forest,Water,Wetland,NULL,Wetland,Forest,Wetland,Water
647,Forest,Water,Wetland,NULL,Wetland,Forest,Wetland,Forest
648,Forest,Water,Wetland,NULL,Wetland,Forest,Water,Water
649,Forest,Water,Wetland,NULL,Wetland,Forest,Water,Forest
650,Forest,Water,Wetland,NULL,Wetland,Forest,Forest,Water
651,Forest,Water,Wetland,NULL,Wetland,Forest,Forest,Forest
652,Forest,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Grassland
653,Forest,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Water
654,Forest,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
655,Forest,Water,Wetland,Non_Water,Wetland,NULL,Water,Grassland
656,Forest,Water,Wetland,Non_Water,Wetland,NULL,Water,Water
657,Forest,Water,Wetland,Non_Water,Wetland,NULL,Water,Forest
658,Forest,Water,Wetland,Non_Water,Wetland,NULL,Forest,Water
659,Forest,Water,Wetland,Non_Water,Wetland,NULL,Forest,Forest
660,Forest,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
661,Forest,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,Water
662,Forest,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
663,Forest,Water,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
664,Forest,Water,Wetland,Non_Water,Wetland,Grassland,Water,Water
665,Forest,Water,Wetland,Non_Water,Wetland,Grassland,Water,Forest
666,Forest,Water,Wetland,Non_Water,Wetland,Grassland,Forest,Water
667,Forest,Water,Wetland,Non_Water,Wetland,Grassland,Forest,Forest
668,Forest,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
669,Forest,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
670,Forest,Water,Wetland,Non_Water,Wetland,Wetland,Water,Forest
671,Forest,Water,Wetland,Non_Water,Wetland,Bareland,Wetland,Forest
672,Forest,Water,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
673,Forest,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
674,Forest,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
675,Forest,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
676,Forest,Water,Wetland,Non_Water,Wetland,Water,Water,Bareland
677,Forest,Water,Wetland,Non_Water,Wetland,Water,Water,Water
678,Forest,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
679,Forest,Water,Wetland,Non_Water,Wetland,Water,Forest,Water
680,Forest,Water,Wetland,Non_Water,Wetland,Water,Forest,Forest
681,Forest,Water,Wetland,Non_Water,Wetland,Forest,Wetland,Forest
682,Forest,Water,Wetland,Non_Water,Wetland,Forest,Water,Forest
683,Forest,Water,Wetland,Non_Water,Wetland,Forest,Forest,Water
684,Forest,Water,Wetland,Non_Water,Wetland,Forest,Forest,Forest
685,Forest,Water,Wetland,Water,Wetland,NULL,Grassland,Forest
686,Forest,Water,Wetland,Water,Wetland,NULL,Wetland,Grassland
687,Forest,Water,Wetland,Water,Wetland,NULL,Wetland,Water
688,Forest,Water,Wetland,Water,Wetland,NULL,Wetland,Forest
689,Forest,Water,Wetland,Water,Wetland,NULL,Water,Grassland
690,Forest,Water,Wetland,Water,Wetland,NULL,Water,Water
691,Forest,Water,Wetland,Water,Wetland,NULL,Water,Forest
692,Forest,Water,Wetland,Water,Wetland,NULL,Forest,Water
693,Forest,Water,Wetland,Water,Wetland,NULL,Forest,Forest
694,Forest,Water,Wetland,Water,Wetland,Grassland,Wetland,Grassland
695,Forest,Water,Wetland,Water,Wetland,Grassland,Wetland,Water
696,Forest,Water,Wetland,Water,Wetland,Grassland,Wetland,Forest
697,Forest,Water,Wetland,Water,Wetland,Grassland,Water,Grassland
698,Forest,Water,Wetland,Water,Wetland,Grassland,Water,Water
699,Forest,Water,Wetland,Water,Wetland,Grassland,Water,Forest
700,Forest,Water,Wetland,Water,Wetland,Grassland,Forest,Water
701,Forest,Water,Wetland,Water,Wetland,Grassland,Forest,Forest
702,Forest,Water,Wetland,Water,Wetland,Wetland,Wetland,Water
703,Forest,Water,Wetland,Water,Wetland,Bareland,Wetland,Grassland
704,Forest,Water,Wetland,Water,Wetland,Bareland,Wetland,Water
705,Forest,Water,Wetland,Water,Wetland,Bareland,Water,Grassland
706,Forest,Water,Wetland,Water,Wetland,Bareland,Water,Water
707,Forest,Water,Wetland,Water,Wetland,Bareland,Water,Forest
708,Forest,Water,Wetland,Water,Wetland,Water,Grassland,Forest
709,Forest,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
710,Forest,Water,Wetland,Water,Wetland,Water,Wetland,Water
711,Forest,Water,Wetland,Water,Wetland,Water,Wetland,Forest
712,Forest,Water,Wetland,Water,Wetland,Water,Water,Grassland
713,Forest,Water,Wetland,Water,Wetland,Water,Water,Bareland
714,Forest,Water,Wetland,Water,Wetland,Water,Water,Water
715,Forest,Water,Wetland,Water,Wetland,Water,Water,Forest
716,Forest,Water,Wetland,Water,Wetland,Water,Forest,Bareland
717,Forest,Water,Wetland,Water,Wetland,Water,Forest,Water
718,Forest,Water,Wetland,Water,Wetland,Water,Forest,Forest
719,Forest,Water,Wetland,Water,Wetland,Forest,Wetland,Water
720,Forest,Water,Wetland,Water,Wetland,Forest,Wetland,Forest
721,Forest,Water,Wetland,Water,Wetland,Forest,Water,Water
722,Forest,Water,Wetland,Water,Wetland,Forest,Water,Forest
723,Forest,Water,Wetland,Water,Wetland,Forest,Forest,Water
724,Forest,Water,Wetland,Water,Wetland,Forest,Forest,Forest
725,Forest,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water,Wetland,Forest
726,Forest,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water,Water,Water
727,Forest,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water,Water,Forest
728,Forest,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,Wetland,Forest
729,Forest,Water,Lichens_and_Mosses,Water,Non_Wetland,Grassland,Forest,Forest
730,Forest,Water,Lichens_and_Mosses,Water,Non_Wetland,Water,Water,Forest
731,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Wetland,Water
732,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
733,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Water,Forest
734,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Forest,Water
735,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Forest,Forest
736,Forest,Water,Bareland,NULL,Non_Wetland,Grassland,Wetland,Water
737,Forest,Water,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
738,Forest,Water,Bareland,NULL,Non_Wetland,Grassland,Bareland,Forest
739,Forest,Water,Bareland,NULL,Non_Wetland,Grassland,Water,Water
740,Forest,Water,Bareland,NULL,Non_Wetland,Grassland,Water,Forest
741,Forest,Water,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
742,Forest,Water,Bareland,NULL,Non_Wetland,Bareland,Forest,Forest
743,Forest,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Water
744,Forest,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
745,Forest,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
746,Forest,Water,Bareland,NULL,Non_Wetland,Water,Water,Forest
747,Forest,Water,Bareland,NULL,Non_Wetland,Water,Forest,Bareland
748,Forest,Water,Bareland,NULL,Non_Wetland,Water,Forest,Water
749,Forest,Water,Bareland,NULL,Non_Wetland,Water,Forest,Forest
