Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KYP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KYP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KYP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KYP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KYP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KYP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KYP_M_R
2041,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,NULL,Bareland
2042,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
2043,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Built-up,Grassland
2044,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Built-up,Cropland
2045,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Built-up,Bareland
2046,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Built-up,Grassland
2047,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
2048,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
2049,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
2050,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
2051,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
2052,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Grassland,Grassland
2053,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Grassland,Cropland
2054,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Grassland,Bareland
2055,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Grassland,Built-up
2056,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Grassland,Forest
2057,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Wetland,NULL
2058,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Wetland,Grassland
2059,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Wetland,Bareland
2060,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Wetland,Built-up
2061,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Wetland,Forest
2062,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Bareland,Grassland
2063,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Bareland,Cropland
2064,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Bareland,Bareland
2065,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Bareland,Built-up
2066,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Bareland,Forest
2067,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Built-up,Grassland
2068,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Built-up,Cropland
2069,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Built-up,Bareland
2070,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Built-up,Built-up
2071,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Built-up,Forest
2072,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Water,Grassland
2073,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Water,Bareland
2074,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Water,Built-up
2075,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Water,Water
2076,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Water,Forest
2077,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Forest,Grassland
2078,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Forest,Cropland
2079,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Forest,Built-up
2080,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Forest,Forest
2081,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
2082,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Cropland
2083,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Built-up
2084,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Forest
2085,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
2086,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Cropland
2087,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
2088,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
2089,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
2090,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
2091,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
2092,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Cropland
2093,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Bareland
2094,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
2095,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
2096,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
2097,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Cropland
2098,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Built-up
2099,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Forest
2100,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Water,Grassland
2101,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Water,Bareland
2102,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Forest,Built-up
2103,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Forest,Forest
2104,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,NULL,Grassland
2105,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,NULL,Cropland
2106,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,NULL,Bareland
2107,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,NULL,Built-up
2108,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,NULL,Forest
2109,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,Grassland,Cropland
2110,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,Bareland,Grassland
2111,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,Bareland,Cropland
2112,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,Bareland,Bareland
2113,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,Bareland,Built-up
2114,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,Built-up,Grassland
2115,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,Built-up,Cropland
2116,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,Built-up,Bareland
2117,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,Built-up,Built-up
2118,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,Built-up,Forest
2119,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,NULL,Forest
2120,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Wetland,Forest
2121,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Bareland,Grassland
2122,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Bareland,Forest
2123,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Built-up,Forest
2124,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
2125,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Cropland
2126,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
2127,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
2128,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Forest
2129,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
2130,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
2131,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
2132,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Wetland,Bareland
2133,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Wetland,Built-up
2134,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
2135,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Cropland
2136,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
2137,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
2138,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
2139,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
2140,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Cropland
2141,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Bareland
2142,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
2143,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Forest
2144,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
2145,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Water,Bareland
2146,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Water,Built-up
2147,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Water,Forest
2148,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
2149,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Forest,Bareland
2150,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Forest,Built-up
2151,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Forest,Forest
2152,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,NULL,Grassland
2153,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,NULL,Cropland
2154,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,NULL,Bareland
2155,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,NULL,Built-up
2156,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,NULL,Forest
2157,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
2158,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Cropland
2159,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Built-up
2160,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Forest
2161,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Wetland,Grassland
2162,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Wetland,Built-up
2163,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Wetland,Forest
2164,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
2165,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Cropland
2166,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Bareland
2167,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Built-up
2168,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Forest
2169,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
2170,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Cropland
2171,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
2172,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
2173,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Water
2174,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
2175,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Water,Water
2176,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Water,Forest
2177,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Forest,Cropland
2178,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Forest,Bareland
2179,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Forest,Built-up
2180,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Forest,Forest
2181,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest,NULL,Grassland
2182,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest,NULL,Built-up
2183,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest,NULL,Forest
2184,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest,Grassland,Grassland
2185,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest,Wetland,Forest
2186,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest,Bareland,Forest
2187,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest,Built-up,Grassland
2188,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest,Built-up,Cropland
2189,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest,Built-up,Built-up
2190,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest,Built-up,Forest
2191,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest,Forest,Forest
2192,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
2193,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
2194,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
2195,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
2196,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,Wetland,Grassland
2197,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,Wetland,Built-up
2198,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,Bareland,Grassland
2199,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,Bareland,Built-up
2200,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,Built-up,Grassland
2201,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,Built-up,Built-up
2202,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,Built-up,Forest
2203,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,Water,Grassland
2204,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,Water,Built-up
2205,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
2206,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,NULL,Grassland
2207,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,NULL,Bareland
2208,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,NULL,Built-up
2209,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,NULL,Forest
2210,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
2211,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
2212,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Built-up,Built-up
2213,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Built-up,Forest
2214,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Water,Grassland
2215,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Water,Bareland
2216,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
2217,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up,Built-up,Built-up
2218,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest,NULL,Forest
2219,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
2220,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
2221,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,Water,Grassland
2222,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
2223,NULL,Built-up,Water,NULL,Water,NULL,NULL,Cropland
2224,NULL,Built-up,Water,NULL,Water,NULL,NULL,Bareland
2225,NULL,Built-up,Water,NULL,Water,NULL,NULL,Built-up
2226,NULL,Built-up,Water,NULL,Water,NULL,NULL,Water
2227,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
2228,NULL,Built-up,Water,NULL,Water,NULL,Wetland,Grassland
2229,NULL,Built-up,Water,NULL,Water,NULL,Bareland,Bareland
2230,NULL,Built-up,Water,NULL,Water,NULL,Bareland,Water
2231,NULL,Built-up,Water,NULL,Water,NULL,Built-up,Forest
2232,NULL,Built-up,Water,NULL,Water,NULL,Water,Grassland
2233,NULL,Built-up,Water,NULL,Water,NULL,Water,Water
2234,NULL,Built-up,Water,NULL,Water,NULL,Water,Forest
2235,NULL,Built-up,Water,NULL,Water,Cropland,NULL,Forest
2236,NULL,Built-up,Water,NULL,Water,Wetland,NULL,Water
2237,NULL,Built-up,Water,NULL,Water,Bareland,Built-up,Grassland
2238,NULL,Built-up,Water,NULL,Water,Bareland,Built-up,Bareland
2239,NULL,Built-up,Water,NULL,Water,Bareland,Water,Forest
2240,NULL,Built-up,Water,NULL,Water,Built-up,NULL,Forest
2241,NULL,Built-up,Water,NULL,Water,Built-up,Grassland,Water
2242,NULL,Built-up,Water,NULL,Water,Built-up,Built-up,Grassland
2243,NULL,Built-up,Water,NULL,Water,Built-up,Built-up,Bareland
2244,NULL,Built-up,Water,NULL,Water,Built-up,Built-up,Built-up
2245,NULL,Built-up,Water,NULL,Water,Built-up,Built-up,Water
2246,NULL,Built-up,Water,NULL,Water,Built-up,Built-up,Forest
2247,NULL,Built-up,Water,NULL,Water,Built-up,Water,Water
2248,NULL,Built-up,Water,NULL,Water,Built-up,Water,Forest
2249,NULL,Built-up,Water,NULL,Water,Forest,NULL,Forest
2250,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Water
2251,NULL,Built-up,Water,Non_Water,Water,NULL,Water,Grassland
2252,NULL,Built-up,Water,Non_Water,Water,Wetland,NULL,Water
2253,NULL,Built-up,Water,Non_Water,Water,Water,NULL,Water
2254,NULL,Built-up,Water,Water,Water,NULL,NULL,Water
2255,NULL,Built-up,Water,Water,Water,NULL,Grassland,Grassland
2256,NULL,Built-up,Water,Water,Water,NULL,Bareland,Water
2257,NULL,Built-up,Water,Water,Water,Wetland,NULL,Water
2258,NULL,Built-up,Water,Water,Water,Built-up,Built-up,Water
2259,NULL,Built-up,Water,Water,Water,Water,NULL,Water
2260,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
2261,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
2262,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
2263,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
2264,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Water
2265,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
2266,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
2267,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
2268,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
2269,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Wetland,Bareland
2270,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
2271,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Bareland,Grassland
2272,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Bareland,Cropland
2273,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Bareland,Built-up
2274,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Bareland,Water
2275,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
2276,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Built-up,Grassland
2277,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Built-up,Cropland
2278,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Built-up,Built-up
2279,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Built-up,Water
2280,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Built-up,Forest
2281,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Water,Water
2282,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Water,Forest
2283,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
2284,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Forest,Cropland
2285,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Forest,Built-up
2286,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Forest,Forest
2287,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
2288,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Cropland
2289,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Built-up
2290,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
2291,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
2292,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
2293,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
2294,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
2295,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
2296,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
2297,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
2298,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Grassland
2299,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Forest
2300,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Water,Forest
2301,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
2302,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
2303,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
2304,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland,NULL,Cropland
2305,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland,NULL,Forest
2306,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland,Built-up,Grassland
2307,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland,Built-up,Forest
2308,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
2309,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,NULL,Water
2310,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
2311,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
2312,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
2313,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
2314,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Bareland,Built-up
2315,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
2316,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Built-up,Grassland
2317,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Built-up,Cropland
2318,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Built-up,Forest
2319,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
2320,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
2321,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,Built-up
2322,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,Water
2323,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
2324,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
2325,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Wetland,Cropland
2326,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Wetland,Built-up
2327,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
2328,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
2329,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Cropland
2330,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
2331,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
2332,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Grassland
2333,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Cropland
2334,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Built-up
2335,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Forest
2336,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Water,Built-up
2337,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,Cropland
2338,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,Built-up
2339,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
2340,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,NULL,Grassland
2341,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,NULL,Cropland
2342,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,NULL,Built-up
2343,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,NULL,Forest
2344,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
2345,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Wetland,Built-up
2346,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Wetland,Forest
2347,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,Grassland
2348,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,Built-up
2349,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,Forest
2350,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
2351,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Built-up
2352,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Forest
2353,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Water,Forest
2354,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Forest,Grassland
2355,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Forest,Cropland
2356,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Forest,Built-up
2357,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Forest,Forest
2358,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Wetland,Forest
2359,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
2360,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,NULL,Cropland
2361,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,NULL,Built-up
2362,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,NULL,Forest
2363,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
2364,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Wetland,Grassland
2365,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
2366,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Bareland,Cropland
2367,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
2368,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Built-up,Grassland
