Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NLH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NLH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NLH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NLH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NLH_M_R
326,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
327,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
328,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
329,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
330,Wetland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
331,Wetland,Wetland,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
332,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
333,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
334,Wetland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
335,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
336,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
337,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
338,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
339,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
340,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
341,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
342,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
343,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
344,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
345,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
346,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
347,Bareland,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
348,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
349,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
350,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
351,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
352,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
353,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
354,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
355,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
356,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
357,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
358,Bareland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
359,Bareland,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
360,Bareland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
361,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
362,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
363,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
364,Bareland,Bareland,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
365,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
366,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
367,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Water
368,Bareland,Water,Water,NULL,Water,NULL,NULL,Water
369,Bareland,Water,Water,NULL,Water,NULL,NULL,Forest
370,Bareland,Water,Water,Water,Water,NULL,NULL,Water
371,Bareland,Water,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
372,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
373,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
374,Bareland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
375,Bareland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
376,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
377,Bareland,Forest,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
378,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
379,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
380,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
381,Bareland,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
382,Bareland,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
383,Water,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
384,Water,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
385,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
386,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
387,Water,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
388,Water,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
389,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
390,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
391,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
392,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
393,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
394,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
395,Water,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
396,Water,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
397,Water,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
398,Water,Bareland,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
399,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
400,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
401,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
402,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
403,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
404,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Forest
405,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
406,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
407,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
408,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
409,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
410,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
411,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
412,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
413,Water,Water,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
414,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
415,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
416,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Water
417,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
418,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
419,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
420,Water,Water,Wetland,Water,Wetland,NULL,NULL,Water
421,Water,Water,Wetland,Water,Wetland,NULL,NULL,Forest
422,Water,Water,Water,NULL,Water,NULL,NULL,Bareland
423,Water,Water,Water,NULL,Water,NULL,NULL,Water
424,Water,Water,Water,NULL,Water,NULL,NULL,Forest
425,Water,Water,Water,Non_Water,Water,NULL,NULL,Water
426,Water,Water,Water,Non_Water,Water,NULL,NULL,Forest
427,Water,Water,Water,Water,Water,NULL,NULL,Bareland
428,Water,Water,Water,Water,Water,NULL,NULL,Water
429,Water,Water,Water,Water,Water,NULL,NULL,Forest
430,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
431,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
432,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
433,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
434,Water,Water,Forest,NULL,Non_Wetland,NULL,Forest,Forest
435,Water,Water,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
436,Water,Water,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
437,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
438,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
439,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
440,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
441,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
442,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
443,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
444,Water,Forest,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
445,Water,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
446,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
447,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
448,Water,Forest,Wetland,NULL,Wetland,Grassland,Forest,Forest
449,Water,Forest,Water,NULL,Water,NULL,NULL,Water
450,Water,Forest,Water,NULL,Water,NULL,NULL,Forest
451,Water,Forest,Water,NULL,Water,Water,Forest,Forest
452,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
453,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
454,Water,Forest,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
455,Water,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
456,Water,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
457,Permanent_ice_and_snow,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
458,Permanent_ice_and_snow,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
459,Permanent_ice_and_snow,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
460,Permanent_ice_and_snow,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
461,Permanent_ice_and_snow,Forest,Water,NULL,Water,Grassland,Forest,Water
462,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
463,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
464,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
465,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
466,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
467,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
468,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
469,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
470,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
471,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
472,Forest,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
473,Forest,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
474,Forest,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
475,Forest,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
476,Forest,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
477,Forest,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
478,Forest,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
479,Forest,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
480,Forest,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
481,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
482,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
483,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
484,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
485,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
486,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
487,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
488,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
489,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
490,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
491,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
492,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
493,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
494,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
495,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
496,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
497,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
498,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
499,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
500,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
501,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
502,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
503,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
504,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
505,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
506,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
507,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
508,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
509,Forest,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
510,Forest,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
511,Forest,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
512,Forest,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
513,Forest,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
514,Forest,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
515,Forest,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
516,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
517,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
518,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
519,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
520,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
521,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
522,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
523,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
524,Forest,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,NULL
525,Forest,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
526,Forest,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
527,Forest,NULL,Grassland,NULL,Non_Wetland,Forest,Shrubland,Grassland
528,Forest,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
529,Forest,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
530,Forest,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
531,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
532,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
533,Forest,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
534,Forest,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
535,Forest,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
536,Forest,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
537,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
538,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
539,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
540,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
541,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
542,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
543,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
544,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
545,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,NULL
546,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
547,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
548,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
549,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
550,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
551,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
552,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
553,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
554,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
555,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
556,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
557,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
558,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
559,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
560,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
561,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
562,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
563,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
564,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
565,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
566,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
567,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
568,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
569,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
570,Forest,NULL,Forest,NULL,Non_Wetland,Forest,NULL,NULL
571,Forest,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
572,Forest,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
573,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Grassland
574,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
575,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
576,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
577,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
578,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Forest,NULL
579,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
580,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
581,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
582,Forest,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
583,Forest,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
584,Forest,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
585,Forest,Wetland,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
586,Forest,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
587,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
588,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
589,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
590,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
591,Forest,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
592,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
593,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
594,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
595,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Water
596,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
597,Forest,Water,Wetland,NULL,Wetland,Water,Forest,Forest
598,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
599,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
600,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
601,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
602,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Water
603,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Forest
604,Forest,Water,Water,NULL,Water,NULL,NULL,Bareland
605,Forest,Water,Water,NULL,Water,NULL,NULL,Water
606,Forest,Water,Water,NULL,Water,NULL,NULL,Forest
607,Forest,Water,Water,Non_Water,Water,NULL,NULL,Water
608,Forest,Water,Water,Non_Water,Water,NULL,NULL,Forest
609,Forest,Water,Water,Water,Water,NULL,NULL,Bareland
610,Forest,Water,Water,Water,Water,NULL,NULL,Water
611,Forest,Water,Water,Water,Water,NULL,NULL,Forest
612,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
613,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
614,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
615,Forest,Water,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
616,Forest,Water,Forest,NULL,Non_Wetland,NULL,Forest,Forest
617,Forest,Water,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
618,Forest,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
619,Forest,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
620,Forest,Water,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
621,Forest,Water,Forest,NULL,Non_Wetland,Forest,Forest,Forest
622,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
623,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
624,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
625,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
626,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
627,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Water
628,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
629,Forest,Forest,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
630,Forest,Forest,NULL,NULL,Non_Wetland,Forest,NULL,NULL
631,Forest,Forest,NULL,NULL,Non_Wetland,Forest,NULL,Forest
632,Forest,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
633,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
634,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
635,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
636,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
637,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
638,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
639,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
640,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
641,Forest,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
642,Forest,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
643,Forest,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
644,Forest,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
645,Forest,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
646,Forest,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
647,Forest,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
648,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
649,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
650,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
651,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
652,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
653,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
654,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
655,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
656,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
657,Forest,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
658,Forest,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
659,Forest,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
660,Forest,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
661,Forest,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
662,Forest,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
663,Forest,Forest,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
664,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
665,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
666,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
667,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,Shrubland,NULL
668,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
669,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
670,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
671,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
672,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
673,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,Bareland,Grassland
