Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MPQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MPQ_M_R
10704,Water,NULL,Forest,Non_Water,Non_Wetland,Water,Water,Grassland
10705,Water,NULL,Forest,Non_Water,Non_Wetland,Water,Forest,Wetland
10706,Water,NULL,Forest,Non_Water,Non_Wetland,Forest,NULL,Grassland
10707,Water,NULL,Forest,Non_Water,Non_Wetland,Forest,Grassland,NULL
10708,Water,NULL,Forest,Non_Water,Non_Wetland,Forest,Grassland,Grassland
10709,Water,NULL,Forest,Non_Water,Non_Wetland,Forest,Water,Grassland
10710,Water,NULL,Forest,Non_Water,Non_Wetland,Forest,Water,Wetland
10711,Water,NULL,Forest,Non_Water,Non_Wetland,Forest,Forest,Grassland
10712,Water,NULL,Forest,Non_Water,Non_Wetland,Forest,Forest,Wetland
10713,Water,NULL,Forest,Non_Water,Non_Wetland,Forest,Forest,Forest
10714,Water,NULL,Forest,Water,Non_Wetland,NULL,Grassland,Grassland
10715,Water,NULL,Forest,Water,Non_Wetland,NULL,Water,Grassland
10716,Water,NULL,Forest,Water,Non_Wetland,NULL,Water,Wetland
10717,Water,NULL,Forest,Water,Non_Wetland,NULL,Forest,Grassland
10718,Water,NULL,Forest,Water,Non_Wetland,NULL,Forest,Wetland
10719,Water,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
10720,Water,NULL,Forest,Water,Non_Wetland,Grassland,Water,Grassland
10721,Water,NULL,Forest,Water,Non_Wetland,Grassland,Forest,NULL
10722,Water,NULL,Forest,Water,Non_Wetland,Bareland,Grassland,Grassland
10723,Water,NULL,Forest,Water,Non_Wetland,Water,Grassland,Grassland
10724,Water,NULL,Forest,Water,Non_Wetland,Water,Grassland,Bareland
10725,Water,NULL,Forest,Water,Non_Wetland,Water,Grassland,Water
10726,Water,NULL,Forest,Water,Non_Wetland,Water,Forest,Grassland
10727,Water,NULL,Forest,Water,Non_Wetland,Water,Forest,Wetland
10728,Water,NULL,Forest,Water,Non_Wetland,Water,Forest,Water
10729,Water,NULL,Forest,Water,Non_Wetland,Water,Forest,Forest
10730,Water,NULL,Forest,Water,Non_Wetland,Forest,NULL,Grassland
10731,Water,NULL,Forest,Water,Non_Wetland,Forest,Grassland,Grassland
10732,Water,NULL,Forest,Water,Non_Wetland,Forest,Forest,Forest
10733,Water,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
10734,Water,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,Forest
10735,Water,Cropland,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
10736,Water,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
10737,Water,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
10738,Water,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
10739,Water,Cropland,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
10740,Water,Cropland,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
10741,Water,Cropland,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
10742,Water,Cropland,NULL,NULL,Non_Wetland,Water,Water,Wetland
10743,Water,Cropland,NULL,NULL,Non_Wetland,Water,Forest,Grassland
10744,Water,Cropland,NULL,NULL,Non_Wetland,Water,Forest,Wetland
10745,Water,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
10746,Water,Cropland,NULL,NULL,Non_Wetland,Forest,Water,Water
10747,Water,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,NULL
10748,Water,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
10749,Water,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Forest
10750,Water,Cropland,NULL,Water,Non_Wetland,Grassland,Forest,Water
10751,Water,Cropland,NULL,Water,Non_Wetland,Bareland,Forest,Grassland
10752,Water,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
10753,Water,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
10754,Water,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
10755,Water,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Water,Wetland
10756,Water,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
10757,Water,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
10758,Water,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
10759,Water,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
10760,Water,Cropland,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
10761,Water,Cropland,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
10762,Water,Cropland,Shrubland,NULL,Non_Wetland,Water,Water,Water
10763,Water,Cropland,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
10764,Water,Cropland,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
10765,Water,Cropland,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
10766,Water,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
10767,Water,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
10768,Water,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
10769,Water,Cropland,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
10770,Water,Cropland,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
10771,Water,Cropland,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
10772,Water,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
10773,Water,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
10774,Water,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
10775,Water,Cropland,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
10776,Water,Cropland,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
10777,Water,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
10778,Water,Cropland,Wetland,NULL,Wetland,NULL,Forest,Forest
10779,Water,Cropland,Wetland,NULL,Wetland,Shrubland,Forest,Grassland
10780,Water,Cropland,Wetland,NULL,Wetland,Wetland,Forest,Grassland
10781,Water,Cropland,Wetland,NULL,Wetland,Wetland,Forest,Wetland
10782,Water,Cropland,Wetland,NULL,Wetland,Water,Grassland,Grassland
10783,Water,Cropland,Wetland,NULL,Wetland,Water,Forest,Grassland
10784,Water,Cropland,Wetland,NULL,Wetland,Forest,Forest,Grassland
10785,Water,Cropland,Wetland,NULL,Wetland,Forest,Forest,Forest
10786,Water,Cropland,Wetland,Non_Water,Wetland,NULL,Grassland,Wetland
10787,Water,Cropland,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
10788,Water,Cropland,Water,NULL,Water,Shrubland,Forest,Forest
10789,Water,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
10790,Water,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
10791,Water,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
10792,Water,Cropland,Forest,NULL,Non_Wetland,NULL,Water,Grassland
10793,Water,Cropland,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
10794,Water,Cropland,Forest,NULL,Non_Wetland,Shrubland,Forest,Wetland
10795,Water,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
10796,Water,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
10797,Water,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
10798,Water,Cropland,Forest,NULL,Non_Wetland,Bareland,NULL,NULL
10799,Water,Cropland,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
10800,Water,Cropland,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
10801,Water,Cropland,Forest,NULL,Non_Wetland,Water,Forest,Grassland
10802,Water,Cropland,Forest,NULL,Non_Wetland,Water,Forest,Water
10803,Water,Cropland,Forest,NULL,Non_Wetland,Water,Forest,Forest
10804,Water,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,NULL
10805,Water,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
10806,Water,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,Forest
10807,Water,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
10808,Water,Wetland,NULL,NULL,Non_Wetland,NULL,Water,Grassland
10809,Water,Wetland,NULL,NULL,Non_Wetland,NULL,Water,Water
10810,Water,Wetland,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
10811,Water,Wetland,NULL,NULL,Non_Wetland,NULL,Forest,Water
10812,Water,Wetland,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
10813,Water,Wetland,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
10814,Water,Wetland,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
10815,Water,Wetland,NULL,NULL,Non_Wetland,Water,NULL,Water
10816,Water,Wetland,NULL,NULL,Non_Wetland,Water,Bareland,Forest
10817,Water,Wetland,NULL,NULL,Non_Wetland,Water,Water,Grassland
10818,Water,Wetland,NULL,NULL,Non_Wetland,Water,Water,Wetland
10819,Water,Wetland,NULL,NULL,Non_Wetland,Water,Water,Water
10820,Water,Wetland,NULL,NULL,Non_Wetland,Water,Forest,NULL
10821,Water,Wetland,NULL,NULL,Non_Wetland,Water,Forest,Water
10822,Water,Wetland,NULL,NULL,Non_Wetland,Water,Forest,Forest
10823,Water,Wetland,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
10824,Water,Wetland,NULL,NULL,Non_Wetland,Forest,NULL,Forest
10825,Water,Wetland,NULL,NULL,Non_Wetland,Forest,Water,Grassland
10826,Water,Wetland,NULL,NULL,Non_Wetland,Forest,Water,Water
10827,Water,Wetland,NULL,NULL,Non_Wetland,Forest,Water,Forest
10828,Water,Wetland,NULL,NULL,Non_Wetland,Forest,Forest,NULL
10829,Water,Wetland,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
10830,Water,Wetland,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
10831,Water,Wetland,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
10832,Water,Wetland,NULL,NULL,Non_Wetland,Forest,Forest,Water
10833,Water,Wetland,NULL,NULL,Non_Wetland,Forest,Forest,Forest
10834,Water,Wetland,NULL,Water,Non_Wetland,Grassland,Water,Grassland
10835,Water,Wetland,NULL,Water,Non_Wetland,Water,Water,Wetland
10836,Water,Wetland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
10837,Water,Wetland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
10838,Water,Wetland,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
10839,Water,Wetland,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
10840,Water,Wetland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
10841,Water,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
10842,Water,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
10843,Water,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Water,Water
10844,Water,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
10845,Water,Wetland,Shrubland,NULL,Non_Wetland,Water,Water,Cropland
10846,Water,Wetland,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
10847,Water,Wetland,Shrubland,NULL,Non_Wetland,Water,Water,Forest
10848,Water,Wetland,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
10849,Water,Wetland,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
10850,Water,Wetland,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
10851,Water,Wetland,Shrubland,NULL,Non_Wetland,Forest,Water,Grassland
10852,Water,Wetland,Shrubland,NULL,Non_Wetland,Forest,Water,Forest
10853,Water,Wetland,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
10854,Water,Wetland,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
10855,Water,Wetland,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
10856,Water,Wetland,Shrubland,Non_Water,Non_Wetland,Water,Forest,NULL
10857,Water,Wetland,Shrubland,Non_Water,Non_Wetland,Forest,Grassland,Grassland
10858,Water,Wetland,Shrubland,Non_Water,Non_Wetland,Forest,Forest,NULL
10859,Water,Wetland,Shrubland,Water,Non_Wetland,Water,Water,Wetland
10860,Water,Wetland,Shrubland,Water,Non_Wetland,Forest,Water,Water
10861,Water,Wetland,Grassland,NULL,Non_Wetland,NULL,Forest,NULL
10862,Water,Wetland,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
10863,Water,Wetland,Grassland,NULL,Non_Wetland,Water,Water,Water
10864,Water,Wetland,Grassland,NULL,Non_Wetland,Water,Forest,NULL
10865,Water,Wetland,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
10866,Water,Wetland,Grassland,NULL,Non_Wetland,Forest,Forest,NULL
10867,Water,Wetland,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
10868,Water,Wetland,Grassland,Non_Water,Non_Wetland,Grassland,Forest,NULL
10869,Water,Wetland,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
10870,Water,Wetland,Grassland,Non_Water,Non_Wetland,Water,Forest,NULL
10871,Water,Wetland,Grassland,Non_Water,Non_Wetland,Forest,Forest,NULL
10872,Water,Wetland,Grassland,Water,Non_Wetland,Forest,Forest,Grassland
10873,Water,Wetland,Cropland,NULL,Non_Wetland,NULL,Water,Water
10874,Water,Wetland,Cropland,NULL,Non_Wetland,Water,Water,Grassland
10875,Water,Wetland,Cropland,NULL,Non_Wetland,Water,Water,Water
10876,Water,Wetland,Cropland,NULL,Non_Wetland,Forest,Forest,Water
10877,Water,Wetland,Cropland,Non_Water,Non_Wetland,Forest,Forest,Cropland
10878,Water,Wetland,Cropland,Water,Non_Wetland,Water,Water,Water
10879,Water,Wetland,Wetland,NULL,Wetland,Shrubland,Water,Grassland
10880,Water,Wetland,Wetland,NULL,Wetland,Grassland,NULL,Grassland
10881,Water,Wetland,Wetland,NULL,Wetland,Grassland,Forest,Grassland
10882,Water,Wetland,Wetland,NULL,Wetland,Wetland,Water,Grassland
10883,Water,Wetland,Wetland,NULL,Wetland,Wetland,Water,Water
10884,Water,Wetland,Wetland,NULL,Wetland,Water,Bareland,Forest
10885,Water,Wetland,Wetland,NULL,Wetland,Water,Water,Grassland
10886,Water,Wetland,Wetland,NULL,Wetland,Water,Water,Wetland
10887,Water,Wetland,Wetland,NULL,Wetland,Water,Water,Bareland
10888,Water,Wetland,Wetland,NULL,Wetland,Water,Water,Water
10889,Water,Wetland,Wetland,NULL,Wetland,Water,Water,Forest
10890,Water,Wetland,Wetland,NULL,Wetland,Water,Forest,Grassland
10891,Water,Wetland,Wetland,NULL,Wetland,Water,Forest,Cropland
10892,Water,Wetland,Wetland,NULL,Wetland,Water,Forest,Water
10893,Water,Wetland,Wetland,NULL,Wetland,Water,Forest,Forest
10894,Water,Wetland,Wetland,NULL,Wetland,Forest,Shrubland,Grassland
10895,Water,Wetland,Wetland,NULL,Wetland,Forest,Bareland,Forest
10896,Water,Wetland,Wetland,NULL,Wetland,Forest,Water,Grassland
10897,Water,Wetland,Wetland,NULL,Wetland,Forest,Water,Wetland
10898,Water,Wetland,Wetland,NULL,Wetland,Forest,Water,Water
10899,Water,Wetland,Wetland,NULL,Wetland,Forest,Water,Forest
10900,Water,Wetland,Wetland,NULL,Wetland,Forest,Forest,Grassland
10901,Water,Wetland,Wetland,NULL,Wetland,Forest,Forest,Wetland
10902,Water,Wetland,Wetland,NULL,Wetland,Forest,Forest,Water
10903,Water,Wetland,Wetland,NULL,Wetland,Forest,Forest,Forest
10904,Water,Wetland,Wetland,Non_Water,Wetland,NULL,Grassland,Forest
10905,Water,Wetland,Wetland,Non_Water,Wetland,NULL,Bareland,Grassland
10906,Water,Wetland,Wetland,Non_Water,Wetland,NULL,Bareland,Forest
10907,Water,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
10908,Water,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Water
10909,Water,Wetland,Wetland,Non_Water,Wetland,Water,Bareland,Wetland
10910,Water,Wetland,Wetland,Non_Water,Wetland,Water,Water,Grassland
10911,Water,Wetland,Wetland,Non_Water,Wetland,Water,Water,Water
10912,Water,Wetland,Wetland,Non_Water,Wetland,Water,Water,Forest
10913,Water,Wetland,Wetland,Non_Water,Wetland,Forest,NULL,Forest
10914,Water,Wetland,Wetland,Non_Water,Wetland,Forest,Bareland,Forest
10915,Water,Wetland,Wetland,Non_Water,Wetland,Forest,Water,Grassland
10916,Water,Wetland,Wetland,Non_Water,Wetland,Forest,Water,Wetland
10917,Water,Wetland,Wetland,Non_Water,Wetland,Forest,Water,Water
10918,Water,Wetland,Wetland,Non_Water,Wetland,Forest,Forest,Grassland
10919,Water,Wetland,Wetland,Non_Water,Wetland,Forest,Forest,Wetland
10920,Water,Wetland,Wetland,Non_Water,Wetland,Forest,Forest,Forest
10921,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
10922,Water,Wetland,Wetland,Water,Wetland,Wetland,Water,Water
10923,Water,Wetland,Wetland,Water,Wetland,Water,Forest,Grassland
10924,Water,Wetland,Wetland,Water,Wetland,Forest,Bareland,Forest
10925,Water,Wetland,Wetland,Water,Wetland,Forest,Water,Grassland
10926,Water,Wetland,Wetland,Water,Wetland,Forest,Forest,Grassland
10927,Water,Wetland,Wetland,Water,Wetland,Forest,Forest,Water
10928,Water,Wetland,Wetland,Water,Wetland,Forest,Forest,Forest
10929,Water,Wetland,Bareland,NULL,Non_Wetland,Water,Water,Water
10930,Water,Wetland,Bareland,NULL,Non_Wetland,Forest,Forest,Grassland
10931,Water,Wetland,Bareland,Non_Water,Non_Wetland,Forest,NULL,Cropland
10932,Water,Wetland,Bareland,Water,Non_Wetland,Forest,NULL,Grassland
10933,Water,Wetland,Built-up,NULL,Non_Wetland,Water,Water,Water
10934,Water,Wetland,Built-up,NULL,Non_Wetland,Forest,Water,Grassland
10935,Water,Wetland,Built-up,Non_Water,Non_Wetland,Wetland,Forest,Wetland
10936,Water,Wetland,Water,NULL,Water,Grassland,Water,Water
10937,Water,Wetland,Water,NULL,Water,Wetland,Forest,Wetland
10938,Water,Wetland,Water,NULL,Water,Forest,Water,Water
10939,Water,Wetland,Water,Non_Water,Water,Forest,Water,Forest
10940,Water,Wetland,Water,Water,Water,NULL,Water,Grassland
10941,Water,Wetland,Water,Water,Water,NULL,Water,Water
10942,Water,Wetland,Water,Water,Water,Wetland,Water,Water
10943,Water,Wetland,Water,Water,Water,Water,Water,Grassland
10944,Water,Wetland,Water,Water,Water,Water,Water,Wetland
10945,Water,Wetland,Water,Water,Water,Water,Water,Water
10946,Water,Wetland,Water,Water,Water,Water,Water,Forest
10947,Water,Wetland,Water,Water,Water,Water,Forest,Wetland
10948,Water,Wetland,Water,Water,Water,Water,Forest,Forest
10949,Water,Wetland,Water,Water,Water,Forest,NULL,Grassland
10950,Water,Wetland,Water,Water,Water,Forest,Shrubland,Grassland
10951,Water,Wetland,Water,Water,Water,Forest,Water,Grassland
10952,Water,Wetland,Water,Water,Water,Forest,Water,Wetland
10953,Water,Wetland,Water,Water,Water,Forest,Water,Water
10954,Water,Wetland,Water,Water,Water,Forest,Water,Forest
10955,Water,Wetland,Water,Water,Water,Forest,Forest,Grassland
10956,Water,Wetland,Water,Water,Water,Forest,Forest,Forest
10957,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
10958,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
10959,Water,Wetland,Forest,NULL,Non_Wetland,NULL,Bareland,Grassland
10960,Water,Wetland,Forest,NULL,Non_Wetland,NULL,Water,Grassland
10961,Water,Wetland,Forest,NULL,Non_Wetland,NULL,Forest,NULL
10962,Water,Wetland,Forest,NULL,Non_Wetland,Shrubland,Forest,NULL
10963,Water,Wetland,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
10964,Water,Wetland,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
10965,Water,Wetland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
10966,Water,Wetland,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
10967,Water,Wetland,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
10968,Water,Wetland,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
10969,Water,Wetland,Forest,NULL,Non_Wetland,Water,NULL,Grassland
10970,Water,Wetland,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
10971,Water,Wetland,Forest,NULL,Non_Wetland,Water,Grassland,Water
10972,Water,Wetland,Forest,NULL,Non_Wetland,Water,Water,Grassland
10973,Water,Wetland,Forest,NULL,Non_Wetland,Water,Water,Wetland
10974,Water,Wetland,Forest,NULL,Non_Wetland,Water,Water,Water
10975,Water,Wetland,Forest,NULL,Non_Wetland,Water,Forest,NULL
10976,Water,Wetland,Forest,NULL,Non_Wetland,Water,Forest,Grassland
10977,Water,Wetland,Forest,NULL,Non_Wetland,Water,Forest,Cropland
10978,Water,Wetland,Forest,NULL,Non_Wetland,Water,Forest,Wetland
10979,Water,Wetland,Forest,NULL,Non_Wetland,Water,Forest,Water
10980,Water,Wetland,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
10981,Water,Wetland,Forest,NULL,Non_Wetland,Forest,NULL,Cropland
10982,Water,Wetland,Forest,NULL,Non_Wetland,Forest,NULL,Forest
10983,Water,Wetland,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
10984,Water,Wetland,Forest,NULL,Non_Wetland,Forest,Water,Grassland
10985,Water,Wetland,Forest,NULL,Non_Wetland,Forest,Water,Wetland
10986,Water,Wetland,Forest,NULL,Non_Wetland,Forest,Water,Water
10987,Water,Wetland,Forest,NULL,Non_Wetland,Forest,Water,Forest
10988,Water,Wetland,Forest,NULL,Non_Wetland,Forest,Forest,NULL
10989,Water,Wetland,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
10990,Water,Wetland,Forest,NULL,Non_Wetland,Forest,Forest,Cropland
10991,Water,Wetland,Forest,NULL,Non_Wetland,Forest,Forest,Wetland
10992,Water,Wetland,Forest,NULL,Non_Wetland,Forest,Forest,Water
10993,Water,Wetland,Forest,NULL,Non_Wetland,Forest,Forest,Forest
10994,Water,Wetland,Forest,Non_Water,Non_Wetland,NULL,Grassland,Forest
10995,Water,Wetland,Forest,Non_Water,Non_Wetland,NULL,Bareland,Forest
10996,Water,Wetland,Forest,Non_Water,Non_Wetland,Water,Forest,NULL
10997,Water,Wetland,Forest,Non_Water,Non_Wetland,Forest,Bareland,Wetland
10998,Water,Wetland,Forest,Non_Water,Non_Wetland,Forest,Bareland,Forest
10999,Water,Wetland,Forest,Non_Water,Non_Wetland,Forest,Water,Grassland
11000,Water,Wetland,Forest,Non_Water,Non_Wetland,Forest,Forest,NULL
11001,Water,Wetland,Forest,Non_Water,Non_Wetland,Forest,Forest,Grassland
11002,Water,Wetland,Forest,Non_Water,Non_Wetland,Forest,Forest,Wetland
11003,Water,Wetland,Forest,Non_Water,Non_Wetland,Forest,Forest,Water
11004,Water,Wetland,Forest,Water,Non_Wetland,Grassland,Forest,NULL
11005,Water,Wetland,Forest,Water,Non_Wetland,Grassland,Forest,Grassland
11006,Water,Wetland,Forest,Water,Non_Wetland,Water,Water,Wetland
11007,Water,Built-up,NULL,NULL,Non_Wetland,NULL,Forest,Wetland
11008,Water,Built-up,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
11009,Water,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
11010,Water,Built-up,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
11011,Water,Built-up,NULL,NULL,Non_Wetland,Water,NULL,Grassland
11012,Water,Built-up,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
11013,Water,Built-up,NULL,NULL,Non_Wetland,Water,Forest,Forest
11014,Water,Built-up,NULL,NULL,Non_Wetland,Forest,Forest,Forest
11015,Water,Built-up,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
11016,Water,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
11017,Water,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
11018,Water,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
11019,Water,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
11020,Water,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
11021,Water,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
11022,Water,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
11023,Water,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
11024,Water,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
11025,Water,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
11026,Water,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
11027,Water,Built-up,Shrubland,NULL,Non_Wetland,Water,Shrubland,NULL
11028,Water,Built-up,Shrubland,NULL,Non_Wetland,Water,Grassland,Water
11029,Water,Built-up,Shrubland,NULL,Non_Wetland,Water,Built-up,Grassland
11030,Water,Built-up,Shrubland,NULL,Non_Wetland,Water,Water,Forest
11031,Water,Built-up,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
11032,Water,Built-up,Shrubland,NULL,Non_Wetland,Forest,Bareland,Grassland
11033,Water,Built-up,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
11034,Water,Built-up,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
11035,Water,Built-up,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
11036,Water,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
11037,Water,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
11038,Water,Built-up,Cropland,Non_Water,Non_Wetland,Water,Grassland,Grassland
11039,Water,Built-up,Wetland,NULL,Wetland,Shrubland,NULL,Grassland
11040,Water,Built-up,Wetland,NULL,Wetland,Grassland,Shrubland,Grassland
11041,Water,Built-up,Wetland,NULL,Wetland,Grassland,Forest,Grassland
11042,Water,Built-up,Wetland,NULL,Wetland,Wetland,Shrubland,Wetland
11043,Water,Built-up,Wetland,NULL,Wetland,Wetland,Forest,Wetland
11044,Water,Built-up,Wetland,NULL,Wetland,Wetland,Forest,Water
11045,Water,Built-up,Wetland,NULL,Wetland,Bareland,NULL,Grassland
11046,Water,Built-up,Wetland,NULL,Wetland,Bareland,Shrubland,Grassland
11047,Water,Built-up,Wetland,NULL,Wetland,Bareland,Built-up,Grassland
11048,Water,Built-up,Wetland,NULL,Wetland,Bareland,Forest,Grassland
11049,Water,Built-up,Wetland,NULL,Wetland,Water,Water,Forest
11050,Water,Built-up,Wetland,NULL,Wetland,Water,Forest,Forest
11051,Water,Built-up,Wetland,NULL,Wetland,Forest,Bareland,Wetland
11052,Water,Built-up,Wetland,NULL,Wetland,Forest,Forest,Grassland
