Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MNB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MNB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MNB_M_R
690,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
691,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
692,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,Forest
693,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Water,Grassland
694,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Water,Wetland,Grassland
695,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Water,Wetland,Wetland
696,Grassland,NULL,Built-up,Water,Non_Wetland,Wetland,Wetland,Grassland
697,Grassland,NULL,Built-up,Water,Non_Wetland,Wetland,Wetland,Wetland
698,Grassland,NULL,Built-up,Water,Non_Wetland,Wetland,Water,Grassland
699,Grassland,NULL,Built-up,Water,Non_Wetland,Water,Wetland,Wetland
700,Grassland,NULL,Built-up,Water,Non_Wetland,Water,Water,Wetland
701,Grassland,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
702,Grassland,NULL,Water,Non_Water,Water,Wetland,Wetland,Grassland
703,Grassland,NULL,Water,Non_Water,Water,Wetland,Wetland,Wetland
704,Grassland,NULL,Water,Water,Water,Grassland,Wetland,Grassland
705,Grassland,NULL,Water,Water,Water,Grassland,Wetland,Wetland
706,Grassland,NULL,Water,Water,Water,Grassland,Water,Wetland
707,Grassland,NULL,Water,Water,Water,Wetland,Wetland,Grassland
708,Grassland,NULL,Water,Water,Water,Wetland,Wetland,Wetland
709,Grassland,NULL,Water,Water,Water,Wetland,Wetland,Water
710,Grassland,NULL,Water,Water,Water,Wetland,Wetland,Forest
711,Grassland,NULL,Water,Water,Water,Wetland,Water,Grassland
712,Grassland,NULL,Water,Water,Water,Wetland,Water,Wetland
713,Grassland,NULL,Water,Water,Water,Wetland,Water,Water
714,Grassland,NULL,Water,Water,Water,Water,Wetland,Grassland
715,Grassland,NULL,Water,Water,Water,Water,Wetland,Wetland
716,Grassland,NULL,Water,Water,Water,Water,Wetland,Water
717,Grassland,NULL,Water,Water,Water,Water,Water,Grassland
718,Grassland,NULL,Water,Water,Water,Water,Water,Wetland
719,Grassland,NULL,Water,Water,Water,Water,Water,Water
720,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
721,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
722,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
723,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
724,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
725,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
726,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
727,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
728,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
729,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
730,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
731,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
732,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
733,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
734,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
735,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
736,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
737,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
738,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Wetland
739,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
740,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Water,Grassland
741,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
742,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland,Grassland
743,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
744,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
745,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
746,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Grassland
747,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Wetland
748,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Forest
749,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water,Water,Wetland
750,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Wetland
751,Grassland,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
752,Grassland,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Wetland
753,Grassland,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
754,Grassland,NULL,Forest,Water,Non_Wetland,Wetland,Water,Grassland
755,Grassland,NULL,Forest,Water,Non_Wetland,Wetland,Water,Wetland
756,Grassland,NULL,Forest,Water,Non_Wetland,Water,Wetland,Grassland
757,Grassland,NULL,Forest,Water,Non_Wetland,Water,Wetland,Wetland
758,Grassland,NULL,Forest,Water,Non_Wetland,Water,Water,Grassland
759,Grassland,NULL,Forest,Water,Non_Wetland,Water,Water,Wetland
760,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
761,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
762,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
763,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
764,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
765,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
766,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
767,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
768,Grassland,Wetland,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
769,Grassland,Wetland,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
770,Grassland,Wetland,NULL,Water,Non_Wetland,Wetland,Water,Wetland
771,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
772,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
773,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
774,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
775,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
776,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
777,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Forest
778,Grassland,Wetland,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
779,Grassland,Wetland,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
780,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
781,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
782,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
783,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
784,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Water,Wetland
785,Grassland,Wetland,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
786,Grassland,Wetland,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
787,Grassland,Wetland,Grassland,Water,Non_Wetland,Water,Water,Grassland
788,Grassland,Wetland,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
789,Grassland,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Forest
790,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
791,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
792,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
793,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Grassland
794,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Wetland
795,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Forest
796,Grassland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Grassland
797,Grassland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Wetland
798,Grassland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
799,Grassland,Wetland,Wetland,NULL,Wetland,Water,Water,Grassland
800,Grassland,Wetland,Wetland,NULL,Wetland,Water,Water,Wetland
801,Grassland,Wetland,Wetland,NULL,Wetland,Water,Water,Forest
802,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
803,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
804,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
805,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
806,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
807,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
808,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
809,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
810,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Forest
811,Grassland,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
812,Grassland,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
813,Grassland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Grassland
814,Grassland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Wetland
815,Grassland,Wetland,Wetland,Water,Wetland,Grassland,Wetland,Grassland
816,Grassland,Wetland,Wetland,Water,Wetland,Grassland,Wetland,Wetland
817,Grassland,Wetland,Wetland,Water,Wetland,Grassland,Water,Grassland
818,Grassland,Wetland,Wetland,Water,Wetland,Grassland,Water,Wetland
819,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
820,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Wetland
821,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Forest
822,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Water,Grassland
823,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Water,Wetland
824,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Water,Forest
825,Grassland,Wetland,Wetland,Water,Wetland,Water,Wetland,Grassland
826,Grassland,Wetland,Wetland,Water,Wetland,Water,Wetland,Wetland
827,Grassland,Wetland,Wetland,Water,Wetland,Water,Wetland,Water
828,Grassland,Wetland,Wetland,Water,Wetland,Water,Water,Grassland
829,Grassland,Wetland,Wetland,Water,Wetland,Water,Water,Wetland
830,Grassland,Wetland,Wetland,Water,Wetland,Water,Water,Water
831,Grassland,Wetland,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
832,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
833,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
834,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
835,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland,Water,Grassland
836,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
837,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
838,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
839,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Water,Grassland
840,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Water,Forest
841,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Water,Water,Grassland
842,Grassland,Wetland,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
843,Grassland,Wetland,Bareland,Water,Non_Wetland,Wetland,Wetland,Wetland
844,Grassland,Wetland,Bareland,Water,Non_Wetland,Wetland,Water,Grassland
845,Grassland,Wetland,Bareland,Water,Non_Wetland,Wetland,Water,Wetland
846,Grassland,Wetland,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
847,Grassland,Wetland,Bareland,Water,Non_Wetland,Water,Wetland,Wetland
848,Grassland,Wetland,Bareland,Water,Non_Wetland,Water,Water,Grassland
849,Grassland,Wetland,Bareland,Water,Non_Wetland,Water,Water,Wetland
850,Grassland,Wetland,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
851,Grassland,Wetland,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
852,Grassland,Wetland,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
853,Grassland,Wetland,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,Forest
854,Grassland,Wetland,Built-up,Non_Water,Non_Wetland,Wetland,Water,Grassland
855,Grassland,Wetland,Built-up,Non_Water,Non_Wetland,Wetland,Water,Wetland
856,Grassland,Wetland,Built-up,Water,Non_Wetland,Wetland,Wetland,Wetland
857,Grassland,Wetland,Built-up,Water,Non_Wetland,Wetland,Water,Wetland
858,Grassland,Wetland,Water,NULL,Water,Wetland,Wetland,Grassland
859,Grassland,Wetland,Water,Non_Water,Water,Wetland,Wetland,Grassland
860,Grassland,Wetland,Water,Water,Water,Wetland,Wetland,Grassland
861,Grassland,Wetland,Water,Water,Water,Wetland,Wetland,Wetland
862,Grassland,Wetland,Water,Water,Water,Wetland,Wetland,Water
863,Grassland,Wetland,Water,Water,Water,Wetland,Wetland,Forest
864,Grassland,Wetland,Water,Water,Water,Wetland,Water,Grassland
865,Grassland,Wetland,Water,Water,Water,Wetland,Water,Wetland
866,Grassland,Wetland,Water,Water,Water,Water,Wetland,Grassland
867,Grassland,Wetland,Water,Water,Water,Water,Wetland,Wetland
868,Grassland,Wetland,Water,Water,Water,Water,Wetland,Water
869,Grassland,Wetland,Water,Water,Water,Water,Water,Grassland
870,Grassland,Wetland,Water,Water,Water,Water,Water,Wetland
871,Grassland,Wetland,Water,Water,Water,Water,Water,Water
872,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
873,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
874,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
875,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
876,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
877,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
878,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland,Water,Forest
879,Grassland,Wetland,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
880,Grassland,Wetland,Forest,NULL,Non_Wetland,Water,Wetland,Wetland
881,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
882,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
883,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
884,Grassland,Wetland,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
885,Grassland,Wetland,Forest,Water,Non_Wetland,Wetland,Wetland,Wetland
886,Grassland,Wetland,Forest,Water,Non_Wetland,Wetland,Water,Grassland
887,Grassland,Wetland,Forest,Water,Non_Wetland,Wetland,Water,Wetland
888,Grassland,Wetland,Forest,Water,Non_Wetland,Water,Wetland,Grassland
889,Grassland,Wetland,Forest,Water,Non_Wetland,Water,Wetland,Wetland
890,Grassland,Wetland,Forest,Water,Non_Wetland,Water,Water,Wetland
891,Grassland,Built-up,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
892,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
893,Grassland,Built-up,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
894,Grassland,Built-up,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
895,Grassland,Built-up,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
896,Grassland,Built-up,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
897,Grassland,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
898,Grassland,Water,NULL,Water,Non_Wetland,Water,Wetland,Grassland
899,Grassland,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
900,Grassland,Water,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
901,Grassland,Water,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
902,Grassland,Water,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
903,Grassland,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
904,Grassland,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
905,Grassland,Water,Wetland,NULL,Wetland,Water,Water,Grassland
906,Grassland,Water,Wetland,NULL,Wetland,Water,Water,Wetland
907,Grassland,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
908,Grassland,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
909,Grassland,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
910,Grassland,Water,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
911,Grassland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
912,Grassland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
913,Grassland,Water,Wetland,Non_Water,Wetland,Water,Water,Wetland
914,Grassland,Water,Wetland,Water,Wetland,Wetland,Wetland,Grassland
915,Grassland,Water,Wetland,Water,Wetland,Wetland,Wetland,Wetland
916,Grassland,Water,Wetland,Water,Wetland,Wetland,Wetland,Water
917,Grassland,Water,Wetland,Water,Wetland,Wetland,Wetland,Forest
918,Grassland,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
919,Grassland,Water,Wetland,Water,Wetland,Wetland,Water,Wetland
920,Grassland,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
921,Grassland,Water,Wetland,Water,Wetland,Water,Wetland,Wetland
922,Grassland,Water,Wetland,Water,Wetland,Water,Wetland,Forest
923,Grassland,Water,Wetland,Water,Wetland,Water,Water,Grassland
924,Grassland,Water,Wetland,Water,Wetland,Water,Water,Wetland
925,Grassland,Water,Wetland,Water,Wetland,Water,Water,Water
926,Grassland,Water,Bareland,NULL,Non_Wetland,Wetland,Water,Grassland
927,Grassland,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
928,Grassland,Water,Bareland,NULL,Non_Wetland,Water,Water,Grassland
929,Grassland,Water,Bareland,NULL,Non_Wetland,Water,Water,Wetland
930,Grassland,Water,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
931,Grassland,Water,Bareland,Water,Non_Wetland,Wetland,Wetland,Forest
932,Grassland,Water,Water,Non_Water,Water,Water,Wetland,Wetland
933,Grassland,Water,Water,Water,Water,Wetland,Wetland,Grassland
934,Grassland,Water,Water,Water,Water,Wetland,Wetland,Wetland
935,Grassland,Water,Water,Water,Water,Wetland,Wetland,Water
936,Grassland,Water,Water,Water,Water,Wetland,Water,Grassland
937,Grassland,Water,Water,Water,Water,Wetland,Water,Wetland
938,Grassland,Water,Water,Water,Water,Wetland,Water,Water
939,Grassland,Water,Water,Water,Water,Wetland,Water,Forest
940,Grassland,Water,Water,Water,Water,Water,Wetland,Wetland
941,Grassland,Water,Water,Water,Water,Water,Wetland,Water
942,Grassland,Water,Water,Water,Water,Water,Wetland,Forest
943,Grassland,Water,Water,Water,Water,Water,Water,Grassland
944,Grassland,Water,Water,Water,Water,Water,Water,Wetland
945,Grassland,Water,Water,Water,Water,Water,Water,Water
946,Grassland,Water,Water,Water,Water,Water,Water,Forest
947,Grassland,Water,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
948,Grassland,Water,Forest,Water,Non_Wetland,Water,Wetland,Grassland
949,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
950,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
951,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
952,Grassland,Forest,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
953,Grassland,Forest,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
954,Grassland,Forest,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
955,Grassland,Forest,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
956,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
957,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
958,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
959,Grassland,Forest,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
960,Grassland,Forest,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
961,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
962,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
963,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
964,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
965,Grassland,Forest,Wetland,NULL,Wetland,Water,Wetland,Grassland
966,Grassland,Forest,Wetland,NULL,Wetland,Water,Wetland,Wetland
967,Grassland,Forest,Wetland,NULL,Wetland,Water,Wetland,Forest
968,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
969,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
970,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
971,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
972,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
973,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland,Water,Forest
974,Grassland,Forest,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
975,Grassland,Forest,Wetland,Water,Wetland,Grassland,Wetland,Grassland
976,Grassland,Forest,Wetland,Water,Wetland,Wetland,Wetland,Grassland
977,Grassland,Forest,Wetland,Water,Wetland,Wetland,Wetland,Wetland
978,Grassland,Forest,Wetland,Water,Wetland,Wetland,Wetland,Water
979,Grassland,Forest,Wetland,Water,Wetland,Wetland,Wetland,Forest
980,Grassland,Forest,Wetland,Water,Wetland,Wetland,Water,Grassland
981,Grassland,Forest,Wetland,Water,Wetland,Wetland,Water,Wetland
982,Grassland,Forest,Wetland,Water,Wetland,Wetland,Water,Water
983,Grassland,Forest,Wetland,Water,Wetland,Wetland,Water,Forest
984,Grassland,Forest,Wetland,Water,Wetland,Water,Wetland,Grassland
985,Grassland,Forest,Wetland,Water,Wetland,Water,Wetland,Wetland
986,Grassland,Forest,Wetland,Water,Wetland,Water,Wetland,Water
987,Grassland,Forest,Wetland,Water,Wetland,Water,Water,Grassland
988,Grassland,Forest,Wetland,Water,Wetland,Water,Water,Wetland
989,Grassland,Forest,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
990,Grassland,Forest,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
991,Grassland,Forest,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
992,Grassland,Forest,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
993,Grassland,Forest,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
994,Grassland,Forest,Bareland,Water,Non_Wetland,Wetland,Wetland,Wetland
995,Grassland,Forest,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
996,Grassland,Forest,Built-up,Water,Non_Wetland,Wetland,Wetland,Grassland
997,Grassland,Forest,Water,NULL,Water,Wetland,Wetland,Grassland
998,Grassland,Forest,Water,NULL,Water,Water,Wetland,Wetland
999,Grassland,Forest,Water,Water,Water,Wetland,Wetland,Grassland
1000,Grassland,Forest,Water,Water,Water,Wetland,Wetland,Wetland
1001,Grassland,Forest,Water,Water,Water,Wetland,Wetland,Water
1002,Grassland,Forest,Water,Water,Water,Wetland,Wetland,Forest
1003,Grassland,Forest,Water,Water,Water,Wetland,Water,Grassland
1004,Grassland,Forest,Water,Water,Water,Water,Wetland,Grassland
1005,Grassland,Forest,Water,Water,Water,Water,Wetland,Wetland
1006,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1007,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1008,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
1009,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1010,Grassland,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
1011,Grassland,Forest,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1012,Grassland,Forest,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1013,Grassland,Forest,Forest,Non_Water,Non_Wetland,Water,Wetland,Grassland
1014,Grassland,Forest,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
1015,Grassland,Forest,Forest,Water,Non_Wetland,Wetland,Wetland,Wetland
1016,Grassland,Forest,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
1017,Grassland,Forest,Forest,Water,Non_Wetland,Wetland,Water,Wetland
1018,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
1019,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
1020,Cropland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1021,Cropland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
1022,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1023,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
1024,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
1025,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1026,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1027,Cropland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
1028,Cropland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
1029,Cropland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
1030,Cropland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
1031,Cropland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
1032,Cropland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
1033,Cropland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
1034,Cropland,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
