Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NML_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NML_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NML_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NML_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NML_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NML_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NML_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NML_M_R
363,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
364,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
365,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
366,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
367,Forest,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Water
368,Forest,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Forest
369,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
370,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
371,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
372,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
373,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Bareland
374,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
375,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
376,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
377,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
378,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
379,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
380,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Wetland
381,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Bareland
382,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Water
383,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
384,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
385,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Water
386,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
387,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
388,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
389,Forest,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Forest
390,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
391,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
392,Forest,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
393,Forest,Forest,Built-up,Water,Non_Wetland,NULL,NULL,Forest
394,Forest,Forest,Water,NULL,Water,NULL,NULL,Grassland
395,Forest,Forest,Water,NULL,Water,NULL,NULL,Wetland
396,Forest,Forest,Water,NULL,Water,NULL,NULL,Bareland
397,Forest,Forest,Water,NULL,Water,NULL,NULL,Water
398,Forest,Forest,Water,NULL,Water,NULL,NULL,Forest
399,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
400,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Water
401,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Forest
402,Forest,Forest,Water,Water,Water,NULL,NULL,Grassland
403,Forest,Forest,Water,Water,Water,NULL,NULL,Wetland
404,Forest,Forest,Water,Water,Water,NULL,NULL,Bareland
405,Forest,Forest,Water,Water,Water,NULL,NULL,Water
406,Forest,Forest,Water,Water,Water,NULL,NULL,Forest
407,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
408,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
409,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
410,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
411,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
412,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
413,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
414,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
415,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
416,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
417,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
418,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
