Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NZD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NZD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NZD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NZD_M_R
351,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
352,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
353,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
354,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
355,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
356,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
357,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
358,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
359,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
360,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
361,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
362,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
363,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
364,Wetland,NULL,Water,Water,Water,NULL,NULL,Grassland
365,Wetland,NULL,Water,Water,Water,NULL,NULL,Bareland
366,Wetland,NULL,Water,Water,Water,NULL,NULL,Water
367,Wetland,NULL,Water,Water,Water,NULL,NULL,Forest
368,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
369,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
370,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
371,Wetland,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
372,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
373,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
374,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
375,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Bareland
376,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
377,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
378,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
379,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
380,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
381,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Water
382,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Forest
383,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Water
384,Wetland,Wetland,Water,Water,Water,NULL,NULL,Grassland
385,Wetland,Wetland,Water,Water,Water,NULL,NULL,Wetland
386,Wetland,Wetland,Water,Water,Water,NULL,NULL,Bareland
387,Wetland,Wetland,Water,Water,Water,NULL,NULL,Water
388,Wetland,Wetland,Water,Water,Water,NULL,NULL,Forest
389,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
390,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
391,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
392,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
393,Wetland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
394,Wetland,Bareland,Water,Water,Water,NULL,NULL,Water
395,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
396,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
397,Wetland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
398,Wetland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
399,Wetland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
400,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
401,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
402,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
403,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
404,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
405,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
406,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
407,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
408,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
409,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
410,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
411,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Water
412,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
413,Wetland,Water,Water,NULL,Water,NULL,NULL,Water
414,Wetland,Water,Water,NULL,Water,NULL,NULL,Forest
415,Wetland,Water,Water,Non_Water,Water,NULL,NULL,Bareland
416,Wetland,Water,Water,Non_Water,Water,NULL,NULL,Water
417,Wetland,Water,Water,Non_Water,Water,NULL,NULL,Forest
418,Wetland,Water,Water,Water,Water,NULL,NULL,Grassland
419,Wetland,Water,Water,Water,Water,NULL,NULL,Wetland
420,Wetland,Water,Water,Water,Water,NULL,NULL,Bareland
421,Wetland,Water,Water,Water,Water,NULL,NULL,Water
422,Wetland,Water,Water,Water,Water,NULL,NULL,Forest
423,Wetland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
424,Wetland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
425,Wetland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
426,Wetland,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
427,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
428,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
429,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
430,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
431,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
432,Bareland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
433,Bareland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
434,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
435,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
436,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
437,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
438,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
439,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
440,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
441,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
442,Bareland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
443,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
444,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
445,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
446,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
447,Bareland,NULL,Water,NULL,Water,NULL,NULL,Grassland
448,Bareland,NULL,Water,NULL,Water,NULL,NULL,Bareland
449,Bareland,NULL,Water,Water,Water,NULL,NULL,Bareland
450,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
451,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
452,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
453,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
454,Bareland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
455,Bareland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
456,Bareland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
457,Bareland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
458,Bareland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
459,Bareland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
460,Bareland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
461,Bareland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
462,Bareland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
463,Bareland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
464,Bareland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
465,Bareland,Wetland,Water,NULL,Water,NULL,NULL,Bareland
466,Bareland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
467,Bareland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
468,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
469,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
470,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Water
471,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
472,Bareland,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
473,Bareland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
474,Bareland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
475,Bareland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
476,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
477,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
478,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
479,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
480,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
481,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
482,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
483,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
484,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
485,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
486,Bareland,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
487,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
488,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
489,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
490,Bareland,Bareland,Water,NULL,Water,NULL,NULL,Bareland
491,Bareland,Bareland,Water,NULL,Water,NULL,NULL,Water
492,Bareland,Bareland,Water,Non_Water,Water,NULL,NULL,Bareland
493,Bareland,Bareland,Water,Water,Water,NULL,NULL,Grassland
494,Bareland,Bareland,Water,Water,Water,NULL,NULL,Bareland
495,Bareland,Bareland,Water,Water,Water,NULL,NULL,Water
496,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
497,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
498,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Water
499,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
500,Bareland,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
501,Bareland,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
502,Bareland,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
503,Bareland,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
504,Bareland,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Forest
505,Bareland,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
506,Bareland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
507,Bareland,Water,NULL,Water,Non_Wetland,NULL,NULL,Bareland
508,Bareland,Water,NULL,Water,Non_Wetland,NULL,NULL,Forest
509,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
510,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
511,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
512,Bareland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
513,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
514,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
515,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
516,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
517,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
518,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Water
519,Bareland,Water,Water,NULL,Water,NULL,NULL,Grassland
520,Bareland,Water,Water,NULL,Water,NULL,NULL,Water
521,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Water
522,Bareland,Water,Water,Water,Water,NULL,NULL,Bareland
523,Bareland,Water,Water,Water,Water,NULL,NULL,Water
524,Bareland,Water,Water,Water,Water,NULL,NULL,Forest
525,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
526,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
527,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
528,Bareland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
529,Bareland,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
530,Bareland,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
531,Bareland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
532,Bareland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
533,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
534,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
535,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
536,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
537,Bareland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
538,Bareland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
539,Bareland,Forest,Water,Water,Water,NULL,NULL,Forest
540,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
541,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
542,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
543,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
544,Bareland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Bareland
545,Bareland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
546,Water,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
547,Water,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
548,Water,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
549,Water,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
550,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
551,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
552,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
553,Water,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
554,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
555,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
556,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
557,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
558,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
559,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
560,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
561,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
562,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
563,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
564,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
565,Water,NULL,Water,NULL,Water,NULL,NULL,Grassland
566,Water,NULL,Water,NULL,Water,NULL,NULL,Bareland
567,Water,NULL,Water,NULL,Water,NULL,NULL,Forest
568,Water,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
569,Water,NULL,Water,Non_Water,Water,NULL,NULL,Water
570,Water,NULL,Water,Non_Water,Water,NULL,NULL,Forest
571,Water,NULL,Water,Water,Water,NULL,NULL,Grassland
572,Water,NULL,Water,Water,Water,NULL,NULL,Wetland
573,Water,NULL,Water,Water,Water,NULL,NULL,Bareland
574,Water,NULL,Water,Water,Water,NULL,NULL,Water
575,Water,NULL,Water,Water,Water,NULL,NULL,Forest
576,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
577,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
578,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
579,Water,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
580,Water,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
581,Water,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
582,Water,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
583,Water,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
584,Water,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
585,Water,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
586,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
587,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Bareland
588,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
589,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
590,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
591,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
592,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
593,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
594,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Bareland
595,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
596,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
597,Water,Wetland,Water,NULL,Water,NULL,NULL,Grassland
598,Water,Wetland,Water,NULL,Water,NULL,NULL,Bareland
599,Water,Wetland,Water,NULL,Water,NULL,NULL,Water
600,Water,Wetland,Water,NULL,Water,NULL,NULL,Forest
601,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Water
602,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
603,Water,Wetland,Water,Water,Water,NULL,NULL,Grassland
604,Water,Wetland,Water,Water,Water,NULL,NULL,Wetland
605,Water,Wetland,Water,Water,Water,NULL,NULL,Bareland
606,Water,Wetland,Water,Water,Water,NULL,NULL,Water
607,Water,Wetland,Water,Water,Water,NULL,NULL,Forest
608,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
609,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
610,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
611,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
612,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
613,Water,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
614,Water,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
615,Water,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
616,Water,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
617,Water,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
618,Water,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
619,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
620,Water,Bareland,Water,Water,Water,NULL,NULL,Grassland
621,Water,Bareland,Water,Water,Water,NULL,NULL,Water
622,Water,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
623,Water,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
624,Water,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
625,Water,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
626,Water,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
627,Water,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
628,Water,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
629,Water,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Grassland
630,Water,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Bareland
631,Water,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
632,Water,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
633,Water,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
634,Water,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
635,Water,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
636,Water,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
637,Water,Built-up,Wetland,NULL,Wetland,NULL,NULL,Bareland
638,Water,Built-up,Wetland,NULL,Wetland,NULL,NULL,Water
639,Water,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
640,Water,Built-up,Wetland,Water,Wetland,NULL,NULL,Grassland
641,Water,Built-up,Water,Water,Water,NULL,NULL,Forest
642,Water,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
643,Water,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
644,Water,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
645,Water,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Bareland
646,Water,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Forest
647,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
648,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
649,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
650,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
651,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
652,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
653,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
654,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Grassland
655,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
656,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Forest
657,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
658,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
659,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
660,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
661,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
662,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
663,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
664,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
665,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
666,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
667,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
668,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
669,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
670,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
671,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
672,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
673,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
674,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Water
675,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
676,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
677,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
678,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
679,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
680,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
681,Water,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
682,Water,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
683,Water,Water,Wetland,Water,Wetland,NULL,NULL,Water
684,Water,Water,Wetland,Water,Wetland,NULL,NULL,Forest
685,Water,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
686,Water,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
687,Water,Water,Water,NULL,Water,NULL,NULL,Grassland
688,Water,Water,Water,NULL,Water,NULL,NULL,Wetland
689,Water,Water,Water,NULL,Water,NULL,NULL,Bareland
690,Water,Water,Water,NULL,Water,NULL,NULL,Water
691,Water,Water,Water,NULL,Water,NULL,NULL,Forest
692,Water,Water,Water,Non_Water,Water,NULL,NULL,Grassland
693,Water,Water,Water,Non_Water,Water,NULL,NULL,Wetland
694,Water,Water,Water,Non_Water,Water,NULL,NULL,Bareland
695,Water,Water,Water,Non_Water,Water,NULL,NULL,Water
696,Water,Water,Water,Non_Water,Water,NULL,NULL,Forest
697,Water,Water,Water,Water,Water,NULL,NULL,Grassland
698,Water,Water,Water,Water,Water,NULL,NULL,Wetland
699,Water,Water,Water,Water,Water,NULL,NULL,Bareland
700,Water,Water,Water,Water,Water,NULL,NULL,Water
701,Water,Water,Water,Water,Water,NULL,NULL,Forest
702,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
703,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
704,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
705,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
706,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
707,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
708,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
709,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
710,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
711,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
712,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
713,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
714,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
715,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
716,Water,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
717,Water,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
718,Water,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
719,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
