Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MVP_M_R
1217,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
1218,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
1219,NULL,Forest,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
1220,NULL,Forest,Grassland,Water,Non_Wetland,Bareland,Bareland,Bareland
1221,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1222,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
1223,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1224,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Water,Forest
1225,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1226,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
1227,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Bareland,NULL
1228,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1229,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1230,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Bareland,Water
1231,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
1232,NULL,Forest,Cropland,Water,Non_Wetland,Bareland,Bareland,Grassland
1233,NULL,Forest,Cropland,Water,Non_Wetland,Bareland,Bareland,Water
1234,NULL,Forest,Cropland,Water,Non_Wetland,Bareland,Bareland,Forest
1235,NULL,Forest,Wetland,NULL,Wetland,NULL,Wetland,Forest
1236,NULL,Forest,Wetland,NULL,Wetland,NULL,Bareland,Forest
1237,NULL,Forest,Wetland,NULL,Wetland,Grassland,Grassland,Forest
1238,NULL,Forest,Wetland,NULL,Wetland,Grassland,Bareland,Forest
1239,NULL,Forest,Wetland,NULL,Wetland,Grassland,Forest,Forest
1240,NULL,Forest,Wetland,NULL,Wetland,Wetland,Grassland,Forest
1241,NULL,Forest,Wetland,NULL,Wetland,Bareland,Wetland,Forest
1242,NULL,Forest,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
1243,NULL,Forest,Wetland,NULL,Wetland,Bareland,Bareland,Bareland
1244,NULL,Forest,Wetland,NULL,Wetland,Bareland,Bareland,Forest
1245,NULL,Forest,Wetland,NULL,Wetland,Bareland,Forest,Bareland
1246,NULL,Forest,Wetland,NULL,Wetland,Forest,Bareland,Forest
1247,NULL,Forest,Wetland,Non_Water,Wetland,Bareland,Bareland,Grassland
1248,NULL,Forest,Wetland,Non_Water,Wetland,Bareland,Bareland,Forest
1249,NULL,Forest,Wetland,Non_Water,Wetland,Water,Water,Water
1250,NULL,Forest,Wetland,Water,Wetland,Bareland,Bareland,Bareland
1251,NULL,Forest,Wetland,Water,Wetland,Bareland,Bareland,Forest
1252,NULL,Forest,Wetland,Water,Wetland,Water,Water,Water
1253,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
1254,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
1255,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland,Wetland,Forest
1256,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1257,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1258,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland,Bareland,Forest
1259,NULL,Forest,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
1260,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1261,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
1262,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
1263,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
1264,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
1265,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
1266,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
1267,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
1268,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
1269,NULL,Forest,Water,NULL,Water,Bareland,Bareland,Bareland
1270,NULL,Forest,Water,NULL,Water,Bareland,Bareland,Forest
1271,NULL,Forest,Water,NULL,Water,Water,Water,Forest
1272,NULL,Forest,Water,Water,Water,Bareland,Bareland,Grassland
1273,NULL,Forest,Water,Water,Water,Bareland,Bareland,Forest
1274,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
1275,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
1276,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
1277,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1278,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
1279,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1280,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1281,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1282,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
1283,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1284,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
1285,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1286,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1287,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1288,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
1289,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
1290,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
1291,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
1292,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1293,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
1294,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1295,NULL,Forest,Forest,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
1296,NULL,Forest,Forest,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
1297,NULL,Forest,Forest,Water,Non_Wetland,Bareland,Bareland,Forest
1298,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
1299,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1300,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
1301,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
1302,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
1303,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1304,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1305,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
1306,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
1307,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1308,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
1309,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
1310,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
1311,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
1312,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
1313,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
1314,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
1315,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
1316,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
1317,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1318,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
1319,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
1320,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
1321,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1322,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
1323,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
1324,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
1325,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
1326,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
1327,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
1328,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
1329,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
1330,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
1331,Grassland,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
1332,Grassland,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
1333,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
1334,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
1335,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
1336,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
1337,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1338,Grassland,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
1339,Grassland,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
1340,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1341,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
1342,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
1343,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
1344,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1345,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1346,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1347,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
1348,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1349,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1350,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1351,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
1352,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
1353,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
1354,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1355,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1356,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
1357,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1358,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
1359,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
1360,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1361,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
1362,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
1363,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1364,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
1365,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1366,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
1367,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Grassland
1368,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1369,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
1370,Grassland,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
1371,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1372,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
1373,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
1374,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1375,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
1376,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1377,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1378,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1379,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
1380,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
1381,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
1382,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1383,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
1384,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1385,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1386,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
1387,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1388,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1389,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
1390,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
1391,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
1392,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1393,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
1394,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
1395,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
1396,Grassland,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Grassland
1397,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1398,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
1399,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
1400,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
1401,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1402,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1403,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
1404,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1405,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
1406,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1407,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1408,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
1409,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
1410,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
1411,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
1412,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1413,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1414,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
1415,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
1416,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
1417,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1418,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1419,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
1420,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1421,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1422,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
1423,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1424,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
1425,Grassland,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Grassland
1426,Grassland,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Water
1427,Grassland,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
1428,Grassland,NULL,Wetland,NULL,Wetland,NULL,Bareland,Forest
1429,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Grassland
1430,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Forest
1431,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
1432,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
1433,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
1434,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
1435,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Forest
1436,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
1437,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
1438,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
1439,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
1440,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
1441,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
1442,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
1443,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
1444,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
1445,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
1446,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
1447,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Bareland
1448,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Forest
1449,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Water,Grassland
1450,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Forest,Forest
1451,Grassland,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
1452,Grassland,NULL,Wetland,NULL,Wetland,Forest,Bareland,Forest
1453,Grassland,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
1454,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Bareland,Forest
1455,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Bareland,Forest
1456,Grassland,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Grassland
1457,Grassland,NULL,Wetland,Water,Wetland,Bareland,Bareland,Grassland
1458,Grassland,NULL,Wetland,Water,Wetland,Bareland,Bareland,Bareland
1459,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1460,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
1461,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Forest
1462,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Bareland,Grassland
1463,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,Bareland,Forest
1464,Grassland,NULL,Bareland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1465,Grassland,NULL,Bareland,NULL,Non_Wetland,Shrubland,Grassland,Forest
1466,Grassland,NULL,Bareland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
1467,Grassland,NULL,Bareland,NULL,Non_Wetland,Shrubland,Forest,Grassland
1468,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1469,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
1470,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1471,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Forest
1472,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
1473,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
1474,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1475,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1476,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
1477,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1478,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1479,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest,Grassland,Forest
1480,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
1481,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
1482,Grassland,NULL,Bareland,Water,Non_Wetland,Bareland,Bareland,Grassland
1483,Grassland,NULL,Bareland,Water,Non_Wetland,Bareland,Bareland,Bareland
1484,Grassland,NULL,Bareland,Water,Non_Wetland,Bareland,Bareland,Water
1485,Grassland,NULL,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1486,Grassland,NULL,Built-up,NULL,Non_Wetland,Shrubland,Wetland,Grassland
1487,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
1488,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
1489,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
1490,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
1491,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
1492,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
1493,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
1494,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
1495,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
1496,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
1497,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
1498,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
1499,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
1500,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
1501,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
1502,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
1503,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up,Wetland,Grassland
1504,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
1505,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
1506,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1507,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
1508,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Forest
1509,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
1510,Grassland,NULL,Built-up,Water,Non_Wetland,Bareland,Bareland,Grassland
1511,Grassland,NULL,Built-up,Water,Non_Wetland,Bareland,Bareland,Bareland
1512,Grassland,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
1513,Grassland,NULL,Water,NULL,Water,Grassland,Bareland,Grassland
1514,Grassland,NULL,Water,Water,Water,Bareland,Bareland,Grassland
1515,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
1516,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
1517,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
1518,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1519,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
1520,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
1521,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,Grassland
1522,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,Forest
1523,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1524,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1525,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Bareland
1526,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Built-up
1527,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1528,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1529,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1530,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
1531,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
1532,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
1533,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1534,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
1535,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1536,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
1537,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1538,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
