Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LPN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LPN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LPN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LPN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LPN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LPN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LPN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LPN_M_R
1141,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Wetland
1142,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Forest
1143,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
1144,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1145,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
1146,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1147,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
1148,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1149,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
1150,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
1151,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
1152,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
1153,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
1154,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
1155,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1156,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
1157,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
1158,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
1159,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1160,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
1161,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
1162,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
1163,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1164,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
1165,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
1166,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
1167,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
1168,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
1169,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1170,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
1171,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
1172,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
1173,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
1174,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
1175,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
1176,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1177,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
1178,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1179,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
1180,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
1181,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
1182,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
1183,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
1184,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
1185,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
1186,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
1187,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
1188,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
1189,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
1190,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
1191,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
1192,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
1193,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
1194,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
1195,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
1196,NULL,Cropland,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
1197,NULL,Cropland,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
1198,NULL,Cropland,NULL,NULL,Non_Wetland,Water,Grassland,Forest
1199,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
1200,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Forest
1201,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1202,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
1203,NULL,Cropland,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
1204,NULL,Cropland,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
1205,NULL,Cropland,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
1206,NULL,Cropland,NULL,Water,Non_Wetland,Bareland,Water,Built-up
1207,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
1208,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1209,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
1210,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
1211,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
1212,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1213,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
1214,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
1215,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
1216,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
1217,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
1218,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
1219,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
1220,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
1221,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1222,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
1223,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
1224,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
1225,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
1226,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1227,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1228,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
1229,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
1230,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1231,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
1232,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1233,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1234,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1235,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
1236,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
1237,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
1238,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
1239,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
1240,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
1241,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
1242,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
1243,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
1244,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
1245,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1246,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
1247,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
1248,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
1249,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
1250,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1251,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
1252,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
1253,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
1254,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1255,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
1256,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
1257,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
1258,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
1259,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
1260,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1261,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
1262,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
1263,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
1264,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
1265,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
1266,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1267,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
1268,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1269,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
1270,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
1271,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
1272,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
1273,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
1274,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
1275,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
1276,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
1277,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
1278,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
1279,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
1280,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Built-up
1281,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1282,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
1283,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
1284,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
1285,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
1286,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
1287,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1288,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
1289,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
1290,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
1291,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water,Shrubland,Grassland
1292,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water,Shrubland,Bareland
1293,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water,Shrubland,Forest
1294,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
1295,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
1296,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
1297,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
1298,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
1299,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
1300,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
1301,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
1302,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
1303,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1304,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1305,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
1306,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
1307,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
1308,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
1309,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
1310,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Forest
1311,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
1312,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
1313,NULL,Cropland,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
1314,NULL,Cropland,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
1315,NULL,Cropland,Shrubland,Water,Non_Wetland,Bareland,Bareland,Water
1316,NULL,Cropland,Shrubland,Water,Non_Wetland,Built-up,Built-up,Grassland
1317,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
1318,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
1319,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1320,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
1321,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
1322,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
1323,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Grassland,NULL
1324,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1325,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
1326,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
1327,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
1328,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
1329,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
1330,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
1331,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Forest
1332,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
1333,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
1334,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
1335,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1336,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
1337,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
1338,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
1339,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1340,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1341,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
1342,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
1343,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1344,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Water
1345,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1346,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1347,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1348,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Cropland
1349,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Bareland
1350,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
1351,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
1352,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
1353,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Built-up,Bareland
1354,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Built-up,Built-up
1355,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
1356,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
1357,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
1358,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
1359,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
1360,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,NULL,Cropland
1361,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,NULL,Bareland
1362,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,NULL,Built-up
1363,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,NULL,Forest
1364,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1365,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,Grassland,Cropland
1366,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,Grassland,Bareland
1367,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,Grassland,Built-up
1368,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
1369,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,Bareland,Grassland
1370,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,Bareland,Cropland
1371,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,Bareland,Bareland
1372,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,Forest,Grassland
1373,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
1374,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1375,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
1376,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
1377,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,NULL,Cropland
1378,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,NULL,Bareland
1379,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,NULL,Built-up
1380,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1381,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
1382,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
1383,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Forest
1384,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1385,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Cropland
1386,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
1387,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
1388,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Water
1389,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
1390,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1391,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Wetland,Cropland
1392,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1393,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Cropland
1394,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1395,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
1396,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
1397,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
1398,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Built-up,Cropland
1399,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Built-up,Built-up
1400,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
1401,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
1402,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Water,Bareland
1403,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Water,Built-up
1404,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Water,Water
1405,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
1406,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Forest,Built-up
1407,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
1408,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
1409,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up,Shrubland,Built-up
1410,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1411,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up,Grassland,Built-up
1412,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
1413,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
1414,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up,Bareland,Built-up
1415,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
1416,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1417,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up,Built-up,Cropland
1418,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up,Built-up,Bareland
1419,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
1420,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
1421,NULL,Cropland,Grassland,NULL,Non_Wetland,Water,Shrubland,Grassland
1422,NULL,Cropland,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
1423,NULL,Cropland,Grassland,NULL,Non_Wetland,Water,Grassland,Wetland
1424,NULL,Cropland,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
1425,NULL,Cropland,Grassland,NULL,Non_Wetland,Water,Bareland,Grassland
1426,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
1427,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
1428,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
1429,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
1430,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
1431,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1432,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
1433,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1434,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
1435,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Built-up
1436,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
1437,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
1438,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
1439,NULL,Cropland,Grassland,Water,Non_Wetland,Shrubland,Grassland,Grassland
1440,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
1441,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
1442,NULL,Cropland,Grassland,Water,Non_Wetland,Bareland,Grassland,Grassland
1443,NULL,Cropland,Grassland,Water,Non_Wetland,Bareland,Wetland,Grassland
1444,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
1445,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,Cropland
1446,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1447,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
1448,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1449,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
1450,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
1451,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
