Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20PNQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PNQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PNQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PNQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PNQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20PNQ_M_R
431,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
432,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
433,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
434,NULL,Water,Shrubland,NULL,Non_Wetland,Built-up
435,NULL,Water,Shrubland,NULL,Non_Wetland,Water
436,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
437,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
438,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland
439,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland
440,NULL,Water,Shrubland,Non_Water,Non_Wetland,Built-up
441,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
442,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
443,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
444,NULL,Water,Shrubland,Water,Non_Wetland,Wetland
445,NULL,Water,Shrubland,Water,Non_Wetland,Water
446,NULL,Water,Shrubland,Water,Non_Wetland,Forest
447,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
448,NULL,Water,Grassland,NULL,Non_Wetland,Wetland
449,NULL,Water,Grassland,NULL,Non_Wetland,Forest
450,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland
451,NULL,Water,Grassland,Water,Non_Wetland,Grassland
452,NULL,Water,Grassland,Water,Non_Wetland,Wetland
453,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
454,NULL,Water,Wetland,NULL,Wetland,Grassland
455,NULL,Water,Wetland,NULL,Wetland,Wetland
456,NULL,Water,Wetland,NULL,Wetland,Built-up
457,NULL,Water,Wetland,NULL,Wetland,Water
458,NULL,Water,Wetland,NULL,Wetland,Forest
459,NULL,Water,Wetland,Non_Water,Wetland,Grassland
460,NULL,Water,Wetland,Non_Water,Wetland,Wetland
461,NULL,Water,Wetland,Non_Water,Wetland,Bareland
462,NULL,Water,Wetland,Non_Water,Wetland,Forest
463,NULL,Water,Wetland,Water,Wetland,Grassland
464,NULL,Water,Wetland,Water,Wetland,Wetland
465,NULL,Water,Wetland,Water,Wetland,Bareland
466,NULL,Water,Wetland,Water,Wetland,Water
467,NULL,Water,Wetland,Water,Wetland,Forest
468,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
469,NULL,Water,Built-up,NULL,Non_Wetland,Wetland
470,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
471,NULL,Water,Built-up,NULL,Non_Wetland,Built-up
472,NULL,Water,Built-up,NULL,Non_Wetland,Forest
473,NULL,Water,Built-up,Non_Water,Non_Wetland,Grassland
474,NULL,Water,Built-up,Non_Water,Non_Wetland,Built-up
475,NULL,Water,Built-up,Water,Non_Wetland,Wetland
476,NULL,Water,Built-up,Water,Non_Wetland,Bareland
477,NULL,Water,Built-up,Water,Non_Wetland,Built-up
478,NULL,Water,Built-up,Water,Non_Wetland,Water
479,NULL,Water,Built-up,Water,Non_Wetland,Forest
480,NULL,Water,Water,NULL,Water,Grassland
481,NULL,Water,Water,NULL,Water,Wetland
482,NULL,Water,Water,NULL,Water,Bareland
483,NULL,Water,Water,Non_Water,Water,Grassland
484,NULL,Water,Water,Non_Water,Water,Wetland
485,NULL,Water,Water,Non_Water,Water,Built-up
486,NULL,Water,Water,Water,Water,Grassland
487,NULL,Water,Water,Water,Water,Wetland
488,NULL,Water,Water,Water,Water,Bareland
489,NULL,Water,Water,Water,Water,Built-up
490,NULL,Water,Water,Water,Water,Water
491,NULL,Water,Water,Water,Water,Forest
492,NULL,Water,Forest,NULL,Non_Wetland,Grassland
493,NULL,Water,Forest,NULL,Non_Wetland,Wetland
494,NULL,Water,Forest,NULL,Non_Wetland,Forest
495,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland
496,NULL,Water,Forest,Water,Non_Wetland,Grassland
497,NULL,Water,Forest,Water,Non_Wetland,Wetland
498,NULL,Water,Forest,Water,Non_Wetland,Bareland
499,NULL,Water,Forest,Water,Non_Wetland,Forest
500,NULL,Forest,NULL,NULL,Non_Wetland,NULL
501,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
502,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
503,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
504,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
505,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
506,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
507,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
508,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
509,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
510,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
511,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
512,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
513,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
514,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland
515,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
516,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
517,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
518,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
519,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
520,NULL,Forest,Wetland,NULL,Wetland,Grassland
521,NULL,Forest,Wetland,NULL,Wetland,Wetland
522,NULL,Forest,Wetland,NULL,Wetland,Forest
523,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
524,NULL,Forest,Wetland,Non_Water,Wetland,Wetland
525,NULL,Forest,Wetland,Non_Water,Wetland,Forest
526,NULL,Forest,Wetland,Water,Wetland,Grassland
527,NULL,Forest,Wetland,Water,Wetland,Wetland
528,NULL,Forest,Wetland,Water,Wetland,Bareland
529,NULL,Forest,Wetland,Water,Wetland,Forest
530,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
531,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland
532,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
533,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
534,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
535,NULL,Forest,Built-up,NULL,Non_Wetland,Wetland
536,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
537,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
538,NULL,Forest,Built-up,Water,Non_Wetland,Grassland
539,NULL,Forest,Water,Water,Water,Wetland
540,NULL,Forest,Forest,NULL,Non_Wetland,NULL
541,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
542,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
543,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
544,NULL,Forest,Forest,NULL,Non_Wetland,Forest
545,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
546,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
547,NULL,Forest,Forest,Water,Non_Wetland,Forest
548,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
549,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
550,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
551,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland
552,Grassland,NULL,NULL,NULL,Non_Wetland,Built-up
553,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
554,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
555,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
556,Grassland,NULL,NULL,Non_Water,Non_Wetland,Forest
557,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
558,Grassland,NULL,NULL,Water,Non_Wetland,Wetland
559,Grassland,NULL,NULL,Water,Non_Wetland,Water
560,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
561,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
562,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
563,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
564,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
565,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
566,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water
567,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
568,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
569,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
570,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
571,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
572,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
573,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water
574,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
575,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL
576,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
577,Grassland,NULL,Shrubland,Water,Non_Wetland,Cropland
578,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
579,Grassland,NULL,Shrubland,Water,Non_Wetland,Bareland
580,Grassland,NULL,Shrubland,Water,Non_Wetland,Built-up
581,Grassland,NULL,Shrubland,Water,Non_Wetland,Water
582,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
583,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
584,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
585,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
586,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
587,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
588,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up
589,Grassland,NULL,Grassland,NULL,Non_Wetland,Water
590,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
591,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL
592,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
593,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
594,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Water
595,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Forest
596,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland
597,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland
598,Grassland,NULL,Grassland,Water,Non_Wetland,Water
599,Grassland,NULL,Grassland,Water,Non_Wetland,Forest
600,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
601,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
602,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
603,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
604,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
605,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up
606,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
607,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
608,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
609,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Forest
610,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
611,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland
612,Grassland,NULL,Cropland,Water,Non_Wetland,Bareland
613,Grassland,NULL,Wetland,NULL,Wetland,NULL
614,Grassland,NULL,Wetland,NULL,Wetland,Grassland
615,Grassland,NULL,Wetland,NULL,Wetland,Cropland
616,Grassland,NULL,Wetland,NULL,Wetland,Wetland
617,Grassland,NULL,Wetland,NULL,Wetland,Built-up
618,Grassland,NULL,Wetland,NULL,Wetland,Water
619,Grassland,NULL,Wetland,NULL,Wetland,Forest
620,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
621,Grassland,NULL,Wetland,Non_Water,Wetland,Cropland
622,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
623,Grassland,NULL,Wetland,Non_Water,Wetland,Water
624,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
625,Grassland,NULL,Wetland,Water,Wetland,Grassland
626,Grassland,NULL,Wetland,Water,Wetland,Cropland
627,Grassland,NULL,Wetland,Water,Wetland,Wetland
628,Grassland,NULL,Wetland,Water,Wetland,Water
629,Grassland,NULL,Wetland,Water,Wetland,Forest
630,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
631,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
632,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
633,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
634,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland
635,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
636,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
637,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland
638,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
639,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
640,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland
641,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland
642,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up
643,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest
644,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
645,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Forest
646,Grassland,NULL,Built-up,Water,Non_Wetland,Grassland
647,Grassland,NULL,Built-up,Water,Non_Wetland,Wetland
648,Grassland,NULL,Built-up,Water,Non_Wetland,Forest
649,Grassland,NULL,Water,NULL,Water,Grassland
650,Grassland,NULL,Water,NULL,Water,Wetland
651,Grassland,NULL,Water,NULL,Water,Water
652,Grassland,NULL,Water,NULL,Water,Forest
653,Grassland,NULL,Water,Non_Water,Water,Grassland
654,Grassland,NULL,Water,Non_Water,Water,Wetland
655,Grassland,NULL,Water,Non_Water,Water,Water
656,Grassland,NULL,Water,Non_Water,Water,Forest
657,Grassland,NULL,Water,Water,Water,Grassland
658,Grassland,NULL,Water,Water,Water,Wetland
659,Grassland,NULL,Water,Water,Water,Water
660,Grassland,NULL,Water,Water,Water,Forest
661,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
662,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
663,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
664,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
665,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland
666,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up
667,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
668,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
669,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
670,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
671,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
672,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
673,Grassland,NULL,Forest,Water,Non_Wetland,Water
674,Grassland,NULL,Forest,Water,Non_Wetland,Forest
675,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
676,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
677,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
678,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
679,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
680,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
681,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
682,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
683,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
684,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
685,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL
686,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
687,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
688,Grassland,Cropland,Grassland,NULL,Non_Wetland,Wetland
689,Grassland,Cropland,Grassland,NULL,Non_Wetland,Built-up
690,Grassland,Cropland,Grassland,NULL,Non_Wetland,Forest
691,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
692,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,Forest
693,Grassland,Cropland,Grassland,Water,Non_Wetland,Grassland
694,Grassland,Cropland,Grassland,Water,Non_Wetland,Wetland
695,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
696,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
697,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland
698,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
699,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
700,Grassland,Cropland,Cropland,Water,Non_Wetland,Grassland
701,Grassland,Cropland,Wetland,NULL,Wetland,Grassland
702,Grassland,Cropland,Wetland,NULL,Wetland,Wetland
703,Grassland,Cropland,Wetland,NULL,Wetland,Built-up
704,Grassland,Cropland,Wetland,NULL,Wetland,Forest
705,Grassland,Cropland,Wetland,Non_Water,Wetland,Grassland
706,Grassland,Cropland,Wetland,Non_Water,Wetland,Wetland
707,Grassland,Cropland,Wetland,Non_Water,Wetland,Forest
708,Grassland,Cropland,Wetland,Water,Wetland,Grassland
709,Grassland,Cropland,Wetland,Water,Wetland,Wetland
710,Grassland,Cropland,Wetland,Water,Wetland,Water
711,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
712,Grassland,Cropland,Bareland,NULL,Non_Wetland,Forest
713,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland
714,Grassland,Cropland,Built-up,NULL,Non_Wetland,Wetland
715,Grassland,Cropland,Built-up,NULL,Non_Wetland,Built-up
716,Grassland,Cropland,Built-up,Non_Water,Non_Wetland,Grassland
717,Grassland,Cropland,Water,NULL,Water,Grassland
718,Grassland,Cropland,Water,Water,Water,Grassland
719,Grassland,Cropland,Water,Water,Water,Wetland
720,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
721,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
722,Grassland,Cropland,Forest,NULL,Non_Wetland,Built-up
723,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
724,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Grassland
725,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Wetland
726,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Forest
727,Grassland,Cropland,Forest,Water,Non_Wetland,Grassland
728,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
729,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
730,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest
731,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
732,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
733,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
734,Grassland,Wetland,Shrubland,Water,Non_Wetland,Grassland
735,Grassland,Wetland,Shrubland,Water,Non_Wetland,Wetland
736,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland
737,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland
738,Grassland,Wetland,Grassland,NULL,Non_Wetland,Forest
739,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
740,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
741,Grassland,Wetland,Grassland,Water,Non_Wetland,Grassland
742,Grassland,Wetland,Grassland,Water,Non_Wetland,Wetland
743,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland
744,Grassland,Wetland,Cropland,NULL,Non_Wetland,Wetland
745,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
746,Grassland,Wetland,Cropland,Water,Non_Wetland,Grassland
747,Grassland,Wetland,Wetland,NULL,Wetland,Grassland
748,Grassland,Wetland,Wetland,NULL,Wetland,Wetland
749,Grassland,Wetland,Wetland,NULL,Wetland,Water
750,Grassland,Wetland,Wetland,NULL,Wetland,Forest
751,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland
752,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland
753,Grassland,Wetland,Wetland,Non_Water,Wetland,Water
754,Grassland,Wetland,Wetland,Non_Water,Wetland,Forest
755,Grassland,Wetland,Wetland,Water,Wetland,Grassland
756,Grassland,Wetland,Wetland,Water,Wetland,Cropland
757,Grassland,Wetland,Wetland,Water,Wetland,Wetland
758,Grassland,Wetland,Wetland,Water,Wetland,Water
759,Grassland,Wetland,Wetland,Water,Wetland,Forest
760,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland
761,Grassland,Wetland,Water,NULL,Water,Grassland
762,Grassland,Wetland,Water,NULL,Water,Wetland
763,Grassland,Wetland,Water,NULL,Water,Forest
764,Grassland,Wetland,Water,Non_Water,Water,Grassland
765,Grassland,Wetland,Water,Non_Water,Water,Wetland
766,Grassland,Wetland,Water,Non_Water,Water,Water
767,Grassland,Wetland,Water,Non_Water,Water,Forest
768,Grassland,Wetland,Water,Water,Water,Grassland
769,Grassland,Wetland,Water,Water,Water,Wetland
770,Grassland,Wetland,Water,Water,Water,Water
771,Grassland,Wetland,Water,Water,Water,Forest
772,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland
773,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland
774,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest
775,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Grassland
776,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
777,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Forest
778,Grassland,Wetland,Forest,Water,Non_Wetland,Grassland
779,Grassland,Wetland,Forest,Water,Non_Wetland,Wetland
780,Grassland,Bareland,Grassland,NULL,Non_Wetland,Grassland
781,Grassland,Bareland,Cropland,Non_Water,Non_Wetland,Wetland
782,Grassland,Bareland,Wetland,NULL,Wetland,Grassland
783,Grassland,Bareland,Wetland,Non_Water,Wetland,Grassland
784,Grassland,Bareland,Wetland,Water,Wetland,Wetland
785,Grassland,Bareland,Water,Water,Water,Wetland
786,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland
787,Grassland,Built-up,NULL,NULL,Non_Wetland,Forest
788,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
789,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Wetland
790,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Built-up
791,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Forest
792,Grassland,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
793,Grassland,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
794,Grassland,Built-up,Shrubland,Water,Non_Wetland,Grassland
795,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland
796,Grassland,Built-up,Grassland,NULL,Non_Wetland,Wetland
797,Grassland,Built-up,Grassland,NULL,Non_Wetland,Built-up
798,Grassland,Built-up,Grassland,NULL,Non_Wetland,Forest
799,Grassland,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
800,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland
801,Grassland,Built-up,Cropland,NULL,Non_Wetland,Wetland
802,Grassland,Built-up,Cropland,NULL,Non_Wetland,Forest
803,Grassland,Built-up,Cropland,Non_Water,Non_Wetland,Wetland
804,Grassland,Built-up,Wetland,NULL,Wetland,Grassland
805,Grassland,Built-up,Wetland,NULL,Wetland,Wetland
806,Grassland,Built-up,Wetland,NULL,Wetland,Built-up
807,Grassland,Built-up,Wetland,NULL,Wetland,Water
808,Grassland,Built-up,Wetland,NULL,Wetland,Forest
809,Grassland,Built-up,Wetland,Non_Water,Wetland,Grassland
810,Grassland,Built-up,Wetland,Non_Water,Wetland,Wetland
811,Grassland,Built-up,Wetland,Non_Water,Wetland,Forest
812,Grassland,Built-up,Wetland,Water,Wetland,Grassland
813,Grassland,Built-up,Wetland,Water,Wetland,Wetland
814,Grassland,Built-up,Bareland,NULL,Non_Wetland,Grassland
815,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland
816,Grassland,Built-up,Built-up,NULL,Non_Wetland,Wetland
817,Grassland,Built-up,Built-up,NULL,Non_Wetland,Built-up
818,Grassland,Built-up,Built-up,NULL,Non_Wetland,Forest
819,Grassland,Built-up,Built-up,Non_Water,Non_Wetland,Forest
820,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland
821,Grassland,Built-up,Forest,NULL,Non_Wetland,Wetland
822,Grassland,Built-up,Forest,NULL,Non_Wetland,Built-up
823,Grassland,Built-up,Forest,NULL,Non_Wetland,Forest
824,Grassland,Built-up,Forest,Non_Water,Non_Wetland,Grassland
825,Grassland,Built-up,Forest,Non_Water,Non_Wetland,Forest
826,Grassland,Built-up,Forest,Water,Non_Wetland,Wetland
827,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland
828,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland
829,Grassland,Water,Shrubland,NULL,Non_Wetland,Built-up
830,Grassland,Water,Shrubland,NULL,Non_Wetland,Forest
831,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Grassland
832,Grassland,Water,Shrubland,Water,Non_Wetland,Grassland
833,Grassland,Water,Grassland,NULL,Non_Wetland,Grassland
834,Grassland,Water,Grassland,NULL,Non_Wetland,Wetland
835,Grassland,Water,Grassland,NULL,Non_Wetland,Forest
836,Grassland,Water,Grassland,Non_Water,Non_Wetland,Grassland
837,Grassland,Water,Grassland,Water,Non_Wetland,Built-up
838,Grassland,Water,Cropland,NULL,Non_Wetland,Grassland
839,Grassland,Water,Wetland,NULL,Wetland,Grassland
840,Grassland,Water,Wetland,NULL,Wetland,Wetland
841,Grassland,Water,Wetland,NULL,Wetland,Water
842,Grassland,Water,Wetland,NULL,Wetland,Forest
843,Grassland,Water,Wetland,Non_Water,Wetland,Grassland
844,Grassland,Water,Wetland,Non_Water,Wetland,Wetland
845,Grassland,Water,Wetland,Non_Water,Wetland,Water
846,Grassland,Water,Wetland,Non_Water,Wetland,Forest
847,Grassland,Water,Wetland,Water,Wetland,Grassland
848,Grassland,Water,Wetland,Water,Wetland,Wetland
849,Grassland,Water,Wetland,Water,Wetland,Water
850,Grassland,Water,Wetland,Water,Wetland,Forest
851,Grassland,Water,Bareland,NULL,Non_Wetland,Forest
852,Grassland,Water,Built-up,NULL,Non_Wetland,Grassland
853,Grassland,Water,Built-up,NULL,Non_Wetland,Forest
854,Grassland,Water,Water,NULL,Water,Grassland
855,Grassland,Water,Water,NULL,Water,Wetland
856,Grassland,Water,Water,NULL,Water,Forest
857,Grassland,Water,Water,Non_Water,Water,Grassland
858,Grassland,Water,Water,Non_Water,Water,Wetland
859,Grassland,Water,Water,Water,Water,Grassland
860,Grassland,Water,Water,Water,Water,Wetland
861,Grassland,Water,Water,Water,Water,Water
862,Grassland,Water,Water,Water,Water,Forest
863,Grassland,Water,Forest,NULL,Non_Wetland,Grassland
864,Grassland,Water,Forest,NULL,Non_Wetland,Wetland
865,Grassland,Water,Forest,NULL,Non_Wetland,Forest
866,Grassland,Water,Forest,Non_Water,Non_Wetland,Grassland
867,Grassland,Water,Forest,Non_Water,Non_Wetland,Wetland
868,Grassland,Water,Forest,Non_Water,Non_Wetland,Forest
869,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
