Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MEC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MEC_M_R
3187,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
3188,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
3189,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
3190,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
3191,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
3192,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
3193,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
3194,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
3195,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
3196,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
3197,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
3198,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
3199,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
3200,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
3201,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
3202,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
3203,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
3204,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
3205,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
3206,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
3207,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
3208,Forest,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
3209,Forest,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
3210,Forest,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
3211,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
3212,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
3213,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
3214,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
3215,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
3216,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
3217,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
3218,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
3219,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
3220,Forest,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
3221,Forest,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
3222,Forest,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
3223,Forest,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
3224,Forest,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Forest
3225,Forest,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
3226,Forest,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
3227,Forest,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
3228,Forest,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
3229,Forest,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
3230,Forest,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Forest
3231,Forest,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
3232,Forest,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
3233,Forest,NULL,NULL,Non_Water,Non_Wetland,Water,Forest,Forest
3234,Forest,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
3235,Forest,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
3236,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
3237,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
3238,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
3239,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
3240,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
3241,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
3242,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
3243,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
3244,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
3245,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
3246,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
3247,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
3248,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3249,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
3250,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3251,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
3252,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
3253,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
3254,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
3255,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
3256,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
3257,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
3258,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
3259,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
3260,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
3261,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
3262,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
3263,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
3264,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
3265,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
3266,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
3267,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
3268,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
3269,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
3270,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
3271,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
3272,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
3273,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
3274,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
3275,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
3276,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
3277,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
3278,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
3279,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
3280,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
3281,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
3282,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
3283,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
3284,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
3285,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
3286,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
3287,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
3288,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
3289,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
3290,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
3291,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
3292,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
3293,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
3294,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
3295,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
3296,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
3297,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
3298,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
3299,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
3300,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
3301,Forest,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
3302,Forest,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
3303,Forest,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
3304,Forest,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
3305,Forest,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
3306,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
3307,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
3308,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
3309,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
3310,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
3311,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
3312,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
3313,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
3314,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Forest
3315,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
3316,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
3317,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
3318,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,NULL
3319,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
3320,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
3321,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
3322,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
3323,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
3324,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
3325,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Wetland
3326,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Forest
3327,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
3328,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Forest
3329,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
3330,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
3331,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
3332,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
3333,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Wetland
3334,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
3335,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
3336,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Wetland
3337,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
3338,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,NULL
3339,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
3340,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Wetland
3341,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
3342,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
3343,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
3344,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3345,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
3346,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3347,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
3348,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
3349,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
3350,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
3351,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
3352,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
3353,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
3354,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Wetland
3355,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
3356,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
3357,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
3358,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
3359,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
3360,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
3361,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
3362,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Wetland
3363,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
3364,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
3365,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
3366,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
3367,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
3368,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
3369,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
3370,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
3371,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
3372,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
3373,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
3374,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
3375,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
3376,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
3377,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
3378,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Wetland
3379,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
3380,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
3381,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
3382,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
3383,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
3384,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
3385,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
3386,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
3387,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
3388,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
3389,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
3390,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
3391,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
3392,Forest,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
3393,Forest,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
3394,Forest,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
3395,Forest,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
3396,Forest,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,NULL
3397,Forest,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
3398,Forest,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
3399,Forest,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Grassland
3400,Forest,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
3401,Forest,NULL,Grassland,NULL,Non_Wetland,Forest,Bareland,Forest
3402,Forest,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,NULL
3403,Forest,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
3404,Forest,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
3405,Forest,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
3406,Forest,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
3407,Forest,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Forest
3408,Forest,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
3409,Forest,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Forest,Forest
3410,Forest,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
3411,Forest,NULL,Grassland,Water,Non_Wetland,Grassland,Forest,Forest
3412,Forest,NULL,Grassland,Water,Non_Wetland,Forest,Grassland,Forest
3413,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
3414,Forest,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
3415,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
3416,Forest,NULL,Wetland,NULL,Wetland,NULL,Grassland,Grassland
3417,Forest,NULL,Wetland,NULL,Wetland,NULL,Grassland,Wetland
3418,Forest,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
3419,Forest,NULL,Wetland,NULL,Wetland,NULL,Wetland,NULL
3420,Forest,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
3421,Forest,NULL,Wetland,NULL,Wetland,NULL,Wetland,Wetland
3422,Forest,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
3423,Forest,NULL,Wetland,NULL,Wetland,NULL,Water,Forest
3424,Forest,NULL,Wetland,NULL,Wetland,NULL,Forest,NULL
3425,Forest,NULL,Wetland,NULL,Wetland,NULL,Forest,Grassland
3426,Forest,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
3427,Forest,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
3428,Forest,NULL,Wetland,NULL,Wetland,Grassland,NULL,Wetland
3429,Forest,NULL,Wetland,NULL,Wetland,Grassland,NULL,Forest
3430,Forest,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
3431,Forest,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
3432,Forest,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
3433,Forest,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
3434,Forest,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
3435,Forest,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
3436,Forest,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
3437,Forest,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
3438,Forest,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
3439,Forest,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Forest
3440,Forest,NULL,Wetland,NULL,Wetland,Grassland,Forest,NULL
3441,Forest,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
3442,Forest,NULL,Wetland,NULL,Wetland,Grassland,Forest,Wetland
3443,Forest,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
3444,Forest,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
3445,Forest,NULL,Wetland,NULL,Wetland,Wetland,NULL,Wetland
3446,Forest,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
3447,Forest,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
3448,Forest,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
3449,Forest,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
3450,Forest,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Water
3451,Forest,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
3452,Forest,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
3453,Forest,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
3454,Forest,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
3455,Forest,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
3456,Forest,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
3457,Forest,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
3458,Forest,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
3459,Forest,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
3460,Forest,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
3461,Forest,NULL,Wetland,NULL,Wetland,Wetland,Forest,Wetland
3462,Forest,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
3463,Forest,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
3464,Forest,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Wetland
3465,Forest,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
3466,Forest,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
3467,Forest,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Wetland
3468,Forest,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
3469,Forest,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
3470,Forest,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Forest
3471,Forest,NULL,Wetland,NULL,Wetland,Bareland,Water,Grassland
3472,Forest,NULL,Wetland,NULL,Wetland,Bareland,Forest,Grassland
3473,Forest,NULL,Wetland,NULL,Wetland,Bareland,Forest,Forest
3474,Forest,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
3475,Forest,NULL,Wetland,NULL,Wetland,Water,Grassland,Wetland
3476,Forest,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
3477,Forest,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
3478,Forest,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
3479,Forest,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
3480,Forest,NULL,Wetland,NULL,Wetland,Water,Forest,Wetland
3481,Forest,NULL,Wetland,NULL,Wetland,Water,Forest,Forest
3482,Forest,NULL,Wetland,NULL,Wetland,Forest,Grassland,NULL
3483,Forest,NULL,Wetland,NULL,Wetland,Forest,Grassland,Grassland
3484,Forest,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
3485,Forest,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
3486,Forest,NULL,Wetland,NULL,Wetland,Forest,Bareland,Forest
3487,Forest,NULL,Wetland,NULL,Wetland,Forest,Water,Forest
3488,Forest,NULL,Wetland,NULL,Wetland,Forest,Forest,NULL
3489,Forest,NULL,Wetland,NULL,Wetland,Forest,Forest,Grassland
3490,Forest,NULL,Wetland,NULL,Wetland,Forest,Forest,Wetland
3491,Forest,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
3492,Forest,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Wetland
3493,Forest,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
3494,Forest,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Wetland
3495,Forest,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Forest
3496,Forest,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,NULL
3497,Forest,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
3498,Forest,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
3499,Forest,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
3500,Forest,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Grassland
3501,Forest,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,NULL
3502,Forest,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
3503,Forest,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Wetland
3504,Forest,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Forest
3505,Forest,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
3506,Forest,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
3507,Forest,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
3508,Forest,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
3509,Forest,NULL,Wetland,Non_Water,Wetland,Wetland,Forest,Grassland
3510,Forest,NULL,Wetland,Non_Water,Wetland,Wetland,Forest,Forest
3511,Forest,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
3512,Forest,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
3513,Forest,NULL,Wetland,Non_Water,Wetland,Water,Forest,Forest
3514,Forest,NULL,Wetland,Water,Wetland,Grassland,NULL,Grassland
3515,Forest,NULL,Wetland,Water,Wetland,Grassland,Grassland,Wetland
3516,Forest,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
3517,Forest,NULL,Wetland,Water,Wetland,Grassland,Wetland,Forest
