Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MTB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MTB_M_R
453,Forest,Water,Water,Water,Water,Forest
454,Forest,Water,Forest,NULL,Non_Wetland,Grassland
455,Forest,Water,Forest,NULL,Non_Wetland,Bareland
456,Forest,Water,Forest,NULL,Non_Wetland,Water
457,Forest,Water,Forest,NULL,Non_Wetland,Forest
458,Forest,Water,Forest,Non_Water,Non_Wetland,Grassland
459,Forest,Water,Forest,Non_Water,Non_Wetland,Water
460,Forest,Water,Forest,Non_Water,Non_Wetland,Forest
461,Forest,Water,Forest,Water,Non_Wetland,Grassland
462,Forest,Water,Forest,Water,Non_Wetland,Water
463,Forest,Water,Forest,Water,Non_Wetland,Forest
464,Forest,Forest,NULL,NULL,Non_Wetland,Grassland
465,Forest,Forest,NULL,NULL,Non_Wetland,Bareland
466,Forest,Forest,NULL,NULL,Non_Wetland,Forest
467,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
468,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland
469,Forest,Forest,Shrubland,NULL,Non_Wetland,Bareland
470,Forest,Forest,Shrubland,NULL,Non_Wetland,Built-up
471,Forest,Forest,Shrubland,NULL,Non_Wetland,Water
472,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest
473,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
474,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Bareland
475,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Water
476,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Forest
477,Forest,Forest,Shrubland,Water,Non_Wetland,Grassland
478,Forest,Forest,Shrubland,Water,Non_Wetland,Water
479,Forest,Forest,Shrubland,Water,Non_Wetland,Forest
480,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland
481,Forest,Forest,Grassland,NULL,Non_Wetland,Forest
482,Forest,Forest,Grassland,Non_Water,Non_Wetland,Grassland
483,Forest,Forest,Grassland,Non_Water,Non_Wetland,Forest
484,Forest,Forest,Grassland,Water,Non_Wetland,Grassland
485,Forest,Forest,Grassland,Water,Non_Wetland,Water
486,Forest,Forest,Grassland,Water,Non_Wetland,Forest
487,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland
488,Forest,Forest,Cropland,NULL,Non_Wetland,Bareland
489,Forest,Forest,Cropland,NULL,Non_Wetland,Water
490,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
491,Forest,Forest,Cropland,Non_Water,Non_Wetland,Grassland
492,Forest,Forest,Cropland,Non_Water,Non_Wetland,Water
493,Forest,Forest,Cropland,Non_Water,Non_Wetland,Forest
494,Forest,Forest,Cropland,Water,Non_Wetland,Grassland
495,Forest,Forest,Cropland,Water,Non_Wetland,Bareland
496,Forest,Forest,Cropland,Water,Non_Wetland,Water
497,Forest,Forest,Cropland,Water,Non_Wetland,Forest
498,Forest,Forest,Wetland,NULL,Wetland,NULL
499,Forest,Forest,Wetland,NULL,Wetland,Grassland
500,Forest,Forest,Wetland,NULL,Wetland,Water
501,Forest,Forest,Wetland,NULL,Wetland,Forest
502,Forest,Forest,Wetland,Non_Water,Wetland,Grassland
503,Forest,Forest,Wetland,Non_Water,Wetland,Water
504,Forest,Forest,Wetland,Non_Water,Wetland,Forest
505,Forest,Forest,Wetland,Water,Wetland,Grassland
506,Forest,Forest,Wetland,Water,Wetland,Water
507,Forest,Forest,Wetland,Water,Wetland,Forest
508,Forest,Forest,Bareland,NULL,Non_Wetland,Forest
509,Forest,Forest,Bareland,Non_Water,Non_Wetland,Grassland
510,Forest,Forest,Bareland,Non_Water,Non_Wetland,Bareland
511,Forest,Forest,Bareland,Non_Water,Non_Wetland,Water
512,Forest,Forest,Bareland,Non_Water,Non_Wetland,Forest
513,Forest,Forest,Bareland,Water,Non_Wetland,Grassland
514,Forest,Forest,Bareland,Water,Non_Wetland,Water
515,Forest,Forest,Bareland,Water,Non_Wetland,Forest
516,Forest,Forest,Built-up,NULL,Non_Wetland,Grassland
517,Forest,Forest,Built-up,NULL,Non_Wetland,Built-up
518,Forest,Forest,Built-up,NULL,Non_Wetland,Water
519,Forest,Forest,Built-up,NULL,Non_Wetland,Forest
520,Forest,Forest,Built-up,Non_Water,Non_Wetland,Water
521,Forest,Forest,Water,NULL,Water,Grassland
522,Forest,Forest,Water,NULL,Water,Water
523,Forest,Forest,Water,NULL,Water,Forest
524,Forest,Forest,Water,Non_Water,Water,Grassland
525,Forest,Forest,Water,Non_Water,Water,Water
526,Forest,Forest,Water,Non_Water,Water,Forest
527,Forest,Forest,Water,Water,Water,Grassland
528,Forest,Forest,Water,Water,Water,Bareland
529,Forest,Forest,Water,Water,Water,Water
530,Forest,Forest,Water,Water,Water,Forest
531,Forest,Forest,Forest,NULL,Non_Wetland,NULL
532,Forest,Forest,Forest,NULL,Non_Wetland,Grassland
533,Forest,Forest,Forest,NULL,Non_Wetland,Bareland
534,Forest,Forest,Forest,NULL,Non_Wetland,Built-up
535,Forest,Forest,Forest,NULL,Non_Wetland,Water
536,Forest,Forest,Forest,NULL,Non_Wetland,Forest
537,Forest,Forest,Forest,Non_Water,Non_Wetland,Grassland
538,Forest,Forest,Forest,Non_Water,Non_Wetland,Water
539,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest
540,Forest,Forest,Forest,Water,Non_Wetland,Grassland
541,Forest,Forest,Forest,Water,Non_Wetland,Water
542,Forest,Forest,Forest,Water,Non_Wetland,Forest
