Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LYK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LYK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LYK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LYK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LYK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LYK_M_R
6677,Water,NULL,Wetland,Water,Wetland,Shrubland,Wetland,Grassland
6678,Water,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
6679,Water,NULL,Wetland,Water,Wetland,Grassland,Grassland,Water
6680,Water,NULL,Wetland,Water,Wetland,Grassland,Bareland,Grassland
6681,Water,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
6682,Water,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
6683,Water,NULL,Wetland,Water,Wetland,Wetland,Grassland,Water
6684,Water,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
6685,Water,NULL,Wetland,Water,Wetland,Bareland,Grassland,Grassland
6686,Water,NULL,Wetland,Water,Wetland,Bareland,Grassland,Water
6687,Water,NULL,Wetland,Water,Wetland,Bareland,Water,Water
6688,Water,NULL,Wetland,Water,Wetland,Water,Grassland,Grassland
6689,Water,NULL,Wetland,Water,Wetland,Water,Grassland,Water
6690,Water,NULL,Wetland,Water,Wetland,Water,Grassland,Forest
6691,Water,NULL,Wetland,Water,Wetland,Water,Bareland,Water
6692,Water,NULL,Wetland,Water,Wetland,Water,Water,Grassland
6693,Water,NULL,Wetland,Water,Wetland,Water,Water,Water
6694,Water,NULL,Bareland,NULL,Non_Wetland,Grassland,Water,Forest
6695,Water,NULL,Bareland,NULL,Non_Wetland,Cropland,Water,Grassland
6696,Water,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
6697,Water,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Wetland
6698,Water,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Water
6699,Water,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
6700,Water,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,Forest
6701,Water,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
6702,Water,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
6703,Water,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
6704,Water,NULL,Bareland,NULL,Non_Wetland,Bareland,Water,Grassland
6705,Water,NULL,Bareland,NULL,Non_Wetland,Bareland,Water,Forest
6706,Water,NULL,Bareland,NULL,Non_Wetland,Water,Grassland,Grassland
6707,Water,NULL,Bareland,NULL,Non_Wetland,Water,Grassland,Water
6708,Water,NULL,Bareland,NULL,Non_Wetland,Water,Grassland,Forest
6709,Water,NULL,Bareland,NULL,Non_Wetland,Water,Water,Grassland
6710,Water,NULL,Bareland,NULL,Non_Wetland,Water,Water,Forest
6711,Water,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
6712,Water,NULL,Bareland,Non_Water,Non_Wetland,Water,Grassland,Forest
6713,Water,NULL,Bareland,Water,Non_Wetland,Grassland,Grassland,Grassland
6714,Water,NULL,Bareland,Water,Non_Wetland,Wetland,Grassland,Water
6715,Water,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Grassland
6716,Water,NULL,Bareland,Water,Non_Wetland,Bareland,Grassland,Forest
6717,Water,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
6718,Water,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
6719,Water,NULL,Water,NULL,Water,Shrubland,Bareland,Grassland
6720,Water,NULL,Water,NULL,Water,Grassland,Grassland,Wetland
6721,Water,NULL,Water,NULL,Water,Grassland,Grassland,Forest
6722,Water,NULL,Water,NULL,Water,Grassland,Water,Grassland
6723,Water,NULL,Water,NULL,Water,Wetland,Grassland,Grassland
6724,Water,NULL,Water,NULL,Water,Wetland,Grassland,Water
6725,Water,NULL,Water,NULL,Water,Wetland,Grassland,Forest
6726,Water,NULL,Water,NULL,Water,Wetland,Bareland,Grassland
6727,Water,NULL,Water,NULL,Water,Wetland,Water,Grassland
6728,Water,NULL,Water,NULL,Water,Bareland,NULL,Water
6729,Water,NULL,Water,NULL,Water,Bareland,Grassland,Grassland
6730,Water,NULL,Water,NULL,Water,Bareland,Grassland,Forest
6731,Water,NULL,Water,NULL,Water,Bareland,Bareland,Bareland
6732,Water,NULL,Water,NULL,Water,Bareland,Bareland,Built-up
6733,Water,NULL,Water,NULL,Water,Bareland,Bareland,Water
6734,Water,NULL,Water,NULL,Water,Bareland,Bareland,Forest
6735,Water,NULL,Water,NULL,Water,Bareland,Water,Grassland
6736,Water,NULL,Water,NULL,Water,Bareland,Water,Water
6737,Water,NULL,Water,NULL,Water,Bareland,Water,Forest
6738,Water,NULL,Water,NULL,Water,Water,Shrubland,Forest
6739,Water,NULL,Water,NULL,Water,Water,Grassland,Grassland
6740,Water,NULL,Water,NULL,Water,Water,Grassland,Wetland
6741,Water,NULL,Water,NULL,Water,Water,Grassland,Water
6742,Water,NULL,Water,NULL,Water,Water,Grassland,Forest
6743,Water,NULL,Water,NULL,Water,Water,Wetland,Water
6744,Water,NULL,Water,NULL,Water,Water,Wetland,Forest
6745,Water,NULL,Water,NULL,Water,Water,Bareland,Forest
6746,Water,NULL,Water,NULL,Water,Water,Water,Water
6747,Water,NULL,Water,Non_Water,Water,Bareland,Grassland,Forest
6748,Water,NULL,Water,Non_Water,Water,Water,Grassland,Grassland
6749,Water,NULL,Water,Non_Water,Water,Water,Grassland,Forest
6750,Water,NULL,Water,Water,Water,Grassland,Grassland,Grassland
6751,Water,NULL,Water,Water,Water,Grassland,Wetland,Forest
6752,Water,NULL,Water,Water,Water,Grassland,Water,Grassland
6753,Water,NULL,Water,Water,Water,Wetland,Grassland,Grassland
6754,Water,NULL,Water,Water,Water,Wetland,Grassland,Water
6755,Water,NULL,Water,Water,Water,Wetland,Water,Grassland
6756,Water,NULL,Water,Water,Water,Bareland,Grassland,Grassland
6757,Water,NULL,Water,Water,Water,Bareland,Grassland,Water
6758,Water,NULL,Water,Water,Water,Bareland,Grassland,Forest
6759,Water,NULL,Water,Water,Water,Bareland,Bareland,Forest
6760,Water,NULL,Water,Water,Water,Bareland,Water,Bareland
6761,Water,NULL,Water,Water,Water,Bareland,Water,Water
6762,Water,NULL,Water,Water,Water,Water,NULL,Water
6763,Water,NULL,Water,Water,Water,Water,NULL,Forest
6764,Water,NULL,Water,Water,Water,Water,Grassland,Grassland
6765,Water,NULL,Water,Water,Water,Water,Grassland,Water
6766,Water,NULL,Water,Water,Water,Water,Wetland,Water
6767,Water,NULL,Water,Water,Water,Water,Bareland,Grassland
6768,Water,NULL,Water,Water,Water,Water,Bareland,Water
6769,Water,NULL,Water,Water,Water,Water,Water,Grassland
6770,Water,NULL,Water,Water,Water,Water,Water,Water
6771,Water,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
6772,Water,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
6773,Water,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
6774,Water,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
6775,Water,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
6776,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
6777,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Bareland
6778,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Water
6779,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
6780,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
6781,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
6782,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
6783,Water,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
6784,Water,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Wetland
6785,Water,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Water
6786,Water,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
6787,Water,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
6788,Water,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
6789,Water,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Forest
6790,Water,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
6791,Water,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Bareland
6792,Water,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Water
6793,Water,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
6794,Water,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
6795,Water,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
6796,Water,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
6797,Water,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Water
6798,Water,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
6799,Water,NULL,Forest,NULL,Non_Wetland,Bareland,Water,Grassland
6800,Water,NULL,Forest,NULL,Non_Wetland,Bareland,Water,Bareland
6801,Water,NULL,Forest,NULL,Non_Wetland,Bareland,Water,Forest
6802,Water,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
6803,Water,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Water
6804,Water,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
6805,Water,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
6806,Water,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Forest
6807,Water,NULL,Forest,NULL,Non_Wetland,Water,Water,Water
6808,Water,NULL,Forest,NULL,Non_Wetland,Water,Water,Forest
6809,Water,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
6810,Water,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
6811,Water,NULL,Forest,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
6812,Water,NULL,Forest,Non_Water,Non_Wetland,Wetland,Grassland,Water
6813,Water,NULL,Forest,Non_Water,Non_Wetland,Wetland,Grassland,Forest
6814,Water,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Forest
6815,Water,NULL,Forest,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
6816,Water,NULL,Forest,Non_Water,Non_Wetland,Water,Grassland,Forest
6817,Water,NULL,Forest,Non_Water,Non_Wetland,Water,Water,Forest
6818,Water,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
6819,Water,NULL,Forest,Water,Non_Wetland,Grassland,Water,Forest
6820,Water,NULL,Forest,Water,Non_Wetland,Wetland,Grassland,Forest
6821,Water,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Wetland
6822,Water,NULL,Forest,Water,Non_Wetland,Wetland,Water,Forest
6823,Water,NULL,Forest,Water,Non_Wetland,Bareland,Grassland,Grassland
6824,Water,NULL,Forest,Water,Non_Wetland,Bareland,Wetland,Wetland
6825,Water,NULL,Forest,Water,Non_Wetland,Bareland,Water,Grassland
6826,Water,NULL,Forest,Water,Non_Wetland,Water,Grassland,Grassland
6827,Water,NULL,Forest,Water,Non_Wetland,Water,Water,Water
6828,Water,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
6829,Water,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
6830,Water,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
6831,Water,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
6832,Water,Cropland,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
6833,Water,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Water
6834,Water,Cropland,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
6835,Water,Cropland,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
6836,Water,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
6837,Water,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
6838,Water,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
6839,Water,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
6840,Water,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
6841,Water,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
6842,Water,Cropland,NULL,NULL,Non_Wetland,Bareland,Water,Water
6843,Water,Cropland,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
6844,Water,Cropland,NULL,NULL,Non_Wetland,Water,Grassland,Forest
6845,Water,Cropland,NULL,Water,Non_Wetland,Bareland,Grassland,Forest
6846,Water,Cropland,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
6847,Water,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
6848,Water,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
6849,Water,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
6850,Water,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
6851,Water,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
6852,Water,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
6853,Water,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
6854,Water,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
6855,Water,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
6856,Water,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
6857,Water,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
6858,Water,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Water
6859,Water,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
6860,Water,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
6861,Water,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
6862,Water,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Water
6863,Water,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
6864,Water,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
6865,Water,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
6866,Water,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
6867,Water,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
6868,Water,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
6869,Water,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
6870,Water,Cropland,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
6871,Water,Cropland,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
6872,Water,Cropland,Shrubland,NULL,Non_Wetland,Water,Grassland,Water
6873,Water,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
6874,Water,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland,Grassland,Forest
6875,Water,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
6876,Water,Cropland,Shrubland,Water,Non_Wetland,Bareland,Bareland,Forest
6877,Water,Cropland,Shrubland,Water,Non_Wetland,Water,Grassland,Water
6878,Water,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
6879,Water,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
6880,Water,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
6881,Water,Cropland,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
6882,Water,Cropland,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
6883,Water,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
6884,Water,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
6885,Water,Cropland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
6886,Water,Cropland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
6887,Water,Cropland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
6888,Water,Cropland,Grassland,NULL,Non_Wetland,Bareland,Water,Forest
6889,Water,Cropland,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
6890,Water,Cropland,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
6891,Water,Cropland,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
6892,Water,Cropland,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
6893,Water,Cropland,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
6894,Water,Cropland,Grassland,Water,Non_Wetland,Bareland,Grassland,Grassland
6895,Water,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
6896,Water,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
6897,Water,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
6898,Water,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
6899,Water,Cropland,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
6900,Water,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
6901,Water,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
6902,Water,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
6903,Water,Cropland,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
6904,Water,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
6905,Water,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
6906,Water,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
6907,Water,Cropland,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
6908,Water,Cropland,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
6909,Water,Cropland,Cropland,NULL,Non_Wetland,Water,Bareland,Forest
6910,Water,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
6911,Water,Cropland,Cropland,Non_Water,Non_Wetland,Bareland,Water,Grassland
6912,Water,Cropland,Cropland,Water,Non_Wetland,Wetland,Grassland,Grassland
6913,Water,Cropland,Cropland,Water,Non_Wetland,Water,Grassland,Water
6914,Water,Cropland,Cropland,Water,Non_Wetland,Water,Bareland,Grassland
6915,Water,Cropland,Wetland,NULL,Wetland,Shrubland,Grassland,Grassland
6916,Water,Cropland,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
6917,Water,Cropland,Wetland,NULL,Wetland,Grassland,Water,Grassland
6918,Water,Cropland,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
6919,Water,Cropland,Wetland,NULL,Wetland,Wetland,Grassland,Forest
6920,Water,Cropland,Wetland,NULL,Wetland,Wetland,Water,Water
6921,Water,Cropland,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
6922,Water,Cropland,Wetland,NULL,Wetland,Bareland,Grassland,Water
6923,Water,Cropland,Wetland,NULL,Wetland,Bareland,Grassland,Forest
6924,Water,Cropland,Wetland,NULL,Wetland,Bareland,Bareland,Forest
6925,Water,Cropland,Wetland,NULL,Wetland,Bareland,Water,Grassland
6926,Water,Cropland,Wetland,NULL,Wetland,Bareland,Water,Bareland
6927,Water,Cropland,Wetland,NULL,Wetland,Bareland,Water,Forest
6928,Water,Cropland,Wetland,NULL,Wetland,Water,Grassland,Grassland
6929,Water,Cropland,Wetland,NULL,Wetland,Water,Grassland,Bareland
6930,Water,Cropland,Wetland,NULL,Wetland,Water,Grassland,Forest
6931,Water,Cropland,Wetland,NULL,Wetland,Water,Water,Grassland
6932,Water,Cropland,Wetland,Water,Wetland,Grassland,Water,Water
6933,Water,Cropland,Wetland,Water,Wetland,Bareland,Bareland,Forest
6934,Water,Cropland,Wetland,Water,Wetland,Bareland,Water,Water
6935,Water,Cropland,Wetland,Water,Wetland,Water,Water,Water
6936,Water,Cropland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
6937,Water,Cropland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
6938,Water,Cropland,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
6939,Water,Cropland,Bareland,NULL,Non_Wetland,Wetland,Grassland,Wetland
6940,Water,Cropland,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
6941,Water,Cropland,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
6942,Water,Cropland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
6943,Water,Cropland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Water
6944,Water,Cropland,Bareland,NULL,Non_Wetland,Water,Grassland,Water
6945,Water,Cropland,Bareland,NULL,Non_Wetland,Water,Grassland,Forest
6946,Water,Cropland,Bareland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
6947,Water,Cropland,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
6948,Water,Cropland,Built-up,NULL,Non_Wetland,Wetland,Grassland,Forest
6949,Water,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
6950,Water,Cropland,Water,NULL,Water,Grassland,Grassland,Grassland
6951,Water,Cropland,Water,NULL,Water,Grassland,Bareland,Grassland
6952,Water,Cropland,Water,NULL,Water,Wetland,Grassland,Grassland
6953,Water,Cropland,Water,NULL,Water,Wetland,Grassland,Forest
6954,Water,Cropland,Water,NULL,Water,Bareland,Grassland,Grassland
6955,Water,Cropland,Water,NULL,Water,Bareland,Grassland,Forest
6956,Water,Cropland,Water,NULL,Water,Bareland,Water,Grassland
6957,Water,Cropland,Water,NULL,Water,Bareland,Water,Forest
6958,Water,Cropland,Water,NULL,Water,Water,Grassland,Grassland
6959,Water,Cropland,Water,NULL,Water,Water,Grassland,Forest
6960,Water,Cropland,Water,Non_Water,Water,Bareland,Wetland,Forest
6961,Water,Cropland,Water,Water,Water,Grassland,Grassland,Grassland
6962,Water,Cropland,Water,Water,Water,Wetland,Water,Water
6963,Water,Cropland,Water,Water,Water,Bareland,Grassland,Grassland
6964,Water,Cropland,Water,Water,Water,Water,Grassland,Wetland
6965,Water,Cropland,Water,Water,Water,Water,Bareland,Water
6966,Water,Cropland,Water,Water,Water,Water,Water,Grassland
6967,Water,Cropland,Water,Water,Water,Water,Water,Water
6968,Water,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
6969,Water,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
6970,Water,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
6971,Water,Cropland,Forest,NULL,Non_Wetland,Grassland,Water,Forest
6972,Water,Cropland,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
6973,Water,Cropland,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
6974,Water,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
6975,Water,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Bareland
6976,Water,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Water
6977,Water,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
6978,Water,Cropland,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
6979,Water,Cropland,Forest,NULL,Non_Wetland,Bareland,Water,Grassland
6980,Water,Cropland,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
6981,Water,Cropland,Forest,NULL,Non_Wetland,Water,Grassland,Forest
6982,Water,Cropland,Forest,Water,Non_Wetland,Water,Grassland,Water
6983,Water,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
6984,Water,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
6985,Water,Wetland,NULL,NULL,Non_Wetland,Water,Wetland,Water
6986,Water,Wetland,NULL,NULL,Non_Wetland,Water,Wetland,Forest
6987,Water,Wetland,NULL,NULL,Non_Wetland,Water,Water,Wetland
6988,Water,Wetland,NULL,NULL,Non_Wetland,Water,Water,Forest
6989,Water,Wetland,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
6990,Water,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
6991,Water,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Water
6992,Water,Wetland,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
6993,Water,Wetland,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
6994,Water,Wetland,NULL,Non_Water,Non_Wetland,Water,Water,Water
6995,Water,Wetland,NULL,Water,Non_Wetland,Wetland,Wetland,Water
6996,Water,Wetland,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
6997,Water,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
6998,Water,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
6999,Water,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
7000,Water,Wetland,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Forest
7001,Water,Wetland,Shrubland,Water,Non_Wetland,Bareland,Bareland,Water
7002,Water,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Water
7003,Water,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Forest
7004,Water,Wetland,Wetland,NULL,Wetland,NULL,Bareland,Forest
7005,Water,Wetland,Wetland,NULL,Wetland,Grassland,Bareland,Forest
7006,Water,Wetland,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
7007,Water,Wetland,Wetland,NULL,Wetland,Wetland,Grassland,Water
7008,Water,Wetland,Wetland,NULL,Wetland,Wetland,Grassland,Forest
7009,Water,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
7010,Water,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
7011,Water,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Water
7012,Water,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
7013,Water,Wetland,Wetland,NULL,Wetland,Wetland,Water,Wetland
7014,Water,Wetland,Wetland,NULL,Wetland,Wetland,Water,Water
7015,Water,Wetland,Wetland,NULL,Wetland,Bareland,Bareland,Water
7016,Water,Wetland,Wetland,NULL,Wetland,Bareland,Bareland,Forest
7017,Water,Wetland,Wetland,NULL,Wetland,Water,Grassland,Forest
7018,Water,Wetland,Wetland,NULL,Wetland,Water,Wetland,Grassland
7019,Water,Wetland,Wetland,NULL,Wetland,Water,Wetland,Wetland
7020,Water,Wetland,Wetland,NULL,Wetland,Water,Wetland,Water
7021,Water,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
7022,Water,Wetland,Wetland,NULL,Wetland,Water,Water,Wetland
7023,Water,Wetland,Wetland,NULL,Wetland,Water,Water,Water
7024,Water,Wetland,Wetland,NULL,Wetland,Water,Water,Forest
7025,Water,Wetland,Wetland,NULL,Wetland,Forest,Water,Forest
7026,Water,Wetland,Wetland,Non_Water,Wetland,NULL,Wetland,Grassland
7027,Water,Wetland,Wetland,Non_Water,Wetland,NULL,Wetland,Water
7028,Water,Wetland,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
7029,Water,Wetland,Wetland,Non_Water,Wetland,NULL,Water,Water
