Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19KGQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KGQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KGQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KGQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KGQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19KGQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19KGQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KGQ_M_R
330,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
331,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
332,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Water
333,Bareland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Bareland
334,Bareland,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Bareland
335,Bareland,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Water
336,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
337,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
338,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
339,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
340,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
341,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
342,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
343,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
344,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
345,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
346,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
347,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
348,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
349,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
350,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
351,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
352,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
353,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
354,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
355,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
356,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
357,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
358,Bareland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
359,Bareland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
360,Bareland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
361,Bareland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
362,Bareland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
363,Bareland,NULL,Water,NULL,Water,NULL,NULL,Grassland
364,Bareland,NULL,Water,NULL,Water,NULL,NULL,Bareland
365,Bareland,NULL,Water,NULL,Water,NULL,NULL,Water
366,Bareland,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
367,Bareland,NULL,Water,Water,Water,NULL,NULL,Grassland
368,Bareland,NULL,Water,Water,Water,NULL,NULL,Bareland
369,Bareland,NULL,Water,Water,Water,NULL,NULL,Water
370,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
371,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
372,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
373,Bareland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
374,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
375,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
376,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
377,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
378,Bareland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Bareland
379,Bareland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
380,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
381,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
382,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
383,Bareland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
384,Bareland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
385,Bareland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
386,Bareland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
387,Bareland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
388,Bareland,Wetland,Wetland,Water,Wetland,NULL,NULL,Bareland
389,Bareland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
390,Bareland,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
391,Bareland,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
392,Bareland,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
393,Bareland,Wetland,Water,Non_Water,Water,NULL,NULL,Bareland
394,Bareland,Wetland,Water,Non_Water,Water,NULL,NULL,Water
395,Bareland,Wetland,Water,Water,Water,NULL,NULL,Water
396,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
397,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
398,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
399,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Water
400,Bareland,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
401,Bareland,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
402,Bareland,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
403,Bareland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
404,Bareland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
405,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
406,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
407,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
408,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
409,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
410,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
411,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
412,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
413,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
414,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
415,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
416,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
417,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
418,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
419,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
420,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
421,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
422,Bareland,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
423,Bareland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
424,Bareland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
425,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
426,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Cropland
427,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Wetland
428,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
429,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Built-up
430,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
431,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
432,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
433,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
434,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
435,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
436,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Cropland
437,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Wetland
438,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
439,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
440,Bareland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
441,Bareland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
442,Bareland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Water
443,Bareland,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
444,Bareland,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Bareland
445,Bareland,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Water
446,Bareland,Bareland,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Bareland
447,Bareland,Bareland,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Water
448,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
449,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
450,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
451,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
452,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
453,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
454,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
455,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
456,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
457,Bareland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
458,Bareland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
459,Bareland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
460,Bareland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
461,Bareland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
462,Bareland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
463,Bareland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Water
464,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
465,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
466,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
467,Bareland,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
468,Bareland,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
469,Bareland,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Water
470,Bareland,Bareland,Water,NULL,Water,NULL,NULL,Grassland
471,Bareland,Bareland,Water,NULL,Water,NULL,NULL,Bareland
472,Bareland,Bareland,Water,NULL,Water,NULL,NULL,Water
473,Bareland,Bareland,Water,Non_Water,Water,NULL,NULL,Grassland
474,Bareland,Bareland,Water,Non_Water,Water,NULL,NULL,Bareland
475,Bareland,Bareland,Water,Non_Water,Water,NULL,NULL,Water
476,Bareland,Bareland,Water,Water,Water,NULL,NULL,Grassland
477,Bareland,Bareland,Water,Water,Water,NULL,NULL,Bareland
478,Bareland,Bareland,Water,Water,Water,NULL,NULL,Water
479,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
480,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
481,Bareland,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Bareland
482,Bareland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
483,Bareland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
484,Bareland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
485,Bareland,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
486,Bareland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
487,Bareland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
488,Bareland,Built-up,Wetland,NULL,Wetland,NULL,NULL,Bareland
489,Bareland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
490,Bareland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
491,Bareland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
492,Bareland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Water
493,Bareland,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
494,Bareland,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
495,Bareland,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Water
496,Bareland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
497,Bareland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
498,Bareland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
499,Bareland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
500,Bareland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
501,Bareland,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
502,Bareland,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
503,Bareland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
504,Bareland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
505,Bareland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
506,Bareland,Water,NULL,Water,Non_Wetland,NULL,NULL,Bareland
507,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
508,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
509,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
510,Bareland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
511,Bareland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
512,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
513,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
514,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
515,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
516,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
517,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
518,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
519,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
520,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
521,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
522,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
523,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Water
524,Bareland,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
525,Bareland,Water,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Bareland
526,Bareland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
527,Bareland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
528,Bareland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
529,Bareland,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
530,Bareland,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
531,Bareland,Water,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
532,Bareland,Water,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
533,Bareland,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
534,Bareland,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
535,Bareland,Water,Water,NULL,Water,NULL,NULL,Bareland
536,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Bareland
537,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Water
538,Bareland,Water,Water,Water,Water,NULL,NULL,Grassland
539,Bareland,Water,Water,Water,Water,NULL,NULL,Bareland
540,Bareland,Water,Water,Water,Water,NULL,NULL,Water
541,Bareland,Permanent_ice_and_snow,Wetland,NULL,Wetland,NULL,NULL,Bareland
542,Bareland,Permanent_ice_and_snow,Wetland,Water,Wetland,NULL,NULL,Bareland
543,Bareland,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
544,Bareland,Permanent_ice_and_snow,Water,Water,Water,NULL,NULL,Bareland
545,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
546,Water,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
547,Water,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
548,Water,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
549,Water,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
550,Water,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
551,Water,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
552,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
553,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
554,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
555,Water,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
556,Water,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
557,Water,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
558,Water,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
559,Water,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
560,Water,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
561,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
562,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
563,Water,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
564,Water,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
565,Water,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
566,Water,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
567,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
568,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
569,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
570,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
571,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
572,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
573,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
574,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
575,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Water
576,Water,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
577,Water,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
578,Water,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Water
579,Water,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Bareland
580,Water,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Bareland
581,Water,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
582,Water,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
583,Water,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
584,Water,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
585,Water,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
586,Water,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
587,Water,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
588,Water,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
589,Water,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
590,Water,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
591,Water,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
592,Water,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
593,Water,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
594,Water,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
595,Water,NULL,Water,NULL,Water,NULL,NULL,Grassland
596,Water,NULL,Water,NULL,Water,NULL,NULL,Bareland
597,Water,NULL,Water,NULL,Water,NULL,NULL,Water
598,Water,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
599,Water,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
600,Water,NULL,Water,Non_Water,Water,NULL,NULL,Water
601,Water,NULL,Water,Water,Water,NULL,NULL,Grassland
602,Water,NULL,Water,Water,Water,NULL,NULL,Bareland
603,Water,NULL,Water,Water,Water,NULL,NULL,Water
604,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
605,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
606,Water,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
607,Water,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
608,Water,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
609,Water,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
610,Water,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
611,Water,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
612,Water,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
613,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
614,Water,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
615,Water,Wetland,Water,NULL,Water,NULL,NULL,Water
616,Water,Wetland,Water,Water,Water,NULL,NULL,Water
617,Water,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
618,Water,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
619,Water,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Water
620,Water,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Permanent_ice_and_snow
621,Water,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
622,Water,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
623,Water,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
624,Water,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
625,Water,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
626,Water,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
627,Water,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
628,Water,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
629,Water,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
630,Water,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
631,Water,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
632,Water,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
633,Water,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
634,Water,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
635,Water,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
636,Water,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
637,Water,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
638,Water,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
639,Water,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
640,Water,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
641,Water,Bareland,Wetland,NULL,Wetland,NULL,NULL,Permanent_ice_and_snow
642,Water,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
643,Water,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
644,Water,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
645,Water,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
646,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
647,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
648,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
649,Water,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
650,Water,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
651,Water,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Water
652,Water,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Bareland
653,Water,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Water
654,Water,Bareland,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Bareland
655,Water,Bareland,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Water
656,Water,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
657,Water,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
658,Water,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
659,Water,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Permanent_ice_and_snow
660,Water,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
661,Water,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
662,Water,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
663,Water,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
664,Water,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
665,Water,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
666,Water,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
667,Water,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Water
668,Water,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
669,Water,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
670,Water,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Water
671,Water,Bareland,Water,NULL,Water,NULL,NULL,Grassland
