Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MUD_M_R
449,Forest,Forest,Bareland,Water,Non_Wetland,Grassland
450,Forest,Forest,Bareland,Water,Non_Wetland,Bareland
451,Forest,Forest,Bareland,Water,Non_Wetland,Water
452,Forest,Forest,Bareland,Water,Non_Wetland,Forest
453,Forest,Forest,Built-up,NULL,Non_Wetland,Grassland
454,Forest,Forest,Built-up,NULL,Non_Wetland,Built-up
455,Forest,Forest,Built-up,NULL,Non_Wetland,Forest
456,Forest,Forest,Built-up,Non_Water,Non_Wetland,Forest
457,Forest,Forest,Built-up,Water,Non_Wetland,Grassland
458,Forest,Forest,Built-up,Water,Non_Wetland,Water
459,Forest,Forest,Built-up,Water,Non_Wetland,Forest
460,Forest,Forest,Water,NULL,Water,Grassland
461,Forest,Forest,Water,NULL,Water,Bareland
462,Forest,Forest,Water,NULL,Water,Water
463,Forest,Forest,Water,NULL,Water,Forest
464,Forest,Forest,Water,Non_Water,Water,Grassland
465,Forest,Forest,Water,Non_Water,Water,Bareland
466,Forest,Forest,Water,Non_Water,Water,Water
467,Forest,Forest,Water,Non_Water,Water,Forest
468,Forest,Forest,Water,Water,Water,Grassland
469,Forest,Forest,Water,Water,Water,Water
470,Forest,Forest,Water,Water,Water,Forest
471,Forest,Forest,Forest,NULL,Non_Wetland,NULL
472,Forest,Forest,Forest,NULL,Non_Wetland,Grassland
473,Forest,Forest,Forest,NULL,Non_Wetland,Bareland
474,Forest,Forest,Forest,NULL,Non_Wetland,Built-up
475,Forest,Forest,Forest,NULL,Non_Wetland,Water
476,Forest,Forest,Forest,NULL,Non_Wetland,Forest
477,Forest,Forest,Forest,Non_Water,Non_Wetland,Grassland
478,Forest,Forest,Forest,Non_Water,Non_Wetland,Water
479,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest
480,Forest,Forest,Forest,Water,Non_Wetland,Grassland
481,Forest,Forest,Forest,Water,Non_Wetland,Bareland
482,Forest,Forest,Forest,Water,Non_Wetland,Water
483,Forest,Forest,Forest,Water,Non_Wetland,Forest
