Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MLB_M_R
1274,NULL,Water,Bareland,NULL,Non_Wetland,Wetland,Wetland,Water
1275,NULL,Water,Bareland,NULL,Non_Wetland,Wetland,Bareland,Grassland
1276,NULL,Water,Bareland,NULL,Non_Wetland,Wetland,Water,Grassland
1277,NULL,Water,Bareland,NULL,Non_Wetland,Bareland,Water,Grassland
1278,NULL,Water,Bareland,NULL,Non_Wetland,Bareland,Water,Forest
1279,NULL,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
1280,NULL,Water,Bareland,NULL,Non_Wetland,Water,Water,Grassland
1281,NULL,Water,Bareland,Non_Water,Non_Wetland,Wetland,Water,Grassland
1282,NULL,Water,Bareland,Non_Water,Non_Wetland,Wetland,Water,Wetland
1283,NULL,Water,Bareland,Water,Non_Wetland,Wetland,Water,Grassland
1284,NULL,Water,Bareland,Water,Non_Wetland,Water,Water,Grassland
1285,NULL,Water,Bareland,Water,Non_Wetland,Water,Water,Wetland
1286,NULL,Water,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
1287,NULL,Water,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
1288,NULL,Water,Built-up,NULL,Non_Wetland,Wetland,Wetland,Forest
1289,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Wetland,Forest
1290,NULL,Water,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
1291,NULL,Water,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
1292,NULL,Water,Built-up,NULL,Non_Wetland,Water,Wetland,Grassland
1293,NULL,Water,Built-up,NULL,Non_Wetland,Water,Water,Water
1294,NULL,Water,Built-up,Water,Non_Wetland,Wetland,Wetland,Grassland
1295,NULL,Water,Built-up,Water,Non_Wetland,Bareland,Water,Built-up
1296,NULL,Water,Built-up,Water,Non_Wetland,Bareland,Water,Water
1297,NULL,Water,Built-up,Water,Non_Wetland,Built-up,Water,Grassland
1298,NULL,Water,Built-up,Water,Non_Wetland,Water,Water,Wetland
1299,NULL,Water,Built-up,Water,Non_Wetland,Water,Water,Forest
1300,NULL,Water,Water,NULL,Water,Built-up,Water,Bareland
1301,NULL,Water,Water,NULL,Water,Water,Wetland,Grassland
1302,NULL,Water,Water,NULL,Water,Water,Water,Grassland
1303,NULL,Water,Water,NULL,Water,Water,Water,Wetland
1304,NULL,Water,Water,Non_Water,Water,Wetland,Water,Forest
1305,NULL,Water,Water,Non_Water,Water,Bareland,Water,Grassland
1306,NULL,Water,Water,Non_Water,Water,Water,Water,Bareland
1307,NULL,Water,Water,Water,Water,Wetland,Water,Water
1308,NULL,Water,Water,Water,Water,Bareland,Water,Water
1309,NULL,Water,Water,Water,Water,Built-up,Water,Grassland
1310,NULL,Water,Water,Water,Water,Built-up,Water,Wetland
1311,NULL,Water,Water,Water,Water,Water,Water,Grassland
1312,NULL,Water,Water,Water,Water,Water,Water,Wetland
1313,NULL,Water,Water,Water,Water,Water,Water,Bareland
1314,NULL,Water,Water,Water,Water,Water,Water,Water
1315,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
1316,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1317,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
1318,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
1319,NULL,Water,Forest,NULL,Non_Wetland,Water,Water,Grassland
1320,NULL,Water,Forest,Water,Non_Wetland,Wetland,Water,Grassland
1321,NULL,Water,Forest,Water,Non_Wetland,Water,Water,Grassland
1322,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1323,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
1324,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1325,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1326,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
1327,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
1328,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
1329,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
1330,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
1331,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1332,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
1333,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
1334,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
1335,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
1336,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
1337,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
1338,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
1339,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
1340,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
1341,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
1342,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
1343,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
1344,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
1345,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
1346,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
1347,NULL,Forest,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
1348,NULL,Forest,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
1349,NULL,Forest,NULL,NULL,Non_Wetland,Built-up,Wetland,Grassland
1350,NULL,Forest,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
1351,NULL,Forest,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
1352,NULL,Forest,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
1353,NULL,Forest,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
1354,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
1355,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
1356,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
1357,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
1358,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
1359,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1360,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
1361,NULL,Forest,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1362,NULL,Forest,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1363,NULL,Forest,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
1364,NULL,Forest,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
1365,NULL,Forest,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
1366,NULL,Forest,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
1367,NULL,Forest,NULL,Water,Non_Wetland,Bareland,Water,Grassland
1368,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1369,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1370,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1371,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
1372,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1373,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
1374,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
1375,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
1376,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
1377,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1378,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
1379,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1380,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
1381,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
1382,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
1383,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
1384,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1385,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
1386,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1387,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
1388,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1389,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
1390,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
1391,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
1392,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1393,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Wetland
1394,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
1395,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
1396,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1397,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
1398,NULL,Forest,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
1399,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
1400,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
1401,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
1402,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1403,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1404,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Forest
1405,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
1406,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Built-up
1407,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
1408,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
1409,NULL,Forest,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
1410,NULL,Forest,Shrubland,Water,Non_Wetland,Water,Water,Grassland
1411,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1412,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
1413,NULL,Forest,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1414,NULL,Forest,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1415,NULL,Forest,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
1416,NULL,Forest,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
1417,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1418,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
1419,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
1420,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
1421,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
1422,NULL,Forest,Wetland,NULL,Wetland,NULL,Wetland,Forest
1423,NULL,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
1424,NULL,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Forest
1425,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
1426,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
1427,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
1428,NULL,Forest,Wetland,NULL,Wetland,Wetland,Bareland,Forest
1429,NULL,Forest,Wetland,NULL,Wetland,Wetland,Water,Grassland
1430,NULL,Forest,Wetland,NULL,Wetland,Wetland,Water,Forest
1431,NULL,Forest,Wetland,NULL,Wetland,Wetland,Forest,Forest
1432,NULL,Forest,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
1433,NULL,Forest,Wetland,NULL,Wetland,Bareland,Wetland,Forest
1434,NULL,Forest,Wetland,NULL,Wetland,Built-up,Grassland,Grassland
1435,NULL,Forest,Wetland,NULL,Wetland,Water,Wetland,Grassland
1436,NULL,Forest,Wetland,NULL,Wetland,Water,Wetland,Wetland
1437,NULL,Forest,Wetland,NULL,Wetland,Water,Wetland,Forest
1438,NULL,Forest,Wetland,NULL,Wetland,Water,Water,Grassland
1439,NULL,Forest,Wetland,NULL,Wetland,Forest,Grassland,Forest
1440,NULL,Forest,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
1441,NULL,Forest,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
1442,NULL,Forest,Wetland,Non_Water,Wetland,Grassland,Water,Forest
1443,NULL,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
1444,NULL,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
1445,NULL,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
1446,NULL,Forest,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
1447,NULL,Forest,Wetland,Non_Water,Wetland,Wetland,Water,Forest
1448,NULL,Forest,Wetland,Non_Water,Wetland,Bareland,Wetland,Forest
1449,NULL,Forest,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
1450,NULL,Forest,Wetland,Non_Water,Wetland,Water,Water,Grassland
1451,NULL,Forest,Wetland,Non_Water,Wetland,Water,Water,Forest
1452,NULL,Forest,Wetland,Water,Wetland,Wetland,Wetland,Grassland
1453,NULL,Forest,Wetland,Water,Wetland,Wetland,Wetland,Wetland
1454,NULL,Forest,Wetland,Water,Wetland,Wetland,Wetland,Forest
1455,NULL,Forest,Wetland,Water,Wetland,Wetland,Water,Grassland
1456,NULL,Forest,Wetland,Water,Wetland,Wetland,Water,Wetland
1457,NULL,Forest,Wetland,Water,Wetland,Wetland,Water,Water
1458,NULL,Forest,Wetland,Water,Wetland,Bareland,Wetland,Grassland
1459,NULL,Forest,Wetland,Water,Wetland,Water,Wetland,Grassland
1460,NULL,Forest,Wetland,Water,Wetland,Water,Wetland,Wetland
1461,NULL,Forest,Wetland,Water,Wetland,Water,Wetland,Forest
1462,NULL,Forest,Wetland,Water,Wetland,Water,Water,Grassland
1463,NULL,Forest,Wetland,Water,Wetland,Water,Water,Wetland
1464,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
1465,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
1466,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland,Water,Grassland
1467,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
1468,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1469,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
1470,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland,Wetland,Forest
1471,NULL,Forest,Bareland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1472,NULL,Forest,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
1473,NULL,Forest,Bareland,NULL,Non_Wetland,Forest,Wetland,Forest
1474,NULL,Forest,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
1475,NULL,Forest,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1476,NULL,Forest,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1477,NULL,Forest,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1478,NULL,Forest,Bareland,Non_Water,Non_Wetland,Wetland,Water,Grassland
1479,NULL,Forest,Bareland,Non_Water,Non_Wetland,Wetland,Water,Forest
1480,NULL,Forest,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
1481,NULL,Forest,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
1482,NULL,Forest,Bareland,Water,Non_Wetland,Wetland,Wetland,Forest
1483,NULL,Forest,Bareland,Water,Non_Wetland,Water,Wetland,Wetland
1484,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
1485,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
1486,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
1487,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
1488,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
1489,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Forest,Forest
1490,NULL,Forest,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
1491,NULL,Forest,Built-up,NULL,Non_Wetland,Wetland,Wetland,Forest
1492,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
1493,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
1494,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
1495,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
1496,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
1497,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
1498,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
1499,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Forest,Forest
1500,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up,Bareland,Forest
1501,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
1502,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
1503,NULL,Forest,Built-up,Non_Water,Non_Wetland,Grassland,Water,Grassland
1504,NULL,Forest,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1505,NULL,Forest,Built-up,Non_Water,Non_Wetland,Wetland,Water,Grassland
1506,NULL,Forest,Built-up,Non_Water,Non_Wetland,Wetland,Water,Forest
1507,NULL,Forest,Built-up,Non_Water,Non_Wetland,Bareland,Water,Grassland
1508,NULL,Forest,Built-up,Water,Non_Wetland,Wetland,Wetland,Grassland
1509,NULL,Forest,Water,NULL,Water,Wetland,Wetland,Grassland
1510,NULL,Forest,Water,Non_Water,Water,Wetland,Wetland,Grassland
1511,NULL,Forest,Water,Non_Water,Water,Wetland,Wetland,Forest
1512,NULL,Forest,Water,Non_Water,Water,Wetland,Water,Grassland
1513,NULL,Forest,Water,Non_Water,Water,Wetland,Water,Forest
1514,NULL,Forest,Water,Water,Water,Wetland,Wetland,Grassland
1515,NULL,Forest,Water,Water,Water,Wetland,Wetland,Wetland
1516,NULL,Forest,Water,Water,Water,Wetland,Water,Wetland
1517,NULL,Forest,Water,Water,Water,Wetland,Water,Water
1518,NULL,Forest,Water,Water,Water,Wetland,Water,Forest
1519,NULL,Forest,Water,Water,Water,Water,Wetland,Grassland
1520,NULL,Forest,Water,Water,Water,Water,Wetland,Wetland
1521,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
1522,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
1523,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
1524,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
1525,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1526,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1527,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1528,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1529,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
1530,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
1531,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
1532,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1533,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
1534,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1535,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
1536,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1537,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
1538,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
1539,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Water,Forest
1540,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
1541,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
1542,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1543,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
1544,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
1545,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
1546,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Built-up
1547,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
1548,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
1549,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
1550,NULL,Forest,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
1551,NULL,Forest,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
1552,NULL,Forest,Forest,NULL,Non_Wetland,Built-up,Wetland,Forest
1553,NULL,Forest,Forest,NULL,Non_Wetland,Built-up,Bareland,Grassland
1554,NULL,Forest,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
1555,NULL,Forest,Forest,NULL,Non_Wetland,Water,Grassland,Forest
1556,NULL,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
1557,NULL,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
1558,NULL,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
1559,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1560,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
1561,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
1562,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
1563,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1564,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1565,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1566,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland,Water,Grassland
1567,NULL,Forest,Forest,Non_Water,Non_Wetland,Bareland,Water,Grassland
1568,NULL,Forest,Forest,Non_Water,Non_Wetland,Water,Wetland,Grassland
1569,NULL,Forest,Forest,Non_Water,Non_Wetland,Water,Water,Grassland
1570,NULL,Forest,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
1571,NULL,Forest,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
1572,NULL,Forest,Forest,Water,Non_Wetland,Water,Wetland,Wetland
1573,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1574,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
1575,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1576,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1577,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1578,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
1579,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
1580,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
1581,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
1582,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
1583,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1584,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
1585,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
1586,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
1587,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
1588,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
1589,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
1590,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
1591,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
1592,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
1593,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
1594,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1595,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
1596,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
1597,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
1598,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
1599,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
1600,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
1601,Grassland,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
1602,Grassland,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
1603,Grassland,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
1604,Grassland,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
1605,Grassland,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
1606,Grassland,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
1607,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
1608,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
1609,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1610,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1611,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
