Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MNR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MNR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MNR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MNR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MNR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MNR_M_R
13364,Wetland,Water,Wetland,NULL,Wetland,Bareland,Water,Wetland
13365,Wetland,Water,Wetland,NULL,Wetland,Bareland,Water,Water
13366,Wetland,Water,Wetland,NULL,Wetland,Built-up,Wetland,Grassland
13367,Wetland,Water,Wetland,NULL,Wetland,Water,NULL,Wetland
13368,Wetland,Water,Wetland,NULL,Wetland,Water,NULL,Water
13369,Wetland,Water,Wetland,NULL,Wetland,Water,Grassland,Grassland
13370,Wetland,Water,Wetland,NULL,Wetland,Water,Grassland,Wetland
13371,Wetland,Water,Wetland,NULL,Wetland,Water,Grassland,Water
13372,Wetland,Water,Wetland,NULL,Wetland,Water,Wetland,NULL
13373,Wetland,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
13374,Wetland,Water,Wetland,NULL,Wetland,Water,Wetland,Wetland
13375,Wetland,Water,Wetland,NULL,Wetland,Water,Wetland,Water
13376,Wetland,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
13377,Wetland,Water,Wetland,NULL,Wetland,Water,Built-up,Water
13378,Wetland,Water,Wetland,NULL,Wetland,Water,Water,NULL
13379,Wetland,Water,Wetland,NULL,Wetland,Water,Water,Grassland
13380,Wetland,Water,Wetland,NULL,Wetland,Water,Water,Wetland
13381,Wetland,Water,Wetland,NULL,Wetland,Water,Water,Water
13382,Wetland,Water,Wetland,NULL,Wetland,Water,Water,Forest
13383,Wetland,Water,Wetland,NULL,Wetland,Water,Forest,Grassland
13384,Wetland,Water,Wetland,NULL,Wetland,Water,Forest,Wetland
13385,Wetland,Water,Wetland,NULL,Wetland,Water,Forest,Water
13386,Wetland,Water,Wetland,NULL,Wetland,Forest,NULL,Wetland
13387,Wetland,Water,Wetland,NULL,Wetland,Forest,Wetland,Grassland
13388,Wetland,Water,Wetland,NULL,Wetland,Forest,Wetland,Wetland
13389,Wetland,Water,Wetland,NULL,Wetland,Forest,Wetland,Forest
13390,Wetland,Water,Wetland,NULL,Wetland,Forest,Water,NULL
13391,Wetland,Water,Wetland,NULL,Wetland,Forest,Water,Grassland
13392,Wetland,Water,Wetland,NULL,Wetland,Forest,Water,Wetland
13393,Wetland,Water,Wetland,NULL,Wetland,Forest,Water,Water
13394,Wetland,Water,Wetland,NULL,Wetland,Forest,Water,Forest
13395,Wetland,Water,Wetland,NULL,Wetland,Forest,Forest,Forest
13396,Wetland,Water,Wetland,Non_Water,Wetland,NULL,Grassland,Water
13397,Wetland,Water,Wetland,Non_Water,Wetland,NULL,Wetland,NULL
13398,Wetland,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Grassland
13399,Wetland,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Cropland
13400,Wetland,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Wetland
13401,Wetland,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
13402,Wetland,Water,Wetland,Non_Water,Wetland,NULL,Water,Grassland
13403,Wetland,Water,Wetland,Non_Water,Wetland,NULL,Water,Wetland
13404,Wetland,Water,Wetland,Non_Water,Wetland,NULL,Water,Water
13405,Wetland,Water,Wetland,Non_Water,Wetland,NULL,Water,Forest
13406,Wetland,Water,Wetland,Non_Water,Wetland,NULL,Forest,Forest
13407,Wetland,Water,Wetland,Non_Water,Wetland,Shrubland,Wetland,Grassland
13408,Wetland,Water,Wetland,Non_Water,Wetland,Shrubland,Wetland,Wetland
13409,Wetland,Water,Wetland,Non_Water,Wetland,Shrubland,Water,Grassland
13410,Wetland,Water,Wetland,Non_Water,Wetland,Grassland,NULL,Wetland
13411,Wetland,Water,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
13412,Wetland,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,NULL
13413,Wetland,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
13414,Wetland,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
13415,Wetland,Water,Wetland,Non_Water,Wetland,Grassland,Water,NULL
13416,Wetland,Water,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
13417,Wetland,Water,Wetland,Non_Water,Wetland,Wetland,Grassland,Wetland
13418,Wetland,Water,Wetland,Non_Water,Wetland,Wetland,Grassland,Water
13419,Wetland,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,NULL
13420,Wetland,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
13421,Wetland,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
13422,Wetland,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
13423,Wetland,Water,Wetland,Non_Water,Wetland,Wetland,Water,NULL
13424,Wetland,Water,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
13425,Wetland,Water,Wetland,Non_Water,Wetland,Wetland,Water,Cropland
13426,Wetland,Water,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
13427,Wetland,Water,Wetland,Non_Water,Wetland,Wetland,Water,Water
13428,Wetland,Water,Wetland,Non_Water,Wetland,Wetland,Water,Forest
13429,Wetland,Water,Wetland,Non_Water,Wetland,Bareland,Grassland,Wetland
13430,Wetland,Water,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
13431,Wetland,Water,Wetland,Non_Water,Wetland,Water,Grassland,Grassland
13432,Wetland,Water,Wetland,Non_Water,Wetland,Water,Grassland,Forest
13433,Wetland,Water,Wetland,Non_Water,Wetland,Water,Wetland,NULL
13434,Wetland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
13435,Wetland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Cropland
13436,Wetland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
13437,Wetland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
13438,Wetland,Water,Wetland,Non_Water,Wetland,Water,Water,NULL
13439,Wetland,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
13440,Wetland,Water,Wetland,Non_Water,Wetland,Water,Water,Cropland
13441,Wetland,Water,Wetland,Non_Water,Wetland,Water,Water,Wetland
13442,Wetland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
13443,Wetland,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
13444,Wetland,Water,Wetland,Non_Water,Wetland,Forest,Grassland,Forest
13445,Wetland,Water,Wetland,Non_Water,Wetland,Forest,Water,Wetland
13446,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
13447,Wetland,Water,Wetland,Water,Wetland,NULL,Wetland,Grassland
13448,Wetland,Water,Wetland,Water,Wetland,NULL,Wetland,Wetland
13449,Wetland,Water,Wetland,Water,Wetland,NULL,Wetland,Water
13450,Wetland,Water,Wetland,Water,Wetland,NULL,Wetland,Forest
13451,Wetland,Water,Wetland,Water,Wetland,NULL,Water,Grassland
13452,Wetland,Water,Wetland,Water,Wetland,NULL,Water,Wetland
13453,Wetland,Water,Wetland,Water,Wetland,NULL,Water,Water
13454,Wetland,Water,Wetland,Water,Wetland,NULL,Water,Forest
13455,Wetland,Water,Wetland,Water,Wetland,NULL,Forest,Wetland
13456,Wetland,Water,Wetland,Water,Wetland,Shrubland,Grassland,Wetland
13457,Wetland,Water,Wetland,Water,Wetland,Grassland,NULL,Grassland
13458,Wetland,Water,Wetland,Water,Wetland,Grassland,NULL,Water
13459,Wetland,Water,Wetland,Water,Wetland,Grassland,Wetland,Grassland
13460,Wetland,Water,Wetland,Water,Wetland,Grassland,Wetland,Wetland
13461,Wetland,Water,Wetland,Water,Wetland,Grassland,Water,Wetland
13462,Wetland,Water,Wetland,Water,Wetland,Grassland,Water,Water
13463,Wetland,Water,Wetland,Water,Wetland,Wetland,Grassland,Grassland
13464,Wetland,Water,Wetland,Water,Wetland,Wetland,Grassland,Wetland
13465,Wetland,Water,Wetland,Water,Wetland,Wetland,Wetland,Grassland
13466,Wetland,Water,Wetland,Water,Wetland,Wetland,Wetland,Cropland
13467,Wetland,Water,Wetland,Water,Wetland,Wetland,Wetland,Wetland
13468,Wetland,Water,Wetland,Water,Wetland,Wetland,Wetland,Water
13469,Wetland,Water,Wetland,Water,Wetland,Wetland,Wetland,Forest
13470,Wetland,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
13471,Wetland,Water,Wetland,Water,Wetland,Wetland,Water,Cropland
13472,Wetland,Water,Wetland,Water,Wetland,Wetland,Water,Wetland
13473,Wetland,Water,Wetland,Water,Wetland,Wetland,Water,Water
13474,Wetland,Water,Wetland,Water,Wetland,Wetland,Water,Forest
13475,Wetland,Water,Wetland,Water,Wetland,Wetland,Forest,Wetland
13476,Wetland,Water,Wetland,Water,Wetland,Bareland,Grassland,Grassland
13477,Wetland,Water,Wetland,Water,Wetland,Bareland,Water,Grassland
13478,Wetland,Water,Wetland,Water,Wetland,Bareland,Water,Water
13479,Wetland,Water,Wetland,Water,Wetland,Water,Grassland,Water
13480,Wetland,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
13481,Wetland,Water,Wetland,Water,Wetland,Water,Wetland,Wetland
13482,Wetland,Water,Wetland,Water,Wetland,Water,Wetland,Water
13483,Wetland,Water,Wetland,Water,Wetland,Water,Water,Grassland
13484,Wetland,Water,Wetland,Water,Wetland,Water,Water,Cropland
13485,Wetland,Water,Wetland,Water,Wetland,Water,Water,Wetland
13486,Wetland,Water,Wetland,Water,Wetland,Water,Water,Water
13487,Wetland,Water,Wetland,Water,Wetland,Water,Forest,Wetland
13488,Wetland,Water,Wetland,Water,Wetland,Water,Forest,Water
13489,Wetland,Water,Wetland,Water,Wetland,Forest,Wetland,Wetland
13490,Wetland,Water,Wetland,Water,Wetland,Forest,Water,Wetland
13491,Wetland,Water,Wetland,Water,Wetland,Forest,Water,Water
13492,Wetland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
13493,Wetland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
13494,Wetland,Water,Bareland,NULL,Non_Wetland,NULL,Grassland,Grassland
13495,Wetland,Water,Bareland,NULL,Non_Wetland,Grassland,NULL,Water
13496,Wetland,Water,Bareland,NULL,Non_Wetland,Grassland,Grassland,NULL
13497,Wetland,Water,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
13498,Wetland,Water,Bareland,NULL,Non_Wetland,Grassland,Water,Grassland
13499,Wetland,Water,Bareland,NULL,Non_Wetland,Wetland,Water,Grassland
13500,Wetland,Water,Bareland,NULL,Non_Wetland,Forest,Forest,NULL
13501,Wetland,Water,Bareland,Water,Non_Wetland,Wetland,Water,Wetland
13502,Wetland,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
13503,Wetland,Water,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
13504,Wetland,Water,Built-up,NULL,Non_Wetland,Wetland,Forest,Grassland
13505,Wetland,Water,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
13506,Wetland,Water,Built-up,NULL,Non_Wetland,Water,Water,NULL
13507,Wetland,Water,Built-up,NULL,Non_Wetland,Water,Water,Wetland
13508,Wetland,Water,Built-up,NULL,Non_Wetland,Forest,Forest,Wetland
13509,Wetland,Water,Built-up,Non_Water,Non_Wetland,Wetland,Water,Wetland
13510,Wetland,Water,Built-up,Non_Water,Non_Wetland,Water,Water,Wetland
13511,Wetland,Water,Built-up,Water,Non_Wetland,Wetland,Water,Wetland
13512,Wetland,Water,Built-up,Water,Non_Wetland,Water,Water,Wetland
13513,Wetland,Water,Water,NULL,Water,NULL,Grassland,Water
13514,Wetland,Water,Water,NULL,Water,NULL,Wetland,Grassland
13515,Wetland,Water,Water,NULL,Water,NULL,Wetland,Wetland
13516,Wetland,Water,Water,NULL,Water,NULL,Water,Grassland
13517,Wetland,Water,Water,NULL,Water,NULL,Water,Wetland
13518,Wetland,Water,Water,NULL,Water,NULL,Water,Forest
13519,Wetland,Water,Water,NULL,Water,Shrubland,Water,Water
13520,Wetland,Water,Water,NULL,Water,Grassland,Grassland,Grassland
13521,Wetland,Water,Water,NULL,Water,Grassland,Water,Grassland
13522,Wetland,Water,Water,NULL,Water,Grassland,Water,Water
13523,Wetland,Water,Water,NULL,Water,Wetland,NULL,Water
13524,Wetland,Water,Water,NULL,Water,Wetland,Grassland,Grassland
13525,Wetland,Water,Water,NULL,Water,Wetland,Wetland,Grassland
13526,Wetland,Water,Water,NULL,Water,Wetland,Wetland,Wetland
13527,Wetland,Water,Water,NULL,Water,Wetland,Water,Grassland
13528,Wetland,Water,Water,NULL,Water,Wetland,Water,Cropland
13529,Wetland,Water,Water,NULL,Water,Wetland,Water,Wetland
13530,Wetland,Water,Water,NULL,Water,Wetland,Water,Water
13531,Wetland,Water,Water,NULL,Water,Water,Grassland,Water
13532,Wetland,Water,Water,NULL,Water,Water,Water,Grassland
13533,Wetland,Water,Water,NULL,Water,Water,Water,Wetland
13534,Wetland,Water,Water,NULL,Water,Water,Water,Water
13535,Wetland,Water,Water,NULL,Water,Forest,Water,Water
13536,Wetland,Water,Water,Non_Water,Water,NULL,Wetland,Wetland
13537,Wetland,Water,Water,Non_Water,Water,NULL,Water,Grassland
13538,Wetland,Water,Water,Non_Water,Water,NULL,Water,Wetland
13539,Wetland,Water,Water,Non_Water,Water,NULL,Water,Water
13540,Wetland,Water,Water,Non_Water,Water,Grassland,Water,Wetland
13541,Wetland,Water,Water,Non_Water,Water,Wetland,Grassland,Forest
13542,Wetland,Water,Water,Non_Water,Water,Wetland,Wetland,NULL
13543,Wetland,Water,Water,Non_Water,Water,Wetland,Water,NULL
13544,Wetland,Water,Water,Non_Water,Water,Wetland,Water,Grassland
13545,Wetland,Water,Water,Non_Water,Water,Wetland,Water,Wetland
13546,Wetland,Water,Water,Non_Water,Water,Water,Wetland,Wetland
13547,Wetland,Water,Water,Non_Water,Water,Water,Water,Grassland
13548,Wetland,Water,Water,Non_Water,Water,Water,Water,Wetland
13549,Wetland,Water,Water,Non_Water,Water,Water,Water,Water
13550,Wetland,Water,Water,Water,Water,NULL,NULL,Wetland
13551,Wetland,Water,Water,Water,Water,NULL,NULL,Water
13552,Wetland,Water,Water,Water,Water,NULL,Grassland,Grassland
13553,Wetland,Water,Water,Water,Water,NULL,Grassland,Water
13554,Wetland,Water,Water,Water,Water,NULL,Wetland,Grassland
13555,Wetland,Water,Water,Water,Water,NULL,Wetland,Wetland
13556,Wetland,Water,Water,Water,Water,NULL,Wetland,Water
13557,Wetland,Water,Water,Water,Water,NULL,Water,Grassland
13558,Wetland,Water,Water,Water,Water,NULL,Water,Wetland
13559,Wetland,Water,Water,Water,Water,NULL,Water,Water
13560,Wetland,Water,Water,Water,Water,NULL,Water,Forest
13561,Wetland,Water,Water,Water,Water,NULL,Forest,Grassland
13562,Wetland,Water,Water,Water,Water,Shrubland,Water,Grassland
13563,Wetland,Water,Water,Water,Water,Grassland,Water,Wetland
13564,Wetland,Water,Water,Water,Water,Grassland,Water,Water
13565,Wetland,Water,Water,Water,Water,Wetland,Grassland,Grassland
13566,Wetland,Water,Water,Water,Water,Wetland,Grassland,Wetland
13567,Wetland,Water,Water,Water,Water,Wetland,Wetland,Grassland
13568,Wetland,Water,Water,Water,Water,Wetland,Wetland,Wetland
13569,Wetland,Water,Water,Water,Water,Wetland,Wetland,Water
13570,Wetland,Water,Water,Water,Water,Wetland,Water,Grassland
13571,Wetland,Water,Water,Water,Water,Wetland,Water,Wetland
13572,Wetland,Water,Water,Water,Water,Wetland,Water,Water
13573,Wetland,Water,Water,Water,Water,Bareland,Water,Water
13574,Wetland,Water,Water,Water,Water,Water,NULL,Water
13575,Wetland,Water,Water,Water,Water,Water,Grassland,Wetland
13576,Wetland,Water,Water,Water,Water,Water,Grassland,Water
13577,Wetland,Water,Water,Water,Water,Water,Wetland,Grassland
13578,Wetland,Water,Water,Water,Water,Water,Wetland,Wetland
13579,Wetland,Water,Water,Water,Water,Water,Wetland,Water
13580,Wetland,Water,Water,Water,Water,Water,Water,Grassland
13581,Wetland,Water,Water,Water,Water,Water,Water,Wetland
13582,Wetland,Water,Water,Water,Water,Water,Water,Bareland
13583,Wetland,Water,Water,Water,Water,Water,Water,Water
13584,Wetland,Water,Water,Water,Water,Water,Water,Forest
13585,Wetland,Water,Water,Water,Water,Water,Forest,Water
13586,Wetland,Water,Water,Water,Water,Forest,Wetland,Grassland
13587,Wetland,Water,Water,Water,Water,Forest,Water,Grassland
13588,Wetland,Water,Water,Water,Water,Forest,Water,Wetland
13589,Wetland,Water,Water,Water,Water,Forest,Forest,Forest
13590,Wetland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
13591,Wetland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
13592,Wetland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
13593,Wetland,Water,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
13594,Wetland,Water,Forest,NULL,Non_Wetland,NULL,Grassland,Wetland
13595,Wetland,Water,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
13596,Wetland,Water,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
13597,Wetland,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
13598,Wetland,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Wetland
13599,Wetland,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Water
13600,Wetland,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
13601,Wetland,Water,Forest,NULL,Non_Wetland,NULL,Water,Grassland
13602,Wetland,Water,Forest,NULL,Non_Wetland,NULL,Water,Wetland
13603,Wetland,Water,Forest,NULL,Non_Wetland,NULL,Water,Water
13604,Wetland,Water,Forest,NULL,Non_Wetland,NULL,Water,Forest
13605,Wetland,Water,Forest,NULL,Non_Wetland,NULL,Forest,NULL
13606,Wetland,Water,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
13607,Wetland,Water,Forest,NULL,Non_Wetland,NULL,Forest,Wetland
13608,Wetland,Water,Forest,NULL,Non_Wetland,NULL,Forest,Water
13609,Wetland,Water,Forest,NULL,Non_Wetland,NULL,Forest,Forest
13610,Wetland,Water,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
13611,Wetland,Water,Forest,NULL,Non_Wetland,Shrubland,Grassland,Water
13612,Wetland,Water,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
13613,Wetland,Water,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
13614,Wetland,Water,Forest,NULL,Non_Wetland,Shrubland,Wetland,Wetland
13615,Wetland,Water,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
13616,Wetland,Water,Forest,NULL,Non_Wetland,Shrubland,Water,Grassland
13617,Wetland,Water,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
13618,Wetland,Water,Forest,NULL,Non_Wetland,Grassland,NULL,Wetland
13619,Wetland,Water,Forest,NULL,Non_Wetland,Grassland,NULL,Water
13620,Wetland,Water,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
13621,Wetland,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
13622,Wetland,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Wetland
13623,Wetland,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Water
13624,Wetland,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
13625,Wetland,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
13626,Wetland,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Wetland
13627,Wetland,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Water
13628,Wetland,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
13629,Wetland,Water,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
13630,Wetland,Water,Forest,NULL,Non_Wetland,Grassland,Water,Wetland
13631,Wetland,Water,Forest,NULL,Non_Wetland,Grassland,Water,Water
13632,Wetland,Water,Forest,NULL,Non_Wetland,Grassland,Water,Forest
13633,Wetland,Water,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
13634,Wetland,Water,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
13635,Wetland,Water,Forest,NULL,Non_Wetland,Grassland,Forest,Wetland
13636,Wetland,Water,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
13637,Wetland,Water,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
13638,Wetland,Water,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
13639,Wetland,Water,Forest,NULL,Non_Wetland,Wetland,Grassland,Cropland
13640,Wetland,Water,Forest,NULL,Non_Wetland,Wetland,Grassland,Wetland
13641,Wetland,Water,Forest,NULL,Non_Wetland,Wetland,Grassland,Water
13642,Wetland,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
13643,Wetland,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
13644,Wetland,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Cropland
13645,Wetland,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
13646,Wetland,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Water
13647,Wetland,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
13648,Wetland,Water,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
13649,Wetland,Water,Forest,NULL,Non_Wetland,Wetland,Water,Wetland
13650,Wetland,Water,Forest,NULL,Non_Wetland,Wetland,Water,Water
13651,Wetland,Water,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
13652,Wetland,Water,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
13653,Wetland,Water,Forest,NULL,Non_Wetland,Wetland,Forest,Water
13654,Wetland,Water,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
13655,Wetland,Water,Forest,NULL,Non_Wetland,Water,NULL,Grassland
13656,Wetland,Water,Forest,NULL,Non_Wetland,Water,NULL,Wetland
13657,Wetland,Water,Forest,NULL,Non_Wetland,Water,NULL,Water
13658,Wetland,Water,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
13659,Wetland,Water,Forest,NULL,Non_Wetland,Water,Grassland,Wetland
13660,Wetland,Water,Forest,NULL,Non_Wetland,Water,Grassland,Water
13661,Wetland,Water,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
13662,Wetland,Water,Forest,NULL,Non_Wetland,Water,Wetland,Wetland
13663,Wetland,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
13664,Wetland,Water,Forest,NULL,Non_Wetland,Water,Water,Grassland
13665,Wetland,Water,Forest,NULL,Non_Wetland,Water,Water,Cropland
13666,Wetland,Water,Forest,NULL,Non_Wetland,Water,Water,Water
13667,Wetland,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
13668,Wetland,Water,Forest,NULL,Non_Wetland,Water,Forest,NULL
13669,Wetland,Water,Forest,NULL,Non_Wetland,Water,Forest,Grassland
13670,Wetland,Water,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
13671,Wetland,Water,Forest,NULL,Non_Wetland,Forest,Grassland,Wetland
13672,Wetland,Water,Forest,NULL,Non_Wetland,Forest,Grassland,Water
13673,Wetland,Water,Forest,NULL,Non_Wetland,Forest,Wetland,NULL
13674,Wetland,Water,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
13675,Wetland,Water,Forest,NULL,Non_Wetland,Forest,Water,Wetland
13676,Wetland,Water,Forest,NULL,Non_Wetland,Forest,Forest,NULL
13677,Wetland,Water,Forest,NULL,Non_Wetland,Forest,Forest,Wetland
13678,Wetland,Water,Forest,NULL,Non_Wetland,Forest,Forest,Forest
13679,Wetland,Water,Forest,Non_Water,Non_Wetland,NULL,Grassland,Wetland
13680,Wetland,Water,Forest,Non_Water,Non_Wetland,NULL,Wetland,NULL
13681,Wetland,Water,Forest,Non_Water,Non_Wetland,NULL,Wetland,Grassland
13682,Wetland,Water,Forest,Non_Water,Non_Wetland,NULL,Wetland,Wetland
13683,Wetland,Water,Forest,Non_Water,Non_Wetland,NULL,Wetland,Forest
13684,Wetland,Water,Forest,Non_Water,Non_Wetland,NULL,Water,Grassland
13685,Wetland,Water,Forest,Non_Water,Non_Wetland,NULL,Water,Wetland
13686,Wetland,Water,Forest,Non_Water,Non_Wetland,NULL,Water,Forest
13687,Wetland,Water,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
13688,Wetland,Water,Forest,Non_Water,Non_Wetland,Grassland,Water,Grassland
13689,Wetland,Water,Forest,Non_Water,Non_Wetland,Grassland,Water,Wetland
13690,Wetland,Water,Forest,Non_Water,Non_Wetland,Grassland,Forest,Grassland
13691,Wetland,Water,Forest,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
13692,Wetland,Water,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
13693,Wetland,Water,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
13694,Wetland,Water,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
13695,Wetland,Water,Forest,Non_Water,Non_Wetland,Wetland,Water,NULL
13696,Wetland,Water,Forest,Non_Water,Non_Wetland,Wetland,Water,Grassland
13697,Wetland,Water,Forest,Non_Water,Non_Wetland,Wetland,Water,Wetland
13698,Wetland,Water,Forest,Non_Water,Non_Wetland,Bareland,Grassland,Wetland
13699,Wetland,Water,Forest,Non_Water,Non_Wetland,Water,Grassland,Grassland
13700,Wetland,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Grassland
13701,Wetland,Water,Forest,Non_Water,Non_Wetland,Water,Water,NULL
13702,Wetland,Water,Forest,Non_Water,Non_Wetland,Water,Water,Grassland
13703,Wetland,Water,Forest,Non_Water,Non_Wetland,Water,Water,Wetland
13704,Wetland,Water,Forest,Non_Water,Non_Wetland,Forest,Water,Wetland
13705,Wetland,Water,Forest,Water,Non_Wetland,NULL,Grassland,Grassland
13706,Wetland,Water,Forest,Water,Non_Wetland,NULL,Grassland,Water
13707,Wetland,Water,Forest,Water,Non_Wetland,NULL,Water,Water
13708,Wetland,Water,Forest,Water,Non_Wetland,Shrubland,Wetland,Wetland
13709,Wetland,Water,Forest,Water,Non_Wetland,Grassland,NULL,Water
13710,Wetland,Water,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
13711,Wetland,Water,Forest,Water,Non_Wetland,Grassland,Wetland,Wetland
13712,Wetland,Water,Forest,Water,Non_Wetland,Grassland,Water,Water
13713,Wetland,Water,Forest,Water,Non_Wetland,Wetland,NULL,Water
13714,Wetland,Water,Forest,Water,Non_Wetland,Wetland,Grassland,Grassland
13715,Wetland,Water,Forest,Water,Non_Wetland,Wetland,Grassland,Wetland
13716,Wetland,Water,Forest,Water,Non_Wetland,Wetland,Wetland,Wetland
13717,Wetland,Water,Forest,Water,Non_Wetland,Wetland,Wetland,Water
13718,Wetland,Water,Forest,Water,Non_Wetland,Wetland,Water,Grassland
13719,Wetland,Water,Forest,Water,Non_Wetland,Wetland,Water,Wetland
13720,Wetland,Water,Forest,Water,Non_Wetland,Wetland,Water,Forest
13721,Wetland,Water,Forest,Water,Non_Wetland,Bareland,Water,Water
13722,Wetland,Water,Forest,Water,Non_Wetland,Water,Grassland,Grassland
13723,Wetland,Water,Forest,Water,Non_Wetland,Water,Wetland,Wetland
