Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MPU_M_R
1020,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
1021,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Forest
1022,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
1023,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
1024,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland,Grassland,Forest
1025,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland,Bareland,Grassland
1026,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland,Bareland,Forest
1027,NULL,Built-up,Cropland,Water,Non_Wetland,Water,Grassland,Grassland
1028,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
1029,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Grassland,Forest
1030,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
1031,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Wetland,Forest
1032,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Bareland,Forest
1033,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Built-up,Forest
1034,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Water,Forest
1035,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Forest,Forest
1036,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
1037,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Grassland,Forest
1038,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
1039,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Wetland,Forest
1040,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Bareland,Forest
1041,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Built-up,Forest
1042,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Water,Forest
1043,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Forest,Grassland
1044,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Forest,Forest
1045,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Grassland,Forest
1046,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Wetland,Forest
1047,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Bareland,Forest
1048,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Built-up,Forest
1049,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Bareland,Forest
1050,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Built-up,Water
1051,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Built-up,Forest
1052,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Water,Forest
1053,NULL,Built-up,Wetland,NULL,Wetland,Water,Grassland,Forest
1054,NULL,Built-up,Wetland,NULL,Wetland,Forest,Built-up,Forest
1055,NULL,Built-up,Wetland,Non_Water,Wetland,Grassland,Bareland,Forest
1056,NULL,Built-up,Wetland,Non_Water,Wetland,Grassland,Water,Forest
1057,NULL,Built-up,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
1058,NULL,Built-up,Wetland,Non_Water,Wetland,Wetland,Bareland,Grassland
1059,NULL,Built-up,Wetland,Non_Water,Wetland,Wetland,Bareland,Forest
1060,NULL,Built-up,Wetland,Non_Water,Wetland,Wetland,Water,Forest
1061,NULL,Built-up,Wetland,Non_Water,Wetland,Built-up,Built-up,Water
1062,NULL,Built-up,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
1063,NULL,Built-up,Wetland,Non_Water,Wetland,Water,Water,Forest
1064,NULL,Built-up,Wetland,Water,Wetland,Grassland,Wetland,Grassland
1065,NULL,Built-up,Wetland,Water,Wetland,Grassland,Bareland,Grassland
1066,NULL,Built-up,Wetland,Water,Wetland,Grassland,Bareland,Forest
1067,NULL,Built-up,Wetland,Water,Wetland,Grassland,Built-up,Grassland
1068,NULL,Built-up,Wetland,Water,Wetland,Grassland,Water,Grassland
1069,NULL,Built-up,Wetland,Water,Wetland,Grassland,Water,Forest
1070,NULL,Built-up,Wetland,Water,Wetland,Wetland,Wetland,Grassland
1071,NULL,Built-up,Wetland,Water,Wetland,Wetland,Bareland,Grassland
1072,NULL,Built-up,Wetland,Water,Wetland,Wetland,Bareland,Forest
1073,NULL,Built-up,Wetland,Water,Wetland,Wetland,Built-up,Grassland
1074,NULL,Built-up,Wetland,Water,Wetland,Wetland,Water,Grassland
1075,NULL,Built-up,Wetland,Water,Wetland,Wetland,Water,Built-up
1076,NULL,Built-up,Wetland,Water,Wetland,Wetland,Water,Forest
1077,NULL,Built-up,Wetland,Water,Wetland,Bareland,Built-up,Forest
1078,NULL,Built-up,Wetland,Water,Wetland,Built-up,Built-up,Bareland
1079,NULL,Built-up,Wetland,Water,Wetland,Built-up,Built-up,Water
1080,NULL,Built-up,Wetland,Water,Wetland,Built-up,Water,Forest
1081,NULL,Built-up,Wetland,Water,Wetland,Water,Wetland,Wetland
1082,NULL,Built-up,Wetland,Water,Wetland,Water,Built-up,Wetland
1083,NULL,Built-up,Wetland,Water,Wetland,Water,Water,Wetland
1084,NULL,Built-up,Wetland,Water,Wetland,Water,Water,Water
1085,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
1086,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Bareland,Grassland
1087,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Bareland,Forest
1088,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up,Built-up,Forest
1089,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Water,Forest
1090,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1091,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
1092,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1093,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
1094,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Bareland,Forest
1095,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
1096,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
1097,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Bareland,Grassland
1098,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Bareland,Forest
1099,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1100,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Water,Forest
1101,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Grassland,Water,Grassland
1102,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Wetland,Bareland,Forest
1103,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Wetland,Water,Grassland
1104,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Wetland,Water,Forest
1105,NULL,Built-up,Bareland,Water,Non_Wetland,Grassland,Grassland,Grassland
1106,NULL,Built-up,Bareland,Water,Non_Wetland,Grassland,Grassland,Forest
1107,NULL,Built-up,Bareland,Water,Non_Wetland,Grassland,Bareland,Grassland
1108,NULL,Built-up,Bareland,Water,Non_Wetland,Grassland,Water,Water
1109,NULL,Built-up,Bareland,Water,Non_Wetland,Wetland,Grassland,Grassland
1110,NULL,Built-up,Bareland,Water,Non_Wetland,Wetland,Bareland,Grassland
1111,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
1112,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
1113,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
1114,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,Bareland
1115,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
1116,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
1117,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
1118,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
1119,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
1120,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Built-up
1121,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Forest
1122,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Water,Grassland
1123,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Water,Forest
1124,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Forest,Forest
1125,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Grassland,Forest
1126,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Bareland,Grassland
1127,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Bareland,Forest
1128,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Built-up,Grassland
1129,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Built-up,Forest
1130,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Water,Grassland
1131,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
1132,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
1133,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
1134,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Wetland,Forest
1135,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
1136,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
1137,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
1138,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
1139,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
1140,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Bareland
1141,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
1142,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Forest
1143,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Water,Forest
1144,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
1145,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Forest
1146,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Wetland,Grassland
1147,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Wetland,Forest
1148,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
1149,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Built-up
1150,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Forest
1151,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
1152,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
1153,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
1154,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Water
1155,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
1156,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Water,Forest
1157,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Grassland,Bareland
1158,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Grassland,Forest
1159,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Wetland,Grassland
1160,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Bareland,Grassland
1161,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Bareland,Built-up
1162,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Bareland,Forest
1163,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Built-up,Grassland
1164,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Built-up,Forest
1165,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Water,Grassland
1166,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Water,Built-up
1167,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest,Bareland,Forest
1168,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland,Wetland,Forest
1169,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
1170,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland,Bareland,Forest
1171,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland,Built-up,Forest
1172,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland,Water,Grassland
1173,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland,Water,Forest
1174,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Wetland,Bareland,Built-up
1175,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Wetland,Bareland,Forest
1176,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Water,Bareland,Grassland
1177,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Water,Bareland,Built-up
1178,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Water,Bareland,Forest
1179,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland,Grassland,Grassland
1180,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland,Grassland,Built-up
1181,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland,Bareland,Grassland
1182,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland,Bareland,Built-up
1183,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland,Bareland,Forest
1184,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland,Built-up,Grassland
1185,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland,Built-up,Forest
1186,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland,Water,Grassland
1187,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland,Built-up,Grassland
1188,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up,Bareland,Grassland
1189,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up,Bareland,Water
1190,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up,Bareland,Forest
1191,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up,Built-up,Forest
1192,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up,Water,Water
1193,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up,Water,Forest
1194,NULL,Built-up,Built-up,Water,Non_Wetland,Water,Grassland,Grassland
1195,NULL,Built-up,Water,NULL,Water,Grassland,Bareland,Forest
1196,NULL,Built-up,Water,NULL,Water,Built-up,Built-up,Forest
1197,NULL,Built-up,Water,Non_Water,Water,Wetland,Water,Forest
1198,NULL,Built-up,Water,Water,Water,Wetland,Bareland,Forest
1199,NULL,Built-up,Water,Water,Water,Wetland,Built-up,Grassland
1200,NULL,Built-up,Water,Water,Water,Wetland,Water,Forest
1201,NULL,Built-up,Water,Water,Water,Built-up,Bareland,Forest
1202,NULL,Built-up,Water,Water,Water,Built-up,Water,Water
1203,NULL,Built-up,Water,Water,Water,Built-up,Water,Forest
1204,NULL,Built-up,Water,Water,Water,Water,Water,Grassland
1205,NULL,Built-up,Water,Water,Water,Water,Water,Forest
1206,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
1207,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
1208,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1209,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1210,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1211,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1212,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
1213,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Built-up
1214,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
1215,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Grassland
1216,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Built-up
1217,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Forest
1218,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
1219,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Water,Forest
1220,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
1221,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1222,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
1223,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
1224,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1225,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
1226,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1227,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
1228,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
1229,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Built-up,Forest
1230,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
1231,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
1232,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1233,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
1234,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
1235,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
1236,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Built-up
1237,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
1238,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Grassland
1239,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Forest
1240,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
1241,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
1242,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,Bareland
1243,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,Built-up
1244,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
1245,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Wetland,Forest
1246,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,Grassland
1247,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,Built-up
1248,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,Forest
1249,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
1250,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Built-up
1251,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Forest
1252,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Water,Water
1253,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
1254,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Grassland,Forest
1255,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
1256,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Wetland,Forest
1257,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Bareland,Forest
1258,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Water,Forest
1259,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Built-up,Forest
1260,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
1261,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Forest
1262,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
1263,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland,Bareland,Forest
1264,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland,Built-up,Forest
1265,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland,Water,Grassland
1266,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland,Water,Forest
1267,NULL,Built-up,Forest,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
1268,NULL,Built-up,Forest,Non_Water,Non_Wetland,Wetland,Bareland,Forest
1269,NULL,Built-up,Forest,Non_Water,Non_Wetland,Wetland,Water,Forest
1270,NULL,Built-up,Forest,Non_Water,Non_Wetland,Wetland,Forest,Forest
1271,NULL,Built-up,Forest,Non_Water,Non_Wetland,Built-up,Bareland,Forest
1272,NULL,Built-up,Forest,Non_Water,Non_Wetland,Built-up,Built-up,Forest
1273,NULL,Built-up,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
1274,NULL,Built-up,Forest,Water,Non_Wetland,Grassland,Grassland,Forest
1275,NULL,Built-up,Forest,Water,Non_Wetland,Grassland,Wetland,Forest
1276,NULL,Built-up,Forest,Water,Non_Wetland,Grassland,Bareland,Grassland
1277,NULL,Built-up,Forest,Water,Non_Wetland,Grassland,Bareland,Forest
1278,NULL,Built-up,Forest,Water,Non_Wetland,Grassland,Built-up,Grassland
1279,NULL,Built-up,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
1280,NULL,Built-up,Forest,Water,Non_Wetland,Wetland,Bareland,Grassland
1281,NULL,Built-up,Forest,Water,Non_Wetland,Wetland,Bareland,Built-up
1282,NULL,Built-up,Forest,Water,Non_Wetland,Wetland,Bareland,Forest
1283,NULL,Water,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
1284,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
1285,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
1286,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Water,Forest
1287,NULL,Water,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
1288,NULL,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
1289,NULL,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
1290,NULL,Water,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
1291,NULL,Water,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
1292,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
1293,NULL,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
1294,NULL,Water,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
1295,NULL,Water,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
1296,NULL,Water,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
1297,NULL,Water,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
1298,NULL,Water,NULL,Water,Non_Wetland,Water,Water,Grassland
1299,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1300,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1301,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
1302,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1303,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
1304,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
1305,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
1306,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
1307,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
1308,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
1309,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1310,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
1311,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
1312,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water,Bareland,Forest
1313,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
1314,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Bareland,Grassland
1315,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
1316,NULL,Water,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
1317,NULL,Water,Shrubland,Water,Non_Wetland,Water,Water,Grassland
1318,NULL,Water,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1319,NULL,Water,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1320,NULL,Water,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1321,NULL,Water,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
1322,NULL,Water,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
1323,NULL,Water,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
1324,NULL,Water,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1325,NULL,Water,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
1326,NULL,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1327,NULL,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
1328,NULL,Water,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
1329,NULL,Water,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
1330,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1331,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
1332,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
1333,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
1334,NULL,Water,Grassland,NULL,Non_Wetland,Water,Water,Wetland
1335,NULL,Water,Grassland,NULL,Non_Wetland,Water,Water,Forest
1336,NULL,Water,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
1337,NULL,Water,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
1338,NULL,Water,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
1339,NULL,Water,Grassland,Water,Non_Wetland,Grassland,Water,Grassland
1340,NULL,Water,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
1341,NULL,Water,Grassland,Water,Non_Wetland,Wetland,Water,Forest
1342,NULL,Water,Grassland,Water,Non_Wetland,Bareland,Wetland,Grassland
1343,NULL,Water,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
1344,NULL,Water,Grassland,Water,Non_Wetland,Water,Water,Wetland
1345,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1346,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1347,NULL,Water,Cropland,NULL,Non_Wetland,Wetland,Bareland,Grassland
1348,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
