Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MEA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MEA_M_R
1144,Grassland,NULL,Water,Water,Water,Wetland,Water,Forest
1145,Grassland,NULL,Water,Water,Water,Water,Water,Water
1146,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
1147,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
1148,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
1149,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
1150,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
1151,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
1152,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
1153,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
1154,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
1155,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1156,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Built-up
1157,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1158,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1159,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1160,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
1161,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
1162,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
1163,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
1164,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1165,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
1166,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
1167,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
1168,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
1169,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Built-up
1170,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1171,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
1172,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
1173,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
1174,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
1175,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Built-up
1176,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1177,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Water,Grassland
1178,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
1179,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
1180,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
1181,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
1182,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
1183,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
1184,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
1185,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
1186,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1187,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
1188,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
1189,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
1190,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1191,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1192,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
1193,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
1194,Grassland,NULL,Forest,Water,Non_Wetland,Wetland,Grassland,Grassland
1195,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1196,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1197,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
1198,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1199,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
1200,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1201,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1202,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1203,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
1204,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1205,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
1206,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1207,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
1208,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
1209,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
1210,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1211,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1212,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1213,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1214,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
1215,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
1216,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
1217,Grassland,Cropland,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1218,Grassland,Cropland,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
1219,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
1220,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1221,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
1222,Grassland,Cropland,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1223,Grassland,Cropland,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
1224,Grassland,Cropland,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
1225,Grassland,Cropland,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
1226,Grassland,Cropland,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
1227,Grassland,Cropland,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
1228,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1229,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
1230,Grassland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
1231,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
1232,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1233,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1234,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
1235,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1236,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1237,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
1238,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1239,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1240,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1241,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1242,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,Grassland,Forest
1243,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1244,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1245,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1246,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1247,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1248,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1249,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
1250,Grassland,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1251,Grassland,Built-up,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
1252,Grassland,Built-up,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1253,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
1254,Grassland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
1255,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1256,Grassland,Water,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
1257,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1258,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1259,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1260,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
1261,Grassland,Water,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1262,Grassland,Water,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1263,Grassland,Water,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1264,Grassland,Water,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1265,Grassland,Water,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
1266,Grassland,Water,Wetland,NULL,Wetland,Grassland,Grassland,Forest
1267,Grassland,Water,Wetland,NULL,Wetland,Grassland,Water,Grassland
1268,Grassland,Water,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
1269,Grassland,Water,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
1270,Grassland,Water,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
1271,Grassland,Water,Water,Water,Water,Grassland,Grassland,Grassland
1272,Grassland,Water,Water,Water,Water,Grassland,Grassland,Forest
1273,Grassland,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1274,Grassland,Water,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
1275,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1276,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1277,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1278,Grassland,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
1279,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
1280,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1281,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1282,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
1283,Grassland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1284,Grassland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
1285,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
1286,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
1287,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
1288,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1289,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1290,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1291,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
1292,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
1293,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
1294,Grassland,Forest,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1295,Grassland,Forest,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1296,Grassland,Forest,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
1297,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
1298,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
1299,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
1300,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Grassland,Forest
1301,Grassland,Forest,Wetland,NULL,Wetland,Bareland,Forest,Grassland
1302,Grassland,Forest,Wetland,NULL,Wetland,Forest,Grassland,Grassland
1303,Grassland,Forest,Wetland,NULL,Wetland,Forest,Grassland,Forest
1304,Grassland,Forest,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
1305,Grassland,Forest,Bareland,NULL,Non_Wetland,Forest,Grassland,Forest
1306,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
1307,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
1308,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
1309,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1310,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1311,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
1312,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1313,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1314,Grassland,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
1315,Grassland,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1316,Grassland,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
1317,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
1318,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1319,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1320,Grassland,Forest,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
1321,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1322,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1323,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
1324,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1325,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
1326,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
1327,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1328,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
1329,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
1330,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
1331,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
1332,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
1333,Cropland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
1334,Cropland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
1335,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
1336,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1337,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1338,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1339,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1340,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1341,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
1342,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
1343,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
1344,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
1345,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1346,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
1347,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
1348,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
1349,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
1350,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1351,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1352,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
1353,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
1354,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
1355,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1356,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1357,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
1358,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1359,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
1360,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
1361,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
1362,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
1363,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
1364,Cropland,NULL,Shrubland,Water,Non_Wetland,Water,Water,Water
1365,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
1366,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
1367,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
1368,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
1369,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1370,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
1371,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1372,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1373,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1374,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1375,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
1376,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
1377,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
1378,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
1379,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
1380,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1381,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
1382,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
1383,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
1384,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Forest
1385,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1386,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
1387,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
1388,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
1389,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1390,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
1391,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
1392,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
1393,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
1394,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1395,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
1396,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
1397,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1398,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
1399,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
1400,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
1401,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
1402,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
1403,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
1404,Cropland,NULL,Grassland,Water,Non_Wetland,Wetland,Forest,Grassland
1405,Cropland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
1406,Cropland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
1407,Cropland,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
1408,Cropland,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
1409,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1410,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
1411,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1412,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest,Grassland,Forest
1413,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
1414,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
1415,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
1416,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
1417,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
1418,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
1419,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
1420,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
1421,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
1422,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
1423,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
1424,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Built-up
1425,Cropland,NULL,Water,NULL,Water,Grassland,Grassland,Water
1426,Cropland,NULL,Water,NULL,Water,Wetland,Grassland,Water
1427,Cropland,NULL,Water,NULL,Water,Water,Water,Water
1428,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
1429,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
1430,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
1431,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
1432,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1433,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1434,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
1435,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
1436,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
1437,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1438,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
1439,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1440,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
1441,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
1442,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1443,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
1444,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
1445,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1446,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
1447,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1448,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1449,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1450,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1451,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
1452,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1453,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1454,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1455,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1456,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1457,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
1458,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1459,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
1460,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
1461,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1462,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
