Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22NCG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NCG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NCG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NCG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22NCG_M_R
903,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
904,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
905,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
906,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
907,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
908,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
909,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
910,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
911,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
912,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up,Bareland,Grassland
913,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
914,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
915,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
916,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
917,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Grassland
918,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
919,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
920,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
921,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
922,Grassland,NULL,Forest,Non_Water,Non_Wetland,Bareland,Bareland,Water
923,Grassland,NULL,Forest,Water,Non_Wetland,Wetland,Bareland,Water
924,Grassland,NULL,Forest,Water,Non_Wetland,Bareland,Wetland,Bareland
925,Grassland,NULL,Forest,Water,Non_Wetland,Bareland,Bareland,Bareland
926,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
927,Grassland,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
928,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
929,Grassland,Water,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
930,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
931,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
932,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
933,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
934,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
935,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
936,Grassland,Water,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
937,Grassland,Water,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
938,Grassland,Water,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
939,Grassland,Water,Wetland,NULL,Wetland,Wetland,Grassland,Forest
940,Grassland,Water,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
941,Grassland,Water,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
942,Grassland,Water,Wetland,NULL,Wetland,Wetland,Water,Grassland
943,Grassland,Water,Wetland,NULL,Wetland,Bareland,Bareland,Forest
944,Grassland,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
945,Grassland,Water,Wetland,Non_Water,Wetland,Grassland,Water,Water
946,Grassland,Water,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
947,Grassland,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
948,Grassland,Water,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
949,Grassland,Water,Forest,NULL,Non_Wetland,Water,Grassland,Forest
950,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
951,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
952,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
953,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
954,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
955,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
956,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
957,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
958,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
959,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
960,Grassland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
961,Grassland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
962,Grassland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
963,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
964,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
965,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
966,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
967,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
968,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
969,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Forest,Grassland
970,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
971,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
972,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
973,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
974,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
975,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
976,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
977,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
978,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
979,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
980,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
981,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
982,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
983,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
984,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
985,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
986,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
987,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
988,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
989,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
990,Grassland,Forest,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
991,Grassland,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
992,Grassland,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
993,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
994,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
995,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
996,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
997,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
998,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
999,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
1000,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
1001,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
1002,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1003,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1004,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1005,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
1006,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
1007,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
1008,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1009,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
1010,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1011,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
1012,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Bareland
1013,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
1014,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
1015,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
1016,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1017,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
1018,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
1019,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1020,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
1021,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
1022,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1023,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1024,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
1025,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
1026,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
1027,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1028,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
1029,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
1030,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1031,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
1032,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1033,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
1034,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
1035,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
1036,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
1037,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1038,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1039,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1040,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1041,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
1042,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
1043,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1044,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
1045,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1046,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
1047,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
1048,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
1049,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
1050,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1051,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
1052,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Bareland
1053,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
1054,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
1055,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Built-up
1056,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
1057,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
1058,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Bareland
1059,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
1060,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
1061,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1062,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
1063,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
1064,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1065,Cropland,NULL,Forest,Water,Non_Wetland,Bareland,Bareland,Water
1066,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
1067,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1068,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
1069,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
1070,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1071,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
1072,Cropland,Bareland,Forest,NULL,Non_Wetland,Wetland,Forest,Bareland
1073,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
1074,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1075,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1076,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1077,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
1078,Cropland,Built-up,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
1079,Cropland,Water,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
1080,Cropland,Water,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
1081,Cropland,Water,Wetland,NULL,Wetland,Water,Wetland,Water
1082,Cropland,Water,Water,NULL,Water,Bareland,Forest,Forest
1083,Cropland,Water,Water,NULL,Water,Water,Wetland,Forest
1084,Cropland,Water,Water,Water,Water,Water,Wetland,Forest
1085,Cropland,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Water
1086,Cropland,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
1087,Cropland,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
1088,Cropland,Water,Forest,NULL,Non_Wetland,Water,Forest,Water
1089,Cropland,Water,Forest,Water,Non_Wetland,NULL,Forest,Forest
1090,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
1091,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1092,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1093,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
1094,Cropland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1095,Cropland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
1096,Cropland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1097,Cropland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1098,Cropland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
1099,Cropland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
1100,Cropland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
1101,Cropland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
1102,Cropland,Forest,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1103,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
1104,Cropland,Forest,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1105,Cropland,Forest,Wetland,NULL,Wetland,NULL,Wetland,Forest
1106,Cropland,Forest,Wetland,NULL,Wetland,NULL,Forest,Forest
1107,Cropland,Forest,Wetland,NULL,Wetland,Forest,Forest,Forest
1108,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
1109,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
1110,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1111,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1112,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
1113,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
1114,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
1115,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1116,Cropland,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
1117,Cropland,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
1118,Cropland,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
1119,Cropland,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
1120,Cropland,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
1121,Cropland,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
1122,Cropland,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
1123,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1124,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
1125,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1126,Wetland,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Bareland
1127,Wetland,NULL,Water,NULL,Water,Bareland,Bareland,Bareland
1128,Wetland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
1129,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Grassland
1130,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Forest
1131,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Grassland
1132,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Water
1133,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Forest
1134,Wetland,Wetland,Water,Water,Water,Bareland,Bareland,Bareland
1135,Wetland,Bareland,Wetland,Non_Water,Wetland,Water,Water,Water
1136,Wetland,Water,Wetland,NULL,Wetland,Water,Water,Water
1137,Wetland,Water,Wetland,NULL,Wetland,Water,Water,Forest
1138,Wetland,Water,Wetland,Non_Water,Wetland,Wetland,Water,Water
1139,Wetland,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
1140,Wetland,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
1141,Wetland,Water,Water,Water,Water,Water,Water,Water
1142,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
1143,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
1144,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
1145,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
1146,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1147,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1148,Bareland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1149,Bareland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Bareland
1150,Bareland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Water
1151,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1152,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1153,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
1154,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
1155,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
1156,Bareland,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Water
1157,Bareland,NULL,Shrubland,Water,Non_Wetland,Wetland,Bareland,Water
1158,Bareland,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Water
1159,Bareland,NULL,Shrubland,Water,Non_Wetland,Water,Bareland,Water
1160,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1161,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1162,Bareland,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Water
1163,Bareland,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
1164,Bareland,NULL,Wetland,Water,Wetland,Wetland,Bareland,Water
1165,Bareland,NULL,Wetland,Water,Wetland,Water,Water,Bareland
1166,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
1167,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
1168,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
1169,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
1170,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Forest
1171,Bareland,NULL,Built-up,Water,Non_Wetland,Bareland,Bareland,Bareland
1172,Bareland,NULL,Water,NULL,Water,Wetland,Bareland,Water
1173,Bareland,NULL,Water,NULL,Water,Bareland,Bareland,Bareland
1174,Bareland,NULL,Water,Water,Water,Wetland,Bareland,Water
1175,Bareland,NULL,Water,Water,Water,Bareland,Bareland,Water
1176,Bareland,NULL,Water,Water,Water,Water,Bareland,Water
1177,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1178,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1179,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1180,Bareland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
1181,Bareland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1182,Bareland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Built-up
1183,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
1184,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
1185,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1186,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
1187,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
1188,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
1189,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Water
1190,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
1191,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
1192,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Bareland
1193,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
1194,Bareland,NULL,Forest,Water,Non_Wetland,Water,Bareland,Water
1195,Bareland,Wetland,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
1196,Bareland,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1197,Bareland,Wetland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
1198,Bareland,Wetland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
1199,Bareland,Wetland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
1200,Bareland,Wetland,Water,Water,Water,Water,Water,Bareland
1201,Bareland,Wetland,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
1202,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
1203,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
1204,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
1205,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1206,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1207,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
1208,Bareland,Bareland,Shrubland,Water,Non_Wetland,Wetland,Bareland,Water
1209,Bareland,Bareland,Shrubland,Water,Non_Wetland,Bareland,Bareland,Water
1210,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1211,Bareland,Bareland,Wetland,NULL,Wetland,Bareland,Bareland,Water
1212,Bareland,Bareland,Wetland,NULL,Wetland,Water,Water,Water
1213,Bareland,Bareland,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
1214,Bareland,Bareland,Wetland,Water,Wetland,Wetland,Bareland,Water
1215,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
1216,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
1217,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
1218,Bareland,Bareland,Water,NULL,Water,Wetland,Bareland,Water
1219,Bareland,Bareland,Water,NULL,Water,Bareland,Grassland,Water
1220,Bareland,Bareland,Water,NULL,Water,Bareland,Bareland,Bareland
1221,Bareland,Bareland,Water,NULL,Water,Bareland,Bareland,Water
1222,Bareland,Bareland,Water,NULL,Water,Water,Water,Water
1223,Bareland,Bareland,Water,Water,Water,Wetland,Bareland,Water
1224,Bareland,Bareland,Water,Water,Water,Bareland,Bareland,Water
1225,Bareland,Bareland,Water,Water,Water,Bareland,Water,Water
1226,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
1227,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
1228,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland,Bareland,Water
1229,Bareland,Bareland,Forest,Water,Non_Wetland,Wetland,Bareland,Water
1230,Bareland,Bareland,Forest,Water,Non_Wetland,Bareland,Bareland,Water
