Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LEM_M_R
10996,Water,Water,Wetland,NULL,Wetland,Forest,Forest,NULL
10997,Water,Water,Wetland,NULL,Wetland,Forest,Forest,Grassland
10998,Water,Water,Wetland,NULL,Wetland,Forest,Forest,Wetland
10999,Water,Water,Wetland,NULL,Wetland,Forest,Forest,Water
11000,Water,Water,Wetland,NULL,Wetland,Forest,Forest,Forest
11001,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
11002,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
11003,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
11004,Water,Water,Wetland,Non_Water,Wetland,NULL,Shrubland,Water
11005,Water,Water,Wetland,Non_Water,Wetland,NULL,Grassland,Grassland
11006,Water,Water,Wetland,Non_Water,Wetland,NULL,Grassland,Cropland
11007,Water,Water,Wetland,Non_Water,Wetland,NULL,Grassland,Water
11008,Water,Water,Wetland,Non_Water,Wetland,NULL,Grassland,Forest
11009,Water,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Water
11010,Water,Water,Wetland,Non_Water,Wetland,NULL,Bareland,Grassland
11011,Water,Water,Wetland,Non_Water,Wetland,NULL,Water,Grassland
11012,Water,Water,Wetland,Non_Water,Wetland,NULL,Water,Cropland
11013,Water,Water,Wetland,Non_Water,Wetland,NULL,Water,Wetland
11014,Water,Water,Wetland,Non_Water,Wetland,NULL,Water,Water
11015,Water,Water,Wetland,Non_Water,Wetland,NULL,Water,Forest
11016,Water,Water,Wetland,Non_Water,Wetland,NULL,Forest,Grassland
11017,Water,Water,Wetland,Non_Water,Wetland,Shrubland,NULL,Grassland
11018,Water,Water,Wetland,Non_Water,Wetland,Shrubland,NULL,Wetland
11019,Water,Water,Wetland,Non_Water,Wetland,Shrubland,NULL,Water
11020,Water,Water,Wetland,Non_Water,Wetland,Shrubland,NULL,Forest
11021,Water,Water,Wetland,Non_Water,Wetland,Shrubland,Shrubland,NULL
11022,Water,Water,Wetland,Non_Water,Wetland,Shrubland,Shrubland,Grassland
11023,Water,Water,Wetland,Non_Water,Wetland,Shrubland,Shrubland,Wetland
11024,Water,Water,Wetland,Non_Water,Wetland,Shrubland,Shrubland,Water
11025,Water,Water,Wetland,Non_Water,Wetland,Shrubland,Shrubland,Forest
11026,Water,Water,Wetland,Non_Water,Wetland,Shrubland,Grassland,Grassland
11027,Water,Water,Wetland,Non_Water,Wetland,Shrubland,Grassland,Water
11028,Water,Water,Wetland,Non_Water,Wetland,Shrubland,Grassland,Forest
11029,Water,Water,Wetland,Non_Water,Wetland,Shrubland,Wetland,Grassland
11030,Water,Water,Wetland,Non_Water,Wetland,Shrubland,Wetland,Wetland
11031,Water,Water,Wetland,Non_Water,Wetland,Shrubland,Wetland,Water
11032,Water,Water,Wetland,Non_Water,Wetland,Shrubland,Wetland,Forest
11033,Water,Water,Wetland,Non_Water,Wetland,Shrubland,Water,NULL
11034,Water,Water,Wetland,Non_Water,Wetland,Shrubland,Water,Grassland
11035,Water,Water,Wetland,Non_Water,Wetland,Shrubland,Water,Wetland
11036,Water,Water,Wetland,Non_Water,Wetland,Shrubland,Water,Water
11037,Water,Water,Wetland,Non_Water,Wetland,Shrubland,Water,Forest
11038,Water,Water,Wetland,Non_Water,Wetland,Shrubland,Forest,NULL
11039,Water,Water,Wetland,Non_Water,Wetland,Shrubland,Forest,Grassland
11040,Water,Water,Wetland,Non_Water,Wetland,Shrubland,Forest,Wetland
11041,Water,Water,Wetland,Non_Water,Wetland,Shrubland,Forest,Water
11042,Water,Water,Wetland,Non_Water,Wetland,Shrubland,Forest,Forest
11043,Water,Water,Wetland,Non_Water,Wetland,Grassland,NULL,Grassland
11044,Water,Water,Wetland,Non_Water,Wetland,Grassland,NULL,Cropland
11045,Water,Water,Wetland,Non_Water,Wetland,Grassland,NULL,Water
11046,Water,Water,Wetland,Non_Water,Wetland,Grassland,NULL,Forest
11047,Water,Water,Wetland,Non_Water,Wetland,Grassland,Shrubland,NULL
11048,Water,Water,Wetland,Non_Water,Wetland,Grassland,Shrubland,Grassland
11049,Water,Water,Wetland,Non_Water,Wetland,Grassland,Shrubland,Water
11050,Water,Water,Wetland,Non_Water,Wetland,Grassland,Shrubland,Forest
11051,Water,Water,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
11052,Water,Water,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
11053,Water,Water,Wetland,Non_Water,Wetland,Grassland,Water,Water
11054,Water,Water,Wetland,Non_Water,Wetland,Grassland,Water,Forest
11055,Water,Water,Wetland,Non_Water,Wetland,Wetland,NULL,Grassland
11056,Water,Water,Wetland,Non_Water,Wetland,Wetland,Shrubland,Grassland
11057,Water,Water,Wetland,Non_Water,Wetland,Wetland,Shrubland,Wetland
11058,Water,Water,Wetland,Non_Water,Wetland,Wetland,Shrubland,Water
11059,Water,Water,Wetland,Non_Water,Wetland,Wetland,Shrubland,Forest
11060,Water,Water,Wetland,Non_Water,Wetland,Wetland,Grassland,Water
11061,Water,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
11062,Water,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
11063,Water,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
11064,Water,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
11065,Water,Water,Wetland,Non_Water,Wetland,Wetland,Bareland,Water
11066,Water,Water,Wetland,Non_Water,Wetland,Wetland,Bareland,Forest
11067,Water,Water,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
11068,Water,Water,Wetland,Non_Water,Wetland,Wetland,Water,Cropland
11069,Water,Water,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
11070,Water,Water,Wetland,Non_Water,Wetland,Wetland,Water,Water
11071,Water,Water,Wetland,Non_Water,Wetland,Wetland,Water,Forest
11072,Water,Water,Wetland,Non_Water,Wetland,Wetland,Forest,Grassland
11073,Water,Water,Wetland,Non_Water,Wetland,Wetland,Forest,Wetland
11074,Water,Water,Wetland,Non_Water,Wetland,Wetland,Forest,Water
11075,Water,Water,Wetland,Non_Water,Wetland,Wetland,Forest,Forest
11076,Water,Water,Wetland,Non_Water,Wetland,Bareland,NULL,Grassland
11077,Water,Water,Wetland,Non_Water,Wetland,Bareland,NULL,Cropland
11078,Water,Water,Wetland,Non_Water,Wetland,Bareland,NULL,Water
11079,Water,Water,Wetland,Non_Water,Wetland,Bareland,NULL,Forest
11080,Water,Water,Wetland,Non_Water,Wetland,Bareland,Shrubland,Water
11081,Water,Water,Wetland,Non_Water,Wetland,Bareland,Shrubland,Forest
11082,Water,Water,Wetland,Non_Water,Wetland,Bareland,Grassland,Grassland
11083,Water,Water,Wetland,Non_Water,Wetland,Bareland,Grassland,Water
11084,Water,Water,Wetland,Non_Water,Wetland,Bareland,Grassland,Forest
11085,Water,Water,Wetland,Non_Water,Wetland,Bareland,Bareland,Cropland
11086,Water,Water,Wetland,Non_Water,Wetland,Bareland,Bareland,Water
11087,Water,Water,Wetland,Non_Water,Wetland,Bareland,Bareland,Forest
11088,Water,Water,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
11089,Water,Water,Wetland,Non_Water,Wetland,Bareland,Water,Cropland
11090,Water,Water,Wetland,Non_Water,Wetland,Bareland,Water,Wetland
11091,Water,Water,Wetland,Non_Water,Wetland,Bareland,Water,Bareland
11092,Water,Water,Wetland,Non_Water,Wetland,Bareland,Water,Water
11093,Water,Water,Wetland,Non_Water,Wetland,Bareland,Water,Forest
11094,Water,Water,Wetland,Non_Water,Wetland,Bareland,Forest,Grassland
11095,Water,Water,Wetland,Non_Water,Wetland,Bareland,Forest,Water
11096,Water,Water,Wetland,Non_Water,Wetland,Water,NULL,Grassland
11097,Water,Water,Wetland,Non_Water,Wetland,Water,NULL,Cropland
11098,Water,Water,Wetland,Non_Water,Wetland,Water,NULL,Wetland
11099,Water,Water,Wetland,Non_Water,Wetland,Water,NULL,Water
11100,Water,Water,Wetland,Non_Water,Wetland,Water,NULL,Forest
11101,Water,Water,Wetland,Non_Water,Wetland,Water,Shrubland,NULL
11102,Water,Water,Wetland,Non_Water,Wetland,Water,Shrubland,Grassland
11103,Water,Water,Wetland,Non_Water,Wetland,Water,Shrubland,Cropland
11104,Water,Water,Wetland,Non_Water,Wetland,Water,Shrubland,Wetland
11105,Water,Water,Wetland,Non_Water,Wetland,Water,Shrubland,Water
11106,Water,Water,Wetland,Non_Water,Wetland,Water,Shrubland,Forest
11107,Water,Water,Wetland,Non_Water,Wetland,Water,Grassland,Grassland
11108,Water,Water,Wetland,Non_Water,Wetland,Water,Grassland,Water
11109,Water,Water,Wetland,Non_Water,Wetland,Water,Grassland,Forest
11110,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,NULL
11111,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
11112,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
11113,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
11114,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
11115,Water,Water,Wetland,Non_Water,Wetland,Water,Bareland,Grassland
11116,Water,Water,Wetland,Non_Water,Wetland,Water,Bareland,Bareland
11117,Water,Water,Wetland,Non_Water,Wetland,Water,Bareland,Water
11118,Water,Water,Wetland,Non_Water,Wetland,Water,Water,NULL
11119,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
11120,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Cropland
11121,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Wetland
11122,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Bareland
11123,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Water
11124,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
11125,Water,Water,Wetland,Non_Water,Wetland,Water,Forest,NULL
11126,Water,Water,Wetland,Non_Water,Wetland,Water,Forest,Grassland
11127,Water,Water,Wetland,Non_Water,Wetland,Water,Forest,Wetland
11128,Water,Water,Wetland,Non_Water,Wetland,Water,Forest,Water
11129,Water,Water,Wetland,Non_Water,Wetland,Water,Forest,Forest
11130,Water,Water,Wetland,Non_Water,Wetland,Forest,NULL,Grassland
11131,Water,Water,Wetland,Non_Water,Wetland,Forest,NULL,Wetland
11132,Water,Water,Wetland,Non_Water,Wetland,Forest,NULL,Water
11133,Water,Water,Wetland,Non_Water,Wetland,Forest,NULL,Forest
11134,Water,Water,Wetland,Non_Water,Wetland,Forest,Shrubland,Grassland
11135,Water,Water,Wetland,Non_Water,Wetland,Forest,Shrubland,Wetland
11136,Water,Water,Wetland,Non_Water,Wetland,Forest,Shrubland,Water
11137,Water,Water,Wetland,Non_Water,Wetland,Forest,Shrubland,Forest
11138,Water,Water,Wetland,Non_Water,Wetland,Forest,Grassland,Grassland
11139,Water,Water,Wetland,Non_Water,Wetland,Forest,Grassland,Forest
11140,Water,Water,Wetland,Non_Water,Wetland,Forest,Wetland,Grassland
11141,Water,Water,Wetland,Non_Water,Wetland,Forest,Wetland,Wetland
11142,Water,Water,Wetland,Non_Water,Wetland,Forest,Wetland,Water
11143,Water,Water,Wetland,Non_Water,Wetland,Forest,Wetland,Forest
11144,Water,Water,Wetland,Non_Water,Wetland,Forest,Water,NULL
11145,Water,Water,Wetland,Non_Water,Wetland,Forest,Water,Grassland
11146,Water,Water,Wetland,Non_Water,Wetland,Forest,Water,Wetland
11147,Water,Water,Wetland,Non_Water,Wetland,Forest,Water,Water
11148,Water,Water,Wetland,Non_Water,Wetland,Forest,Water,Forest
11149,Water,Water,Wetland,Non_Water,Wetland,Forest,Forest,NULL
11150,Water,Water,Wetland,Non_Water,Wetland,Forest,Forest,Grassland
11151,Water,Water,Wetland,Non_Water,Wetland,Forest,Forest,Wetland
11152,Water,Water,Wetland,Non_Water,Wetland,Forest,Forest,Water
11153,Water,Water,Wetland,Non_Water,Wetland,Forest,Forest,Forest
11154,Water,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
11155,Water,Water,Wetland,Water,Wetland,NULL,NULL,Water
11156,Water,Water,Wetland,Water,Wetland,NULL,Shrubland,Grassland
11157,Water,Water,Wetland,Water,Wetland,NULL,Shrubland,Water
11158,Water,Water,Wetland,Water,Wetland,NULL,Grassland,Water
11159,Water,Water,Wetland,Water,Wetland,NULL,Wetland,Grassland
11160,Water,Water,Wetland,Water,Wetland,NULL,Wetland,Water
11161,Water,Water,Wetland,Water,Wetland,NULL,Water,Grassland
11162,Water,Water,Wetland,Water,Wetland,NULL,Water,Cropland
11163,Water,Water,Wetland,Water,Wetland,NULL,Water,Water
11164,Water,Water,Wetland,Water,Wetland,NULL,Water,Forest
11165,Water,Water,Wetland,Water,Wetland,Shrubland,NULL,Grassland
11166,Water,Water,Wetland,Water,Wetland,Shrubland,NULL,Water
11167,Water,Water,Wetland,Water,Wetland,Shrubland,Shrubland,NULL
11168,Water,Water,Wetland,Water,Wetland,Shrubland,Shrubland,Grassland
11169,Water,Water,Wetland,Water,Wetland,Shrubland,Shrubland,Wetland
11170,Water,Water,Wetland,Water,Wetland,Shrubland,Shrubland,Water
11171,Water,Water,Wetland,Water,Wetland,Shrubland,Shrubland,Forest
11172,Water,Water,Wetland,Water,Wetland,Shrubland,Grassland,Grassland
11173,Water,Water,Wetland,Water,Wetland,Shrubland,Grassland,Water
11174,Water,Water,Wetland,Water,Wetland,Shrubland,Grassland,Forest
11175,Water,Water,Wetland,Water,Wetland,Shrubland,Wetland,Wetland
11176,Water,Water,Wetland,Water,Wetland,Shrubland,Wetland,Water
11177,Water,Water,Wetland,Water,Wetland,Shrubland,Wetland,Forest
11178,Water,Water,Wetland,Water,Wetland,Shrubland,Bareland,Water
11179,Water,Water,Wetland,Water,Wetland,Shrubland,Water,NULL
11180,Water,Water,Wetland,Water,Wetland,Shrubland,Water,Grassland
11181,Water,Water,Wetland,Water,Wetland,Shrubland,Water,Wetland
11182,Water,Water,Wetland,Water,Wetland,Shrubland,Water,Bareland
11183,Water,Water,Wetland,Water,Wetland,Shrubland,Water,Water
11184,Water,Water,Wetland,Water,Wetland,Shrubland,Water,Forest
11185,Water,Water,Wetland,Water,Wetland,Shrubland,Forest,Grassland
11186,Water,Water,Wetland,Water,Wetland,Shrubland,Forest,Wetland
11187,Water,Water,Wetland,Water,Wetland,Shrubland,Forest,Water
11188,Water,Water,Wetland,Water,Wetland,Shrubland,Forest,Forest
11189,Water,Water,Wetland,Water,Wetland,Grassland,NULL,Grassland
11190,Water,Water,Wetland,Water,Wetland,Grassland,Shrubland,Grassland
11191,Water,Water,Wetland,Water,Wetland,Grassland,Water,Grassland
11192,Water,Water,Wetland,Water,Wetland,Grassland,Water,Cropland
11193,Water,Water,Wetland,Water,Wetland,Grassland,Water,Water
11194,Water,Water,Wetland,Water,Wetland,Wetland,NULL,Water
11195,Water,Water,Wetland,Water,Wetland,Wetland,Shrubland,Grassland
11196,Water,Water,Wetland,Water,Wetland,Wetland,Shrubland,Wetland
11197,Water,Water,Wetland,Water,Wetland,Wetland,Shrubland,Water
11198,Water,Water,Wetland,Water,Wetland,Wetland,Shrubland,Forest
11199,Water,Water,Wetland,Water,Wetland,Wetland,Grassland,Water
11200,Water,Water,Wetland,Water,Wetland,Wetland,Wetland,Grassland
11201,Water,Water,Wetland,Water,Wetland,Wetland,Wetland,Wetland
11202,Water,Water,Wetland,Water,Wetland,Wetland,Wetland,Water
11203,Water,Water,Wetland,Water,Wetland,Wetland,Wetland,Forest
11204,Water,Water,Wetland,Water,Wetland,Wetland,Bareland,Water
11205,Water,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
11206,Water,Water,Wetland,Water,Wetland,Wetland,Water,Cropland
11207,Water,Water,Wetland,Water,Wetland,Wetland,Water,Wetland
11208,Water,Water,Wetland,Water,Wetland,Wetland,Water,Water
11209,Water,Water,Wetland,Water,Wetland,Wetland,Water,Forest
11210,Water,Water,Wetland,Water,Wetland,Wetland,Forest,Grassland
11211,Water,Water,Wetland,Water,Wetland,Wetland,Forest,Wetland
11212,Water,Water,Wetland,Water,Wetland,Wetland,Forest,Water
11213,Water,Water,Wetland,Water,Wetland,Wetland,Forest,Forest
11214,Water,Water,Wetland,Water,Wetland,Bareland,NULL,Grassland
11215,Water,Water,Wetland,Water,Wetland,Bareland,NULL,Cropland
11216,Water,Water,Wetland,Water,Wetland,Bareland,NULL,Bareland
11217,Water,Water,Wetland,Water,Wetland,Bareland,NULL,Water
11218,Water,Water,Wetland,Water,Wetland,Bareland,Shrubland,Grassland
11219,Water,Water,Wetland,Water,Wetland,Bareland,Shrubland,Water
11220,Water,Water,Wetland,Water,Wetland,Bareland,Grassland,Grassland
11221,Water,Water,Wetland,Water,Wetland,Bareland,Grassland,Water
11222,Water,Water,Wetland,Water,Wetland,Bareland,Bareland,Grassland
11223,Water,Water,Wetland,Water,Wetland,Bareland,Bareland,Water
11224,Water,Water,Wetland,Water,Wetland,Bareland,Water,Grassland
11225,Water,Water,Wetland,Water,Wetland,Bareland,Water,Cropland
11226,Water,Water,Wetland,Water,Wetland,Bareland,Water,Bareland
11227,Water,Water,Wetland,Water,Wetland,Bareland,Water,Water
11228,Water,Water,Wetland,Water,Wetland,Bareland,Water,Forest
11229,Water,Water,Wetland,Water,Wetland,Bareland,Forest,Water
11230,Water,Water,Wetland,Water,Wetland,Bareland,Forest,Forest
11231,Water,Water,Wetland,Water,Wetland,Water,NULL,Grassland
11232,Water,Water,Wetland,Water,Wetland,Water,NULL,Cropland
11233,Water,Water,Wetland,Water,Wetland,Water,NULL,Water
11234,Water,Water,Wetland,Water,Wetland,Water,NULL,Forest
11235,Water,Water,Wetland,Water,Wetland,Water,Shrubland,Grassland
11236,Water,Water,Wetland,Water,Wetland,Water,Shrubland,Wetland
11237,Water,Water,Wetland,Water,Wetland,Water,Shrubland,Water
11238,Water,Water,Wetland,Water,Wetland,Water,Shrubland,Forest
11239,Water,Water,Wetland,Water,Wetland,Water,Grassland,Grassland
11240,Water,Water,Wetland,Water,Wetland,Water,Grassland,Water
11241,Water,Water,Wetland,Water,Wetland,Water,Grassland,Forest
11242,Water,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
11243,Water,Water,Wetland,Water,Wetland,Water,Wetland,Wetland
11244,Water,Water,Wetland,Water,Wetland,Water,Wetland,Water
11245,Water,Water,Wetland,Water,Wetland,Water,Wetland,Forest
11246,Water,Water,Wetland,Water,Wetland,Water,Bareland,Grassland
11247,Water,Water,Wetland,Water,Wetland,Water,Bareland,Water
11248,Water,Water,Wetland,Water,Wetland,Water,Water,NULL
11249,Water,Water,Wetland,Water,Wetland,Water,Water,Grassland
11250,Water,Water,Wetland,Water,Wetland,Water,Water,Cropland
11251,Water,Water,Wetland,Water,Wetland,Water,Water,Wetland
11252,Water,Water,Wetland,Water,Wetland,Water,Water,Bareland
11253,Water,Water,Wetland,Water,Wetland,Water,Water,Water
11254,Water,Water,Wetland,Water,Wetland,Water,Water,Forest
11255,Water,Water,Wetland,Water,Wetland,Water,Forest,Grassland
11256,Water,Water,Wetland,Water,Wetland,Water,Forest,Wetland
11257,Water,Water,Wetland,Water,Wetland,Water,Forest,Water
11258,Water,Water,Wetland,Water,Wetland,Water,Forest,Forest
11259,Water,Water,Wetland,Water,Wetland,Forest,NULL,Water
11260,Water,Water,Wetland,Water,Wetland,Forest,NULL,Forest
11261,Water,Water,Wetland,Water,Wetland,Forest,Shrubland,Wetland
11262,Water,Water,Wetland,Water,Wetland,Forest,Shrubland,Water
11263,Water,Water,Wetland,Water,Wetland,Forest,Shrubland,Forest
11264,Water,Water,Wetland,Water,Wetland,Forest,Wetland,Water
11265,Water,Water,Wetland,Water,Wetland,Forest,Wetland,Forest
11266,Water,Water,Wetland,Water,Wetland,Forest,Bareland,Water
11267,Water,Water,Wetland,Water,Wetland,Forest,Water,NULL
11268,Water,Water,Wetland,Water,Wetland,Forest,Water,Grassland
11269,Water,Water,Wetland,Water,Wetland,Forest,Water,Wetland
11270,Water,Water,Wetland,Water,Wetland,Forest,Water,Water
11271,Water,Water,Wetland,Water,Wetland,Forest,Water,Forest
11272,Water,Water,Wetland,Water,Wetland,Forest,Forest,Grassland
11273,Water,Water,Wetland,Water,Wetland,Forest,Forest,Wetland
11274,Water,Water,Wetland,Water,Wetland,Forest,Forest,Water
11275,Water,Water,Wetland,Water,Wetland,Forest,Forest,Forest
11276,Water,Water,Bareland,NULL,Non_Wetland,Shrubland,Shrubland,Water
11277,Water,Water,Bareland,NULL,Non_Wetland,Shrubland,Wetland,Forest
11278,Water,Water,Bareland,NULL,Non_Wetland,Shrubland,Water,Water
11279,Water,Water,Bareland,NULL,Non_Wetland,Shrubland,Water,Forest
11280,Water,Water,Bareland,NULL,Non_Wetland,Shrubland,Forest,Water
11281,Water,Water,Bareland,NULL,Non_Wetland,Water,Shrubland,Grassland
11282,Water,Water,Bareland,NULL,Non_Wetland,Water,Shrubland,Water
11283,Water,Water,Bareland,NULL,Non_Wetland,Water,Grassland,Water
11284,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
11285,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Forest
11286,Water,Water,Bareland,NULL,Non_Wetland,Water,Forest,Water
11287,Water,Water,Bareland,NULL,Non_Wetland,Water,Forest,Forest
11288,Water,Water,Bareland,NULL,Non_Wetland,Forest,Shrubland,Forest
11289,Water,Water,Bareland,NULL,Non_Wetland,Forest,Wetland,Forest
11290,Water,Water,Bareland,NULL,Non_Wetland,Forest,Water,Water
11291,Water,Water,Bareland,NULL,Non_Wetland,Forest,Water,Forest
11292,Water,Water,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
11293,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,Water,Water
11294,Water,Water,Bareland,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
11295,Water,Water,Bareland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
11296,Water,Water,Bareland,Non_Water,Non_Wetland,Shrubland,Shrubland,Water
11297,Water,Water,Bareland,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
11298,Water,Water,Bareland,Non_Water,Non_Wetland,Shrubland,Water,Grassland
11299,Water,Water,Bareland,Non_Water,Non_Wetland,Bareland,Shrubland,Water
11300,Water,Water,Bareland,Non_Water,Non_Wetland,Bareland,Water,Water
11301,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Shrubland,Water
11302,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Shrubland,Forest
11303,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Wetland
11304,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Water
11305,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Forest
11306,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Forest,Water
11307,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Forest,Forest
11308,Water,Water,Bareland,Non_Water,Non_Wetland,Forest,Shrubland,Wetland
11309,Water,Water,Bareland,Non_Water,Non_Wetland,Forest,Shrubland,Water
11310,Water,Water,Bareland,Non_Water,Non_Wetland,Forest,Water,Water
11311,Water,Water,Bareland,Non_Water,Non_Wetland,Forest,Water,Forest
11312,Water,Water,Bareland,Non_Water,Non_Wetland,Forest,Forest,Wetland
11313,Water,Water,Bareland,Non_Water,Non_Wetland,Forest,Forest,Water
11314,Water,Water,Bareland,Non_Water,Non_Wetland,Forest,Forest,Forest
11315,Water,Water,Bareland,Water,Non_Wetland,Shrubland,Shrubland,Water
11316,Water,Water,Bareland,Water,Non_Wetland,Shrubland,Water,Grassland
11317,Water,Water,Bareland,Water,Non_Wetland,Shrubland,Water,Water
11318,Water,Water,Bareland,Water,Non_Wetland,Shrubland,Water,Forest
11319,Water,Water,Bareland,Water,Non_Wetland,Grassland,Water,Grassland
11320,Water,Water,Bareland,Water,Non_Wetland,Bareland,Shrubland,Wetland
11321,Water,Water,Bareland,Water,Non_Wetland,Water,Shrubland,Water
11322,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Grassland
11323,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Water
11324,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Forest
11325,Water,Water,Bareland,Water,Non_Wetland,Water,Forest,Water
11326,Water,Water,Bareland,Water,Non_Wetland,Water,Forest,Forest
11327,Water,Water,Bareland,Water,Non_Wetland,Forest,Water,Wetland
11328,Water,Water,Bareland,Water,Non_Wetland,Forest,Water,Water
11329,Water,Water,Bareland,Water,Non_Wetland,Forest,Water,Forest
11330,Water,Water,Built-up,NULL,Non_Wetland,Water,Shrubland,Bareland
11331,Water,Water,Built-up,NULL,Non_Wetland,Water,Shrubland,Forest
11332,Water,Water,Built-up,NULL,Non_Wetland,Water,Water,Water
11333,Water,Water,Built-up,NULL,Non_Wetland,Water,Water,Forest
11334,Water,Water,Built-up,NULL,Non_Wetland,Forest,Shrubland,Forest
11335,Water,Water,Built-up,NULL,Non_Wetland,Forest,Water,Forest
11336,Water,Water,Built-up,NULL,Non_Wetland,Forest,Forest,Forest
11337,Water,Water,Built-up,Non_Water,Non_Wetland,Bareland,Water,Grassland
11338,Water,Water,Built-up,Water,Non_Wetland,Water,Built-up,Water
11339,Water,Water,Built-up,Water,Non_Wetland,Water,Water,Water
11340,Water,Water,Water,NULL,Water,NULL,NULL,Grassland
11341,Water,Water,Water,NULL,Water,NULL,NULL,Water
11342,Water,Water,Water,NULL,Water,NULL,NULL,Forest
11343,Water,Water,Water,NULL,Water,NULL,Shrubland,Grassland
11344,Water,Water,Water,NULL,Water,NULL,Shrubland,Forest
11345,Water,Water,Water,NULL,Water,NULL,Grassland,Grassland
11346,Water,Water,Water,NULL,Water,NULL,Grassland,Water
11347,Water,Water,Water,NULL,Water,NULL,Wetland,Water
11348,Water,Water,Water,NULL,Water,NULL,Bareland,Water
11349,Water,Water,Water,NULL,Water,NULL,Water,Grassland
11350,Water,Water,Water,NULL,Water,NULL,Water,Water
11351,Water,Water,Water,NULL,Water,NULL,Forest,Forest
11352,Water,Water,Water,NULL,Water,Shrubland,NULL,Water
11353,Water,Water,Water,NULL,Water,Shrubland,NULL,Forest
11354,Water,Water,Water,NULL,Water,Shrubland,Shrubland,Grassland
11355,Water,Water,Water,NULL,Water,Shrubland,Shrubland,Wetland
11356,Water,Water,Water,NULL,Water,Shrubland,Shrubland,Water
11357,Water,Water,Water,NULL,Water,Shrubland,Shrubland,Forest
11358,Water,Water,Water,NULL,Water,Shrubland,Grassland,Grassland
11359,Water,Water,Water,NULL,Water,Shrubland,Grassland,Wetland
11360,Water,Water,Water,NULL,Water,Shrubland,Wetland,Grassland
11361,Water,Water,Water,NULL,Water,Shrubland,Wetland,Wetland
11362,Water,Water,Water,NULL,Water,Shrubland,Wetland,Water
11363,Water,Water,Water,NULL,Water,Shrubland,Wetland,Forest
11364,Water,Water,Water,NULL,Water,Shrubland,Water,NULL
11365,Water,Water,Water,NULL,Water,Shrubland,Water,Grassland
11366,Water,Water,Water,NULL,Water,Shrubland,Water,Wetland
11367,Water,Water,Water,NULL,Water,Shrubland,Water,Water
11368,Water,Water,Water,NULL,Water,Shrubland,Water,Forest
