Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24MUC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MUC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MUC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MUC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MUC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MUC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MUC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24MUC_M_R
318,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland,Built-up,Grassland
319,Bareland,NULL,Bareland,NULL,Non_Wetland,Water,Water,Bareland
320,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
321,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Shrubland,Bareland,Bareland
322,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Bareland,Wetland
323,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Bareland,Bareland
324,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Water,Bareland
325,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
326,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
327,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Water,Grassland
328,Bareland,NULL,Bareland,Water,Non_Wetland,Shrubland,Bareland,Grassland
329,Bareland,NULL,Bareland,Water,Non_Wetland,Shrubland,Bareland,Bareland
330,Bareland,NULL,Bareland,Water,Non_Wetland,Shrubland,Water,Grassland
331,Bareland,NULL,Bareland,Water,Non_Wetland,Shrubland,Water,Bareland
332,Bareland,NULL,Bareland,Water,Non_Wetland,Grassland,Bareland,Grassland
333,Bareland,NULL,Bareland,Water,Non_Wetland,Grassland,Bareland,Wetland
334,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland,Bareland,Grassland
335,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland,Bareland,Bareland
336,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
337,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
338,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
339,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Water,Grassland
340,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
341,Bareland,NULL,Built-up,Water,Non_Wetland,Shrubland,Bareland,Grassland
342,Bareland,NULL,Built-up,Water,Non_Wetland,Grassland,Bareland,Bareland
343,Bareland,NULL,Built-up,Water,Non_Wetland,Bareland,Bareland,Bareland
344,Bareland,NULL,Water,NULL,NULL,NULL,NULL,NULL
345,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
346,Bareland,NULL,Forest,Water,Non_Wetland,Bareland,Bareland,Bareland
347,Bareland,Bareland,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
348,Bareland,Bareland,Shrubland,Water,Non_Wetland,Bareland,Water,Bareland
349,Bareland,Bareland,Shrubland,Water,Non_Wetland,Water,Bareland,Water
350,Bareland,Bareland,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
351,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
352,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
353,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
354,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland,Built-up,Wetland
355,Bareland,Bareland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Wetland
356,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
357,Bareland,Bareland,Cropland,Water,Non_Wetland,Bareland,Bareland,Bareland
358,Bareland,Bareland,Cropland,Water,Non_Wetland,Water,Bareland,Water
359,Bareland,Bareland,Wetland,Water,NULL,Bareland,Bareland,Bareland
360,Bareland,Bareland,Wetland,Water,NULL,Bareland,Water,Bareland
361,Bareland,Bareland,Wetland,Water,NULL,Water,Water,Bareland
362,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Bareland,Bareland
363,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Bareland,Water
364,Bareland,Bareland,Wetland,Water,Wetland,Water,Bareland,Grassland
365,Bareland,Bareland,Wetland,Water,Wetland,Water,Bareland,Bareland
366,Bareland,Bareland,Wetland,Water,Wetland,Water,Bareland,Water
367,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,Bareland
368,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland,NULL,Grassland
369,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland,NULL,Bareland
370,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
371,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
372,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
373,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Water,Bareland,Bareland
374,Bareland,Bareland,Bareland,Water,Non_Wetland,Grassland,Bareland,Bareland
375,Bareland,Bareland,Bareland,Water,Non_Wetland,Grassland,Bareland,Water
376,Bareland,Bareland,Bareland,Water,Non_Wetland,Bareland,Bareland,Grassland
377,Bareland,Bareland,Bareland,Water,Non_Wetland,Bareland,Bareland,Bareland
378,Bareland,Bareland,Bareland,Water,Non_Wetland,Bareland,Bareland,Water
379,Bareland,Bareland,Bareland,Water,Non_Wetland,Bareland,Water,Bareland
380,Bareland,Bareland,Bareland,Water,Non_Wetland,Built-up,Built-up,Wetland
381,Bareland,Bareland,Bareland,Water,Non_Wetland,Water,Bareland,Grassland
382,Bareland,Bareland,Bareland,Water,Non_Wetland,Water,Bareland,Bareland
383,Bareland,Bareland,Bareland,Water,Non_Wetland,Water,Bareland,Water
384,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
385,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
386,Bareland,Bareland,Built-up,Water,Non_Wetland,Bareland,Bareland,Bareland
387,Bareland,Bareland,Built-up,Water,Non_Wetland,Bareland,Bareland,Water
388,Bareland,Bareland,Water,NULL,NULL,Bareland,Bareland,Bareland
389,Bareland,Bareland,Water,NULL,Water,Bareland,Bareland,Bareland
390,Bareland,Bareland,Water,Non_Water,NULL,Bareland,Bareland,Bareland
391,Bareland,Bareland,Water,Water,NULL,Bareland,Bareland,Bareland
392,Bareland,Bareland,Water,Water,NULL,Bareland,Bareland,Water
393,Bareland,Bareland,Water,Water,NULL,Bareland,Water,Bareland
394,Bareland,Bareland,Water,Water,NULL,Bareland,Water,Water
395,Bareland,Bareland,Water,Water,NULL,Water,Bareland,Bareland
396,Bareland,Bareland,Water,Water,NULL,Water,Water,Bareland
397,Bareland,Bareland,Water,Water,NULL,Water,Water,Water
398,Bareland,Bareland,Water,Water,Water,Bareland,Bareland,Bareland
399,Bareland,Built-up,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
400,Bareland,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
401,Bareland,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
402,Bareland,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Bareland
403,Bareland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
404,Bareland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
405,Bareland,Built-up,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
406,Bareland,Built-up,Bareland,NULL,Non_Wetland,Bareland,Built-up,Grassland
407,Bareland,Built-up,Bareland,NULL,Non_Wetland,Bareland,Built-up,Bareland
408,Bareland,Built-up,Bareland,NULL,Non_Wetland,Built-up,Built-up,Grassland
409,Bareland,Built-up,Bareland,NULL,Non_Wetland,Built-up,Built-up,Bareland
410,Bareland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
411,Bareland,Water,NULL,Non_Water,Non_Wetland,Shrubland,Water,Bareland
412,Bareland,Water,Cropland,Non_Water,Non_Wetland,Shrubland,Bareland,Bareland
413,Bareland,Water,Wetland,Water,NULL,Water,Water,Water
414,Bareland,Water,Wetland,Water,Wetland,Shrubland,Water,Bareland
415,Bareland,Water,Wetland,Water,Wetland,Grassland,Bareland,Wetland
416,Bareland,Water,Wetland,Water,Wetland,Bareland,Water,Bareland
417,Bareland,Water,Wetland,Water,Wetland,Bareland,Water,Water
418,Bareland,Water,Bareland,NULL,Non_Wetland,Water,Bareland,Water
419,Bareland,Water,Bareland,Non_Water,Non_Wetland,Shrubland,Bareland,Bareland
420,Bareland,Water,Bareland,Non_Water,Non_Wetland,Grassland,Built-up,Wetland
421,Bareland,Water,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
422,Bareland,Water,Bareland,Non_Water,Non_Wetland,Water,Bareland,Bareland
423,Bareland,Water,Bareland,Non_Water,Non_Wetland,Water,Bareland,Water
424,Bareland,Water,Bareland,Water,Non_Wetland,Grassland,Bareland,Wetland
425,Bareland,Water,Bareland,Water,Non_Wetland,Grassland,Bareland,Bareland
426,Bareland,Water,Bareland,Water,Non_Wetland,Grassland,Bareland,Water
427,Bareland,Water,Bareland,Water,Non_Wetland,Bareland,Bareland,Bareland
428,Bareland,Water,Bareland,Water,Non_Wetland,Bareland,Bareland,Water
429,Bareland,Water,Bareland,Water,Non_Wetland,Water,Bareland,Water
430,Bareland,Water,Built-up,NULL,Non_Wetland,Grassland,Bareland,Bareland
431,Bareland,Water,Built-up,Water,Non_Wetland,Grassland,Bareland,Bareland
432,Bareland,Water,Water,Water,NULL,Grassland,Bareland,Water
433,Bareland,Water,Water,Water,NULL,Bareland,Water,Water
434,Bareland,Water,Water,Water,NULL,Water,Bareland,Water
435,Bareland,Water,Water,Water,NULL,Water,Water,Water
436,Water,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
437,Water,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
438,Water,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
439,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
440,Water,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
441,Water,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
442,Water,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Bareland
443,Water,NULL,Shrubland,Water,Non_Wetland,Water,Water,Bareland
444,Water,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
445,Water,NULL,Grassland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
446,Water,NULL,Grassland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
447,Water,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
448,Water,NULL,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Wetland
449,Water,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
450,Water,NULL,Wetland,NULL,NULL,NULL,NULL,NULL
451,Water,NULL,Wetland,NULL,Wetland,Shrubland,Bareland,Grassland
452,Water,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
453,Water,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
454,Water,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
455,Water,NULL,Bareland,Water,Non_Wetland,Bareland,Bareland,Bareland
456,Water,NULL,Water,NULL,NULL,NULL,NULL,NULL
457,Water,NULL,Water,NULL,NULL,NULL,NULL,Water
458,Water,NULL,Water,Water,NULL,NULL,NULL,Water
459,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
460,Water,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
461,Water,Bareland,Wetland,Water,Wetland,Bareland,Bareland,Water
462,Water,Bareland,Wetland,Water,Wetland,Water,Bareland,Water
463,Water,Bareland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
464,Water,Bareland,Bareland,Non_Water,Non_Wetland,Water,Bareland,Bareland
465,Water,Bareland,Bareland,Non_Water,Non_Wetland,Water,Bareland,Water
466,Water,Bareland,Bareland,Water,Non_Wetland,Grassland,Bareland,Bareland
467,Water,Bareland,Bareland,Water,Non_Wetland,Bareland,Bareland,Bareland
468,Water,Bareland,Bareland,Water,Non_Wetland,Water,Bareland,Grassland
469,Water,Bareland,Built-up,Water,Non_Wetland,Water,Bareland,Bareland
470,Water,Bareland,Water,Water,NULL,Bareland,Bareland,Water
471,Water,Bareland,Water,Water,NULL,Water,Bareland,Bareland
472,Water,Bareland,Water,Water,NULL,Water,Water,Bareland
473,Water,Bareland,Water,Water,NULL,Water,Water,Water
474,Water,Bareland,Forest,Water,Non_Wetland,Grassland,Bareland,Bareland
475,Water,Water,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
476,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
477,Water,Water,NULL,Water,Non_Wetland,Grassland,Bareland,Water
478,Water,Water,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Bareland
479,Water,Water,Shrubland,Water,Non_Wetland,Grassland,Bareland,Water
480,Water,Water,Shrubland,Water,Non_Wetland,Water,Bareland,Water
481,Water,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
482,Water,Water,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
483,Water,Water,Cropland,Non_Water,Non_Wetland,Bareland,Built-up,Wetland
484,Water,Water,Cropland,Non_Water,Non_Wetland,Bareland,Water,Bareland
485,Water,Water,Cropland,Water,Non_Wetland,Grassland,Bareland,Water
486,Water,Water,Cropland,Water,Non_Wetland,Bareland,Bareland,Grassland
487,Water,Water,Cropland,Water,Non_Wetland,Water,Water,Water
488,Water,Water,Wetland,Water,NULL,NULL,NULL,Water
489,Water,Water,Wetland,Water,NULL,Shrubland,Water,Water
490,Water,Water,Wetland,Water,NULL,Grassland,Bareland,Water
491,Water,Water,Wetland,Water,NULL,Grassland,Water,Water
492,Water,Water,Wetland,Water,NULL,Water,Bareland,Grassland
493,Water,Water,Wetland,Water,NULL,Water,Bareland,Water
494,Water,Water,Wetland,Water,NULL,Water,Water,Water
495,Water,Water,Wetland,Water,Wetland,Grassland,Bareland,Water
496,Water,Water,Wetland,Water,Wetland,Grassland,Water,Water
497,Water,Water,Wetland,Water,Wetland,Bareland,Bareland,Bareland
498,Water,Water,Wetland,Water,Wetland,Bareland,Bareland,Water
499,Water,Water,Wetland,Water,Wetland,Bareland,Water,Bareland
500,Water,Water,Wetland,Water,Wetland,Bareland,Water,Water
501,Water,Water,Wetland,Water,Wetland,Water,Bareland,Bareland
502,Water,Water,Wetland,Water,Wetland,Water,Bareland,Water
503,Water,Water,Wetland,Water,Wetland,Water,Water,Grassland
504,Water,Water,Wetland,Water,Wetland,Water,Water,Bareland
505,Water,Water,Wetland,Water,Wetland,Water,Water,Water
506,Water,Water,Bareland,NULL,Non_Wetland,Grassland,Bareland,Bareland
507,Water,Water,Bareland,NULL,Non_Wetland,Grassland,Bareland,Water
508,Water,Water,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
509,Water,Water,Bareland,NULL,Non_Wetland,Bareland,Built-up,Bareland
510,Water,Water,Bareland,NULL,Non_Wetland,Water,Bareland,Bareland
511,Water,Water,Bareland,Non_Water,Non_Wetland,Grassland,Bareland,Water
512,Water,Water,Bareland,Non_Water,Non_Wetland,Grassland,Water,Bareland
513,Water,Water,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
514,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Bareland,Bareland
515,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Bareland,Water
516,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Bareland
517,Water,Water,Bareland,Water,Non_Wetland,Grassland,Bareland,Bareland
518,Water,Water,Bareland,Water,Non_Wetland,Grassland,Bareland,Water
519,Water,Water,Bareland,Water,Non_Wetland,Grassland,Water,Bareland
520,Water,Water,Bareland,Water,Non_Wetland,Bareland,Bareland,Bareland
521,Water,Water,Bareland,Water,Non_Wetland,Bareland,Water,Bareland
522,Water,Water,Bareland,Water,Non_Wetland,Water,Bareland,Bareland
523,Water,Water,Bareland,Water,Non_Wetland,Water,Bareland,Water
524,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Bareland
525,Water,Water,Built-up,Non_Water,Non_Wetland,Grassland,Bareland,Water
526,Water,Water,Built-up,Non_Water,Non_Wetland,Water,Water,Water
527,Water,Water,Built-up,Water,Non_Wetland,Grassland,Bareland,Bareland
528,Water,Water,Built-up,Water,Non_Wetland,Grassland,Bareland,Water
529,Water,Water,Built-up,Water,Non_Wetland,Grassland,Water,Bareland
530,Water,Water,Built-up,Water,Non_Wetland,Water,Bareland,Water
531,Water,Water,Built-up,Water,Non_Wetland,Water,Water,Water
532,Water,Water,Water,Water,NULL,NULL,NULL,Water
533,Water,Water,Water,Water,NULL,Water,NULL,Water
534,Water,Water,Water,Water,NULL,Water,Bareland,Wetland
535,Water,Water,Water,Water,NULL,Water,Bareland,Bareland
536,Water,Water,Water,Water,NULL,Water,Bareland,Water
537,Water,Water,Water,Water,NULL,Water,Water,Bareland
538,Water,Water,Water,Water,NULL,Water,Water,Water
539,Water,Water,Water,Water,NULL,Water,Forest,Water
540,Water,Water,Water,Water,Water,Water,Bareland,Water
541,Water,Water,Water,Water,Water,Water,Water,Water
542,Water,Water,Forest,Water,Non_Wetland,Grassland,Water,Water
543,Water,Water,Forest,Water,Non_Wetland,Water,Bareland,Water
544,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
545,Permanent_ice_and_snow,NULL,NULL,Water,Non_Wetland,Water,Water,Bareland
546,Permanent_ice_and_snow,NULL,Water,NULL,NULL,NULL,NULL,NULL
547,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
548,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
549,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
550,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
551,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
552,Forest,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
553,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
554,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
555,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland,Grassland
556,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland,Forest
557,Forest,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
558,Forest,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
559,Forest,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
560,Forest,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
561,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
562,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
563,Forest,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
564,Forest,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
565,Forest,NULL,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
566,Forest,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
567,Forest,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
568,Forest,NULL,Water,NULL,NULL,NULL,NULL,NULL
569,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
570,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
571,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
572,Forest,Wetland,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
573,Forest,Wetland,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
574,Forest,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
575,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
576,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,Built-up,Forest
577,Forest,Built-up,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
578,Forest,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
579,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
580,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
581,Forest,Built-up,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
582,Forest,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
583,Forest,Built-up,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
584,Forest,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
585,Forest,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
586,Forest,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Forest
587,Forest,Built-up,Cropland,Non_Water,Non_Wetland,NULL,Built-up,Grassland
588,Forest,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Forest
589,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
590,Forest,Forest,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
591,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
592,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
593,Forest,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
594,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
595,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
596,Forest,Forest,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
597,Forest,Forest,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
598,Forest,Forest,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
599,Forest,Forest,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
600,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
601,Forest,Forest,Cropland,NULL,Non_Wetland,Shrubland,NULL,NULL
602,Forest,Forest,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
603,Forest,Forest,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
604,Forest,Forest,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
605,Forest,Forest,Cropland,NULL,Non_Wetland,Forest,NULL,Grassland
606,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
607,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
608,Forest,Forest,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
609,Forest,Forest,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
610,Forest,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
