Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KQQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KQQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KQQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KQQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KQQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KQQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KQQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KQQ_M_R
1581,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
1582,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
1583,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
1584,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland,Grassland
1585,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland,Bareland
1586,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland,Built-up
1587,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Wetland,Grassland
1588,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Wetland,Wetland
1589,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Wetland,Built-up
1590,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Bareland,Grassland
1591,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Bareland,Cropland
1592,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Bareland,Wetland
1593,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Bareland,Bareland
1594,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Bareland,Built-up
1595,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Built-up,Grassland
1596,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Built-up,Wetland
1597,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Built-up,Built-up
1598,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Built-up,Forest
1599,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Water,Grassland
1600,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Water,Wetland
1601,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Water,Built-up
1602,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
1603,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Cropland
1604,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Wetland
1605,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Built-up
1606,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Forest
1607,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
1608,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Wetland
1609,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
1610,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
1611,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
1612,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
1613,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Built-up,Wetland
1614,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,NULL,Cropland
1615,NULL,Cropland,Built-up,NULL,Non_Wetland,Wetland,NULL,Grassland
1616,NULL,Cropland,Built-up,NULL,Non_Wetland,Wetland,NULL,Wetland
1617,NULL,Cropland,Built-up,NULL,Non_Wetland,Wetland,NULL,Built-up
1618,NULL,Cropland,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
1619,NULL,Cropland,Built-up,NULL,Non_Wetland,Wetland,Wetland,Wetland
1620,NULL,Cropland,Built-up,NULL,Non_Wetland,Wetland,Bareland,Wetland
1621,NULL,Cropland,Built-up,NULL,Non_Wetland,Wetland,Water,Wetland
1622,NULL,Cropland,Built-up,NULL,Non_Wetland,Wetland,Water,Built-up
1623,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
1624,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Wetland
1625,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
1626,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
1627,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Forest
1628,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
1629,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
1630,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
1631,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Wetland,Bareland
1632,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Wetland,Built-up
1633,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
1634,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Wetland
1635,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
1636,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
1637,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Water
1638,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
1639,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Built-up,Bareland
1640,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
1641,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Built-up,Forest
1642,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
1643,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Water,Wetland
1644,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Water,Bareland
1645,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Water,Built-up
1646,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,NULL,Grassland
1647,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,NULL,Wetland
1648,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,NULL,Built-up
1649,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,NULL,Forest
1650,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
1651,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Bareland,Built-up
1652,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
1653,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Wetland
1654,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
1655,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
1656,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Water,Wetland
1657,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Water,Built-up
1658,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
1659,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Wetland
1660,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,Built-up,Grassland
1661,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,Water,Grassland
1662,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,Water,Wetland
1663,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Grassland,NULL,Grassland
1664,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Wetland,NULL,Grassland
1665,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Wetland,NULL,Wetland
1666,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Wetland,Water,Grassland
1667,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Wetland,Water,Wetland
1668,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Bareland,NULL,Wetland
1669,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Bareland,Wetland,Bareland
1670,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
1671,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Wetland
1672,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
1673,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Bareland,Water,Grassland
1674,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Bareland,Water,Wetland
1675,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Bareland,Water,Bareland
1676,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Bareland,Water,Built-up
1677,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Built-up,Built-up,Wetland
1678,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Built-up,Built-up,Bareland
1679,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Water,Water,Wetland
1680,NULL,Cropland,Built-up,Water,Non_Wetland,Bareland,Bareland,Bareland
1681,NULL,Cropland,Water,NULL,Water,NULL,Wetland,Wetland
1682,NULL,Cropland,Water,NULL,Water,Bareland,Wetland,Wetland
1683,NULL,Cropland,Water,NULL,Water,Bareland,Water,Wetland
1684,NULL,Cropland,Water,NULL,Water,Bareland,Water,Bareland
1685,NULL,Cropland,Water,Water,Water,Bareland,Wetland,Wetland
1686,NULL,Cropland,Water,Water,Water,Bareland,Wetland,Bareland
1687,NULL,Cropland,Water,Water,Water,Bareland,Water,Bareland
1688,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
1689,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
1690,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
1691,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1692,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
1693,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Wetland
1694,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
1695,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
1696,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Wetland,Wetland
1697,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
1698,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Bareland,Grassland
1699,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Bareland,Wetland
1700,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
1701,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Forest,Forest
1702,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
1703,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Cropland
1704,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Wetland
1705,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
1706,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1707,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
1708,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Wetland
1709,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1710,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1711,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Built-up,Grassland
1712,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
1713,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1714,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
1715,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Wetland
1716,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
1717,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,NULL,Wetland
1718,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,NULL,Built-up
1719,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
1720,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Grassland,Wetland
1721,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
1722,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
1723,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1724,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
1725,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Wetland
1726,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1727,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Wetland,Wetland
1728,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up,NULL,Wetland
1729,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up,NULL,Forest
1730,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
1731,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
1732,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up,Wetland,Wetland
1733,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up,Built-up,Wetland
1734,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up,Built-up,Forest
1735,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,NULL,Forest
1736,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
1737,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Cropland
1738,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1739,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
1740,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1741,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
1742,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
1743,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
1744,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,Grassland,Wetland
1745,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,Wetland,Wetland
1746,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland,NULL,Grassland
1747,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland,NULL,Wetland
1748,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1749,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
1750,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1751,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland,NULL,Wetland
1752,NULL,Cropland,Forest,Non_Water,Non_Wetland,Wetland,NULL,Wetland
1753,NULL,Cropland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
1754,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
1755,NULL,Cropland,Forest,Water,Non_Wetland,NULL,Grassland,Wetland
1756,NULL,Cropland,Forest,Water,Non_Wetland,NULL,Wetland,Wetland
1757,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1758,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
1759,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
1760,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,Water,Grassland
1761,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,Water,Wetland
1762,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
1763,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
1764,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1765,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
1766,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
1767,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
1768,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
1769,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
1770,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Bareland,Wetland
1771,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
1772,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
1773,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
1774,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
1775,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
1776,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
1777,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
1778,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
1779,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
1780,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
1781,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
1782,NULL,Wetland,NULL,NULL,Non_Wetland,Built-up,Built-up,Wetland
1783,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
1784,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
1785,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
1786,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
1787,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
1788,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
1789,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
1790,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
1791,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
1792,NULL,Wetland,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
1793,NULL,Wetland,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
1794,NULL,Wetland,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
1795,NULL,Wetland,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
1796,NULL,Wetland,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Wetland
1797,NULL,Wetland,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
1798,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
1799,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Wetland
1800,NULL,Wetland,NULL,Water,Non_Wetland,NULL,Water,Wetland
1801,NULL,Wetland,NULL,Water,Non_Wetland,Wetland,NULL,Wetland
1802,NULL,Wetland,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
1803,NULL,Wetland,NULL,Water,Non_Wetland,Wetland,Water,Wetland
1804,NULL,Wetland,NULL,Water,Non_Wetland,Bareland,Water,Wetland
1805,NULL,Wetland,NULL,Water,Non_Wetland,Water,Water,Wetland
1806,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1807,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
1808,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
1809,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
1810,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
1811,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
1812,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Built-up,Wetland
1813,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
1814,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Water,Wetland
1815,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Water,Water
1816,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
1817,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
1818,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
1819,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
1820,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
1821,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1822,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
1823,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
1824,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Wetland
1825,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
1826,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
1827,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Wetland
1828,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
1829,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1830,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Wetland
1831,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1832,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Built-up,NULL
1833,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
1834,NULL,Wetland,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
1835,NULL,Wetland,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1836,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
1837,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1838,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
1839,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Wetland
1840,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
1841,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,Wetland
1842,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
1843,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
1844,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
1845,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Wetland
1846,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
1847,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Wetland
1848,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
1849,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
1850,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
1851,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Wetland
1852,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
1853,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Wetland
1854,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
1855,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
1856,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland,NULL,Grassland
1857,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
1858,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
1859,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
1860,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
1861,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
1862,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
1863,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
1864,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,Bareland,Water
1865,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,Water,Grassland
1866,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
1867,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland,NULL,Wetland
1868,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1869,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
1870,NULL,Wetland,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
1871,NULL,Wetland,Cropland,NULL,Non_Wetland,Wetland,NULL,Wetland
1872,NULL,Wetland,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
1873,NULL,Wetland,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
1874,NULL,Wetland,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
1875,NULL,Wetland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1876,NULL,Wetland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1877,NULL,Wetland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1878,NULL,Wetland,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
1879,NULL,Wetland,Cropland,NULL,Non_Wetland,Bareland,Built-up,Bareland
1880,NULL,Wetland,Cropland,NULL,Non_Wetland,Bareland,Water,Grassland
1881,NULL,Wetland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1882,NULL,Wetland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
1883,NULL,Wetland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Forest
1884,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1885,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
1886,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
1887,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
1888,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
1889,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
1890,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
1891,NULL,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Grassland
1892,NULL,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Cropland
1893,NULL,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Wetland
1894,NULL,Wetland,Wetland,NULL,Wetland,NULL,Bareland,Wetland
1895,NULL,Wetland,Wetland,NULL,Wetland,NULL,Built-up,Wetland
1896,NULL,Wetland,Wetland,NULL,Wetland,NULL,Water,Grassland
1897,NULL,Wetland,Wetland,NULL,Wetland,NULL,Water,Wetland
1898,NULL,Wetland,Wetland,NULL,Wetland,Wetland,NULL,Grassland
1899,NULL,Wetland,Wetland,NULL,Wetland,Wetland,NULL,Wetland
