Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MVA_M_R
448,Forest,Water,Wetland,Water,Wetland,Grassland
449,Forest,Water,Wetland,Water,Wetland,Water
450,Forest,Water,Wetland,Water,Wetland,Forest
451,Forest,Water,Bareland,NULL,Non_Wetland,Water
452,Forest,Water,Bareland,NULL,Non_Wetland,Forest
453,Forest,Water,Bareland,Water,Non_Wetland,Water
454,Forest,Water,Bareland,Water,Non_Wetland,Forest
455,Forest,Water,Built-up,NULL,Non_Wetland,Forest
456,Forest,Water,Water,NULL,Water,Water
457,Forest,Water,Water,NULL,Water,Forest
458,Forest,Water,Water,Non_Water,Water,Water
459,Forest,Water,Water,Non_Water,Water,Forest
460,Forest,Water,Water,Water,Water,Grassland
461,Forest,Water,Water,Water,Water,Water
462,Forest,Water,Water,Water,Water,Forest
463,Forest,Water,Forest,NULL,Non_Wetland,Grassland
464,Forest,Water,Forest,NULL,Non_Wetland,Wetland
465,Forest,Water,Forest,NULL,Non_Wetland,Water
466,Forest,Water,Forest,NULL,Non_Wetland,Forest
467,Forest,Water,Forest,Non_Water,Non_Wetland,Water
468,Forest,Water,Forest,Non_Water,Non_Wetland,Forest
469,Forest,Water,Forest,Water,Non_Wetland,Grassland
470,Forest,Water,Forest,Water,Non_Wetland,Water
471,Forest,Water,Forest,Water,Non_Wetland,Forest
472,Forest,Forest,NULL,NULL,Non_Wetland,NULL
473,Forest,Forest,NULL,NULL,Non_Wetland,Grassland
474,Forest,Forest,NULL,NULL,Non_Wetland,Forest
475,Forest,Forest,NULL,Non_Water,Non_Wetland,Forest
476,Forest,Forest,NULL,Water,Non_Wetland,Forest
477,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
478,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland
479,Forest,Forest,Shrubland,NULL,Non_Wetland,Wetland
480,Forest,Forest,Shrubland,NULL,Non_Wetland,Built-up
481,Forest,Forest,Shrubland,NULL,Non_Wetland,Water
482,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest
483,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
484,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Forest
485,Forest,Forest,Shrubland,Water,Non_Wetland,Grassland
486,Forest,Forest,Shrubland,Water,Non_Wetland,Forest
487,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland
488,Forest,Forest,Grassland,NULL,Non_Wetland,Built-up
489,Forest,Forest,Grassland,NULL,Non_Wetland,Forest
490,Forest,Forest,Grassland,Non_Water,Non_Wetland,Forest
491,Forest,Forest,Grassland,Water,Non_Wetland,Grassland
492,Forest,Forest,Grassland,Water,Non_Wetland,Forest
493,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland
494,Forest,Forest,Cropland,NULL,Non_Wetland,Built-up
495,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
496,Forest,Forest,Cropland,Non_Water,Non_Wetland,Grassland
497,Forest,Forest,Cropland,Non_Water,Non_Wetland,Forest
498,Forest,Forest,Cropland,Water,Non_Wetland,Forest
499,Forest,Forest,Wetland,NULL,Wetland,NULL
500,Forest,Forest,Wetland,NULL,Wetland,Grassland
501,Forest,Forest,Wetland,NULL,Wetland,Wetland
502,Forest,Forest,Wetland,NULL,Wetland,Water
503,Forest,Forest,Wetland,NULL,Wetland,Forest
504,Forest,Forest,Wetland,Non_Water,Wetland,Grassland
505,Forest,Forest,Wetland,Non_Water,Wetland,Water
506,Forest,Forest,Wetland,Non_Water,Wetland,Forest
507,Forest,Forest,Wetland,Water,Wetland,Grassland
508,Forest,Forest,Wetland,Water,Wetland,Water
509,Forest,Forest,Wetland,Water,Wetland,Forest
510,Forest,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
511,Forest,Forest,Bareland,NULL,Non_Wetland,NULL
512,Forest,Forest,Bareland,NULL,Non_Wetland,Grassland
513,Forest,Forest,Bareland,NULL,Non_Wetland,Forest
514,Forest,Forest,Bareland,Non_Water,Non_Wetland,Water
515,Forest,Forest,Bareland,Non_Water,Non_Wetland,Forest
516,Forest,Forest,Bareland,Water,Non_Wetland,Forest
517,Forest,Forest,Built-up,NULL,Non_Wetland,Grassland
518,Forest,Forest,Built-up,NULL,Non_Wetland,Built-up
519,Forest,Forest,Built-up,NULL,Non_Wetland,Forest
520,Forest,Forest,Water,NULL,Water,Grassland
521,Forest,Forest,Water,NULL,Water,Water
522,Forest,Forest,Water,NULL,Water,Forest
523,Forest,Forest,Water,Non_Water,Water,Grassland
524,Forest,Forest,Water,Non_Water,Water,Water
525,Forest,Forest,Water,Non_Water,Water,Forest
526,Forest,Forest,Water,Water,Water,Grassland
527,Forest,Forest,Water,Water,Water,Water
528,Forest,Forest,Water,Water,Water,Forest
529,Forest,Forest,Forest,NULL,Non_Wetland,NULL
530,Forest,Forest,Forest,NULL,Non_Wetland,Grassland
531,Forest,Forest,Forest,NULL,Non_Wetland,Wetland
532,Forest,Forest,Forest,NULL,Non_Wetland,Built-up
533,Forest,Forest,Forest,NULL,Non_Wetland,Water
534,Forest,Forest,Forest,NULL,Non_Wetland,Forest
535,Forest,Forest,Forest,Non_Water,Non_Wetland,Grassland
536,Forest,Forest,Forest,Non_Water,Non_Wetland,Water
537,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest
538,Forest,Forest,Forest,Water,Non_Wetland,Grassland
539,Forest,Forest,Forest,Water,Non_Wetland,Water
540,Forest,Forest,Forest,Water,Non_Wetland,Forest
