Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KBU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KBU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KBU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KBU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KBU_M_R
826,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
827,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Built-up
828,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
829,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
830,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
831,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Built-up,Grassland
832,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Built-up,Forest
833,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
834,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Cropland
835,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
836,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
837,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Cropland
838,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Built-up
839,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Forest
840,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Grassland
841,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
842,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Bareland,Grassland
843,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Bareland,Forest
844,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Built-up,Cropland
845,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Built-up,Forest
846,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Cropland
847,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Forest
848,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
849,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Wetland
850,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Built-up
851,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Water
852,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
853,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
854,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
855,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
856,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
857,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
858,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
859,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
860,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Water
861,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
862,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Built-up,Built-up
863,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Built-up,Water
864,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Built-up,Forest
865,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
866,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Bareland
867,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Water
868,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Forest
869,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
870,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
871,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
872,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Cropland
873,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Built-up
874,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Water
875,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
876,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
877,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
878,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
879,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Built-up
880,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
881,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Built-up,Cropland
882,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Built-up,Built-up
883,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Built-up,Forest
884,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Cropland
885,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
886,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,NULL,Grassland
887,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,NULL,Cropland
888,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,NULL,Bareland
889,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,NULL,Built-up
890,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,NULL,Forest
891,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
892,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
893,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Bareland,Grassland
894,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Bareland,Built-up
895,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Bareland,Forest
896,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
897,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Built-up,Cropland
898,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Built-up,Bareland
899,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Built-up,Built-up
900,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Built-up,Water
901,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Built-up,Forest
902,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Forest,Bareland
903,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Forest,Built-up
904,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Forest,Forest
905,NULL,NULL,Forest,NULL,Non_Wetland,Water,NULL,Wetland
906,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Bareland
907,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Water
908,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
909,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Cropland
910,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Wetland
911,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Bareland
912,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Built-up
913,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
914,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
915,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Cropland
916,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
917,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Grassland
918,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Wetland
919,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
920,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Grassland
921,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Cropland
922,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Bareland
923,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
924,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Built-up,Grassland
925,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Built-up,Cropland
926,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Built-up,Built-up
927,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Built-up,Forest
928,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
929,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Cropland
930,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Bareland
931,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Built-up
932,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Water
933,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
934,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
935,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
936,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
937,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland,Grassland
938,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland,Grassland
939,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland,Wetland
940,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Forest,Forest
941,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,NULL,Grassland
942,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
943,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,NULL,Grassland
944,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
945,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
946,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
947,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,NULL,Cropland
948,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,NULL,Forest
949,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest,Forest,Forest
950,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
951,NULL,NULL,Forest,Water,Non_Wetland,NULL,Wetland,Grassland
952,NULL,NULL,Forest,Water,Non_Wetland,NULL,Bareland,Grassland
953,NULL,NULL,Forest,Water,Non_Wetland,NULL,Water,Water
954,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Bareland,Built-up
955,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
956,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
957,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
958,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
959,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
960,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
961,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
962,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
963,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
964,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Cropland
965,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
966,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
967,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
968,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
969,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
970,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
971,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
972,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
973,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
974,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
975,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
976,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
977,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
978,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
979,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
980,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
981,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
982,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
983,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
984,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
985,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
986,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
987,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
988,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
989,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
990,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
991,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
992,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
993,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
994,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
995,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
996,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
997,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Water
998,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
999,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
1000,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Built-up
1001,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
1002,Grassland,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
1003,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
1004,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
1005,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
1006,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
1007,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
1008,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
1009,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
1010,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
1011,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
1012,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
1013,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
1014,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
1015,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
1016,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
1017,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
1018,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
1019,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Cropland
1020,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
1021,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
1022,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1023,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
1024,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
1025,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Cropland
1026,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
1027,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1028,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Cropland
1029,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1030,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
1031,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
1032,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
1033,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
1034,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
1035,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
1036,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
1037,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
1038,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
1039,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
1040,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
1041,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
1042,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
1043,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
1044,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
1045,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
1046,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
1047,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
1048,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
1049,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
1050,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
1051,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
1052,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
1053,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1054,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1055,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1056,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1057,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1058,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
1059,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
1060,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1061,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
1062,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
1063,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
1064,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
1065,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
1066,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
1067,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
1068,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
1069,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
1070,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1071,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
1072,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
1073,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
1074,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
1075,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1076,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
1077,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
1078,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1079,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
1080,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
1081,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
1082,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
1083,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1084,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
1085,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
1086,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
1087,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Cropland
1088,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
1089,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
1090,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Cropland
1091,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
1092,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
1093,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
1094,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Built-up,Forest
1095,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
1096,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Cropland
1097,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
1098,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1099,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
1100,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
1101,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
1102,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Cropland
1103,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
1104,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Cropland
1105,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
1106,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Forest
1107,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1108,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
1109,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1110,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
1111,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
1112,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Cropland
1113,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1114,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Grassland
1115,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Grassland
1116,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
1117,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
1118,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
1119,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
1120,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
1121,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Cropland
1122,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Built-up
1123,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
1124,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
1125,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
1126,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
1127,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Cropland
1128,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
1129,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
1130,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
1131,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
1132,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1133,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1134,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1135,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1136,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
1137,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
1138,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
1139,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
1140,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Cropland
1141,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
1142,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
1143,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Cropland
1144,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1145,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Cropland
1146,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
1147,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Grassland
1148,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
1149,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1150,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
1151,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1152,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
