Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MZT_M_R
2256,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
2257,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
2258,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
2259,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2260,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
2261,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
2262,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
2263,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
2264,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
2265,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
2266,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
2267,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
2268,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
2269,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
2270,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
2271,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
2272,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
2273,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
2274,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
2275,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Built-up
2276,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
2277,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
2278,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
2279,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
2280,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Wetland
2281,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
2282,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
2283,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
2284,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
2285,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
2286,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
2287,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
2288,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
2289,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
2290,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
2291,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
2292,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
2293,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
2294,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
2295,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
2296,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
2297,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
2298,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
2299,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
2300,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
2301,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
2302,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
2303,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
2304,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
2305,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
2306,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
2307,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
2308,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
2309,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
2310,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
2311,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
2312,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
2313,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
2314,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
2315,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
2316,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
2317,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
2318,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
2319,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
2320,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
2321,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
2322,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
2323,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
2324,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
2325,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
2326,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
2327,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
2328,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
2329,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
2330,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
2331,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
2332,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
2333,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
2334,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
2335,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
2336,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
2337,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
2338,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
2339,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
2340,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
2341,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
2342,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
2343,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Wetland
2344,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
2345,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
2346,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
2347,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
2348,Grassland,NULL,Shrubland,Water,Non_Wetland,Cropland,Grassland,Grassland
2349,Grassland,NULL,Shrubland,Water,Non_Wetland,Cropland,Wetland,Grassland
2350,Grassland,NULL,Shrubland,Water,Non_Wetland,Cropland,Wetland,Wetland
2351,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Grassland
2352,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Wetland
2353,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
2354,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Wetland
2355,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
2356,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
2357,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
2358,Grassland,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
2359,Grassland,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Wetland
2360,Grassland,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
2361,Grassland,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
2362,Grassland,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
2363,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
2364,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
2365,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
2366,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
2367,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
2368,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
2369,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Built-up
2370,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
2371,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2372,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
2373,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
2374,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
2375,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
2376,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
2377,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
2378,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
2379,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
2380,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
2381,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
2382,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
2383,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Wetland
2384,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
2385,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
2386,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Forest
2387,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
2388,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
2389,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Grassland
2390,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Wetland
2391,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Grassland
2392,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Forest
2393,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Grassland
2394,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Forest
2395,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
2396,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
2397,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
2398,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
2399,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Bareland
2400,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
2401,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
2402,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
2403,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
2404,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
2405,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
2406,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
2407,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
2408,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
2409,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
2410,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
2411,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
2412,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
2413,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
2414,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
2415,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Wetland
2416,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
2417,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
2418,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
2419,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
2420,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
2421,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
2422,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
2423,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
2424,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
2425,Grassland,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
2426,Grassland,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
2427,Grassland,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
2428,Grassland,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
2429,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
2430,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
2431,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
2432,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Grassland
2433,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
2434,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
2435,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
2436,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
2437,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
2438,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
2439,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
2440,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
2441,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
2442,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
2443,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
2444,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Wetland
2445,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Cropland,NULL,Grassland
2446,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
2447,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,NULL,Forest
2448,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
2449,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
2450,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
2451,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
2452,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
2453,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
2454,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Grassland
2455,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Wetland
2456,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Forest
2457,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
2458,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
2459,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Water,Grassland,Grassland
2460,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
2461,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland,NULL,Grassland
2462,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland,NULL,Wetland
2463,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
2464,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Wetland
2465,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Forest
2466,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
2467,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Wetland
2468,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland,Bareland,Grassland
2469,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland,Water,Grassland
2470,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland,Water,Wetland
2471,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland,Forest,Grassland
2472,Grassland,NULL,Grassland,Water,Non_Wetland,Cropland,Grassland,Grassland
2473,Grassland,NULL,Grassland,Water,Non_Wetland,Cropland,Wetland,Grassland
2474,Grassland,NULL,Grassland,Water,Non_Wetland,Cropland,Wetland,Wetland
2475,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,NULL,Grassland
2476,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,NULL,Wetland
2477,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Grassland
2478,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Wetland
2479,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Forest
2480,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
2481,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
2482,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Water
2483,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Forest
2484,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Grassland
2485,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Wetland
2486,Grassland,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Wetland
2487,Grassland,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Grassland
2488,Grassland,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Wetland
2489,Grassland,NULL,Grassland,Water,Non_Wetland,Water,Grassland,Grassland
2490,Grassland,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
2491,Grassland,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Wetland
2492,Grassland,NULL,Grassland,Water,Non_Wetland,Water,Water,Grassland
2493,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2494,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
2495,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
2496,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
2497,Grassland,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
2498,Grassland,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
2499,Grassland,NULL,Wetland,NULL,Wetland,NULL,Wetland,Wetland
2500,Grassland,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
2501,Grassland,NULL,Wetland,NULL,Wetland,NULL,Water,Forest
2502,Grassland,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
2503,Grassland,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
2504,Grassland,NULL,Wetland,NULL,Wetland,Grassland,NULL,Forest
2505,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
2506,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
2507,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
2508,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
2509,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
2510,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Water
2511,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
2512,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
2513,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
2514,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Water,Wetland
2515,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Water,Water
2516,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
2517,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
2518,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
2519,Grassland,NULL,Wetland,NULL,Wetland,Cropland,NULL,Grassland
2520,Grassland,NULL,Wetland,NULL,Wetland,Cropland,Grassland,Grassland
2521,Grassland,NULL,Wetland,NULL,Wetland,Cropland,Grassland,Wetland
2522,Grassland,NULL,Wetland,NULL,Wetland,Cropland,Grassland,Forest
2523,Grassland,NULL,Wetland,NULL,Wetland,Cropland,Wetland,Grassland
2524,Grassland,NULL,Wetland,NULL,Wetland,Cropland,Wetland,Wetland
2525,Grassland,NULL,Wetland,NULL,Wetland,Cropland,Wetland,Forest
2526,Grassland,NULL,Wetland,NULL,Wetland,Cropland,Forest,Grassland
2527,Grassland,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
2528,Grassland,NULL,Wetland,NULL,Wetland,Wetland,NULL,Wetland
2529,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
2530,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
2531,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Water
2532,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
2533,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
2534,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
2535,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
2536,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
2537,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
2538,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
2539,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
2540,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Water,Water
2541,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
2542,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
2543,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Forest,Wetland
2544,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
2545,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
2546,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Wetland
2547,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
2548,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
2549,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Wetland
2550,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Water
2551,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
2552,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Water,Grassland
2553,Grassland,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
2554,Grassland,NULL,Wetland,NULL,Wetland,Water,Grassland,Wetland
2555,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
2556,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
2557,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,Water
2558,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
2559,Grassland,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
2560,Grassland,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
2561,Grassland,NULL,Wetland,NULL,Wetland,Water,Water,Water
2562,Grassland,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
2563,Grassland,NULL,Wetland,NULL,Wetland,Forest,Wetland,Wetland
2564,Grassland,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
2565,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Grassland
2566,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Wetland
2567,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
2568,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,Grassland
2569,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,Wetland
2570,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
2571,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Wetland
2572,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
2573,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
2574,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
