Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LBM_M_R
1508,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1509,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
1510,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
1511,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1512,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
1513,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1514,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1515,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
1516,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1517,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1518,Grassland,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
1519,Grassland,NULL,Wetland,NULL,Wetland,NULL,Wetland,NULL
1520,Grassland,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
1521,Grassland,NULL,Wetland,NULL,Wetland,NULL,Wetland,Wetland
1522,Grassland,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
1523,Grassland,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
1524,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
1525,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
1526,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
1527,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
1528,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Cropland
1529,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
1530,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
1531,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
1532,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
1533,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
1534,Grassland,NULL,Wetland,NULL,Wetland,Cropland,Wetland,Grassland
1535,Grassland,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
1536,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
1537,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
1538,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
1539,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
1540,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
1541,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
1542,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
1543,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Water,NULL
1544,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
1545,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
1546,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
1547,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
1548,Grassland,NULL,Wetland,NULL,Wetland,Forest,Wetland,NULL
1549,Grassland,NULL,Wetland,NULL,Wetland,Forest,Wetland,Grassland
1550,Grassland,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
1551,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,NULL
1552,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Grassland
1553,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Wetland
1554,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
1555,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Water,Forest
1556,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,Grassland
1557,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,NULL
1558,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
1559,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Cropland
1560,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
1561,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
1562,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
1563,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Wetland
1564,Grassland,NULL,Wetland,Non_Water,Wetland,Cropland,Water,Grassland
1565,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,NULL
1566,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
1567,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
1568,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
1569,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
1570,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
1571,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
1572,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
1573,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
1574,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
1575,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
1576,Grassland,NULL,Wetland,Non_Water,Wetland,Forest,Wetland,Wetland
1577,Grassland,NULL,Wetland,Water,Wetland,NULL,Wetland,Forest
1578,Grassland,NULL,Wetland,Water,Wetland,Grassland,NULL,Grassland
1579,Grassland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
1580,Grassland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Wetland
1581,Grassland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Forest
1582,Grassland,NULL,Wetland,Water,Wetland,Grassland,Water,Water
1583,Grassland,NULL,Wetland,Water,Wetland,Grassland,Water,Forest
1584,Grassland,NULL,Wetland,Water,Wetland,Cropland,NULL,Grassland
1585,Grassland,NULL,Wetland,Water,Wetland,Wetland,NULL,Grassland
1586,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,NULL
1587,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
1588,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
1589,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
1590,Grassland,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
1591,Grassland,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
1592,Grassland,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
1593,Grassland,NULL,Wetland,Water,Wetland,Forest,Wetland,Wetland
1594,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
1595,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
1596,Grassland,NULL,Water,NULL,Water,NULL,Wetland,NULL
1597,Grassland,NULL,Water,NULL,Water,Grassland,Wetland,Forest
1598,Grassland,NULL,Water,NULL,Water,Grassland,Water,Forest
1599,Grassland,NULL,Water,NULL,Water,Wetland,Wetland,NULL
1600,Grassland,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
1601,Grassland,NULL,Water,NULL,Water,Wetland,Wetland,Forest
1602,Grassland,NULL,Water,NULL,Water,Wetland,Water,Forest
1603,Grassland,NULL,Water,Non_Water,Water,Wetland,Wetland,Wetland
1604,Grassland,NULL,Water,Non_Water,Water,Water,Wetland,Grassland
1605,Grassland,NULL,Water,Water,Water,NULL,Water,Forest
1606,Grassland,NULL,Water,Water,Water,Wetland,Wetland,Grassland
1607,Grassland,NULL,Water,Water,Water,Wetland,Wetland,Wetland
1608,Grassland,NULL,Water,Water,Water,Wetland,Wetland,Forest
1609,Grassland,NULL,Water,Water,Water,Wetland,Water,Wetland
1610,Grassland,NULL,Water,Water,Water,Wetland,Water,Forest
1611,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
1612,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
1613,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
1614,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
1615,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Water,Forest
1616,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
1617,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1618,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
1619,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1620,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
1621,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1622,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Wetland
1623,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1624,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
1625,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
1626,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
1627,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1628,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
1629,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
1630,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
1631,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1632,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
1633,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
1634,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
1635,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1636,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Wetland
1637,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Forest
1638,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
1639,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
1640,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
1641,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
1642,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
1643,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1644,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland,NULL
1645,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland,Grassland
1646,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland,Forest
1647,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,NULL
1648,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1649,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
1650,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Forest
1651,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,NULL
1652,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1653,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
1654,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1655,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Forest
1656,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Grassland
1657,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
1658,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Forest
1659,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
1660,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
1661,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
1662,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1663,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
1664,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1665,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
1666,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
1667,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
1668,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
1669,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
1670,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
1671,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
1672,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
1673,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Wetland,Cropland
1674,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Wetland,Forest
1675,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
1676,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
1677,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1678,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1679,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1680,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
1681,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
1682,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
1683,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1684,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
1685,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
1686,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Forest,Cropland
1687,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
1688,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1689,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
1690,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
1691,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1692,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1693,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
1694,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
1695,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland,NULL,Cropland
1696,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1697,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland,Wetland,Grassland
1698,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland,Forest,Grassland
1699,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
1700,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
1701,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
1702,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1703,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1704,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
1705,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
1706,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
1707,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
1708,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
1709,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1710,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
1711,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
1712,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Wetland,Cropland
1713,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Wetland,Forest
1714,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Forest,Cropland
1715,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1716,Grassland,Cropland,Wetland,NULL,Wetland,Grassland,NULL,Grassland
1717,Grassland,Cropland,Wetland,NULL,Wetland,Grassland,NULL,Cropland
1718,Grassland,Cropland,Wetland,NULL,Wetland,Grassland,NULL,Forest
1719,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland,NULL,Grassland
1720,Grassland,Cropland,Bareland,NULL,Non_Wetland,Cropland,NULL,Grassland
1721,Grassland,Cropland,Water,NULL,Water,Grassland,NULL,Forest
1722,Grassland,Cropland,Water,NULL,Water,Cropland,NULL,Grassland
1723,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
1724,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Cropland
1725,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
1726,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1727,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1728,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1729,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
1730,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Cropland
1731,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Forest
1732,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Grassland
1733,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
1734,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Wetland,Grassland
1735,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Wetland,Cropland
1736,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
1737,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
1738,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
1739,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
1740,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
1741,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
1742,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1743,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1744,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
1745,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
1746,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1747,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1748,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
1749,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1750,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
1751,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1752,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
1753,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1754,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
1755,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1756,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1757,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1758,Grassland,Wetland,Wetland,NULL,Wetland,NULL,Wetland,NULL
1759,Grassland,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Grassland
1760,Grassland,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Forest
1761,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,NULL
1762,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
1763,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Forest
1764,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,NULL
1765,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
1766,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
1767,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
1768,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Grassland
1769,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Forest
1770,Grassland,Wetland,Wetland,NULL,Wetland,Forest,Wetland,Forest
1771,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
1772,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
1773,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
1774,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,NULL
1775,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
1776,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
1777,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
1778,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
1779,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Forest
1780,Grassland,Wetland,Wetland,Non_Water,Wetland,Forest,Water,Forest
1781,Grassland,Wetland,Wetland,Water,Wetland,NULL,Wetland,Grassland
1782,Grassland,Wetland,Wetland,Water,Wetland,Grassland,Wetland,Forest
1783,Grassland,Wetland,Wetland,Water,Wetland,Grassland,Water,Forest
1784,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
1785,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Forest
1786,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
1787,Grassland,Wetland,Water,NULL,Water,NULL,Wetland,Forest
1788,Grassland,Wetland,Water,NULL,Water,Grassland,Wetland,NULL
1789,Grassland,Wetland,Water,NULL,Water,Grassland,Wetland,Grassland
1790,Grassland,Wetland,Water,NULL,Water,Grassland,Wetland,Forest
1791,Grassland,Wetland,Water,NULL,Water,Wetland,Wetland,Grassland
1792,Grassland,Wetland,Water,NULL,Water,Wetland,Wetland,Forest
1793,Grassland,Wetland,Water,NULL,Water,Wetland,Water,Grassland
1794,Grassland,Wetland,Water,NULL,Water,Wetland,Water,Forest
1795,Grassland,Wetland,Water,NULL,Water,Water,Wetland,Forest
1796,Grassland,Wetland,Water,NULL,Water,Forest,Wetland,Forest
1797,Grassland,Wetland,Water,Non_Water,Water,Grassland,Wetland,Forest
1798,Grassland,Wetland,Water,Non_Water,Water,Grassland,Water,Forest
1799,Grassland,Wetland,Water,Non_Water,Water,Wetland,Wetland,Forest
1800,Grassland,Wetland,Water,Water,Water,Grassland,Wetland,Forest
1801,Grassland,Wetland,Water,Water,Water,Grassland,Water,Water
1802,Grassland,Wetland,Water,Water,Water,Grassland,Water,Forest
1803,Grassland,Wetland,Water,Water,Water,Wetland,Wetland,Forest
1804,Grassland,Wetland,Water,Water,Water,Wetland,Water,Water
1805,Grassland,Wetland,Water,Water,Water,Wetland,Water,Forest
1806,Grassland,Wetland,Water,Water,Water,Water,Water,Water
1807,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
1808,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
1809,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,Water,Forest
1810,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
1811,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1812,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1813,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
1814,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
1815,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
1816,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
1817,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1818,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest,Wetland,Grassland
1819,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
1820,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest,Water,Grassland
1821,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1822,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Forest
1823,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1824,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1825,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Water,Water,Forest
1826,Grassland,Wetland,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
1827,Grassland,Wetland,Forest,Water,Non_Wetland,Grassland,Wetland,Forest
1828,Grassland,Wetland,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
1829,Grassland,Built-up,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1830,Grassland,Water,NULL,NULL,Non_Wetland,NULL,Water,Forest
1831,Grassland,Water,NULL,Water,Non_Wetland,Wetland,NULL,Grassland
1832,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1833,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1834,Grassland,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
1835,Grassland,Water,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
1836,Grassland,Water,Wetland,NULL,Wetland,Grassland,Wetland,Forest
