Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MRB_M_R
5106,Grassland,NULL,Shrubland,Water,Non_Wetland,Built-up,Wetland,Grassland
5107,Grassland,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
5108,Grassland,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
5109,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
5110,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
5111,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
5112,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
5113,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
5114,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
5115,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
5116,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
5117,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
5118,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
5119,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Water
5120,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
5121,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
5122,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
5123,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
5124,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
5125,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
5126,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
5127,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
5128,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
5129,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
5130,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
5131,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
5132,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
5133,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
5134,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
5135,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
5136,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
5137,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
5138,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
5139,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Built-up,Grassland
5140,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
5141,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
5142,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
5143,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
5144,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
5145,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
5146,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
5147,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
5148,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
5149,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
5150,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
5151,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
5152,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
5153,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
5154,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
5155,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
5156,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
5157,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Bareland
5158,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
5159,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
5160,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
5161,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
5162,Grassland,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
5163,Grassland,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
5164,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
5165,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
5166,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
5167,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
5168,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
5169,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
5170,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
5171,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
5172,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
5173,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
5174,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
5175,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
5176,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
5177,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
5178,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Grassland
5179,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Forest
5180,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
5181,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
5182,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland,NULL,Grassland
5183,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
5184,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
5185,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland,Bareland,Grassland
5186,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland,Water,Grassland
5187,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland,Forest,Grassland
5188,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,NULL,Grassland
5189,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Grassland
5190,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
5191,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
5192,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Forest
5193,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Bareland,Grassland
5194,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Grassland
5195,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Wetland
5196,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Forest
5197,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Forest,Grassland
5198,Grassland,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Grassland
5199,Grassland,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Grassland
5200,Grassland,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Forest
5201,Grassland,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Grassland
5202,Grassland,NULL,Grassland,Water,Non_Wetland,Bareland,Water,Grassland
5203,Grassland,NULL,Grassland,Water,Non_Wetland,Built-up,Wetland,Grassland
5204,Grassland,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Wetland
5205,Grassland,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Forest
5206,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
5207,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
5208,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
5209,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
5210,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
5211,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
5212,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
5213,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
5214,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
5215,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
5216,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
5217,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
5218,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
5219,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
5220,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
5221,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
5222,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Bareland,Forest
5223,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Water,Grassland
5224,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
5225,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
5226,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland,Bareland,Grassland
5227,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland,Wetland,Grassland
5228,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland,Wetland,Wetland
5229,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland,Water,Grassland
5230,Grassland,NULL,Wetland,NULL,Wetland,NULL,Grassland,Grassland
5231,Grassland,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
5232,Grassland,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
5233,Grassland,NULL,Wetland,NULL,Wetland,NULL,Wetland,Wetland
5234,Grassland,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
5235,Grassland,NULL,Wetland,NULL,Wetland,NULL,Water,Grassland
5236,Grassland,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
5237,Grassland,NULL,Wetland,NULL,Wetland,Grassland,NULL,Wetland
5238,Grassland,NULL,Wetland,NULL,Wetland,Grassland,NULL,Forest
5239,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
5240,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
5241,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
5242,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
5243,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
5244,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
5245,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
5246,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Forest
5247,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
5248,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
5249,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
5250,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
5251,Grassland,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
5252,Grassland,NULL,Wetland,NULL,Wetland,Wetland,NULL,Wetland
5253,Grassland,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
5254,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
5255,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
5256,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
5257,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
5258,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
5259,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
5260,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
5261,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
5262,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Wetland
5263,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Forest
5264,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Built-up,Grassland
5265,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
5266,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
5267,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
5268,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
5269,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
5270,Grassland,NULL,Wetland,NULL,Wetland,Bareland,NULL,Forest
5271,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
5272,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Wetland
5273,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
5274,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
5275,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Wetland
5276,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
5277,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
5278,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Forest
5279,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Water,Grassland
5280,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Water,Forest
5281,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Forest,Forest
5282,Grassland,NULL,Wetland,NULL,Wetland,Built-up,Wetland,Grassland
5283,Grassland,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
5284,Grassland,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
5285,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
5286,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
5287,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,Bareland
5288,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,Water
5289,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
5290,Grassland,NULL,Wetland,NULL,Wetland,Water,Bareland,Grassland
5291,Grassland,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
5292,Grassland,NULL,Wetland,NULL,Wetland,Water,Water,Forest
5293,Grassland,NULL,Wetland,NULL,Wetland,Water,Forest,Grassland
5294,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Water,Grassland
5295,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Water,Forest
5296,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,Forest
5297,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
5298,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Forest
5299,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
5300,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
5301,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
5302,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Bareland,Grassland
5303,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Bareland,Forest
5304,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
5305,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Wetland
5306,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Forest
5307,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Forest,Grassland
5308,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Forest,Forest
5309,Grassland,NULL,Wetland,Non_Water,Wetland,Cropland,Wetland,Grassland
5310,Grassland,NULL,Wetland,Non_Water,Wetland,Cropland,Wetland,Wetland
5311,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Grassland
5312,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Wetland
5313,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
5314,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Wetland
5315,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Forest
5316,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
5317,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
5318,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
5319,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
5320,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Bareland,Grassland
5321,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Bareland,Forest
5322,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Built-up,Forest
5323,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
5324,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
5325,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Water
5326,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
5327,Grassland,NULL,Wetland,Non_Water,Wetland,Bareland,Grassland,Grassland
5328,Grassland,NULL,Wetland,Non_Water,Wetland,Bareland,Grassland,Forest
5329,Grassland,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
5330,Grassland,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Wetland
5331,Grassland,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Forest
5332,Grassland,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Grassland
5333,Grassland,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
5334,Grassland,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Forest
5335,Grassland,NULL,Wetland,Non_Water,Wetland,Built-up,Wetland,Grassland
5336,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Forest
5337,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
5338,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
5339,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
5340,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
5341,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
5342,Grassland,NULL,Wetland,Water,Wetland,NULL,Wetland,Grassland
5343,Grassland,NULL,Wetland,Water,Wetland,Grassland,NULL,Grassland
5344,Grassland,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
5345,Grassland,NULL,Wetland,Water,Wetland,Grassland,Grassland,Wetland
5346,Grassland,NULL,Wetland,Water,Wetland,Grassland,Grassland,Forest
5347,Grassland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
5348,Grassland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Wetland
5349,Grassland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Forest
5350,Grassland,NULL,Wetland,Water,Wetland,Grassland,Bareland,Grassland
5351,Grassland,NULL,Wetland,Water,Wetland,Grassland,Bareland,Wetland
5352,Grassland,NULL,Wetland,Water,Wetland,Grassland,Bareland,Forest
5353,Grassland,NULL,Wetland,Water,Wetland,Grassland,Built-up,Grassland
5354,Grassland,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
5355,Grassland,NULL,Wetland,Water,Wetland,Grassland,Water,Wetland
5356,Grassland,NULL,Wetland,Water,Wetland,Grassland,Water,Water
5357,Grassland,NULL,Wetland,Water,Wetland,Grassland,Water,Forest
5358,Grassland,NULL,Wetland,Water,Wetland,Grassland,Forest,Grassland
5359,Grassland,NULL,Wetland,Water,Wetland,Wetland,NULL,Grassland
5360,Grassland,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
5361,Grassland,NULL,Wetland,Water,Wetland,Wetland,Grassland,Wetland
5362,Grassland,NULL,Wetland,Water,Wetland,Wetland,Grassland,Forest
5363,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
5364,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
5365,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
5366,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
5367,Grassland,NULL,Wetland,Water,Wetland,Wetland,Bareland,Grassland
5368,Grassland,NULL,Wetland,Water,Wetland,Wetland,Bareland,Wetland
5369,Grassland,NULL,Wetland,Water,Wetland,Wetland,Bareland,Forest
5370,Grassland,NULL,Wetland,Water,Wetland,Wetland,Built-up,Grassland
5371,Grassland,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
5372,Grassland,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
5373,Grassland,NULL,Wetland,Water,Wetland,Wetland,Water,Water
5374,Grassland,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
5375,Grassland,NULL,Wetland,Water,Wetland,Wetland,Forest,Grassland
5376,Grassland,NULL,Wetland,Water,Wetland,Bareland,Grassland,Grassland
5377,Grassland,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
5378,Grassland,NULL,Wetland,Water,Wetland,Bareland,Wetland,Wetland
5379,Grassland,NULL,Wetland,Water,Wetland,Bareland,Wetland,Water
5380,Grassland,NULL,Wetland,Water,Wetland,Bareland,Wetland,Forest
5381,Grassland,NULL,Wetland,Water,Wetland,Bareland,Bareland,Grassland
5382,Grassland,NULL,Wetland,Water,Wetland,Bareland,Bareland,Forest
5383,Grassland,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
5384,Grassland,NULL,Wetland,Water,Wetland,Bareland,Water,Wetland
5385,Grassland,NULL,Wetland,Water,Wetland,Bareland,Water,Water
5386,Grassland,NULL,Wetland,Water,Wetland,Bareland,Water,Forest
5387,Grassland,NULL,Wetland,Water,Wetland,Built-up,Wetland,Grassland
5388,Grassland,NULL,Wetland,Water,Wetland,Built-up,Wetland,Wetland
5389,Grassland,NULL,Wetland,Water,Wetland,Built-up,Bareland,Grassland
5390,Grassland,NULL,Wetland,Water,Wetland,Water,Grassland,Grassland
5391,Grassland,NULL,Wetland,Water,Wetland,Water,Grassland,Wetland
5392,Grassland,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
5393,Grassland,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
5394,Grassland,NULL,Wetland,Water,Wetland,Water,Wetland,Water
5395,Grassland,NULL,Wetland,Water,Wetland,Water,Wetland,Forest
5396,Grassland,NULL,Wetland,Water,Wetland,Water,Bareland,Grassland
5397,Grassland,NULL,Wetland,Water,Wetland,Water,Water,Grassland
5398,Grassland,NULL,Wetland,Water,Wetland,Water,Water,Wetland
5399,Grassland,NULL,Wetland,Water,Wetland,Water,Water,Water
5400,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
5401,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Forest
5402,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Bareland,Grassland
5403,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland,Grassland,Grassland
5404,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Grassland
5405,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Forest
5406,Grassland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland,Wetland,Grassland
5407,Grassland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland,Wetland,Grassland
5408,Grassland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland,Bareland,Grassland
5409,Grassland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland,Water,Grassland
5410,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,Forest
5411,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Grassland
5412,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,NULL,Grassland
5413,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
5414,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
5415,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
5416,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Wetland
5417,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
5418,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Grassland
5419,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Forest
5420,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Water,Grassland
5421,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Water,Forest
5422,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
5423,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
5424,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,NULL,Grassland
5425,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,NULL,Forest
5426,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
5427,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Wetland
5428,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
5429,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
5430,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
5431,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
5432,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Bareland,Grassland
5433,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Bareland,Forest
