Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NLM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NLM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NLM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NLM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NLM_M_R
352,Bareland,NULL,Water,Water,Water,NULL,NULL,Forest
353,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
354,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
355,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
356,Bareland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
357,Bareland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
358,Bareland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
359,Bareland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
360,Bareland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
361,Bareland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
362,Bareland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
363,Bareland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
364,Bareland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
365,Bareland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Bareland
366,Bareland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
367,Bareland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
368,Bareland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
369,Bareland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
370,Bareland,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
371,Bareland,Wetland,Water,NULL,Water,NULL,NULL,Bareland
372,Bareland,Wetland,Water,NULL,Water,NULL,NULL,Water
373,Bareland,Wetland,Water,NULL,Water,NULL,NULL,Forest
374,Bareland,Wetland,Water,Non_Water,Water,NULL,NULL,Water
375,Bareland,Wetland,Water,Water,Water,NULL,NULL,Wetland
376,Bareland,Wetland,Water,Water,Water,NULL,NULL,Water
377,Bareland,Wetland,Water,Water,Water,NULL,NULL,Forest
378,Bareland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
379,Bareland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
380,Bareland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
381,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
382,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
383,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
384,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
385,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
386,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
387,Bareland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
388,Bareland,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
389,Bareland,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Water
390,Bareland,Bareland,Water,Water,Water,NULL,NULL,Water
391,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
392,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
393,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
394,Bareland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
395,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
396,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
397,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
398,Bareland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
399,Bareland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
400,Bareland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
401,Bareland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
402,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
403,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
404,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
405,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
406,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
407,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Water
408,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
409,Bareland,Water,Water,NULL,Water,NULL,NULL,Water
410,Bareland,Water,Water,NULL,Water,NULL,NULL,Forest
411,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Water
412,Bareland,Water,Water,Water,Water,NULL,NULL,Wetland
413,Bareland,Water,Water,Water,Water,NULL,NULL,Bareland
414,Bareland,Water,Water,Water,Water,NULL,NULL,Water
415,Bareland,Water,Water,Water,Water,NULL,NULL,Forest
416,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
417,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
418,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
419,Bareland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
420,Bareland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
421,Bareland,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
422,Bareland,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
423,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
424,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
425,Bareland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
426,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
427,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
428,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
429,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
430,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
431,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
432,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
433,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
434,Water,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
435,Water,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
436,Water,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
437,Water,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
438,Water,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
439,Water,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
440,Water,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
441,Water,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
442,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
443,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
444,Water,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
445,Water,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
446,Water,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
447,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
448,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
449,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
450,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
451,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
452,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
453,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Water
454,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
455,Water,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
456,Water,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
457,Water,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
458,Water,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
459,Water,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Forest
460,Water,NULL,Water,NULL,Water,NULL,NULL,Grassland
461,Water,NULL,Water,NULL,Water,NULL,NULL,Wetland
462,Water,NULL,Water,NULL,Water,NULL,NULL,Bareland
463,Water,NULL,Water,NULL,Water,NULL,NULL,Water
464,Water,NULL,Water,NULL,Water,NULL,NULL,Forest
465,Water,NULL,Water,Non_Water,Water,NULL,NULL,Water
466,Water,NULL,Water,Non_Water,Water,NULL,NULL,Forest
467,Water,NULL,Water,Water,Water,NULL,NULL,Grassland
468,Water,NULL,Water,Water,Water,NULL,NULL,Wetland
469,Water,NULL,Water,Water,Water,NULL,NULL,Water
470,Water,NULL,Water,Water,Water,NULL,NULL,Forest
471,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
472,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
473,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
474,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
475,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
476,Water,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
477,Water,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
478,Water,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
479,Water,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
480,Water,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
481,Water,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
482,Water,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
483,Water,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
484,Water,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
485,Water,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
486,Water,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
487,Water,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
488,Water,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
489,Water,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
490,Water,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
491,Water,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
492,Water,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
493,Water,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Water
494,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
495,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Bareland
496,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
497,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
498,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
499,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
500,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
501,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
502,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
503,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Bareland
504,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
505,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
506,Water,Wetland,Water,NULL,Water,NULL,NULL,Wetland
507,Water,Wetland,Water,NULL,Water,NULL,NULL,Water
508,Water,Wetland,Water,NULL,Water,NULL,NULL,Forest
509,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
510,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Water
511,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
512,Water,Wetland,Water,Water,Water,NULL,NULL,Grassland
513,Water,Wetland,Water,Water,Water,NULL,NULL,Wetland
514,Water,Wetland,Water,Water,Water,NULL,NULL,Bareland
515,Water,Wetland,Water,Water,Water,NULL,NULL,Water
516,Water,Wetland,Water,Water,Water,NULL,NULL,Forest
517,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
518,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
519,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
520,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
521,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
522,Water,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
523,Water,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
524,Water,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
525,Water,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
526,Water,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
527,Water,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
528,Water,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
529,Water,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
530,Water,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
531,Water,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
532,Water,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Water
533,Water,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
534,Water,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
535,Water,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
536,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
537,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
538,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
539,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
540,Water,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
541,Water,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Water
542,Water,Bareland,Water,NULL,Water,NULL,NULL,Bareland
543,Water,Bareland,Water,Non_Water,Water,NULL,NULL,Water
544,Water,Bareland,Water,Water,Water,NULL,NULL,Water
545,Water,Bareland,Water,Water,Water,NULL,NULL,Forest
546,Water,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
547,Water,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Water
548,Water,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
549,Water,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
550,Water,Built-up,Water,Water,Water,NULL,NULL,Forest
551,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
552,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
553,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
554,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
555,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
556,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
557,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
558,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
559,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
560,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
561,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
562,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
563,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
564,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
565,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
566,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
567,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
568,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
569,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
570,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
571,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
572,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
573,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
574,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
575,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
576,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
577,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
578,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
579,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Water
580,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
581,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
582,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
583,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
584,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
585,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
586,Water,Water,Wetland,Water,Wetland,NULL,NULL,NULL
587,Water,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
588,Water,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
589,Water,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
590,Water,Water,Wetland,Water,Wetland,NULL,NULL,Water
591,Water,Water,Wetland,Water,Wetland,NULL,NULL,Forest
592,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
593,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
594,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
595,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Forest
596,Water,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
597,Water,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
598,Water,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
599,Water,Water,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
600,Water,Water,Built-up,Water,Non_Wetland,NULL,NULL,Water
601,Water,Water,Water,NULL,Water,NULL,NULL,Grassland
602,Water,Water,Water,NULL,Water,NULL,NULL,Wetland
603,Water,Water,Water,NULL,Water,NULL,NULL,Bareland
604,Water,Water,Water,NULL,Water,NULL,NULL,Water
605,Water,Water,Water,NULL,Water,NULL,NULL,Forest
606,Water,Water,Water,Non_Water,Water,NULL,NULL,Grassland
607,Water,Water,Water,Non_Water,Water,NULL,NULL,Wetland
608,Water,Water,Water,Non_Water,Water,NULL,NULL,Bareland
609,Water,Water,Water,Non_Water,Water,NULL,NULL,Water
610,Water,Water,Water,Non_Water,Water,NULL,NULL,Forest
611,Water,Water,Water,Water,Water,NULL,NULL,Grassland
612,Water,Water,Water,Water,Water,NULL,NULL,Cropland
613,Water,Water,Water,Water,Water,NULL,NULL,Wetland
614,Water,Water,Water,Water,Water,NULL,NULL,Bareland
615,Water,Water,Water,Water,Water,NULL,NULL,Water
616,Water,Water,Water,Water,Water,NULL,NULL,Forest
617,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
618,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
619,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
620,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
621,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
622,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
623,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
624,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
625,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
626,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
627,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
628,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
629,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
630,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
631,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
632,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
633,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
634,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
635,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
636,Water,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
637,Water,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
638,Water,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
639,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
640,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
641,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
642,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
643,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
644,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
645,Water,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
646,Water,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
647,Water,Forest,Water,NULL,Water,NULL,NULL,Water
648,Water,Forest,Water,NULL,Water,NULL,NULL,Forest
649,Water,Forest,Water,Non_Water,Water,NULL,NULL,Forest
650,Water,Forest,Water,Water,Water,NULL,NULL,Water
651,Water,Forest,Water,Water,Water,NULL,NULL,Forest
652,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
653,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
654,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
655,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
656,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
657,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
658,Water,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
659,Permanent_ice_and_snow,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
660,Permanent_ice_and_snow,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
661,Permanent_ice_and_snow,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
662,Permanent_ice_and_snow,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
663,Permanent_ice_and_snow,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
664,Permanent_ice_and_snow,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
665,Permanent_ice_and_snow,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
666,Permanent_ice_and_snow,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
667,Permanent_ice_and_snow,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
668,Permanent_ice_and_snow,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
669,Permanent_ice_and_snow,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
670,Permanent_ice_and_snow,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
671,Permanent_ice_and_snow,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
672,Permanent_ice_and_snow,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
673,Permanent_ice_and_snow,NULL,Water,NULL,Water,NULL,NULL,Wetland
674,Permanent_ice_and_snow,NULL,Water,NULL,Water,NULL,NULL,Water
675,Permanent_ice_and_snow,NULL,Water,Non_Water,Water,NULL,NULL,Forest
676,Permanent_ice_and_snow,NULL,Water,Water,Water,NULL,NULL,Wetland
677,Permanent_ice_and_snow,NULL,Water,Water,Water,NULL,NULL,Forest
678,Permanent_ice_and_snow,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
679,Permanent_ice_and_snow,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
680,Permanent_ice_and_snow,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
681,Permanent_ice_and_snow,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
682,Permanent_ice_and_snow,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
683,Permanent_ice_and_snow,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
684,Permanent_ice_and_snow,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
685,Permanent_ice_and_snow,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
686,Permanent_ice_and_snow,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
687,Permanent_ice_and_snow,Wetland,Water,Non_Water,Water,NULL,NULL,Water
688,Permanent_ice_and_snow,Wetland,Water,Water,Water,NULL,NULL,Water
689,Permanent_ice_and_snow,Wetland,Water,Water,Water,NULL,NULL,Forest
690,Permanent_ice_and_snow,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
691,Permanent_ice_and_snow,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
692,Permanent_ice_and_snow,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
693,Permanent_ice_and_snow,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
694,Permanent_ice_and_snow,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
695,Permanent_ice_and_snow,Bareland,Water,Water,Water,NULL,NULL,Water
696,Permanent_ice_and_snow,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
697,Permanent_ice_and_snow,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
698,Permanent_ice_and_snow,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
699,Permanent_ice_and_snow,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
700,Permanent_ice_and_snow,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
701,Permanent_ice_and_snow,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
702,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
703,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
704,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,NULL,NULL,Water
705,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
706,Permanent_ice_and_snow,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
707,Permanent_ice_and_snow,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
708,Permanent_ice_and_snow,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
709,Permanent_ice_and_snow,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
710,Permanent_ice_and_snow,Water,Wetland,Water,Wetland,NULL,NULL,Water
711,Permanent_ice_and_snow,Water,Wetland,Water,Wetland,NULL,NULL,Forest
712,Permanent_ice_and_snow,Water,Water,NULL,Water,NULL,NULL,Water
