Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KMT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KMT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KMT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KMT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KMT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KMT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KMT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KMT_M_R
12392,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Water
12393,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
12394,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
12395,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
12396,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Wetland
12397,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
12398,Wetland,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
12399,Wetland,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
12400,Wetland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Wetland
12401,Wetland,NULL,Forest,NULL,Non_Wetland,Bareland,Water,Grassland
12402,Wetland,NULL,Forest,NULL,Non_Wetland,Bareland,Water,Wetland
12403,Wetland,NULL,Forest,NULL,Non_Wetland,Water,NULL,Grassland
12404,Wetland,NULL,Forest,NULL,Non_Wetland,Water,NULL,Wetland
12405,Wetland,NULL,Forest,NULL,Non_Wetland,Water,NULL,Forest
12406,Wetland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Wetland
12407,Wetland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
12408,Wetland,NULL,Forest,NULL,Non_Wetland,Water,Water,Wetland
12409,Wetland,NULL,Forest,NULL,Non_Wetland,Water,Water,Forest
12410,Wetland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Wetland
12411,Wetland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
12412,Wetland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Wetland
12413,Wetland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
12414,Wetland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Wetland
12415,Wetland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
12416,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
12417,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
12418,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
12419,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland,Wetland
12420,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland,NULL
12421,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland,Forest
12422,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,Water,Forest
12423,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,Forest,Grassland
12424,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,Forest,Forest
12425,Wetland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
12426,Wetland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
12427,Wetland,NULL,Forest,Non_Water,Non_Wetland,Grassland,NULL,Forest
12428,Wetland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
12429,Wetland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
12430,Wetland,NULL,Forest,Non_Water,Non_Wetland,Wetland,NULL,NULL
12431,Wetland,NULL,Forest,Non_Water,Non_Wetland,Wetland,NULL,Wetland
12432,Wetland,NULL,Forest,Non_Water,Non_Wetland,Wetland,NULL,Forest
12433,Wetland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,NULL
12434,Wetland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
12435,Wetland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
12436,Wetland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
12437,Wetland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,NULL
12438,Wetland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Wetland
12439,Wetland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Forest
12440,Wetland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Forest,Wetland
12441,Wetland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Forest,Forest
12442,Wetland,NULL,Forest,Non_Water,Non_Wetland,Bareland,Water,NULL
12443,Wetland,NULL,Forest,Non_Water,Non_Wetland,Bareland,Water,Grassland
12444,Wetland,NULL,Forest,Non_Water,Non_Wetland,Bareland,Water,Wetland
12445,Wetland,NULL,Forest,Non_Water,Non_Wetland,Bareland,Water,Forest
12446,Wetland,NULL,Forest,Non_Water,Non_Wetland,Water,Grassland,Grassland
12447,Wetland,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
12448,Wetland,NULL,Forest,Non_Water,Non_Wetland,Water,Water,Cropland
12449,Wetland,NULL,Forest,Non_Water,Non_Wetland,Water,Water,Wetland
12450,Wetland,NULL,Forest,Non_Water,Non_Wetland,Water,Water,Forest
12451,Wetland,NULL,Forest,Non_Water,Non_Wetland,Water,Forest,Forest
12452,Wetland,NULL,Forest,Non_Water,Non_Wetland,Forest,NULL,Grassland
12453,Wetland,NULL,Forest,Non_Water,Non_Wetland,Forest,Forest,Wetland
12454,Wetland,NULL,Forest,Non_Water,Non_Wetland,Forest,Forest,Forest
12455,Wetland,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Wetland
12456,Wetland,NULL,Forest,Water,Non_Wetland,Bareland,Water,Wetland
12457,Wetland,Cropland,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
12458,Wetland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
12459,Wetland,Cropland,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
12460,Wetland,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
12461,Wetland,Cropland,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
12462,Wetland,Cropland,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
12463,Wetland,Cropland,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
12464,Wetland,Cropland,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
12465,Wetland,Cropland,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
12466,Wetland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
12467,Wetland,Cropland,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
12468,Wetland,Cropland,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
12469,Wetland,Cropland,NULL,NULL,Non_Wetland,Water,NULL,Wetland
12470,Wetland,Cropland,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
12471,Wetland,Cropland,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
12472,Wetland,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
12473,Wetland,Cropland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
12474,Wetland,Cropland,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
12475,Wetland,Cropland,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
12476,Wetland,Cropland,NULL,Non_Water,Non_Wetland,Wetland,Forest,Wetland
12477,Wetland,Cropland,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
12478,Wetland,Cropland,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
12479,Wetland,Cropland,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
12480,Wetland,Cropland,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
12481,Wetland,Cropland,NULL,Water,Non_Wetland,Wetland,Water,Wetland
12482,Wetland,Cropland,NULL,Water,Non_Wetland,Water,Wetland,Wetland
12483,Wetland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
12484,Wetland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
12485,Wetland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
12486,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
12487,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
12488,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
12489,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
12490,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
12491,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
12492,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
12493,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
12494,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
12495,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
12496,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
12497,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
12498,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
12499,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Water
12500,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
12501,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
12502,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
12503,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
12504,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
12505,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
12506,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Wetland
12507,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
12508,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
12509,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Water,NULL,Forest
12510,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
12511,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
12512,Wetland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
12513,Wetland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Cropland
12514,Wetland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
12515,Wetland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Wetland
12516,Wetland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
12517,Wetland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
12518,Wetland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
12519,Wetland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,NULL
12520,Wetland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
12521,Wetland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
12522,Wetland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
12523,Wetland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
12524,Wetland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
12525,Wetland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
12526,Wetland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Wetland
12527,Wetland,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Wetland
12528,Wetland,Cropland,Shrubland,Non_Water,Non_Wetland,Water,NULL,Wetland
12529,Wetland,Cropland,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
12530,Wetland,Cropland,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
12531,Wetland,Cropland,Shrubland,Non_Water,Non_Wetland,Water,Water,Wetland
12532,Wetland,Cropland,Shrubland,Non_Water,Non_Wetland,Water,Forest,Wetland
12533,Wetland,Cropland,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
12534,Wetland,Cropland,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
12535,Wetland,Cropland,Shrubland,Water,Non_Wetland,Wetland,Water,Water
12536,Wetland,Cropland,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
12537,Wetland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
12538,Wetland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
12539,Wetland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
12540,Wetland,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
12541,Wetland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
12542,Wetland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Wetland
12543,Wetland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
12544,Wetland,Cropland,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
12545,Wetland,Cropland,Cropland,NULL,Non_Wetland,Wetland,NULL,Wetland
12546,Wetland,Cropland,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
12547,Wetland,Cropland,Cropland,NULL,Non_Wetland,Wetland,Wetland,Wetland
12548,Wetland,Cropland,Cropland,NULL,Non_Wetland,Water,NULL,Cropland
12549,Wetland,Cropland,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
12550,Wetland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
12551,Wetland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Cropland
12552,Wetland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Wetland,Wetland
12553,Wetland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
12554,Wetland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
12555,Wetland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Water,Grassland
12556,Wetland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Water,Wetland
12557,Wetland,Cropland,Cropland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
12558,Wetland,Cropland,Cropland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
12559,Wetland,Cropland,Cropland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
12560,Wetland,Cropland,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
12561,Wetland,Cropland,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
12562,Wetland,Cropland,Cropland,Non_Water,Non_Wetland,Wetland,Water,Wetland
12563,Wetland,Cropland,Cropland,Non_Water,Non_Wetland,Water,NULL,Wetland
12564,Wetland,Cropland,Cropland,Non_Water,Non_Wetland,Water,Grassland,Wetland
12565,Wetland,Cropland,Cropland,Non_Water,Non_Wetland,Water,Wetland,Wetland
12566,Wetland,Cropland,Cropland,Non_Water,Non_Wetland,Water,Water,Grassland
12567,Wetland,Cropland,Cropland,Non_Water,Non_Wetland,Water,Water,Wetland
12568,Wetland,Cropland,Cropland,Non_Water,Non_Wetland,Forest,NULL,Forest
12569,Wetland,Cropland,Cropland,Water,Non_Wetland,Wetland,Wetland,Wetland
12570,Wetland,Cropland,Cropland,Water,Non_Wetland,Wetland,Water,Wetland
12571,Wetland,Cropland,Cropland,Water,Non_Wetland,Water,Wetland,Wetland
12572,Wetland,Cropland,Cropland,Water,Non_Wetland,Water,Water,Wetland
12573,Wetland,Cropland,Wetland,NULL,Wetland,Shrubland,Water,Grassland
12574,Wetland,Cropland,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
12575,Wetland,Cropland,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
12576,Wetland,Cropland,Wetland,NULL,Wetland,Grassland,Water,Wetland
12577,Wetland,Cropland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
12578,Wetland,Cropland,Wetland,NULL,Wetland,Wetland,Water,Wetland
12579,Wetland,Cropland,Wetland,NULL,Wetland,Bareland,Wetland,Wetland
12580,Wetland,Cropland,Wetland,NULL,Wetland,Bareland,Water,Wetland
12581,Wetland,Cropland,Wetland,NULL,Wetland,Bareland,Water,Water
12582,Wetland,Cropland,Wetland,NULL,Wetland,Water,Water,Wetland
12583,Wetland,Cropland,Wetland,NULL,Wetland,Forest,NULL,Forest
12584,Wetland,Cropland,Wetland,Non_Water,Wetland,NULL,Water,Wetland
12585,Wetland,Cropland,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
12586,Wetland,Cropland,Wetland,Non_Water,Wetland,Wetland,Water,NULL
12587,Wetland,Cropland,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
12588,Wetland,Cropland,Wetland,Non_Water,Wetland,Wetland,Water,Water
12589,Wetland,Cropland,Wetland,Non_Water,Wetland,Wetland,Water,Forest
12590,Wetland,Cropland,Wetland,Non_Water,Wetland,Bareland,Wetland,Wetland
12591,Wetland,Cropland,Wetland,Non_Water,Wetland,Bareland,Water,Wetland
12592,Wetland,Cropland,Wetland,Non_Water,Wetland,Bareland,Water,Water
12593,Wetland,Cropland,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
12594,Wetland,Cropland,Wetland,Non_Water,Wetland,Water,Water,Grassland
12595,Wetland,Cropland,Wetland,Non_Water,Wetland,Water,Water,Wetland
12596,Wetland,Cropland,Wetland,Water,Wetland,Wetland,Wetland,Wetland
12597,Wetland,Cropland,Wetland,Water,Wetland,Wetland,Water,Wetland
12598,Wetland,Cropland,Wetland,Water,Wetland,Wetland,Water,Water
12599,Wetland,Cropland,Wetland,Water,Wetland,Bareland,Wetland,Wetland
12600,Wetland,Cropland,Wetland,Water,Wetland,Bareland,Water,Wetland
12601,Wetland,Cropland,Bareland,NULL,Non_Wetland,Wetland,Water,Wetland
12602,Wetland,Cropland,Bareland,NULL,Non_Wetland,Bareland,Water,Wetland
12603,Wetland,Cropland,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
12604,Wetland,Cropland,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
12605,Wetland,Cropland,Bareland,Non_Water,Non_Wetland,Wetland,Water,Wetland
12606,Wetland,Cropland,Bareland,Non_Water,Non_Wetland,Bareland,Water,Wetland
12607,Wetland,Cropland,Bareland,Non_Water,Non_Wetland,Water,NULL,Wetland
12608,Wetland,Cropland,Bareland,Non_Water,Non_Wetland,Water,Wetland,Wetland
12609,Wetland,Cropland,Bareland,Non_Water,Non_Wetland,Water,Water,Wetland
12610,Wetland,Cropland,Bareland,Non_Water,Non_Wetland,Water,Water,Water
12611,Wetland,Cropland,Bareland,Non_Water,Non_Wetland,Water,Forest,Wetland
12612,Wetland,Cropland,Bareland,Water,Non_Wetland,Wetland,Wetland,Water
12613,Wetland,Cropland,Bareland,Water,Non_Wetland,Wetland,Water,Wetland
12614,Wetland,Cropland,Bareland,Water,Non_Wetland,Bareland,Water,Wetland
12615,Wetland,Cropland,Bareland,Water,Non_Wetland,Water,Wetland,Wetland
12616,Wetland,Cropland,Bareland,Water,Non_Wetland,Water,Water,Wetland
12617,Wetland,Cropland,Built-up,NULL,Non_Wetland,NULL,Built-up,Grassland
12618,Wetland,Cropland,Water,NULL,Water,NULL,Water,Grassland
12619,Wetland,Cropland,Water,NULL,Water,Wetland,Water,Wetland
12620,Wetland,Cropland,Water,NULL,Water,Bareland,Water,Water
12621,Wetland,Cropland,Water,Non_Water,Water,NULL,Wetland,Wetland
12622,Wetland,Cropland,Water,Non_Water,Water,Wetland,NULL,Wetland
12623,Wetland,Cropland,Water,Non_Water,Water,Wetland,Wetland,Wetland
12624,Wetland,Cropland,Water,Non_Water,Water,Wetland,Water,Grassland
12625,Wetland,Cropland,Water,Non_Water,Water,Wetland,Water,Wetland
12626,Wetland,Cropland,Water,Non_Water,Water,Wetland,Water,Water
12627,Wetland,Cropland,Water,Non_Water,Water,Bareland,NULL,Wetland
12628,Wetland,Cropland,Water,Non_Water,Water,Bareland,Wetland,Wetland
12629,Wetland,Cropland,Water,Non_Water,Water,Bareland,Water,Wetland
12630,Wetland,Cropland,Water,Non_Water,Water,Bareland,Water,Water
12631,Wetland,Cropland,Water,Non_Water,Water,Water,NULL,Wetland
12632,Wetland,Cropland,Water,Non_Water,Water,Water,Wetland,Wetland
12633,Wetland,Cropland,Water,Non_Water,Water,Water,Water,Wetland
12634,Wetland,Cropland,Water,Water,Water,NULL,Water,Wetland
12635,Wetland,Cropland,Water,Water,Water,Wetland,Wetland,Wetland
12636,Wetland,Cropland,Water,Water,Water,Wetland,Wetland,Water
12637,Wetland,Cropland,Water,Water,Water,Wetland,Water,Wetland
12638,Wetland,Cropland,Water,Water,Water,Wetland,Water,Water
12639,Wetland,Cropland,Water,Water,Water,Bareland,Wetland,Wetland
12640,Wetland,Cropland,Water,Water,Water,Bareland,Water,Wetland
12641,Wetland,Cropland,Water,Water,Water,Bareland,Water,Water
12642,Wetland,Cropland,Water,Water,Water,Water,Wetland,Wetland
12643,Wetland,Cropland,Water,Water,Water,Water,Water,Wetland
12644,Wetland,Cropland,Water,Water,Water,Water,Water,Water
12645,Wetland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Wetland
12646,Wetland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Wetland
12647,Wetland,Cropland,Forest,NULL,Non_Wetland,Wetland,NULL,Wetland
12648,Wetland,Cropland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
12649,Wetland,Cropland,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
12650,Wetland,Cropland,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
12651,Wetland,Cropland,Forest,NULL,Non_Wetland,Wetland,Water,Wetland
12652,Wetland,Cropland,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
12653,Wetland,Cropland,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
12654,Wetland,Cropland,Forest,NULL,Non_Wetland,Bareland,Wetland,Wetland
12655,Wetland,Cropland,Forest,NULL,Non_Wetland,Bareland,Water,Wetland
12656,Wetland,Cropland,Forest,NULL,Non_Wetland,Water,Wetland,Wetland
12657,Wetland,Cropland,Forest,NULL,Non_Wetland,Water,Water,Wetland
12658,Wetland,Cropland,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
12659,Wetland,Cropland,Forest,Non_Water,Non_Wetland,Wetland,NULL,NULL
12660,Wetland,Cropland,Forest,Non_Water,Non_Wetland,Wetland,NULL,Wetland
12661,Wetland,Cropland,Forest,Non_Water,Non_Wetland,Wetland,NULL,Forest
12662,Wetland,Cropland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
12663,Wetland,Cropland,Forest,Non_Water,Non_Wetland,Wetland,Water,Wetland
12664,Wetland,Cropland,Forest,Non_Water,Non_Wetland,Wetland,Forest,NULL
12665,Wetland,Cropland,Forest,Non_Water,Non_Wetland,Wetland,Forest,Wetland
12666,Wetland,Cropland,Forest,Non_Water,Non_Wetland,Bareland,Water,Wetland
12667,Wetland,Cropland,Forest,Water,Non_Wetland,Wetland,Wetland,Wetland
12668,Wetland,Cropland,Forest,Water,Non_Wetland,Bareland,Wetland,Wetland
12669,Wetland,Wetland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
12670,Wetland,Wetland,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
12671,Wetland,Wetland,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
12672,Wetland,Wetland,NULL,NULL,Non_Wetland,Wetland,Water,Water
12673,Wetland,Wetland,NULL,NULL,Non_Wetland,Wetland,Water,Forest
12674,Wetland,Wetland,NULL,NULL,Non_Wetland,Water,Water,Wetland
12675,Wetland,Wetland,NULL,NULL,Non_Wetland,Water,Water,Forest
12676,Wetland,Wetland,NULL,NULL,Non_Wetland,Forest,Water,Wetland
12677,Wetland,Wetland,NULL,NULL,Non_Wetland,Forest,Water,Forest
12678,Wetland,Wetland,NULL,NULL,Non_Wetland,Forest,Forest,Forest
12679,Wetland,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
12680,Wetland,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
12681,Wetland,Wetland,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
12682,Wetland,Wetland,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
12683,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
12684,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
12685,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
12686,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
12687,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
12688,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
12689,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
12690,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
12691,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
12692,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
12693,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
12694,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Water,Water,Water
12695,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Forest,Water,Grassland
12696,Wetland,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Wetland
12697,Wetland,Wetland,NULL,Water,Non_Wetland,NULL,Wetland,Forest
12698,Wetland,Wetland,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
12699,Wetland,Wetland,NULL,Water,Non_Wetland,Water,Wetland,Wetland
12700,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
12701,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Shrubland,Water,Wetland
12702,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
12703,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
12704,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
12705,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
12706,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
12707,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Water,NULL,Wetland
12708,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
12709,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
12710,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
12711,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
