Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MWQ_M_R
1558,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1559,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
1560,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
1561,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1562,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
1563,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1564,Grassland,Cropland,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
1565,Grassland,Cropland,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
1566,Grassland,Cropland,Wetland,NULL,Wetland,Grassland,Grassland,Forest
1567,Grassland,Cropland,Wetland,NULL,Wetland,Grassland,Water,Grassland
1568,Grassland,Cropland,Wetland,NULL,Wetland,Grassland,Water,Forest
1569,Grassland,Cropland,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
1570,Grassland,Cropland,Wetland,NULL,Wetland,Bareland,Grassland,Forest
1571,Grassland,Cropland,Wetland,NULL,Wetland,Bareland,Water,Grassland
1572,Grassland,Cropland,Wetland,NULL,Wetland,Bareland,Forest,Grassland
1573,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,NULL,Grassland
1574,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
1575,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Forest
1576,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Grassland
1577,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1578,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
1579,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1580,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
1581,Grassland,Cropland,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1582,Grassland,Cropland,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1583,Grassland,Cropland,Bareland,Water,Non_Wetland,Grassland,Grassland,Grassland
1584,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
1585,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
1586,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
1587,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
1588,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
1589,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
1590,Grassland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
1591,Grassland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
1592,Grassland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
1593,Grassland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
1594,Grassland,Cropland,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
1595,Grassland,Cropland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
1596,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
1597,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1598,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1599,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
1600,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
1601,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1602,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
1603,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Built-up
1604,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1605,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
1606,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1607,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1608,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1609,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1610,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
1611,Grassland,Wetland,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
1612,Grassland,Wetland,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
1613,Grassland,Wetland,NULL,NULL,Non_Wetland,Forest,Forest,Forest
1614,Grassland,Wetland,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
1615,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
1616,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
1617,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1618,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1619,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1620,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
1621,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
1622,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
1623,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
1624,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1625,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
1626,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
1627,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
1628,Grassland,Wetland,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
1629,Grassland,Wetland,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
1630,Grassland,Wetland,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
1631,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
1632,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1633,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1634,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1635,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
1636,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
1637,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
1638,Grassland,Wetland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1639,Grassland,Wetland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
1640,Grassland,Wetland,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
1641,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,Grassland,Forest
1642,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
1643,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Grassland,Forest
1644,Grassland,Wetland,Wetland,NULL,Wetland,Bareland,Grassland,Forest
1645,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Forest
1646,Grassland,Wetland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
1647,Grassland,Wetland,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1648,Grassland,Wetland,Bareland,Water,Non_Wetland,Bareland,Bareland,Grassland
1649,Grassland,Wetland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
1650,Grassland,Wetland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
1651,Grassland,Wetland,Built-up,Water,Non_Wetland,Bareland,Bareland,Grassland
1652,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1653,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1654,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1655,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1656,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1657,Grassland,Wetland,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1658,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1659,Grassland,Built-up,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
1660,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1661,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1662,Grassland,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1663,Grassland,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1664,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
1665,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
1666,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
1667,Grassland,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
1668,Grassland,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
1669,Grassland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
1670,Grassland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
1671,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1672,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1673,Grassland,Water,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1674,Grassland,Water,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
1675,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
1676,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
1677,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1678,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
1679,Grassland,Water,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1680,Grassland,Water,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
1681,Grassland,Water,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1682,Grassland,Water,Cropland,Non_Water,Non_Wetland,Bareland,Water,Grassland
1683,Grassland,Water,Wetland,NULL,Wetland,Grassland,Water,Grassland
1684,Grassland,Water,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
1685,Grassland,Water,Wetland,NULL,Wetland,Bareland,Grassland,Forest
1686,Grassland,Water,Wetland,NULL,Wetland,Water,Bareland,Grassland
1687,Grassland,Water,Wetland,Water,Wetland,Grassland,Water,Grassland
1688,Grassland,Water,Wetland,Water,Wetland,Grassland,Water,Water
1689,Grassland,Water,Wetland,Water,Wetland,Bareland,Bareland,Grassland
1690,Grassland,Water,Wetland,Water,Wetland,Water,Water,Water
1691,Grassland,Water,Bareland,Water,Non_Wetland,Bareland,Bareland,Grassland
1692,Grassland,Water,Bareland,Water,Non_Wetland,Bareland,Bareland,Water
1693,Grassland,Water,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
1694,Grassland,Water,Water,Water,Water,Grassland,Water,Water
1695,Grassland,Water,Water,Water,Water,Water,Water,Water
1696,Grassland,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1697,Grassland,Water,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1698,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1699,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1700,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
1701,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1702,Grassland,Forest,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1703,Grassland,Forest,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
1704,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1705,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1706,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
1707,Grassland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
1708,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1709,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1710,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1711,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
1712,Grassland,Forest,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
1713,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1714,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
1715,Grassland,Forest,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1716,Grassland,Forest,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
1717,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
1718,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Grassland,Forest
1719,Grassland,Forest,Wetland,Non_Water,Wetland,Bareland,Bareland,Grassland
1720,Grassland,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
1721,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1722,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1723,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1724,Grassland,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
1725,Grassland,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1726,Grassland,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
1727,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1728,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1729,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
1730,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
1731,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1732,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
1733,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1734,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
1735,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
1736,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
1737,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1738,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1739,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
1740,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
1741,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
1742,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
1743,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
1744,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
1745,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
1746,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
1747,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
1748,Cropland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
1749,Cropland,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
1750,Cropland,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
1751,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
1752,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1753,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1754,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1755,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1756,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
1757,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
1758,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
1759,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
1760,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Built-up
1761,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
1762,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1763,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
1764,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
1765,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
1766,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1767,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
1768,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
1769,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
1770,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
1771,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
1772,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1773,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
1774,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Water
1775,Cropland,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Wetland
1776,Cropland,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Water
1777,Cropland,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Wetland
1778,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1779,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1780,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1781,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1782,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1783,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
1784,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
1785,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
1786,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
1787,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1788,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
1789,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
1790,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1791,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1792,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
1793,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
1794,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
1795,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
1796,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1797,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
1798,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
1799,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
1800,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1801,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1802,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
1803,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
1804,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1805,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
1806,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
1807,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1808,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
1809,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1810,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1811,Cropland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
1812,Cropland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
1813,Cropland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
1814,Cropland,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
1815,Cropland,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
1816,Cropland,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Forest
1817,Cropland,NULL,Wetland,Water,Wetland,Bareland,Wetland,Wetland
1818,Cropland,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
1819,Cropland,NULL,Wetland,Water,Wetland,Bareland,Water,Wetland
1820,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
1821,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1822,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
1823,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
1824,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Forest
1825,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
1826,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
1827,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
1828,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
1829,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
1830,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
1831,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
1832,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Built-up
1833,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Forest
1834,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
1835,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1836,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Built-up
1837,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1838,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
1839,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
1840,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
1841,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1842,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
1843,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
1844,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Built-up
1845,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1846,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
1847,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
1848,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
1849,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
1850,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up,Bareland,Forest
1851,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
1852,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1853,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1854,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
1855,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1856,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
1857,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
1858,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1859,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
1860,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
1861,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
1862,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1863,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1864,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
1865,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
1866,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
1867,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
1868,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
1869,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
1870,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1871,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1872,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1873,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
1874,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
