Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MVS_M_R
440,Grassland,Wetland,Wetland,NULL,Wetland,Wetland
441,Grassland,Wetland,Wetland,NULL,Wetland,Forest
442,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL
443,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland
444,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland
445,Grassland,Wetland,Wetland,Non_Water,Wetland,Water
446,Grassland,Wetland,Wetland,Non_Water,Wetland,Forest
447,Grassland,Wetland,Wetland,Water,Wetland,Grassland
448,Grassland,Wetland,Wetland,Water,Wetland,Wetland
449,Grassland,Wetland,Wetland,Water,Wetland,Water
450,Grassland,Wetland,Wetland,Water,Wetland,Forest
451,Grassland,Wetland,Bareland,NULL,Non_Wetland,Grassland
452,Grassland,Wetland,Bareland,Water,Non_Wetland,Grassland
453,Grassland,Wetland,Water,Water,Water,Grassland
454,Grassland,Wetland,Water,Water,Water,Wetland
455,Grassland,Wetland,Water,Water,Water,Water
456,Grassland,Wetland,Water,Water,Water,Forest
457,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland
458,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest
459,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Grassland
460,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Forest
461,Grassland,Wetland,Forest,Water,Non_Wetland,Grassland
462,Grassland,Wetland,Forest,Water,Non_Wetland,Wetland
463,Grassland,Wetland,Forest,Water,Non_Wetland,Water
464,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
465,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland
466,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland
467,Grassland,Built-up,Forest,Non_Water,Non_Wetland,Forest
468,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland
469,Grassland,Water,Shrubland,NULL,Non_Wetland,Forest
470,Grassland,Water,Wetland,NULL,Wetland,Grassland
471,Grassland,Water,Wetland,NULL,Wetland,Forest
472,Grassland,Water,Wetland,Non_Water,Wetland,Grassland
473,Grassland,Water,Wetland,Non_Water,Wetland,Water
474,Grassland,Water,Wetland,Non_Water,Wetland,Forest
475,Grassland,Water,Wetland,Water,Wetland,Grassland
476,Grassland,Water,Wetland,Water,Wetland,Wetland
477,Grassland,Water,Wetland,Water,Wetland,Water
478,Grassland,Water,Wetland,Water,Wetland,Forest
479,Grassland,Water,Water,NULL,Water,Water
480,Grassland,Water,Water,NULL,Water,Forest
481,Grassland,Water,Water,Water,Water,Grassland
482,Grassland,Water,Water,Water,Water,Water
483,Grassland,Water,Forest,NULL,Non_Wetland,Grassland
484,Grassland,Water,Forest,NULL,Non_Wetland,Forest
485,Grassland,Water,Forest,Non_Water,Non_Wetland,Grassland
486,Grassland,Water,Forest,Water,Non_Wetland,Grassland
487,Grassland,Water,Forest,Water,Non_Wetland,Forest
488,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
489,Grassland,Forest,NULL,Water,Non_Wetland,Grassland
490,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
491,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
492,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
493,Grassland,Forest,Shrubland,Water,Non_Wetland,Grassland
494,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
495,Grassland,Forest,Grassland,Non_Water,Non_Wetland,Grassland
496,Grassland,Forest,Grassland,Non_Water,Non_Wetland,Forest
497,Grassland,Forest,Grassland,Water,Non_Wetland,Grassland
498,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
499,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Grassland
500,Grassland,Forest,Wetland,NULL,Wetland,Grassland
501,Grassland,Forest,Wetland,NULL,Wetland,Water
502,Grassland,Forest,Wetland,NULL,Wetland,Forest
503,Grassland,Forest,Wetland,Non_Water,Wetland,Grassland
504,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland
505,Grassland,Forest,Wetland,Non_Water,Wetland,Water
506,Grassland,Forest,Wetland,Non_Water,Wetland,Forest
507,Grassland,Forest,Wetland,Water,Wetland,Grassland
508,Grassland,Forest,Wetland,Water,Wetland,Wetland
509,Grassland,Forest,Wetland,Water,Wetland,Water
510,Grassland,Forest,Wetland,Water,Wetland,Forest
511,Grassland,Forest,Bareland,NULL,Non_Wetland,Forest
512,Grassland,Forest,Bareland,Water,Non_Wetland,Grassland
513,Grassland,Forest,Bareland,Water,Non_Wetland,Water
514,Grassland,Forest,Bareland,Water,Non_Wetland,Forest
515,Grassland,Forest,Water,NULL,Water,Water
516,Grassland,Forest,Water,Water,Water,Grassland
517,Grassland,Forest,Water,Water,Water,Wetland
518,Grassland,Forest,Water,Water,Water,Water
519,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
520,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
521,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
522,Grassland,Forest,Forest,Non_Water,Non_Wetland,Grassland
523,Grassland,Forest,Forest,Non_Water,Non_Wetland,Forest
524,Grassland,Forest,Forest,Water,Non_Wetland,Grassland
525,Grassland,Forest,Forest,Water,Non_Wetland,Cropland
526,Grassland,Forest,Forest,Water,Non_Wetland,Water
527,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
528,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
529,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
530,Cropland,NULL,NULL,Non_Water,Non_Wetland,Forest
531,Cropland,NULL,NULL,Water,Non_Wetland,Grassland
532,Cropland,NULL,NULL,Water,Non_Wetland,Water
533,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
534,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
535,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
536,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
537,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
538,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
539,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
540,Cropland,NULL,Shrubland,Water,Non_Wetland,Wetland
541,Cropland,NULL,Shrubland,Water,Non_Wetland,Water
542,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
543,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
544,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
545,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
546,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
547,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Forest
548,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
549,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
550,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
551,Cropland,NULL,Grassland,Water,Non_Wetland,Water
552,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
553,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
554,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
555,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
556,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Forest
557,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
558,Cropland,NULL,Cropland,Water,Non_Wetland,Water
559,Cropland,NULL,Wetland,NULL,Wetland,Grassland
560,Cropland,NULL,Wetland,NULL,Wetland,Water
561,Cropland,NULL,Wetland,NULL,Wetland,Forest
562,Cropland,NULL,Wetland,Non_Water,Wetland,Grassland
563,Cropland,NULL,Wetland,Non_Water,Wetland,Wetland
564,Cropland,NULL,Wetland,Non_Water,Wetland,Bareland
565,Cropland,NULL,Wetland,Non_Water,Wetland,Water
566,Cropland,NULL,Wetland,Non_Water,Wetland,Forest
567,Cropland,NULL,Wetland,Water,Wetland,Grassland
568,Cropland,NULL,Wetland,Water,Wetland,Cropland
569,Cropland,NULL,Wetland,Water,Wetland,Wetland
570,Cropland,NULL,Wetland,Water,Wetland,Bareland
571,Cropland,NULL,Wetland,Water,Wetland,Water
572,Cropland,NULL,Wetland,Water,Wetland,Forest
573,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
574,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
575,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
576,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
577,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
578,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Water
579,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Forest
580,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
581,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland
582,Cropland,NULL,Bareland,Water,Non_Wetland,Water
583,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
584,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
585,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Bareland
586,Cropland,NULL,Built-up,Water,Non_Wetland,Grassland
587,Cropland,NULL,Built-up,Water,Non_Wetland,Bareland
588,Cropland,NULL,Built-up,Water,Non_Wetland,Water
589,Cropland,NULL,Water,NULL,Water,Grassland
590,Cropland,NULL,Water,NULL,Water,Water
591,Cropland,NULL,Water,NULL,Water,Forest
592,Cropland,NULL,Water,Non_Water,Water,Grassland
593,Cropland,NULL,Water,Non_Water,Water,Water
594,Cropland,NULL,Water,Non_Water,Water,Forest
595,Cropland,NULL,Water,Water,Water,Grassland
596,Cropland,NULL,Water,Water,Water,Cropland
597,Cropland,NULL,Water,Water,Water,Water
598,Cropland,NULL,Water,Water,Water,Forest
599,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
600,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
601,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
602,Cropland,NULL,Forest,NULL,Non_Wetland,Water
603,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
604,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland
605,Cropland,NULL,Forest,Non_Water,Non_Wetland,Forest
606,Cropland,NULL,Forest,Water,Non_Wetland,Grassland
607,Cropland,NULL,Forest,Water,Non_Wetland,Wetland
608,Cropland,NULL,Forest,Water,Non_Wetland,Water
609,Cropland,NULL,Forest,Water,Non_Wetland,Forest
610,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
611,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
612,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
613,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Grassland
614,Cropland,Cropland,NULL,Water,Non_Wetland,Grassland
615,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
616,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
617,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
618,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
619,Cropland,Cropland,Shrubland,Water,Non_Wetland,Grassland
620,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
621,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
622,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
623,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
624,Cropland,Cropland,Grassland,Water,Non_Wetland,Grassland
625,Cropland,Cropland,Grassland,Water,Non_Wetland,Water
626,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
627,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
628,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
629,Cropland,Cropland,Cropland,Water,Non_Wetland,Grassland
630,Cropland,Cropland,Cropland,Water,Non_Wetland,Water
631,Cropland,Cropland,Wetland,NULL,Wetland,Grassland
632,Cropland,Cropland,Wetland,NULL,Wetland,Forest
633,Cropland,Cropland,Wetland,Non_Water,Wetland,Grassland
634,Cropland,Cropland,Wetland,Water,Wetland,Grassland
635,Cropland,Cropland,Wetland,Water,Wetland,Cropland
636,Cropland,Cropland,Wetland,Water,Wetland,Water
637,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
638,Cropland,Cropland,Bareland,NULL,Non_Wetland,Forest
639,Cropland,Cropland,Bareland,Water,Non_Wetland,Grassland
640,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
641,Cropland,Cropland,Built-up,Non_Water,Non_Wetland,Grassland
642,Cropland,Cropland,Water,NULL,Water,Grassland
643,Cropland,Cropland,Water,Non_Water,Water,Grassland
644,Cropland,Cropland,Water,Non_Water,Water,Water
645,Cropland,Cropland,Water,Water,Water,Grassland
646,Cropland,Cropland,Water,Water,Water,Water
647,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
648,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
649,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland
650,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
651,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Grassland
652,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Forest
653,Cropland,Cropland,Forest,Water,Non_Wetland,Grassland
654,Cropland,Cropland,Forest,Water,Non_Wetland,Water
655,Cropland,Wetland,NULL,NULL,Non_Wetland,Grassland
656,Cropland,Wetland,NULL,Water,Non_Wetland,Grassland
657,Cropland,Wetland,NULL,Water,Non_Wetland,Water
658,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Forest
659,Cropland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
660,Cropland,Wetland,Shrubland,Water,Non_Wetland,Grassland
661,Cropland,Wetland,Shrubland,Water,Non_Wetland,Water
662,Cropland,Wetland,Grassland,NULL,Non_Wetland,Grassland
663,Cropland,Wetland,Grassland,Water,Non_Wetland,Grassland
664,Cropland,Wetland,Grassland,Water,Non_Wetland,Water
665,Cropland,Wetland,Cropland,NULL,Non_Wetland,Grassland
666,Cropland,Wetland,Cropland,Non_Water,Non_Wetland,Water
667,Cropland,Wetland,Cropland,Water,Non_Wetland,Grassland
668,Cropland,Wetland,Cropland,Water,Non_Wetland,Water
669,Cropland,Wetland,Wetland,NULL,Wetland,Grassland
670,Cropland,Wetland,Wetland,NULL,Wetland,Forest
671,Cropland,Wetland,Wetland,Non_Water,Wetland,Grassland
672,Cropland,Wetland,Wetland,Non_Water,Wetland,Water
673,Cropland,Wetland,Wetland,Non_Water,Wetland,Forest
674,Cropland,Wetland,Wetland,Water,Wetland,Grassland
675,Cropland,Wetland,Wetland,Water,Wetland,Wetland
676,Cropland,Wetland,Wetland,Water,Wetland,Water
677,Cropland,Wetland,Bareland,Water,Non_Wetland,Grassland
678,Cropland,Wetland,Bareland,Water,Non_Wetland,Water
679,Cropland,Wetland,Built-up,NULL,Non_Wetland,Grassland
680,Cropland,Wetland,Water,NULL,Water,Grassland
681,Cropland,Wetland,Water,Water,Water,Grassland
682,Cropland,Wetland,Water,Water,Water,Water
683,Cropland,Wetland,Forest,NULL,Non_Wetland,Grassland
684,Cropland,Wetland,Forest,NULL,Non_Wetland,Forest
685,Cropland,Wetland,Forest,Non_Water,Non_Wetland,Grassland
686,Cropland,Wetland,Forest,Water,Non_Wetland,Grassland
687,Cropland,Wetland,Forest,Water,Non_Wetland,Water
688,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Forest
689,Cropland,Bareland,Shrubland,Non_Water,Non_Wetland,Forest
690,Cropland,Bareland,Cropland,NULL,Non_Wetland,Forest
691,Cropland,Bareland,Cropland,Non_Water,Non_Wetland,Bareland
692,Cropland,Bareland,Wetland,Non_Water,Wetland,Water
693,Cropland,Bareland,Wetland,Water,Wetland,Grassland
694,Cropland,Bareland,Wetland,Water,Wetland,Bareland
695,Cropland,Bareland,Wetland,Water,Wetland,Water
696,Cropland,Bareland,Bareland,Water,Non_Wetland,Bareland
697,Cropland,Bareland,Bareland,Water,Non_Wetland,Water
698,Cropland,Bareland,Built-up,Water,Non_Wetland,Bareland
699,Cropland,Bareland,Built-up,Water,Non_Wetland,Water
700,Cropland,Bareland,Water,NULL,Water,Water
701,Cropland,Bareland,Water,NULL,Water,Forest
702,Cropland,Bareland,Water,Water,Water,Bareland
703,Cropland,Bareland,Water,Water,Water,Water
704,Cropland,Bareland,Water,Water,Water,Forest
705,Cropland,Bareland,Forest,NULL,Non_Wetland,Forest
706,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland
707,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Forest
708,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
709,Cropland,Built-up,Grassland,NULL,Non_Wetland,Built-up
710,Cropland,Built-up,Grassland,NULL,Non_Wetland,Forest
711,Cropland,Built-up,Cropland,NULL,Non_Wetland,Forest
712,Cropland,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
713,Cropland,Built-up,Wetland,NULL,Wetland,Grassland
714,Cropland,Built-up,Wetland,NULL,Wetland,Forest
715,Cropland,Built-up,Wetland,Water,Wetland,Grassland
716,Cropland,Built-up,Wetland,Water,Wetland,Water
717,Cropland,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
718,Cropland,Built-up,Built-up,NULL,Non_Wetland,Built-up
719,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
720,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
721,Cropland,Built-up,Forest,Non_Water,Non_Wetland,Grassland
722,Cropland,Built-up,Forest,Water,Non_Wetland,Grassland
723,Cropland,Water,NULL,NULL,Non_Wetland,Grassland
724,Cropland,Water,NULL,Water,Non_Wetland,Water
725,Cropland,Water,Shrubland,NULL,Non_Wetland,Bareland
726,Cropland,Water,Grassland,NULL,Non_Wetland,Forest
727,Cropland,Water,Grassland,Water,Non_Wetland,Grassland
728,Cropland,Water,Cropland,NULL,Non_Wetland,Grassland
729,Cropland,Water,Cropland,Water,Non_Wetland,Grassland
730,Cropland,Water,Cropland,Water,Non_Wetland,Water
731,Cropland,Water,Wetland,NULL,Wetland,Water
732,Cropland,Water,Wetland,NULL,Wetland,Forest
733,Cropland,Water,Wetland,Non_Water,Wetland,Grassland
734,Cropland,Water,Wetland,Non_Water,Wetland,Water
735,Cropland,Water,Wetland,Water,Wetland,Grassland
736,Cropland,Water,Wetland,Water,Wetland,Wetland
737,Cropland,Water,Wetland,Water,Wetland,Water
738,Cropland,Water,Wetland,Water,Wetland,Forest
739,Cropland,Water,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
740,Cropland,Water,Bareland,Non_Water,Non_Wetland,Grassland
741,Cropland,Water,Bareland,Non_Water,Non_Wetland,Water
742,Cropland,Water,Bareland,Water,Non_Wetland,Water
743,Cropland,Water,Water,Non_Water,Water,Grassland
744,Cropland,Water,Water,Non_Water,Water,Bareland
745,Cropland,Water,Water,Water,Water,Grassland
746,Cropland,Water,Water,Water,Water,Water
747,Cropland,Water,Forest,NULL,Non_Wetland,Grassland
748,Cropland,Water,Forest,NULL,Non_Wetland,Forest
749,Cropland,Water,Forest,Water,Non_Wetland,Grassland
750,Cropland,Water,Forest,Water,Non_Wetland,Water
751,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
752,Cropland,Forest,NULL,NULL,Non_Wetland,Forest
753,Cropland,Forest,NULL,Non_Water,Non_Wetland,Forest
754,Cropland,Forest,NULL,Water,Non_Wetland,Grassland
755,Cropland,Forest,NULL,Water,Non_Wetland,Water
756,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
757,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
758,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
759,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
760,Cropland,Forest,Shrubland,Water,Non_Wetland,Grassland
761,Cropland,Forest,Shrubland,Water,Non_Wetland,Water
762,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
763,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest
764,Cropland,Forest,Grassland,Non_Water,Non_Wetland,Grassland
765,Cropland,Forest,Grassland,Non_Water,Non_Wetland,Bareland
766,Cropland,Forest,Grassland,Non_Water,Non_Wetland,Forest
767,Cropland,Forest,Grassland,Water,Non_Wetland,Grassland
768,Cropland,Forest,Grassland,Water,Non_Wetland,Bareland
769,Cropland,Forest,Grassland,Water,Non_Wetland,Water
770,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
771,Cropland,Forest,Cropland,Non_Water,Non_Wetland,Bareland
772,Cropland,Forest,Cropland,Non_Water,Non_Wetland,Water
773,Cropland,Forest,Wetland,NULL,Wetland,Grassland
774,Cropland,Forest,Wetland,NULL,Wetland,Forest
775,Cropland,Forest,Wetland,Non_Water,Wetland,Grassland
776,Cropland,Forest,Wetland,Non_Water,Wetland,Bareland
777,Cropland,Forest,Wetland,Non_Water,Wetland,Water
778,Cropland,Forest,Wetland,Non_Water,Wetland,Forest
779,Cropland,Forest,Wetland,Water,Wetland,Grassland
780,Cropland,Forest,Wetland,Water,Wetland,Wetland
781,Cropland,Forest,Wetland,Water,Wetland,Bareland
782,Cropland,Forest,Wetland,Water,Wetland,Water
783,Cropland,Forest,Wetland,Water,Wetland,Forest
784,Cropland,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
785,Cropland,Forest,Lichens_and_Mosses,Water,Non_Wetland,Bareland
786,Cropland,Forest,Lichens_and_Mosses,Water,Non_Wetland,Water
787,Cropland,Forest,Bareland,Non_Water,Non_Wetland,Grassland
788,Cropland,Forest,Bareland,Non_Water,Non_Wetland,Water
789,Cropland,Forest,Bareland,Non_Water,Non_Wetland,Forest
790,Cropland,Forest,Bareland,Water,Non_Wetland,Grassland
791,Cropland,Forest,Bareland,Water,Non_Wetland,Bareland
792,Cropland,Forest,Bareland,Water,Non_Wetland,Water
793,Cropland,Forest,Water,Non_Water,Water,Grassland
794,Cropland,Forest,Water,Non_Water,Water,Forest
795,Cropland,Forest,Water,Water,Water,Grassland
796,Cropland,Forest,Water,Water,Water,Bareland
797,Cropland,Forest,Water,Water,Water,Water
798,Cropland,Forest,Water,Water,Water,Forest
799,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
800,Cropland,Forest,Forest,NULL,Non_Wetland,Cropland
801,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
802,Cropland,Forest,Forest,Non_Water,Non_Wetland,Grassland
803,Cropland,Forest,Forest,Non_Water,Non_Wetland,Forest
804,Cropland,Forest,Forest,Water,Non_Wetland,Grassland
805,Cropland,Forest,Forest,Water,Non_Wetland,Water
806,Wetland,NULL,NULL,Water,Non_Wetland,Water
807,Wetland,NULL,Cropland,Water,Non_Wetland,Grassland
808,Wetland,NULL,Wetland,NULL,Wetland,Grassland
809,Wetland,NULL,Wetland,NULL,Wetland,Forest
810,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland
811,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland
812,Wetland,NULL,Wetland,Non_Water,Wetland,Forest
813,Wetland,NULL,Wetland,Water,Wetland,Grassland
814,Wetland,NULL,Wetland,Water,Wetland,Wetland
815,Wetland,NULL,Wetland,Water,Wetland,Water
816,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
817,Wetland,NULL,Water,Non_Water,Water,Grassland
818,Wetland,NULL,Water,Non_Water,Water,Water
819,Wetland,NULL,Water,Water,Water,Grassland
820,Wetland,NULL,Water,Water,Water,Water
821,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland
822,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
823,Wetland,NULL,Forest,Non_Water,Non_Wetland,Grassland
824,Wetland,NULL,Forest,Water,Non_Wetland,Grassland
825,Wetland,NULL,Forest,Water,Non_Wetland,Water
826,Wetland,Cropland,Wetland,Water,Wetland,Water
827,Wetland,Cropland,Forest,Water,Non_Wetland,Water
828,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Forest
829,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
830,Wetland,Wetland,Wetland,NULL,Wetland,Grassland
831,Wetland,Wetland,Wetland,NULL,Wetland,Wetland
832,Wetland,Wetland,Wetland,NULL,Wetland,Water
833,Wetland,Wetland,Wetland,NULL,Wetland,Forest
834,Wetland,Wetland,Wetland,Non_Water,Wetland,Grassland
835,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland
836,Wetland,Wetland,Wetland,Non_Water,Wetland,Water
837,Wetland,Wetland,Wetland,Non_Water,Wetland,Forest
838,Wetland,Wetland,Wetland,Water,Wetland,Grassland
839,Wetland,Wetland,Wetland,Water,Wetland,Wetland
840,Wetland,Wetland,Wetland,Water,Wetland,Water
841,Wetland,Wetland,Wetland,Water,Wetland,Forest
842,Wetland,Wetland,Water,NULL,Water,Grassland
843,Wetland,Wetland,Water,NULL,Water,Wetland
844,Wetland,Wetland,Water,Non_Water,Water,Grassland
845,Wetland,Wetland,Water,Non_Water,Water,Wetland
846,Wetland,Wetland,Water,Non_Water,Water,Forest
847,Wetland,Wetland,Water,Water,Water,Grassland
848,Wetland,Wetland,Water,Water,Water,Wetland
849,Wetland,Wetland,Water,Water,Water,Water
850,Wetland,Wetland,Water,Water,Water,Forest
851,Wetland,Wetland,Forest,NULL,Non_Wetland,Grassland
852,Wetland,Wetland,Forest,NULL,Non_Wetland,Forest
853,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Grassland
854,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Forest
855,Wetland,Wetland,Forest,Water,Non_Wetland,Grassland
856,Wetland,Wetland,Forest,Water,Non_Wetland,Wetland
857,Wetland,Water,Cropland,NULL,Non_Wetland,Grassland
858,Wetland,Water,Cropland,Water,Non_Wetland,Grassland
859,Wetland,Water,Wetland,NULL,Wetland,Grassland
860,Wetland,Water,Wetland,NULL,Wetland,Wetland
861,Wetland,Water,Wetland,NULL,Wetland,Water
862,Wetland,Water,Wetland,NULL,Wetland,Forest
863,Wetland,Water,Wetland,Non_Water,Wetland,Grassland
864,Wetland,Water,Wetland,Non_Water,Wetland,Wetland
865,Wetland,Water,Wetland,Non_Water,Wetland,Water
866,Wetland,Water,Wetland,Non_Water,Wetland,Forest
867,Wetland,Water,Wetland,Water,Wetland,Grassland
868,Wetland,Water,Wetland,Water,Wetland,Wetland
869,Wetland,Water,Wetland,Water,Wetland,Water
870,Wetland,Water,Wetland,Water,Wetland,Forest
871,Wetland,Water,Water,Non_Water,Water,Grassland
872,Wetland,Water,Water,Non_Water,Water,Water
873,Wetland,Water,Water,Water,Water,Grassland
874,Wetland,Water,Water,Water,Water,Wetland
875,Wetland,Water,Water,Water,Water,Water
876,Wetland,Water,Water,Water,Water,Forest
877,Wetland,Water,Forest,NULL,Non_Wetland,Grassland
878,Wetland,Water,Forest,NULL,Non_Wetland,Forest
879,Wetland,Water,Forest,Non_Water,Non_Wetland,Grassland
880,Wetland,Water,Forest,Water,Non_Wetland,Forest
881,Wetland,Forest,Wetland,NULL,Wetland,Grassland
882,Wetland,Forest,Wetland,NULL,Wetland,Water
883,Wetland,Forest,Wetland,NULL,Wetland,Forest
884,Wetland,Forest,Wetland,Non_Water,Wetland,Grassland
885,Wetland,Forest,Wetland,Non_Water,Wetland,Wetland
886,Wetland,Forest,Wetland,Non_Water,Wetland,Water
