Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NDB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NDB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NDB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NDB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NDB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NDB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NDB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NDB_M_R
330,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
331,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
332,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
333,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
334,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Grassland,Bareland
335,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Grassland,Built-up
336,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Wetland,Grassland
337,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Wetland,Bareland
338,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Wetland,Forest
339,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Forest,Grassland
340,NULL,Built-up,Bareland,NULL,Non_Wetland,Water,Grassland,Bareland
341,NULL,Built-up,Bareland,Water,Non_Wetland,Grassland,Grassland,Grassland
342,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Water,Grassland
343,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
344,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Bareland
345,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Built-up
346,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
347,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
348,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
349,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
350,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
351,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,Bareland
352,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,Built-up
353,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
354,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Water,Grassland
355,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Water,Bareland
356,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Water,Built-up
357,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Water,Forest
358,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
359,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Forest,Built-up
360,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Forest,Forest
361,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
362,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Grassland,Bareland
363,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Grassland,Forest
364,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
365,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Forest,Grassland
366,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Forest,Built-up
367,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
368,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
369,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
370,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
371,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
372,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
373,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Forest,Bareland
374,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Forest,Grassland
375,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest,Wetland,Grassland
376,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest,Wetland,Forest
377,NULL,Built-up,Water,NULL,Water,Grassland,Grassland,Grassland
378,NULL,Built-up,Water,NULL,Water,Grassland,Wetland,Grassland
379,NULL,Built-up,Water,NULL,Water,Grassland,Wetland,Forest
380,NULL,Built-up,Water,Non_Water,Water,Grassland,Wetland,Grassland
381,NULL,Built-up,Water,Water,Water,Grassland,Water,Water
382,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
383,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
384,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
385,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Forest,Forest
386,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
387,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Built-up
388,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
389,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
390,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Built-up
391,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
392,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
393,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Bareland
394,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
395,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
396,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
397,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Bareland
398,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Built-up
399,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
400,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
401,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
402,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
403,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
404,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
405,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Water,Forest
406,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
407,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
408,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,Bareland
409,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Built-up
410,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
411,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
412,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
413,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,NULL,Forest
414,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
415,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Forest,Forest
416,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
417,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
418,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
419,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
420,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
421,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
422,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,Water,Forest
423,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
424,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Water
425,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water,NULL,Water
426,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
427,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
428,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
429,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,NULL,Water
430,NULL,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
431,NULL,Water,Grassland,NULL,Non_Wetland,Water,Water,Water
432,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Forest
433,NULL,Water,Grassland,Water,Non_Wetland,Water,Grassland,Water
434,NULL,Water,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
435,NULL,Water,Wetland,NULL,Wetland,Grassland,Water,Water
436,NULL,Water,Wetland,NULL,Wetland,Grassland,Water,Forest
437,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,Water
438,NULL,Water,Wetland,NULL,Wetland,Water,Water,Water
439,NULL,Water,Wetland,NULL,Wetland,Water,Water,Forest
440,NULL,Water,Wetland,Non_Water,Wetland,NULL,Water,Water
441,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Water
442,NULL,Water,Wetland,Non_Water,Wetland,Forest,Wetland,Water
443,NULL,Water,Wetland,Water,Wetland,Grassland,Water,Water
444,NULL,Water,Wetland,Water,Wetland,Wetland,NULL,Water
445,NULL,Water,Wetland,Water,Wetland,Wetland,Wetland,Water
446,NULL,Water,Wetland,Water,Wetland,Water,Water,Wetland
447,NULL,Water,Bareland,Water,Non_Wetland,Grassland,Water,Grassland
448,NULL,Water,Water,NULL,Water,Grassland,Wetland,Forest
449,NULL,Water,Water,NULL,Water,Wetland,Water,Forest
450,NULL,Water,Water,Water,Water,Grassland,Wetland,Forest
451,NULL,Water,Water,Water,Water,Grassland,Water,Water
452,NULL,Water,Forest,NULL,Non_Wetland,Water,Water,Water
453,NULL,Water,Forest,NULL,Non_Wetland,Forest,NULL,Forest
454,NULL,Water,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
455,NULL,Water,Forest,Water,Non_Wetland,Water,Water,Wetland
456,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
457,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
458,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
459,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
460,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
461,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
462,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
463,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
464,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
465,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
466,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
467,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
468,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
469,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
470,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
471,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
472,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
473,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
474,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
475,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
476,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
477,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
478,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
479,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
480,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
481,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
482,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
483,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
484,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
485,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
486,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
487,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
488,NULL,Forest,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
489,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
490,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
491,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
492,NULL,Forest,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
493,NULL,Forest,Wetland,NULL,Wetland,Water,Grassland,Grassland
494,NULL,Forest,Wetland,NULL,Wetland,Water,Wetland,Grassland
495,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
496,NULL,Forest,Wetland,Non_Water,Wetland,Grassland,Water,Water
497,NULL,Forest,Wetland,Water,Wetland,Water,Wetland,Grassland
498,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,NULL,Built-up
499,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
500,NULL,Forest,Water,NULL,Water,Water,Wetland,Grassland
501,NULL,Forest,Water,Water,Water,Wetland,Wetland,Grassland
502,NULL,Forest,Water,Water,Water,Water,Wetland,Grassland
503,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
504,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
505,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
506,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
507,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
508,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
509,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
510,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
511,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
512,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
513,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
514,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
515,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
516,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
517,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
518,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
519,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
520,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
521,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
522,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
523,NULL,Forest,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
524,NULL,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
525,NULL,Forest,Forest,NULL,Non_Wetland,Water,Forest,Grassland
526,NULL,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
527,NULL,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
528,NULL,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
529,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
530,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest,Wetland,Forest
531,NULL,Forest,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
532,NULL,Forest,Forest,Water,Non_Wetland,Water,Wetland,Grassland
533,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
534,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
535,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
536,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
537,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
538,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Water
539,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
540,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
541,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
542,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
543,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
544,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
545,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
546,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
547,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
548,Grassland,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
549,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,Wetland,Grassland
550,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
551,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
552,Grassland,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
553,Grassland,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
554,Grassland,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
555,Grassland,NULL,Wetland,Water,Wetland,Water,Water,Grassland
556,Grassland,NULL,Water,NULL,Water,Water,Wetland,Grassland
557,Grassland,NULL,Water,Water,Water,Water,Wetland,Grassland
558,Grassland,NULL,Water,Water,Water,Water,Water,Grassland
559,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
560,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
561,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
562,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
563,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
564,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
565,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
566,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
567,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
568,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
569,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
570,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
571,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
572,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
573,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
574,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
575,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Wetland
576,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Water,Grassland
577,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
578,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
579,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
580,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
581,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
582,Grassland,NULL,Forest,Water,Non_Wetland,NULL,Wetland,Grassland
583,Grassland,NULL,Forest,Water,Non_Wetland,Water,Water,Grassland
584,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
585,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
586,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
587,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
588,Grassland,Built-up,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
589,Grassland,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
590,Grassland,Built-up,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
591,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
592,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
593,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
594,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
595,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
596,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
597,Grassland,Forest,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
598,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Forest,NULL
599,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
600,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
601,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
602,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
603,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
604,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
605,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
606,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
607,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
608,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
609,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,NULL
610,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
611,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
612,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
613,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
614,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
615,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
616,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
617,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
618,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
619,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
620,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
621,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
622,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
623,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
624,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
625,Cropland,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
626,Cropland,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
627,Cropland,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Forest
628,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
629,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
630,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
631,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
632,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
633,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
634,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
635,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
636,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
637,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
638,Cropland,NULL,Forest,NULL,Non_Wetland,Water,Forest,Grassland
639,Cropland,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
640,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
641,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
642,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
643,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
644,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
645,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
646,Cropland,Built-up,Grassland,NULL,Non_Wetland,Water,Forest,Built-up
647,Cropland,Built-up,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
648,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest,Forest,Forest
649,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
650,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
651,Cropland,Forest,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
652,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
653,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
654,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Built-up
655,Cropland,Forest,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
656,Cropland,Forest,Grassland,NULL,Non_Wetland,Water,Forest,Built-up
657,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
658,Cropland,Forest,Built-up,NULL,Non_Wetland,Grassland,Forest,Built-up
659,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
660,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
661,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
662,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
663,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
664,Wetland,NULL,Wetland,Water,Wetland,Water,NULL,Water
665,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
666,Wetland,NULL,Forest,NULL,Non_Wetland,Forest,Water,Forest
667,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Water
668,Wetland,Wetland,Water,Water,Water,Water,Water,Water
669,Wetland,Bareland,Wetland,Water,Wetland,Water,NULL,Water
670,Wetland,Water,Grassland,Water,Non_Wetland,Water,NULL,Water
671,Wetland,Water,Wetland,NULL,Wetland,Water,NULL,Water
