Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MNA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MNA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MNA_M_R
795,NULL,Built-up,Bareland,Water,Non_Wetland,Water,Water,Grassland
796,NULL,Built-up,Bareland,Water,Non_Wetland,Water,Water,Water
797,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
798,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
799,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
800,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,Built-up
801,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
802,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
803,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
804,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
805,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Built-up
806,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Forest
807,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
808,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Forest,Built-up
809,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Forest,Forest
810,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
811,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Grassland,Forest
812,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
813,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Wetland,Built-up
814,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Wetland,Forest
815,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Bareland,Grassland
816,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Bareland,Forest
817,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Built-up,Grassland
818,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Built-up,Forest
819,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Water,Built-up
820,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Water,Forest
821,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Forest,Forest
822,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
823,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
824,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
825,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Wetland,Built-up
826,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Wetland,Forest
827,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
828,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
829,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
830,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
831,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
832,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Forest
833,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Water,Forest
834,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
835,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Wetland,Grassland
836,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Wetland,Built-up
837,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Wetland,Forest
838,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
839,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Built-up
840,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Forest
841,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
842,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
843,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
844,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Water
845,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
846,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Wetland,Grassland
847,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Built-up,Water
848,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
849,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
850,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,Forest
851,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
852,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Wetland,Bareland,Forest
853,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Wetland,Built-up,Grassland
854,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Wetland,Water,Grassland
855,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
856,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Wetland,Built-up
857,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Wetland,Forest
858,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
859,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
860,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Built-up,Forest
861,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Water,Forest
862,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up,Wetland,Forest
863,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up,Bareland,Grassland
864,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up,Bareland,Built-up
865,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up,Built-up,Built-up
866,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up,Built-up,Forest
867,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Water,Wetland,Grassland
868,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland,Wetland,Grassland
869,NULL,Built-up,Built-up,Water,Non_Wetland,Wetland,Wetland,Grassland
870,NULL,Built-up,Built-up,Water,Non_Wetland,Wetland,Wetland,Forest
871,NULL,Built-up,Built-up,Water,Non_Wetland,Wetland,Bareland,Grassland
872,NULL,Built-up,Built-up,Water,Non_Wetland,Wetland,Built-up,Grassland
873,NULL,Built-up,Built-up,Water,Non_Wetland,Wetland,Water,Grassland
874,NULL,Built-up,Built-up,Water,Non_Wetland,Wetland,Water,Water
875,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland,Wetland,Grassland
876,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland,Wetland,Built-up
877,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland,Wetland,Forest
878,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland,Bareland,Grassland
879,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland,Built-up,Grassland
880,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland,Water,Grassland
881,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up,Wetland,Grassland
882,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up,Built-up,Grassland
883,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up,Built-up,Built-up
884,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up,Built-up,Water
885,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up,Built-up,Forest
886,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up,Water,Grassland
887,NULL,Built-up,Built-up,Water,Non_Wetland,Water,Wetland,Grassland
888,NULL,Built-up,Built-up,Water,Non_Wetland,Water,Wetland,Water
889,NULL,Built-up,Built-up,Water,Non_Wetland,Water,Built-up,Water
890,NULL,Built-up,Built-up,Water,Non_Wetland,Water,Water,Grassland
891,NULL,Built-up,Water,NULL,Water,Wetland,Water,Grassland
892,NULL,Built-up,Water,NULL,Water,Water,Water,Grassland
893,NULL,Built-up,Water,Non_Water,Water,Wetland,Wetland,Grassland
894,NULL,Built-up,Water,Non_Water,Water,Wetland,Water,Grassland
895,NULL,Built-up,Water,Water,Water,Wetland,Water,Grassland
896,NULL,Built-up,Water,Water,Water,Water,Water,Grassland
897,NULL,Built-up,Water,Water,Water,Water,Water,Water
898,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
899,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
900,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
901,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
902,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
903,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
904,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
905,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Forest
906,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
907,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
908,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
909,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
910,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
911,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,Built-up
912,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
913,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
914,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
915,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Built-up,Grassland
916,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Built-up,Built-up
917,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Built-up,Forest
918,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
919,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
920,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
921,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Built-up
922,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
923,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
924,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Wetland,Built-up
925,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
926,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
927,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
928,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Forest
929,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
930,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
931,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Wetland,Grassland
932,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Wetland,Forest
933,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,Grassland
934,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,Forest
935,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
936,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Built-up
937,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Forest
938,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Water,Grassland
939,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
940,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
941,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland,Water,Forest
942,NULL,Built-up,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
943,NULL,Built-up,Forest,Non_Water,Non_Wetland,Wetland,Bareland,Forest
944,NULL,Built-up,Forest,Non_Water,Non_Wetland,Wetland,Water,Grassland
945,NULL,Built-up,Forest,Non_Water,Non_Wetland,Built-up,Bareland,Forest
946,NULL,Built-up,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
947,NULL,Built-up,Forest,Water,Non_Wetland,Wetland,Bareland,Forest
948,NULL,Built-up,Forest,Water,Non_Wetland,Wetland,Water,Grassland
949,NULL,Built-up,Forest,Water,Non_Wetland,Wetland,Water,Forest
950,NULL,Built-up,Forest,Water,Non_Wetland,Bareland,Wetland,Grassland
951,NULL,Built-up,Forest,Water,Non_Wetland,Bareland,Bareland,Grassland
952,NULL,Built-up,Forest,Water,Non_Wetland,Water,Wetland,Grassland
953,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
954,NULL,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
955,NULL,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
956,NULL,Water,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
957,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
958,NULL,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
959,NULL,Water,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
960,NULL,Water,NULL,Non_Water,Non_Wetland,Water,Water,Forest
961,NULL,Water,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
962,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
963,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
964,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
965,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
966,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
967,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
968,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
969,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
970,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
971,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
972,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
973,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
974,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,Wetland,Water
975,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
976,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,Bareland,Grassland
977,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,Water,Water
978,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,Water,Forest
979,NULL,Water,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
980,NULL,Water,Shrubland,Water,Non_Wetland,Water,Water,Grassland
981,NULL,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
982,NULL,Water,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
983,NULL,Water,Grassland,Water,Non_Wetland,Wetland,Wetland,Forest
984,NULL,Water,Grassland,Water,Non_Wetland,Wetland,Water,Grassland
985,NULL,Water,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
986,NULL,Water,Grassland,Water,Non_Wetland,Water,Water,Grassland
987,NULL,Water,Grassland,Water,Non_Wetland,Water,Water,Water
988,NULL,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
989,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
990,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,Grassland
991,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
992,NULL,Water,Wetland,NULL,Wetland,Water,Grassland,Forest
993,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
994,NULL,Water,Wetland,NULL,Wetland,Water,Water,Grassland
995,NULL,Water,Wetland,NULL,Wetland,Forest,Wetland,Forest
996,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
997,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Bareland,Forest
998,NULL,Water,Wetland,Water,Wetland,Wetland,Wetland,Grassland
999,NULL,Water,Wetland,Water,Wetland,Wetland,Wetland,Wetland
1000,NULL,Water,Wetland,Water,Wetland,Wetland,Wetland,Forest
1001,NULL,Water,Wetland,Water,Wetland,Wetland,Bareland,Grassland
1002,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
1003,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Water
1004,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Forest
1005,NULL,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
1006,NULL,Water,Wetland,Water,Wetland,Water,Wetland,Wetland
1007,NULL,Water,Wetland,Water,Wetland,Water,Water,Grassland
1008,NULL,Water,Wetland,Water,Wetland,Water,Water,Wetland
1009,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
1010,NULL,Water,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1011,NULL,Water,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
1012,NULL,Water,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1013,NULL,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
1014,NULL,Water,Bareland,Water,Non_Wetland,Grassland,Water,Forest
1015,NULL,Water,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
1016,NULL,Water,Bareland,Water,Non_Wetland,Wetland,Water,Grassland
1017,NULL,Water,Bareland,Water,Non_Wetland,Wetland,Water,Water
1018,NULL,Water,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
1019,NULL,Water,Bareland,Water,Non_Wetland,Water,Wetland,Water
1020,NULL,Water,Bareland,Water,Non_Wetland,Water,Water,Grassland
1021,NULL,Water,Bareland,Water,Non_Wetland,Water,Water,Wetland
1022,NULL,Water,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
1023,NULL,Water,Built-up,NULL,Non_Wetland,Wetland,Wetland,Water
1024,NULL,Water,Built-up,NULL,Non_Wetland,Wetland,Bareland,Grassland
1025,NULL,Water,Built-up,Water,Non_Wetland,Wetland,Water,Grassland
1026,NULL,Water,Built-up,Water,Non_Wetland,Wetland,Water,Forest
1027,NULL,Water,Built-up,Water,Non_Wetland,Water,Built-up,Water
1028,NULL,Water,Built-up,Water,Non_Wetland,Water,Forest,Grassland
1029,NULL,Water,Water,Non_Water,Water,Wetland,Wetland,Grassland
1030,NULL,Water,Water,Water,Water,Wetland,Wetland,Wetland
1031,NULL,Water,Water,Water,Water,Wetland,Water,Grassland
1032,NULL,Water,Water,Water,Water,Wetland,Water,Water
1033,NULL,Water,Water,Water,Water,Water,Wetland,Grassland
1034,NULL,Water,Water,Water,Water,Water,Water,Grassland
1035,NULL,Water,Water,Water,Water,Water,Water,Wetland
1036,NULL,Water,Water,Water,Water,Water,Water,Water
1037,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1038,NULL,Water,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1039,NULL,Water,Forest,Non_Water,Non_Wetland,Wetland,Bareland,Forest
1040,NULL,Water,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
1041,NULL,Water,Forest,Water,Non_Wetland,Wetland,Bareland,Wetland
1042,NULL,Water,Forest,Water,Non_Wetland,Wetland,Water,Water
1043,NULL,Water,Forest,Water,Non_Wetland,Wetland,Water,Forest
1044,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1045,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1046,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1047,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
1048,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
1049,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
1050,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1051,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
1052,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
1053,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
1054,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
1055,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Water,Forest
1056,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
1057,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
1058,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
1059,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
1060,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
1061,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
1062,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
1063,NULL,Forest,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
1064,NULL,Forest,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
1065,NULL,Forest,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1066,NULL,Forest,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1067,NULL,Forest,NULL,Water,Non_Wetland,Grassland,Water,Forest
1068,NULL,Forest,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
1069,NULL,Forest,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
1070,NULL,Forest,NULL,Water,Non_Wetland,Wetland,Water,Forest
1071,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
1072,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1073,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1074,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1075,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
1076,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1077,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
1078,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
1079,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
1080,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1081,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
1082,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
1083,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
1084,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
1085,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
1086,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
1087,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1088,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
1089,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1090,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
1091,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
1092,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
1093,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1094,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
1095,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1096,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
1097,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
1098,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
1099,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
1100,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland,Wetland,Water
1101,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
1102,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland,Bareland,Grassland
1103,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland,Bareland,Forest
1104,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland,Water,Forest
1105,NULL,Forest,Shrubland,Water,Non_Wetland,Bareland,Wetland,Forest
1106,NULL,Forest,Shrubland,Water,Non_Wetland,Built-up,Wetland,Grassland
1107,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1108,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
1109,NULL,Forest,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
1110,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
1111,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1112,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
1113,NULL,Forest,Wetland,NULL,Wetland,NULL,Grassland,Forest
1114,NULL,Forest,Wetland,NULL,Wetland,NULL,Wetland,Forest
1115,NULL,Forest,Wetland,NULL,Wetland,Grassland,Grassland,Forest
1116,NULL,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
1117,NULL,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Forest
1118,NULL,Forest,Wetland,NULL,Wetland,Grassland,Water,Grassland
1119,NULL,Forest,Wetland,NULL,Wetland,Grassland,Forest,Forest
1120,NULL,Forest,Wetland,NULL,Wetland,Wetland,Grassland,Forest
1121,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
1122,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
1123,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
1124,NULL,Forest,Wetland,NULL,Wetland,Wetland,Water,Grassland
1125,NULL,Forest,Wetland,NULL,Wetland,Wetland,Water,Forest
1126,NULL,Forest,Wetland,NULL,Wetland,Wetland,Forest,Forest
1127,NULL,Forest,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
1128,NULL,Forest,Wetland,NULL,Wetland,Water,Wetland,Grassland
1129,NULL,Forest,Wetland,NULL,Wetland,Water,Wetland,Forest
1130,NULL,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
1131,NULL,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
1132,NULL,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
