Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KUA_M_R
762,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Wetland
763,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
764,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
765,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Wetland
766,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Water,Wetland
767,Grassland,NULL,Cropland,NULL,Non_Wetland,Water,NULL,Wetland
768,Grassland,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
769,Grassland,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Wetland
770,Grassland,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Bareland
771,Grassland,NULL,Cropland,NULL,Non_Wetland,Water,Wetland,Wetland
772,Grassland,NULL,Cropland,NULL,Non_Wetland,Water,Water,Wetland
773,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Wetland
774,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
775,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
776,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
777,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
778,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
779,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
780,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
781,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
782,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
783,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
784,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
785,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
786,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
787,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
788,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Water,Wetland
789,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Water,NULL,Grassland
790,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Water,NULL,Wetland
791,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Water,Grassland,Grassland
792,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Water,Grassland,Wetland
793,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Water,Wetland,Wetland
794,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Forest,Grassland,Wetland
795,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Forest,Grassland,Forest
796,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
797,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
798,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
799,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland,Grassland,Grassland
800,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland,Grassland,Wetland
801,Grassland,NULL,Cropland,Water,Non_Wetland,Water,Grassland,Grassland
802,Grassland,NULL,Cropland,Water,Non_Wetland,Water,Grassland,Wetland
803,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
804,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
805,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
806,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
807,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,NULL,Wetland
808,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,NULL,Forest
809,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Forest
810,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Grassland
811,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Wetland
812,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Forest
813,Grassland,NULL,Wetland,NULL,Wetland,Grassland,NULL,Wetland
814,Grassland,NULL,Wetland,NULL,Wetland,Grassland,NULL,Forest
815,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
816,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
817,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
818,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
819,Grassland,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
820,Grassland,NULL,Wetland,NULL,Wetland,Wetland,NULL,Wetland
821,Grassland,NULL,Wetland,NULL,Wetland,Wetland,NULL,Water
822,Grassland,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
823,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Wetland
824,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Forest
825,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
826,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
827,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Water
828,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
829,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
830,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
831,Grassland,NULL,Wetland,NULL,Wetland,Water,NULL,Grassland
832,Grassland,NULL,Wetland,NULL,Wetland,Water,NULL,Wetland
833,Grassland,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
834,Grassland,NULL,Wetland,NULL,Wetland,Water,Grassland,Wetland
835,Grassland,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
836,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
837,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
838,Grassland,NULL,Wetland,NULL,Wetland,Forest,NULL,Wetland
839,Grassland,NULL,Wetland,NULL,Wetland,Forest,NULL,Forest
840,Grassland,NULL,Wetland,NULL,Wetland,Forest,Grassland,Wetland
841,Grassland,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
842,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
843,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
844,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
845,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
846,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,NULL,Wetland
847,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,Grassland,Grassland
848,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,Grassland,Wetland
849,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,Grassland,Forest
850,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,Wetland
851,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,Water
852,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,Forest
853,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
854,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Wetland
855,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Water
856,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Forest
857,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
858,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Water
859,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Wetland
860,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Grassland
861,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Wetland
862,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Water
863,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Forest
864,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Shrubland,Wetland
865,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
866,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Wetland
867,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Water
868,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Forest
869,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
870,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
871,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
872,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
873,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Water
874,Grassland,NULL,Wetland,Non_Water,Wetland,Water,NULL,Grassland
875,Grassland,NULL,Wetland,Non_Water,Wetland,Water,NULL,Wetland
876,Grassland,NULL,Wetland,Non_Water,Wetland,Water,NULL,Water
877,Grassland,NULL,Wetland,Non_Water,Wetland,Water,NULL,Forest
878,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Shrubland,Wetland
879,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Grassland
880,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Wetland
881,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Water
882,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
883,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
884,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Water
885,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
886,Grassland,NULL,Wetland,Non_Water,Wetland,Forest,Grassland,Wetland
887,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
888,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
889,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
890,Grassland,NULL,Wetland,Water,Wetland,Grassland,NULL,Wetland
891,Grassland,NULL,Wetland,Water,Wetland,Grassland,NULL,Water
892,Grassland,NULL,Wetland,Water,Wetland,Grassland,Grassland,Wetland
893,Grassland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Wetland
894,Grassland,NULL,Wetland,Water,Wetland,Wetland,NULL,Wetland
895,Grassland,NULL,Wetland,Water,Wetland,Wetland,NULL,Water
896,Grassland,NULL,Wetland,Water,Wetland,Wetland,NULL,Forest
897,Grassland,NULL,Wetland,Water,Wetland,Wetland,Grassland,Wetland
898,Grassland,NULL,Wetland,Water,Wetland,Wetland,Grassland,Water
899,Grassland,NULL,Wetland,Water,Wetland,Wetland,Grassland,Forest
900,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
901,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
902,Grassland,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
903,Grassland,NULL,Wetland,Water,Wetland,Water,NULL,Wetland
904,Grassland,NULL,Wetland,Water,Wetland,Water,Grassland,Grassland
905,Grassland,NULL,Wetland,Water,Wetland,Water,Grassland,Wetland
906,Grassland,NULL,Wetland,Water,Wetland,Water,Grassland,Water
907,Grassland,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
908,Grassland,NULL,Wetland,Water,Wetland,Water,Wetland,Water
909,Grassland,NULL,Wetland,Water,Wetland,Water,Water,Wetland
910,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
911,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,NULL,Wetland
912,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Wetland
913,Grassland,NULL,Bareland,NULL,Non_Wetland,Water,Grassland,Wetland
914,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
915,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
916,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
917,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Water,Grassland,Wetland
918,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
919,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
920,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
921,Grassland,NULL,Water,NULL,Water,NULL,NULL,Wetland
922,Grassland,NULL,Water,NULL,Water,NULL,NULL,Water
923,Grassland,NULL,Water,NULL,Water,NULL,NULL,Forest
924,Grassland,NULL,Water,NULL,Water,Shrubland,Grassland,Wetland
925,Grassland,NULL,Water,NULL,Water,Grassland,NULL,Wetland
926,Grassland,NULL,Water,NULL,Water,Grassland,Grassland,Wetland
927,Grassland,NULL,Water,NULL,Water,Wetland,NULL,Wetland
928,Grassland,NULL,Water,NULL,Water,Wetland,NULL,Forest
929,Grassland,NULL,Water,NULL,Water,Wetland,Grassland,Wetland
930,Grassland,NULL,Water,NULL,Water,Wetland,Wetland,Wetland
931,Grassland,NULL,Water,NULL,Water,Water,NULL,Wetland
932,Grassland,NULL,Water,NULL,Water,Water,Grassland,Wetland
933,Grassland,NULL,Water,NULL,Water,Forest,Grassland,Forest
934,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
935,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Water
936,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
937,Grassland,NULL,Water,Non_Water,Water,Shrubland,Grassland,Wetland
938,Grassland,NULL,Water,Non_Water,Water,Grassland,NULL,Wetland
939,Grassland,NULL,Water,Non_Water,Water,Grassland,Grassland,Wetland
940,Grassland,NULL,Water,Non_Water,Water,Grassland,Grassland,Forest
941,Grassland,NULL,Water,Non_Water,Water,Grassland,Wetland,Wetland
942,Grassland,NULL,Water,Non_Water,Water,Wetland,NULL,Grassland
943,Grassland,NULL,Water,Non_Water,Water,Wetland,NULL,Wetland
944,Grassland,NULL,Water,Non_Water,Water,Wetland,Grassland,Grassland
945,Grassland,NULL,Water,Non_Water,Water,Wetland,Grassland,Wetland
946,Grassland,NULL,Water,Non_Water,Water,Wetland,Wetland,Wetland
947,Grassland,NULL,Water,Non_Water,Water,Water,NULL,Grassland
948,Grassland,NULL,Water,Non_Water,Water,Water,NULL,Wetland
949,Grassland,NULL,Water,Non_Water,Water,Water,Grassland,Wetland
950,Grassland,NULL,Water,Non_Water,Water,Water,Grassland,Water
951,Grassland,NULL,Water,Non_Water,Water,Water,Wetland,Wetland
952,Grassland,NULL,Water,Non_Water,Water,Water,Wetland,Water
953,Grassland,NULL,Water,Non_Water,Water,Water,Water,Wetland
954,Grassland,NULL,Water,Water,Water,NULL,NULL,Wetland
955,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
956,Grassland,NULL,Water,Water,Water,Shrubland,Grassland,Wetland
957,Grassland,NULL,Water,Water,Water,Grassland,NULL,Wetland
958,Grassland,NULL,Water,Water,Water,Grassland,Grassland,Wetland
959,Grassland,NULL,Water,Water,Water,Wetland,NULL,Wetland
960,Grassland,NULL,Water,Water,Water,Wetland,Grassland,Wetland
961,Grassland,NULL,Water,Water,Water,Wetland,Grassland,Water
962,Grassland,NULL,Water,Water,Water,Wetland,Wetland,Wetland
963,Grassland,NULL,Water,Water,Water,Wetland,Water,Wetland
964,Grassland,NULL,Water,Water,Water,Water,NULL,Wetland
965,Grassland,NULL,Water,Water,Water,Water,Grassland,Wetland
966,Grassland,NULL,Water,Water,Water,Water,Grassland,Water
967,Grassland,NULL,Water,Water,Water,Water,Wetland,Wetland
968,Grassland,NULL,Water,Water,Water,Water,Wetland,Water
969,Grassland,NULL,Water,Water,Water,Water,Water,Wetland
970,Grassland,NULL,Water,Water,Water,Water,Water,Water
971,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
972,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
973,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
974,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
975,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
976,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
977,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Wetland
978,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
979,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
980,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
981,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Wetland
982,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
983,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Wetland
984,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
985,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
986,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Wetland
987,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
988,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Wetland
989,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
990,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Wetland
991,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
992,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
993,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Wetland
994,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
995,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
996,Grassland,NULL,Forest,NULL,Non_Wetland,Water,NULL,Wetland
997,Grassland,NULL,Forest,NULL,Non_Wetland,Water,NULL,Forest
998,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
999,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Wetland
1000,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Wetland
1001,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
1002,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Wetland
1003,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1004,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
1005,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
1006,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
1007,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
1008,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
1009,Grassland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
1010,Grassland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
1011,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,NULL,Wetland
1012,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,NULL,Forest
1013,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
1014,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
1015,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
1016,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,NULL,Grassland
1017,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,NULL,Wetland
1018,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,NULL,Forest
1019,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
1020,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
1021,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Grassland,Forest
1022,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
1023,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water,NULL,Grassland
1024,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water,NULL,Wetland
1025,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water,Grassland,Grassland
1026,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water,Grassland,Wetland
1027,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Wetland
1028,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest,Grassland,Wetland
1029,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
1030,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
1031,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
1032,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Wetland
1033,Grassland,NULL,Forest,Water,Non_Wetland,Wetland,NULL,Wetland
1034,Grassland,NULL,Forest,Water,Non_Wetland,Wetland,Grassland,Wetland
1035,Grassland,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Wetland
1036,Grassland,NULL,Forest,Water,Non_Wetland,Water,Grassland,Wetland
1037,Grassland,NULL,Forest,Water,Non_Wetland,Water,Wetland,Wetland
1038,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1039,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1040,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
1041,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
1042,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
1043,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
1044,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
1045,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
1046,Grassland,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
1047,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
1048,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
1049,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
1050,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
1051,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
1052,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
1053,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
1054,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
1055,Grassland,Wetland,Wetland,NULL,Wetland,Shrubland,Grassland,Wetland
1056,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,NULL,Wetland
1057,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
1058,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,Grassland,Forest
1059,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,NULL,Wetland
1060,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,NULL,Forest
1061,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
1062,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Grassland,Forest
1063,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
1064,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Wetland
1065,Grassland,Wetland,Wetland,NULL,Wetland,Water,NULL,Wetland
1066,Grassland,Wetland,Wetland,NULL,Wetland,Water,NULL,Forest
1067,Grassland,Wetland,Wetland,NULL,Wetland,Water,Grassland,Wetland
1068,Grassland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Wetland
1069,Grassland,Wetland,Wetland,NULL,Wetland,Forest,Grassland,Wetland
1070,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
1071,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
1072,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
1073,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland,NULL,Wetland
1074,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland,NULL,Water
1075,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland,Grassland,Wetland
1076,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland,Grassland,Water
1077,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
1078,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland,Water,Wetland
1079,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,NULL,Wetland
1080,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,NULL,Water
1081,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Grassland,Wetland
1082,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Grassland,Water
1083,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
1084,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
1085,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
1086,Grassland,Wetland,Wetland,Non_Water,Wetland,Water,NULL,Wetland
1087,Grassland,Wetland,Wetland,Non_Water,Wetland,Water,NULL,Water
1088,Grassland,Wetland,Wetland,Non_Water,Wetland,Water,Grassland,Wetland
1089,Grassland,Wetland,Wetland,Non_Water,Wetland,Water,Grassland,Water
1090,Grassland,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
1091,Grassland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Wetland
1092,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
1093,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
1094,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
1095,Grassland,Wetland,Wetland,Water,Wetland,Grassland,NULL,Wetland
1096,Grassland,Wetland,Wetland,Water,Wetland,Grassland,NULL,Water
1097,Grassland,Wetland,Wetland,Water,Wetland,Grassland,Grassland,Wetland
1098,Grassland,Wetland,Wetland,Water,Wetland,Grassland,Wetland,Wetland
1099,Grassland,Wetland,Wetland,Water,Wetland,Grassland,Wetland,Water
1100,Grassland,Wetland,Wetland,Water,Wetland,Wetland,NULL,Wetland
1101,Grassland,Wetland,Wetland,Water,Wetland,Wetland,NULL,Water
1102,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Grassland,Wetland
1103,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Grassland,Water
1104,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Wetland
