Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MLC_M_R
728,Grassland,Water,Bareland,NULL,Non_Wetland,Water,Water,Wetland
729,Grassland,Water,Bareland,Water,Non_Wetland,Water,Wetland,Wetland
730,Grassland,Water,Bareland,Water,Non_Wetland,Water,Water,Wetland
731,Grassland,Water,Water,NULL,Water,Water,Water,Wetland
732,Grassland,Water,Water,NULL,Water,Water,Water,Water
733,Grassland,Water,Water,Non_Water,Water,Water,Water,Grassland
734,Grassland,Water,Water,Water,Water,Water,Water,Grassland
735,Grassland,Water,Water,Water,Water,Water,Water,Wetland
736,Grassland,Water,Water,Water,Water,Water,Water,Water
737,Grassland,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
738,Grassland,Water,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
739,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
740,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
741,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
742,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
743,Grassland,Forest,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
744,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
745,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
746,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
747,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
748,Grassland,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
749,Grassland,Forest,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
750,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
751,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
752,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
753,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Water,Forest
754,Grassland,Forest,Wetland,NULL,Wetland,Water,Wetland,Grassland
755,Grassland,Forest,Wetland,NULL,Wetland,Water,Wetland,Forest
756,Grassland,Forest,Wetland,NULL,Wetland,Water,Water,Grassland
757,Grassland,Forest,Wetland,NULL,Wetland,Forest,Wetland,Forest
758,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
759,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
760,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
761,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
762,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
763,Grassland,Forest,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
764,Grassland,Forest,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
765,Grassland,Forest,Wetland,Non_Water,Wetland,Water,Wetland,Water
766,Grassland,Forest,Wetland,Non_Water,Wetland,Water,Water,Grassland
767,Grassland,Forest,Wetland,Water,Wetland,Wetland,Wetland,Grassland
768,Grassland,Forest,Wetland,Water,Wetland,Wetland,Wetland,Water
769,Grassland,Forest,Wetland,Water,Wetland,Wetland,Wetland,Forest
770,Grassland,Forest,Wetland,Water,Wetland,Water,Wetland,Grassland
771,Grassland,Forest,Wetland,Water,Wetland,Water,Water,Grassland
772,Grassland,Forest,Wetland,Water,Wetland,Water,Water,Wetland
773,Grassland,Forest,Wetland,Water,Wetland,Water,Water,Water
774,Grassland,Forest,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
775,Grassland,Forest,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
776,Grassland,Forest,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
777,Grassland,Forest,Bareland,Non_Water,Non_Wetland,Water,Wetland,Grassland
778,Grassland,Forest,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
779,Grassland,Forest,Water,NULL,Water,Wetland,Wetland,Grassland
780,Grassland,Forest,Water,Water,Water,Wetland,Wetland,Grassland
781,Grassland,Forest,Water,Water,Water,Wetland,Water,Grassland
782,Grassland,Forest,Water,Water,Water,Water,Wetland,Grassland
783,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
784,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
785,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
786,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
787,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
788,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
789,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
790,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
791,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
792,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
793,Grassland,Forest,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
794,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
795,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
796,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
797,Cropland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
798,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
799,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
800,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
801,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
802,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
803,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
804,Cropland,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
805,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Forest
806,Cropland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
807,Cropland,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
808,Cropland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
809,Cropland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
810,Cropland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
811,Cropland,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
812,Cropland,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
813,Cropland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
814,Cropland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
815,Cropland,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
816,Cropland,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
817,Cropland,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
818,Cropland,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
819,Cropland,NULL,Wetland,Water,Wetland,Water,Water,Grassland
820,Cropland,NULL,Wetland,Water,Wetland,Water,Water,Wetland
821,Cropland,NULL,Wetland,Water,Wetland,Water,Water,Water
822,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
823,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
824,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
825,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
826,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
827,Cropland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
828,Cropland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
829,Cropland,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
830,Cropland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
831,Cropland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
832,Cropland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Grassland
833,Cropland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
834,Cropland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
835,Cropland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
836,Cropland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
837,Cropland,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
838,Cropland,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Forest
839,Cropland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Wetland
840,Cropland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Forest
841,Cropland,Wetland,Wetland,Water,Wetland,Wetland,Water,Grassland
842,Cropland,Wetland,Wetland,Water,Wetland,Wetland,Water,Wetland
843,Cropland,Wetland,Wetland,Water,Wetland,Wetland,Water,Water
844,Cropland,Wetland,Wetland,Water,Wetland,Water,Water,Grassland
845,Cropland,Wetland,Wetland,Water,Wetland,Water,Water,Wetland
846,Cropland,Wetland,Wetland,Water,Wetland,Water,Water,Water
847,Cropland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Water,Grassland
848,Cropland,Wetland,Water,Water,Water,Wetland,Water,Wetland
849,Cropland,Wetland,Water,Water,Water,Water,Water,Wetland
850,Cropland,Wetland,Water,Water,Water,Water,Water,Water
851,Cropland,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
852,Cropland,Water,Wetland,Non_Water,Wetland,Water,Water,Wetland
853,Cropland,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
854,Cropland,Water,Wetland,Water,Wetland,Water,Water,Wetland
855,Cropland,Water,Wetland,Water,Wetland,Water,Water,Water
856,Cropland,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
857,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
858,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
859,Cropland,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
860,Cropland,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
861,Wetland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
862,Wetland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
863,Wetland,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
864,Wetland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
865,Wetland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
866,Wetland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
867,Wetland,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
868,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
869,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
870,Wetland,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
871,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
872,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
873,Wetland,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
874,Wetland,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
875,Wetland,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
876,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
877,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
878,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Grassland
879,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Forest
880,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
881,Wetland,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
882,Wetland,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
883,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
884,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
885,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
886,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
887,Wetland,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
888,Wetland,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
889,Wetland,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
890,Wetland,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
891,Wetland,NULL,Wetland,NULL,Wetland,Water,Water,Forest
892,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
893,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
894,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
895,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
896,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
897,Wetland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
898,Wetland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
899,Wetland,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
900,Wetland,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
901,Wetland,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
902,Wetland,NULL,Wetland,Non_Water,Wetland,Water,Water,Forest
903,Wetland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
904,Wetland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
905,Wetland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
906,Wetland,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
907,Wetland,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
908,Wetland,NULL,Wetland,Water,Wetland,Wetland,Water,Water
909,Wetland,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
910,Wetland,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
911,Wetland,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
912,Wetland,NULL,Wetland,Water,Wetland,Water,Wetland,Water
913,Wetland,NULL,Wetland,Water,Wetland,Water,Water,Grassland
914,Wetland,NULL,Wetland,Water,Wetland,Water,Water,Wetland
915,Wetland,NULL,Wetland,Water,Wetland,Water,Water,Water
916,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland,NULL,Forest
917,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
918,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
919,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,Forest
920,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
921,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
922,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Grassland
923,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,Grassland
924,Wetland,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
925,Wetland,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Wetland
926,Wetland,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
927,Wetland,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Wetland
928,Wetland,NULL,Bareland,Water,Non_Wetland,Water,Water,Grassland
929,Wetland,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Water,Grassland
930,Wetland,NULL,Water,Water,Water,Water,Water,Wetland
931,Wetland,NULL,Water,Water,Water,Water,Water,Water
932,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
933,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
934,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
935,Wetland,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
936,Wetland,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
937,Wetland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
938,Wetland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
939,Wetland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
940,Wetland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Grassland
941,Wetland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Forest
942,Wetland,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Grassland
943,Wetland,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
944,Wetland,NULL,Forest,Water,Non_Wetland,Wetland,Water,Grassland
945,Wetland,NULL,Forest,Water,Non_Wetland,Water,Water,Grassland
946,Wetland,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
947,Wetland,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
948,Wetland,Wetland,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
949,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
950,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
951,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
952,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
953,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
954,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
955,Wetland,Wetland,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
956,Wetland,Wetland,NULL,Water,Non_Wetland,Wetland,Water,Grassland
957,Wetland,Wetland,NULL,Water,Non_Wetland,Wetland,Water,Wetland
958,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
959,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
960,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
961,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
962,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Forest
963,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
964,Wetland,Wetland,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
965,Wetland,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
966,Wetland,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
967,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
968,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
969,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Water,Grassland
970,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Water,Wetland
971,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Water,Forest
972,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
973,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,Water,Wetland,Forest
974,Wetland,Wetland,Grassland,Water,Non_Wetland,Wetland,Wetland,Forest
975,Wetland,Wetland,Grassland,Water,Non_Wetland,Wetland,Water,Grassland
976,Wetland,Wetland,Grassland,Water,Non_Wetland,Water,Water,Wetland
977,Wetland,Wetland,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
978,Wetland,Wetland,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
979,Wetland,Wetland,Cropland,Non_Water,Non_Wetland,Wetland,Water,Grassland
980,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
981,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
982,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
983,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Grassland
984,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Wetland
985,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Forest
986,Wetland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Grassland
987,Wetland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Wetland
988,Wetland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
989,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Grassland
990,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Wetland
991,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Water
992,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
993,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,Water,Forest
994,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
995,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
996,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
997,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
998,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
999,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Water
1000,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Forest
1001,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
1002,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
1003,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Forest
1004,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Grassland
1005,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Wetland
1006,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Water
1007,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Forest
1008,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
1009,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Wetland
1010,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Forest
1011,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Water,Grassland
1012,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Water,Wetland
1013,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Water,Water
1014,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Water,Forest
1015,Wetland,Wetland,Wetland,Water,Wetland,Water,Wetland,Grassland
1016,Wetland,Wetland,Wetland,Water,Wetland,Water,Wetland,Wetland
1017,Wetland,Wetland,Wetland,Water,Wetland,Water,Wetland,Water
1018,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Grassland
1019,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Wetland
1020,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Water
1021,Wetland,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1022,Wetland,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
1023,Wetland,Wetland,Bareland,NULL,Non_Wetland,Wetland,Water,Grassland
1024,Wetland,Wetland,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
1025,Wetland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1026,Wetland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1027,Wetland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Water,Grassland
1028,Wetland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Water,Forest
1029,Wetland,Wetland,Bareland,Non_Water,Non_Wetland,Water,Wetland,Grassland
1030,Wetland,Wetland,Bareland,Non_Water,Non_Wetland,Water,Water,Grassland
1031,Wetland,Wetland,Bareland,Water,Non_Wetland,Wetland,Wetland,Wetland
1032,Wetland,Wetland,Bareland,Water,Non_Wetland,Wetland,Water,Grassland
1033,Wetland,Wetland,Bareland,Water,Non_Wetland,Wetland,Water,Wetland
1034,Wetland,Wetland,Bareland,Water,Non_Wetland,Water,Water,Grassland
1035,Wetland,Wetland,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1036,Wetland,Wetland,Built-up,Non_Water,Non_Wetland,Wetland,Water,Grassland
1037,Wetland,Wetland,Built-up,Non_Water,Non_Wetland,Wetland,Water,Forest
1038,Wetland,Wetland,Water,Non_Water,Water,Wetland,Wetland,Water
1039,Wetland,Wetland,Water,Non_Water,Water,Wetland,Water,Grassland
1040,Wetland,Wetland,Water,Non_Water,Water,Wetland,Water,Wetland
1041,Wetland,Wetland,Water,Non_Water,Water,Wetland,Water,Forest
1042,Wetland,Wetland,Water,Non_Water,Water,Water,Water,Grassland
1043,Wetland,Wetland,Water,Non_Water,Water,Water,Water,Wetland
1044,Wetland,Wetland,Water,Non_Water,Water,Water,Water,Water
1045,Wetland,Wetland,Water,Water,Water,Wetland,Wetland,Grassland
1046,Wetland,Wetland,Water,Water,Water,Wetland,Wetland,Wetland
1047,Wetland,Wetland,Water,Water,Water,Wetland,Water,Grassland
1048,Wetland,Wetland,Water,Water,Water,Wetland,Water,Wetland
1049,Wetland,Wetland,Water,Water,Water,Wetland,Water,Water
1050,Wetland,Wetland,Water,Water,Water,Wetland,Water,Forest
1051,Wetland,Wetland,Water,Water,Water,Water,Wetland,Wetland
1052,Wetland,Wetland,Water,Water,Water,Water,Wetland,Water
1053,Wetland,Wetland,Water,Water,Water,Water,Water,Grassland
1054,Wetland,Wetland,Water,Water,Water,Water,Water,Wetland
1055,Wetland,Wetland,Water,Water,Water,Water,Water,Water
1056,Wetland,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
1057,Wetland,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1058,Wetland,Wetland,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
1059,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1060,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1061,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Water,Grassland
1062,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Water,Wetland
1063,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Water,Forest
1064,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Water,Wetland,Grassland
1065,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Water,Water,Grassland
1066,Wetland,Wetland,Forest,Water,Non_Wetland,Wetland,Water,Grassland
1067,Wetland,Wetland,Forest,Water,Non_Wetland,Wetland,Water,Wetland
1068,Wetland,Bareland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
1069,Wetland,Bareland,Wetland,NULL,Wetland,Wetland,Water,Forest
