Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18NXJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NXJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NXJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NXJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NXJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18NXJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18NXJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18NXJ_M_R
781,Grassland,Wetland,Water,Water,Water,NULL,NULL,Wetland
782,Grassland,Wetland,Water,Water,Water,NULL,NULL,Water
783,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
784,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
785,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
786,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
787,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
788,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
789,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
790,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
791,Grassland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
792,Grassland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
793,Grassland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
794,Grassland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
795,Grassland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
796,Grassland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
797,Grassland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
798,Grassland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
799,Grassland,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
800,Grassland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
801,Grassland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
802,Grassland,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
803,Grassland,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
804,Grassland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
805,Grassland,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
806,Grassland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Water
807,Grassland,Bareland,Water,Water,Water,NULL,NULL,Water
808,Grassland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
809,Grassland,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
810,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
811,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
812,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
813,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
814,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
815,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
816,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
817,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
818,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
819,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
820,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
821,Grassland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
822,Grassland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
823,Grassland,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
824,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
825,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
826,Grassland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
827,Grassland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
828,Grassland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
829,Grassland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
830,Grassland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
831,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
832,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
833,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
834,Grassland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
835,Grassland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
836,Grassland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
837,Grassland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
838,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
839,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Cropland
840,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
841,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
842,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
843,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
844,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
845,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
846,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
847,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
848,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Water
849,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
850,Grassland,Water,Water,NULL,Water,NULL,NULL,Grassland
851,Grassland,Water,Water,NULL,Water,NULL,NULL,Forest
852,Grassland,Water,Water,Non_Water,Water,NULL,NULL,Grassland
853,Grassland,Water,Water,Water,Water,NULL,NULL,Grassland
854,Grassland,Water,Water,Water,Water,NULL,NULL,Wetland
855,Grassland,Water,Water,Water,Water,NULL,NULL,Water
856,Grassland,Water,Water,Water,Water,NULL,NULL,Forest
857,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
858,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
859,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
860,Grassland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
861,Grassland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
862,Grassland,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
863,Grassland,Water,Forest,Water,Non_Wetland,NULL,NULL,Wetland
864,Grassland,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
865,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
866,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
867,Grassland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
868,Grassland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
869,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
870,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
871,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
872,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
873,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
874,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
875,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
876,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
877,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
878,Grassland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
879,Grassland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
880,Grassland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Water
881,Grassland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
882,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
883,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
884,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
885,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
886,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
887,Grassland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
888,Grassland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
889,Grassland,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
890,Grassland,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
891,Grassland,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
892,Grassland,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Forest
893,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
894,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
895,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
896,Grassland,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
897,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
898,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Cropland
899,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
900,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Bareland
901,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
902,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
903,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
904,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
905,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
906,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
907,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
908,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Wetland
909,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Bareland
910,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
911,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
912,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
913,Grassland,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
914,Grassland,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
915,Grassland,Forest,Water,NULL,Water,NULL,NULL,Grassland
916,Grassland,Forest,Water,NULL,Water,NULL,NULL,Forest
917,Grassland,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
918,Grassland,Forest,Water,Non_Water,Water,NULL,NULL,Wetland
919,Grassland,Forest,Water,Non_Water,Water,NULL,NULL,Bareland
920,Grassland,Forest,Water,Non_Water,Water,NULL,NULL,Forest
921,Grassland,Forest,Water,Water,Water,NULL,NULL,Grassland
922,Grassland,Forest,Water,Water,Water,NULL,NULL,Wetland
923,Grassland,Forest,Water,Water,Water,NULL,NULL,Water
924,Grassland,Forest,Water,Water,Water,NULL,NULL,Forest
925,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
926,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
927,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
928,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
929,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
930,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
931,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
932,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
933,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
934,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
935,Grassland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
936,Grassland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Wetland
937,Grassland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
938,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
939,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
940,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
941,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
942,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
943,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
944,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
945,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
946,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
947,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
948,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
949,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
950,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
951,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
952,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
953,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
954,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
955,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
956,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
957,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
958,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
959,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
960,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
961,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
962,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
963,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
964,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
965,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
966,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
967,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
968,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
969,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
970,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
971,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
972,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
973,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
974,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
975,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
976,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
977,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
978,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
979,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
980,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
981,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
982,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
983,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
984,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
985,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
986,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
987,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
988,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
989,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
990,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
991,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
992,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
993,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
994,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
995,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
996,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
997,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
998,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
999,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
1000,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
1001,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
1002,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
1003,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
1004,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
1005,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
1006,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
1007,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
1008,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1009,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
1010,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
1011,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
1012,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
1013,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
1014,Cropland,NULL,Water,NULL,Water,NULL,NULL,Grassland
1015,Cropland,NULL,Water,NULL,Water,NULL,NULL,Wetland
1016,Cropland,NULL,Water,NULL,Water,NULL,NULL,Bareland
1017,Cropland,NULL,Water,NULL,Water,NULL,NULL,Water
1018,Cropland,NULL,Water,NULL,Water,NULL,NULL,Forest
1019,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,NULL
1020,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
1021,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
1022,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
1023,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
1024,Cropland,NULL,Water,Water,Water,NULL,NULL,Grassland
1025,Cropland,NULL,Water,Water,Water,NULL,NULL,Wetland
1026,Cropland,NULL,Water,Water,Water,NULL,NULL,Bareland
1027,Cropland,NULL,Water,Water,Water,NULL,NULL,Water
1028,Cropland,NULL,Water,Water,Water,NULL,NULL,Forest
1029,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
1030,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
1031,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
1032,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
1033,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
1034,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1035,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
1036,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
1037,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
1038,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
1039,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
1040,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
1041,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
1042,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
1043,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
1044,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
1045,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
1046,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
1047,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
1048,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1049,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
1050,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1051,Cropland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
1052,Cropland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
1053,Cropland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
1054,Cropland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
1055,Cropland,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
1056,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
1057,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1058,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
1059,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
1060,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
1061,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
1062,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
1063,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
1064,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
1065,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1066,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
1067,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
1068,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
1069,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
1070,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
1071,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
1072,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
1073,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
1074,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
1075,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
1076,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
1077,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
1078,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
1079,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
1080,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
1081,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
1082,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
1083,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
1084,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
1085,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1086,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
1087,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
1088,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
1089,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
1090,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
1091,Cropland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,NULL
1092,Cropland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
1093,Cropland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
1094,Cropland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
1095,Cropland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
1096,Cropland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Water
1097,Cropland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
1098,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
1099,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
1100,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
1101,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
1102,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
1103,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1104,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
1105,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
1106,Cropland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
1107,Cropland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
1108,Cropland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Water
1109,Cropland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Forest
1110,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
1111,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Cropland
1112,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
1113,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Bareland
1114,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Water
1115,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
1116,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
1117,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
1118,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
1119,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
1120,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Water
1121,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
