Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MQB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MQB_M_R
4549,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
4550,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Wetland
4551,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Forest
4552,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland,Bareland,Grassland
4553,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland,Water,Grassland
4554,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland,Water,Wetland
4555,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland,Forest,Grassland
4556,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Grassland
4557,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Wetland
4558,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
4559,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
4560,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Forest
4561,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Bareland,Grassland
4562,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Bareland,Wetland
4563,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Bareland,Forest
4564,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Grassland
4565,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Wetland
4566,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Water
4567,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Forest
4568,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Forest,Grassland
4569,Grassland,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Grassland
4570,Grassland,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Grassland
4571,Grassland,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Forest
4572,Grassland,NULL,Grassland,Water,Non_Wetland,Bareland,Water,Grassland
4573,Grassland,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
4574,Grassland,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Wetland
4575,Grassland,NULL,Grassland,Water,Non_Wetland,Water,Water,Grassland
4576,Grassland,NULL,Grassland,Water,Non_Wetland,Water,Water,Wetland
4577,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
4578,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
4579,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
4580,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
4581,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
4582,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
4583,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
4584,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
4585,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
4586,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
4587,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
4588,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
4589,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Bareland,Grassland
4590,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
4591,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
4592,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
4593,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
4594,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
4595,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
4596,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
4597,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Bareland,Forest
4598,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Water,Grassland
4599,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
4600,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
4601,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland,Wetland,Wetland
4602,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland,Wetland,Forest
4603,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland,Bareland,Grassland
4604,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland,Grassland,Grassland
4605,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland,Wetland,Grassland
4606,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland,Wetland,Wetland
4607,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland,Wetland,Forest
4608,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland,Bareland,Grassland
4609,Grassland,NULL,Cropland,Water,Non_Wetland,Water,Wetland,Grassland
4610,Grassland,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
4611,Grassland,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
4612,Grassland,NULL,Wetland,NULL,Wetland,NULL,Wetland,Wetland
4613,Grassland,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
4614,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
4615,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
4616,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
4617,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
4618,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
4619,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
4620,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Forest
4621,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
4622,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
4623,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
4624,Grassland,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
4625,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
4626,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
4627,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
4628,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
4629,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
4630,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
4631,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
4632,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
4633,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Forest
4634,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
4635,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
4636,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
4637,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
4638,Grassland,NULL,Wetland,NULL,Wetland,Bareland,NULL,Forest
4639,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
4640,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
4641,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
4642,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
4643,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
4644,Grassland,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
4645,Grassland,NULL,Wetland,NULL,Wetland,Water,Grassland,Wetland
4646,Grassland,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
4647,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
4648,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
4649,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
4650,Grassland,NULL,Wetland,NULL,Wetland,Water,Bareland,Grassland
4651,Grassland,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
4652,Grassland,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
4653,Grassland,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
4654,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Grassland
4655,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
4656,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Water,Forest
4657,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
4658,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Forest
4659,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
4660,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
4661,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
4662,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Bareland,Grassland
4663,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Bareland,Forest
4664,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
4665,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Wetland
4666,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Forest
4667,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Forest,Grassland
4668,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
4669,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Wetland
4670,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Forest
4671,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
4672,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
4673,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
4674,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
4675,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Bareland,Grassland
4676,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Bareland,Wetland
4677,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Bareland,Forest
4678,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
4679,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
4680,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Water
4681,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
4682,Grassland,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
4683,Grassland,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Wetland
4684,Grassland,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Forest
4685,Grassland,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
4686,Grassland,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Forest
4687,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Grassland
4688,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
4689,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
4690,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Water
4691,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
4692,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
4693,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
4694,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Forest,Grassland
4695,Grassland,NULL,Wetland,Water,Wetland,NULL,Grassland,Grassland
4696,Grassland,NULL,Wetland,Water,Wetland,NULL,Wetland,Grassland
4697,Grassland,NULL,Wetland,Water,Wetland,NULL,Wetland,Wetland
4698,Grassland,NULL,Wetland,Water,Wetland,NULL,Wetland,Forest
4699,Grassland,NULL,Wetland,Water,Wetland,Grassland,NULL,Grassland
4700,Grassland,NULL,Wetland,Water,Wetland,Grassland,NULL,Wetland
4701,Grassland,NULL,Wetland,Water,Wetland,Grassland,NULL,Forest
4702,Grassland,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
4703,Grassland,NULL,Wetland,Water,Wetland,Grassland,Grassland,Wetland
4704,Grassland,NULL,Wetland,Water,Wetland,Grassland,Grassland,Water
4705,Grassland,NULL,Wetland,Water,Wetland,Grassland,Grassland,Forest
4706,Grassland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
4707,Grassland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Wetland
4708,Grassland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Forest
4709,Grassland,NULL,Wetland,Water,Wetland,Grassland,Bareland,Grassland
4710,Grassland,NULL,Wetland,Water,Wetland,Grassland,Bareland,Wetland
4711,Grassland,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
4712,Grassland,NULL,Wetland,Water,Wetland,Grassland,Water,Wetland
4713,Grassland,NULL,Wetland,Water,Wetland,Grassland,Water,Water
4714,Grassland,NULL,Wetland,Water,Wetland,Grassland,Water,Forest
4715,Grassland,NULL,Wetland,Water,Wetland,Grassland,Forest,Grassland
4716,Grassland,NULL,Wetland,Water,Wetland,Grassland,Forest,Forest
4717,Grassland,NULL,Wetland,Water,Wetland,Wetland,NULL,Grassland
4718,Grassland,NULL,Wetland,Water,Wetland,Wetland,NULL,Wetland
4719,Grassland,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
4720,Grassland,NULL,Wetland,Water,Wetland,Wetland,Grassland,Wetland
4721,Grassland,NULL,Wetland,Water,Wetland,Wetland,Grassland,Water
4722,Grassland,NULL,Wetland,Water,Wetland,Wetland,Grassland,Forest
4723,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
4724,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
4725,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
4726,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
4727,Grassland,NULL,Wetland,Water,Wetland,Wetland,Bareland,Grassland
4728,Grassland,NULL,Wetland,Water,Wetland,Wetland,Bareland,Wetland
4729,Grassland,NULL,Wetland,Water,Wetland,Wetland,Bareland,Forest
4730,Grassland,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
4731,Grassland,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
4732,Grassland,NULL,Wetland,Water,Wetland,Wetland,Water,Water
4733,Grassland,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
4734,Grassland,NULL,Wetland,Water,Wetland,Wetland,Forest,Grassland
4735,Grassland,NULL,Wetland,Water,Wetland,Wetland,Forest,Wetland
4736,Grassland,NULL,Wetland,Water,Wetland,Wetland,Forest,Forest
4737,Grassland,NULL,Wetland,Water,Wetland,Bareland,Grassland,Grassland
4738,Grassland,NULL,Wetland,Water,Wetland,Bareland,Grassland,Wetland
4739,Grassland,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
4740,Grassland,NULL,Wetland,Water,Wetland,Bareland,Wetland,Wetland
4741,Grassland,NULL,Wetland,Water,Wetland,Bareland,Wetland,Water
4742,Grassland,NULL,Wetland,Water,Wetland,Bareland,Wetland,Forest
4743,Grassland,NULL,Wetland,Water,Wetland,Bareland,Bareland,Grassland
4744,Grassland,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
4745,Grassland,NULL,Wetland,Water,Wetland,Bareland,Water,Wetland
4746,Grassland,NULL,Wetland,Water,Wetland,Bareland,Water,Water
4747,Grassland,NULL,Wetland,Water,Wetland,Bareland,Water,Forest
4748,Grassland,NULL,Wetland,Water,Wetland,Water,NULL,Wetland
4749,Grassland,NULL,Wetland,Water,Wetland,Water,Grassland,Grassland
4750,Grassland,NULL,Wetland,Water,Wetland,Water,Grassland,Wetland
4751,Grassland,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
4752,Grassland,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
4753,Grassland,NULL,Wetland,Water,Wetland,Water,Wetland,Water
4754,Grassland,NULL,Wetland,Water,Wetland,Water,Wetland,Forest
4755,Grassland,NULL,Wetland,Water,Wetland,Water,Bareland,Grassland
4756,Grassland,NULL,Wetland,Water,Wetland,Water,Bareland,Wetland
4757,Grassland,NULL,Wetland,Water,Wetland,Water,Water,Grassland
4758,Grassland,NULL,Wetland,Water,Wetland,Water,Water,Wetland
4759,Grassland,NULL,Wetland,Water,Wetland,Water,Water,Water
4760,Grassland,NULL,Wetland,Water,Wetland,Water,Water,Forest
4761,Grassland,NULL,Wetland,Water,Wetland,Forest,Wetland,Grassland
4762,Grassland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland,Wetland,Grassland
4763,Grassland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland,Grassland,Grassland
4764,Grassland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland,Wetland,Grassland
4765,Grassland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland,Wetland,Wetland
4766,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,Forest
4767,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Grassland
4768,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
4769,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
4770,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Wetland
4771,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
4772,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
4773,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Wetland
4774,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
4775,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Grassland
4776,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Forest
4777,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Water,Grassland
4778,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
4779,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
4780,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
4781,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Wetland
4782,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
4783,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
4784,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
4785,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Water
4786,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
4787,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Bareland,Grassland
4788,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Bareland,Forest
4789,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,Grassland
4790,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,Forest
4791,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Grassland
4792,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
4793,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
4794,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
4795,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Grassland
4796,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Water
4797,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Forest
4798,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
4799,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland,Water,Grassland
4800,Grassland,NULL,Bareland,NULL,Non_Wetland,Water,Grassland,Grassland
4801,Grassland,NULL,Bareland,NULL,Non_Wetland,Water,Grassland,Forest
4802,Grassland,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
4803,Grassland,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Wetland
4804,Grassland,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
4805,Grassland,NULL,Bareland,NULL,Non_Wetland,Water,Bareland,Grassland
4806,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest,Grassland,Forest
4807,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Forest
4808,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
4809,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Water
4810,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
4811,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
4812,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
4813,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
4814,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Bareland,Forest
4815,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Water,Grassland
4816,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Water,Forest
4817,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
4818,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
4819,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
4820,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
4821,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
4822,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Water
4823,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
4824,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
4825,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Bareland,Forest
4826,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Grassland
4827,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Wetland
4828,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Forest
4829,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
4830,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
4831,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
4832,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
4833,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
4834,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
4835,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Water,Grassland,Forest
4836,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,Grassland
4837,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,Wetland
4838,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Grassland
4839,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,Grassland,Grassland
4840,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,Wetland,Grassland
4841,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland,NULL,Grassland
4842,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland,NULL,Wetland
4843,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland,Grassland,Grassland
4844,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland,Grassland,Wetland
4845,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland,Grassland,Water
4846,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland,Grassland,Forest
4847,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland,Wetland,Grassland
4848,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland,Wetland,Wetland
4849,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland,Wetland,Forest
4850,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland,Bareland,Grassland
4851,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland,Water,Grassland
4852,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland,Water,Wetland
4853,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland,Water,Forest
4854,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland,Forest,Grassland
4855,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland,Forest,Forest
4856,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland,NULL,Grassland
4857,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland,NULL,Wetland
4858,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland,Grassland,Grassland
4859,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland,Grassland,Wetland
4860,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland,Grassland,Forest
4861,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
4862,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Wetland
4863,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Water
4864,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Forest
4865,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland,Bareland,Grassland
4866,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland,Bareland,Wetland
4867,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland,Bareland,Water
4868,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland,Bareland,Forest
4869,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Grassland
4870,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Wetland
4871,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Water
4872,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Forest
4873,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland,Forest,Grassland
4874,Grassland,NULL,Bareland,Water,Non_Wetland,Bareland,Grassland,Grassland
4875,Grassland,NULL,Bareland,Water,Non_Wetland,Bareland,Grassland,Water
4876,Grassland,NULL,Bareland,Water,Non_Wetland,Bareland,Grassland,Forest
4877,Grassland,NULL,Bareland,Water,Non_Wetland,Bareland,Wetland,Grassland
4878,Grassland,NULL,Bareland,Water,Non_Wetland,Bareland,Wetland,Wetland
