Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KWV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KWV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KWV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KWV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KWV_M_R
1714,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Water,Forest,Wetland
1715,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
1716,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
1717,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland,Grassland,Wetland
1718,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland,Forest,Forest
1719,NULL,Forest,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
1720,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
1721,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1722,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
1723,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
1724,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
1725,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1726,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
1727,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
1728,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1729,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
1730,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
1731,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Forest,Grassland
1732,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Forest,Forest
1733,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1734,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
1735,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
1736,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
1737,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1738,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
1739,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
1740,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1741,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
1742,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1743,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Wetland,Wetland
1744,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
1745,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
1746,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,Wetland
1747,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,Bareland
1748,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
1749,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1750,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,Grassland,Wetland
1751,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,Grassland,Bareland
1752,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
1753,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1754,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,Wetland,Wetland
1755,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
1756,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
1757,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,Forest,Forest
1758,NULL,Forest,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
1759,NULL,Forest,Cropland,NULL,Non_Wetland,Water,Grassland,Wetland
1760,NULL,Forest,Cropland,NULL,Non_Wetland,Water,Grassland,Bareland
1761,NULL,Forest,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
1762,NULL,Forest,Cropland,NULL,Non_Wetland,Water,Wetland,Wetland
1763,NULL,Forest,Cropland,NULL,Non_Wetland,Water,Wetland,Forest
1764,NULL,Forest,Cropland,NULL,Non_Wetland,Water,Water,Grassland
1765,NULL,Forest,Cropland,NULL,Non_Wetland,Water,Forest,Forest
1766,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
1767,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
1768,NULL,Forest,Cropland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
1769,NULL,Forest,Cropland,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
1770,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1771,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
1772,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
1773,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1774,NULL,Forest,Cropland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
1775,NULL,Forest,Cropland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
1776,NULL,Forest,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
1777,NULL,Forest,Cropland,Non_Water,Non_Wetland,Water,Grassland,Grassland
1778,NULL,Forest,Cropland,Non_Water,Non_Wetland,Water,Grassland,Wetland
1779,NULL,Forest,Cropland,Non_Water,Non_Wetland,Water,Wetland,Grassland
1780,NULL,Forest,Cropland,Non_Water,Non_Wetland,Water,Wetland,Wetland
1781,NULL,Forest,Cropland,Non_Water,Non_Wetland,Water,Water,Wetland
1782,NULL,Forest,Cropland,Water,Non_Wetland,Grassland,Wetland,Wetland
1783,NULL,Forest,Cropland,Water,Non_Wetland,Water,Wetland,Wetland
1784,NULL,Forest,Wetland,NULL,Wetland,Shrubland,Shrubland,Forest
1785,NULL,Forest,Wetland,NULL,Wetland,Shrubland,Grassland,Grassland
1786,NULL,Forest,Wetland,NULL,Wetland,Shrubland,Grassland,Wetland
1787,NULL,Forest,Wetland,NULL,Wetland,Shrubland,Grassland,Forest
1788,NULL,Forest,Wetland,NULL,Wetland,Shrubland,Forest,Wetland
1789,NULL,Forest,Wetland,NULL,Wetland,Grassland,Shrubland,Grassland
1790,NULL,Forest,Wetland,NULL,Wetland,Grassland,Shrubland,Forest
1791,NULL,Forest,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
1792,NULL,Forest,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
1793,NULL,Forest,Wetland,NULL,Wetland,Grassland,Grassland,Bareland
1794,NULL,Forest,Wetland,NULL,Wetland,Grassland,Grassland,Forest
1795,NULL,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
1796,NULL,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
1797,NULL,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Forest
1798,NULL,Forest,Wetland,NULL,Wetland,Grassland,Forest,Wetland
1799,NULL,Forest,Wetland,NULL,Wetland,Grassland,Forest,Forest
1800,NULL,Forest,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
1801,NULL,Forest,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
1802,NULL,Forest,Wetland,NULL,Wetland,Wetland,Grassland,Water
1803,NULL,Forest,Wetland,NULL,Wetland,Wetland,Grassland,Forest
1804,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
1805,NULL,Forest,Wetland,NULL,Wetland,Wetland,Water,Forest
1806,NULL,Forest,Wetland,NULL,Wetland,Wetland,Forest,Grassland
1807,NULL,Forest,Wetland,NULL,Wetland,Wetland,Forest,Wetland
1808,NULL,Forest,Wetland,NULL,Wetland,Wetland,Forest,Forest
1809,NULL,Forest,Wetland,NULL,Wetland,Water,Grassland,Grassland
1810,NULL,Forest,Wetland,NULL,Wetland,Water,Grassland,Wetland
1811,NULL,Forest,Wetland,NULL,Wetland,Water,Grassland,Forest
1812,NULL,Forest,Wetland,NULL,Wetland,Water,Wetland,Grassland
1813,NULL,Forest,Wetland,NULL,Wetland,Water,Wetland,Wetland
1814,NULL,Forest,Wetland,NULL,Wetland,Water,Wetland,Forest
1815,NULL,Forest,Wetland,NULL,Wetland,Forest,Grassland,Wetland
1816,NULL,Forest,Wetland,NULL,Wetland,Forest,Grassland,Forest
1817,NULL,Forest,Wetland,NULL,Wetland,Forest,Forest,Wetland
1818,NULL,Forest,Wetland,NULL,Wetland,Forest,Forest,Forest
1819,NULL,Forest,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
1820,NULL,Forest,Wetland,Non_Water,Wetland,Grassland,Grassland,Wetland
1821,NULL,Forest,Wetland,Non_Water,Wetland,Grassland,Grassland,Forest
1822,NULL,Forest,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
1823,NULL,Forest,Wetland,Non_Water,Wetland,Wetland,Grassland,Wetland
1824,NULL,Forest,Wetland,Non_Water,Wetland,Wetland,Grassland,Water
1825,NULL,Forest,Wetland,Non_Water,Wetland,Wetland,Grassland,Forest
1826,NULL,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
1827,NULL,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
1828,NULL,Forest,Wetland,Non_Water,Wetland,Water,Grassland,Grassland
1829,NULL,Forest,Wetland,Non_Water,Wetland,Water,Grassland,Wetland
1830,NULL,Forest,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
1831,NULL,Forest,Wetland,Water,Wetland,Grassland,Grassland,Grassland
1832,NULL,Forest,Wetland,Water,Wetland,Grassland,Grassland,Wetland
1833,NULL,Forest,Wetland,Water,Wetland,Grassland,Grassland,Water
1834,NULL,Forest,Wetland,Water,Wetland,Wetland,Grassland,Grassland
1835,NULL,Forest,Wetland,Water,Wetland,Wetland,Grassland,Wetland
1836,NULL,Forest,Wetland,Water,Wetland,Wetland,Grassland,Forest
1837,NULL,Forest,Wetland,Water,Wetland,Wetland,Wetland,Wetland
1838,NULL,Forest,Wetland,Water,Wetland,Water,Grassland,Wetland
1839,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
1840,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
1841,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Grassland,Wetland
1842,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
1843,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
1844,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
1845,NULL,Forest,Water,NULL,Water,Grassland,Grassland,Wetland
1846,NULL,Forest,Water,NULL,Water,Grassland,Grassland,Forest
1847,NULL,Forest,Water,NULL,Water,Wetland,Grassland,Wetland
1848,NULL,Forest,Water,NULL,Water,Wetland,Grassland,Forest
1849,NULL,Forest,Water,NULL,Water,Wetland,Forest,Wetland
1850,NULL,Forest,Water,NULL,Water,Water,Wetland,Wetland
1851,NULL,Forest,Water,Non_Water,Water,Water,Grassland,Wetland
1852,NULL,Forest,Water,Non_Water,Water,Water,Wetland,Wetland
1853,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
1854,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1855,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Grassland,Wetland
1856,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
1857,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
1858,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,Wetland
1859,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
1860,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1861,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Wetland
1862,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Bareland
1863,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1864,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Wetland
1865,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1866,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Wetland
1867,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1868,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
1869,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Wetland
1870,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1871,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
1872,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1873,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Wetland
1874,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
1875,NULL,Forest,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
1876,NULL,Forest,Forest,NULL,Non_Wetland,Water,Grassland,Forest
1877,NULL,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Wetland
1878,NULL,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
1879,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Shrubland,Wetland
1880,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
1881,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Wetland
1882,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1883,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
1884,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Wetland
1885,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1886,NULL,Forest,Forest,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
1887,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1888,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
1889,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
1890,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
1891,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1892,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
1893,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1894,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
1895,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
1896,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
1897,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
1898,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
1899,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
1900,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
1901,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1902,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
1903,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
1904,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
1905,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1906,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
1907,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
1908,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
1909,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1910,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
1911,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
1912,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
1913,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
1914,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
1915,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
1916,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1917,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
1918,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
1919,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
1920,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
1921,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
1922,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
1923,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
1924,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
1925,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
1926,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
1927,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
1928,Grassland,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
1929,Grassland,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
1930,Grassland,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
1931,Grassland,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
1932,Grassland,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
1933,Grassland,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
1934,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
1935,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
1936,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Wetland
1937,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
1938,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
1939,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
1940,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
1941,Grassland,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
1942,Grassland,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
1943,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1944,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
1945,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
1946,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1947,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
1948,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
1949,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Wetland
1950,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
1951,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
1952,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
1953,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1954,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
1955,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
1956,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
1957,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
1958,Grassland,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
1959,Grassland,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
1960,Grassland,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
1961,Grassland,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
1962,Grassland,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
1963,Grassland,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Wetland
1964,Grassland,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Forest
1965,Grassland,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
1966,Grassland,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
1967,Grassland,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
1968,Grassland,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Wetland
1969,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
1970,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Wetland
1971,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
1972,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
1973,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
1974,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
1975,Grassland,NULL,NULL,Water,Non_Wetland,Water,Grassland,Wetland
1976,Grassland,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
1977,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1978,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
1979,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
1980,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1981,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
1982,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
1983,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
1984,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
1985,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
1986,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Wetland
1987,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
1988,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
1989,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
1990,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1991,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
1992,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
1993,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
1994,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1995,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1996,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
1997,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
1998,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1999,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
2000,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
2001,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
2002,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
2003,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
2004,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
2005,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
2006,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
2007,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
2008,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
2009,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
2010,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
2011,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
2012,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
2013,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
2014,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
2015,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
2016,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
2017,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
2018,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
2019,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
2020,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
2021,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
2022,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
2023,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
2024,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
2025,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
2026,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
2027,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
2028,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
2029,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
2030,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
2031,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Wetland
2032,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
2033,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Wetland
2034,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
2035,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Wetland
2036,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
2037,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
