Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MGP_M_R
384,Forest,Water,Water,Non_Water,Water,NULL,Water,Water
385,Forest,Water,Water,Non_Water,Water,NULL,Water,Forest
386,Forest,Water,Water,Non_Water,Water,Grassland,Wetland,Water
387,Forest,Water,Water,Non_Water,Water,Grassland,Wetland,Forest
388,Forest,Water,Water,Non_Water,Water,Grassland,Water,Water
389,Forest,Water,Water,Non_Water,Water,Grassland,Water,Forest
390,Forest,Water,Water,Non_Water,Water,Wetland,Wetland,Water
391,Forest,Water,Water,Non_Water,Water,Wetland,Wetland,Forest
392,Forest,Water,Water,Non_Water,Water,Wetland,Water,Forest
393,Forest,Water,Water,Non_Water,Water,Bareland,Wetland,Water
394,Forest,Water,Water,Non_Water,Water,Water,Wetland,Grassland
395,Forest,Water,Water,Non_Water,Water,Water,Wetland,Water
396,Forest,Water,Water,Non_Water,Water,Water,Wetland,Forest
397,Forest,Water,Water,Non_Water,Water,Water,Water,Water
398,Forest,Water,Water,Non_Water,Water,Water,Water,Forest
399,Forest,Water,Water,Non_Water,Water,Forest,Wetland,Water
400,Forest,Water,Water,Water,Water,NULL,Wetland,Water
401,Forest,Water,Water,Water,Water,NULL,Wetland,Forest
402,Forest,Water,Water,Water,Water,NULL,Water,Water
403,Forest,Water,Water,Water,Water,NULL,Water,Forest
404,Forest,Water,Water,Water,Water,NULL,Forest,Water
405,Forest,Water,Water,Water,Water,Grassland,Wetland,Water
406,Forest,Water,Water,Water,Water,Grassland,Wetland,Forest
407,Forest,Water,Water,Water,Water,Grassland,Water,Water
408,Forest,Water,Water,Water,Water,Grassland,Water,Forest
409,Forest,Water,Water,Water,Water,Wetland,Wetland,Water
410,Forest,Water,Water,Water,Water,Wetland,Wetland,Forest
411,Forest,Water,Water,Water,Water,Wetland,Water,Water
412,Forest,Water,Water,Water,Water,Wetland,Water,Forest
413,Forest,Water,Water,Water,Water,Water,Wetland,Water
414,Forest,Water,Water,Water,Water,Water,Wetland,Forest
415,Forest,Water,Water,Water,Water,Water,Water,Water
416,Forest,Water,Water,Water,Water,Water,Water,Forest
417,Forest,Water,Water,Water,Water,Water,Forest,Water
418,Forest,Water,Water,Water,Water,Water,Forest,Forest
419,Forest,Water,Water,Water,Water,Forest,Wetland,Water
420,Forest,Water,Water,Water,Water,Forest,Wetland,Forest
421,Forest,Water,Water,Water,Water,Forest,Water,Water
422,Forest,Water,Water,Water,Water,Forest,Water,Forest
423,Forest,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Water
424,Forest,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
425,Forest,Water,Forest,NULL,Non_Wetland,NULL,Water,Water
426,Forest,Water,Forest,NULL,Non_Wetland,NULL,Water,Forest
427,Forest,Water,Forest,NULL,Non_Wetland,NULL,Forest,Water
428,Forest,Water,Forest,NULL,Non_Wetland,NULL,Forest,Forest
429,Forest,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Water
430,Forest,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
431,Forest,Water,Forest,NULL,Non_Wetland,Grassland,Water,Forest
432,Forest,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
433,Forest,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Water
434,Forest,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
435,Forest,Water,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
436,Forest,Water,Forest,NULL,Non_Wetland,Bareland,Wetland,Water
437,Forest,Water,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
438,Forest,Water,Forest,NULL,Non_Wetland,Water,Wetland,Wetland
439,Forest,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
440,Forest,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
441,Forest,Water,Forest,NULL,Non_Wetland,Water,Water,Water
442,Forest,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
443,Forest,Water,Forest,NULL,Non_Wetland,Water,Forest,Water
444,Forest,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
445,Forest,Water,Forest,NULL,Non_Wetland,Forest,Wetland,Water
446,Forest,Water,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
447,Forest,Water,Forest,NULL,Non_Wetland,Forest,Water,Water
448,Forest,Water,Forest,NULL,Non_Wetland,Forest,Water,Forest
449,Forest,Water,Forest,NULL,Non_Wetland,Forest,Forest,Water
450,Forest,Water,Forest,NULL,Non_Wetland,Forest,Forest,Forest
451,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,Wetland,Water
452,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,Wetland,Forest
453,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,Water,Water
454,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,Water,Forest
455,Forest,Water,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Water
456,Forest,Water,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Forest
457,Forest,Water,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
458,Forest,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
459,Forest,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
460,Forest,Water,Forest,Non_Water,Non_Wetland,Water,Water,Grassland
461,Forest,Water,Forest,Non_Water,Non_Wetland,Water,Water,Water
462,Forest,Water,Forest,Non_Water,Non_Wetland,Water,Water,Forest
463,Forest,Water,Forest,Non_Water,Non_Wetland,Water,Forest,Water
464,Forest,Water,Forest,Non_Water,Non_Wetland,Water,Forest,Forest
465,Forest,Water,Forest,Non_Water,Non_Wetland,Forest,Wetland,Water
466,Forest,Water,Forest,Non_Water,Non_Wetland,Forest,Wetland,Forest
467,Forest,Water,Forest,Water,Non_Wetland,NULL,Wetland,Water
468,Forest,Water,Forest,Water,Non_Wetland,NULL,Wetland,Forest
469,Forest,Water,Forest,Water,Non_Wetland,NULL,Water,Water
470,Forest,Water,Forest,Water,Non_Wetland,NULL,Water,Forest
471,Forest,Water,Forest,Water,Non_Wetland,NULL,Forest,Forest
472,Forest,Water,Forest,Water,Non_Wetland,Grassland,Water,Forest
473,Forest,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
474,Forest,Water,Forest,Water,Non_Wetland,Water,Wetland,Forest
475,Forest,Water,Forest,Water,Non_Wetland,Water,Water,Wetland
476,Forest,Water,Forest,Water,Non_Wetland,Water,Water,Water
477,Forest,Water,Forest,Water,Non_Wetland,Water,Water,Forest
478,Forest,Water,Forest,Water,Non_Wetland,Water,Forest,Water
479,Forest,Water,Forest,Water,Non_Wetland,Water,Forest,Forest
480,Forest,Water,Forest,Water,Non_Wetland,Forest,Wetland,Water
481,Forest,Water,Forest,Water,Non_Wetland,Forest,Wetland,Forest
482,Forest,Water,Forest,Water,Non_Wetland,Forest,Water,Water
483,Forest,Water,Forest,Water,Non_Wetland,Forest,Water,Forest
484,Forest,Forest,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
485,Forest,Forest,NULL,NULL,Non_Wetland,NULL,Wetland,Water
486,Forest,Forest,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
487,Forest,Forest,NULL,NULL,Non_Wetland,NULL,Water,Forest
488,Forest,Forest,NULL,NULL,Non_Wetland,NULL,Forest,Forest
489,Forest,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
490,Forest,Forest,NULL,NULL,Non_Wetland,Grassland,Water,Water
491,Forest,Forest,NULL,NULL,Non_Wetland,Grassland,Water,Forest
492,Forest,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
493,Forest,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
494,Forest,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
495,Forest,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
496,Forest,Forest,NULL,NULL,Non_Wetland,Wetland,Water,Forest
497,Forest,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
498,Forest,Forest,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
499,Forest,Forest,NULL,NULL,Non_Wetland,Water,Wetland,Water
500,Forest,Forest,NULL,NULL,Non_Wetland,Water,Wetland,Forest
501,Forest,Forest,NULL,NULL,Non_Wetland,Water,Water,Water
502,Forest,Forest,NULL,NULL,Non_Wetland,Water,Water,Forest
503,Forest,Forest,NULL,NULL,Non_Wetland,Water,Forest,Water
504,Forest,Forest,NULL,NULL,Non_Wetland,Water,Forest,Forest
505,Forest,Forest,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
506,Forest,Forest,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
507,Forest,Forest,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
508,Forest,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
509,Forest,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
510,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
511,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
512,Forest,Forest,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
513,Forest,Forest,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
514,Forest,Forest,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
515,Forest,Forest,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
516,Forest,Forest,NULL,Water,Non_Wetland,NULL,Wetland,Forest
517,Forest,Forest,NULL,Water,Non_Wetland,Water,Water,Forest
518,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
519,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
520,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
521,Forest,Forest,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
522,Forest,Forest,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
523,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
524,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
525,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
526,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,Water,Water
527,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,Water,Forest
528,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
529,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
530,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
531,Forest,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
532,Forest,Forest,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
533,Forest,Forest,Grassland,NULL,Non_Wetland,Water,Wetland,Water
534,Forest,Forest,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
535,Forest,Forest,Grassland,NULL,Non_Wetland,Water,Water,Forest
536,Forest,Forest,Grassland,NULL,Non_Wetland,Water,Forest,Water
537,Forest,Forest,Grassland,NULL,Non_Wetland,Water,Forest,Forest
538,Forest,Forest,Grassland,NULL,Non_Wetland,Forest,Wetland,Water
539,Forest,Forest,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
540,Forest,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
541,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Water
542,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Forest
543,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,Water,Forest
544,Forest,Forest,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
545,Forest,Forest,Grassland,Non_Water,Non_Wetland,Grassland,Water,Forest
546,Forest,Forest,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
547,Forest,Forest,Grassland,Non_Water,Non_Wetland,Water,Wetland,Forest
548,Forest,Forest,Grassland,Non_Water,Non_Wetland,Water,Water,Forest
549,Forest,Forest,Grassland,Non_Water,Non_Wetland,Forest,Wetland,Forest
550,Forest,Forest,Grassland,Water,Non_Wetland,NULL,Wetland,Water
551,Forest,Forest,Grassland,Water,Non_Wetland,NULL,Wetland,Forest
552,Forest,Forest,Grassland,Water,Non_Wetland,Water,Wetland,Forest
553,Forest,Forest,Grassland,Water,Non_Wetland,Water,Forest,Forest
554,Forest,Forest,Grassland,Water,Non_Wetland,Forest,Wetland,Forest
555,Forest,Forest,Grassland,Water,Non_Wetland,Forest,Water,Forest
556,Forest,Forest,Grassland,Water,Non_Wetland,Forest,Forest,Forest
557,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
558,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,Water,Forest
559,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
560,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
561,Forest,Forest,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
562,Forest,Forest,Cropland,NULL,Non_Wetland,Bareland,Wetland,Forest
563,Forest,Forest,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
564,Forest,Forest,Wetland,NULL,Wetland,NULL,Grassland,Forest
565,Forest,Forest,Wetland,NULL,Wetland,NULL,Wetland,Water
566,Forest,Forest,Wetland,NULL,Wetland,NULL,Wetland,Forest
567,Forest,Forest,Wetland,NULL,Wetland,NULL,Water,Water
568,Forest,Forest,Wetland,NULL,Wetland,NULL,Water,Forest
569,Forest,Forest,Wetland,NULL,Wetland,NULL,Forest,Grassland
570,Forest,Forest,Wetland,NULL,Wetland,NULL,Forest,Water
571,Forest,Forest,Wetland,NULL,Wetland,NULL,Forest,Forest
572,Forest,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Water
573,Forest,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Forest
574,Forest,Forest,Wetland,NULL,Wetland,Grassland,Water,Forest
575,Forest,Forest,Wetland,NULL,Wetland,Grassland,Forest,Forest
576,Forest,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
577,Forest,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Water
578,Forest,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
579,Forest,Forest,Wetland,NULL,Wetland,Wetland,Water,Forest
580,Forest,Forest,Wetland,NULL,Wetland,Wetland,Forest,Forest
581,Forest,Forest,Wetland,NULL,Wetland,Bareland,Wetland,Forest
582,Forest,Forest,Wetland,NULL,Wetland,Bareland,Water,Forest
583,Forest,Forest,Wetland,NULL,Wetland,Water,Wetland,Grassland
584,Forest,Forest,Wetland,NULL,Wetland,Water,Wetland,Water
585,Forest,Forest,Wetland,NULL,Wetland,Water,Wetland,Forest
586,Forest,Forest,Wetland,NULL,Wetland,Water,Water,Water
587,Forest,Forest,Wetland,NULL,Wetland,Water,Water,Forest
588,Forest,Forest,Wetland,NULL,Wetland,Water,Forest,Water
589,Forest,Forest,Wetland,NULL,Wetland,Water,Forest,Forest
590,Forest,Forest,Wetland,NULL,Wetland,Forest,Wetland,Water
591,Forest,Forest,Wetland,NULL,Wetland,Forest,Wetland,Forest
592,Forest,Forest,Wetland,NULL,Wetland,Forest,Water,Water
593,Forest,Forest,Wetland,NULL,Wetland,Forest,Water,Forest
594,Forest,Forest,Wetland,NULL,Wetland,Forest,Forest,Water
595,Forest,Forest,Wetland,NULL,Wetland,Forest,Forest,Forest
596,Forest,Forest,Wetland,Non_Water,Wetland,NULL,Wetland,Grassland
597,Forest,Forest,Wetland,Non_Water,Wetland,NULL,Wetland,Water
598,Forest,Forest,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
599,Forest,Forest,Wetland,Non_Water,Wetland,NULL,Water,Grassland
600,Forest,Forest,Wetland,Non_Water,Wetland,NULL,Water,Water
601,Forest,Forest,Wetland,Non_Water,Wetland,NULL,Water,Forest
602,Forest,Forest,Wetland,Non_Water,Wetland,NULL,Forest,Forest
603,Forest,Forest,Wetland,Non_Water,Wetland,Grassland,Wetland,Water
604,Forest,Forest,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
605,Forest,Forest,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
606,Forest,Forest,Wetland,Non_Water,Wetland,Grassland,Water,Forest
607,Forest,Forest,Wetland,Non_Water,Wetland,Grassland,Forest,Forest
608,Forest,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
609,Forest,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
610,Forest,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
611,Forest,Forest,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
612,Forest,Forest,Wetland,Non_Water,Wetland,Wetland,Water,Water
613,Forest,Forest,Wetland,Non_Water,Wetland,Wetland,Water,Forest
614,Forest,Forest,Wetland,Non_Water,Wetland,Bareland,Wetland,Forest
615,Forest,Forest,Wetland,Non_Water,Wetland,Bareland,Water,Forest
616,Forest,Forest,Wetland,Non_Water,Wetland,Water,Wetland,Water
617,Forest,Forest,Wetland,Non_Water,Wetland,Water,Wetland,Forest
618,Forest,Forest,Wetland,Non_Water,Wetland,Water,Water,Forest
619,Forest,Forest,Wetland,Non_Water,Wetland,Water,Forest,Forest
620,Forest,Forest,Wetland,Non_Water,Wetland,Forest,Wetland,Water
621,Forest,Forest,Wetland,Non_Water,Wetland,Forest,Wetland,Forest
622,Forest,Forest,Wetland,Non_Water,Wetland,Forest,Water,Water
623,Forest,Forest,Wetland,Non_Water,Wetland,Forest,Water,Forest
624,Forest,Forest,Wetland,Water,Wetland,NULL,Wetland,Grassland
625,Forest,Forest,Wetland,Water,Wetland,NULL,Wetland,Water
626,Forest,Forest,Wetland,Water,Wetland,NULL,Wetland,Forest
627,Forest,Forest,Wetland,Water,Wetland,NULL,Water,Water
628,Forest,Forest,Wetland,Water,Wetland,NULL,Water,Forest
629,Forest,Forest,Wetland,Water,Wetland,NULL,Forest,Forest
630,Forest,Forest,Wetland,Water,Wetland,Grassland,Wetland,Forest
631,Forest,Forest,Wetland,Water,Wetland,Grassland,Water,Grassland
632,Forest,Forest,Wetland,Water,Wetland,Grassland,Water,Water
633,Forest,Forest,Wetland,Water,Wetland,Grassland,Water,Forest
634,Forest,Forest,Wetland,Water,Wetland,Wetland,Wetland,Grassland
635,Forest,Forest,Wetland,Water,Wetland,Wetland,Wetland,Water
636,Forest,Forest,Wetland,Water,Wetland,Wetland,Wetland,Forest
637,Forest,Forest,Wetland,Water,Wetland,Wetland,Water,Grassland
638,Forest,Forest,Wetland,Water,Wetland,Wetland,Water,Wetland
639,Forest,Forest,Wetland,Water,Wetland,Wetland,Water,Forest
640,Forest,Forest,Wetland,Water,Wetland,Wetland,Forest,Forest
641,Forest,Forest,Wetland,Water,Wetland,Water,Wetland,Water
642,Forest,Forest,Wetland,Water,Wetland,Water,Wetland,Forest
643,Forest,Forest,Wetland,Water,Wetland,Water,Water,Grassland
644,Forest,Forest,Wetland,Water,Wetland,Water,Water,Water
645,Forest,Forest,Wetland,Water,Wetland,Water,Water,Forest
646,Forest,Forest,Wetland,Water,Wetland,Water,Forest,Forest
647,Forest,Forest,Wetland,Water,Wetland,Forest,Wetland,Forest
648,Forest,Forest,Wetland,Water,Wetland,Forest,Water,Water
649,Forest,Forest,Wetland,Water,Wetland,Forest,Water,Forest
650,Forest,Forest,Wetland,Water,Wetland,Forest,Forest,Water
651,Forest,Forest,Wetland,Water,Wetland,Forest,Forest,Forest
652,Forest,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Wetland,Forest,Forest
653,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,Wetland,Water
654,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
655,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,Water,Water
656,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,Water,Forest
657,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,Forest,Forest
658,Forest,Forest,Bareland,NULL,Non_Wetland,Grassland,Wetland,NULL
659,Forest,Forest,Bareland,NULL,Non_Wetland,Grassland,Wetland,Water
660,Forest,Forest,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
661,Forest,Forest,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
662,Forest,Forest,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
663,Forest,Forest,Bareland,NULL,Non_Wetland,Wetland,Water,Forest
664,Forest,Forest,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
665,Forest,Forest,Bareland,NULL,Non_Wetland,Water,Wetland,Water
666,Forest,Forest,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
667,Forest,Forest,Bareland,NULL,Non_Wetland,Water,Water,Forest
668,Forest,Forest,Bareland,NULL,Non_Wetland,Water,Forest,Forest
669,Forest,Forest,Bareland,NULL,Non_Wetland,Forest,Wetland,Forest
670,Forest,Forest,Bareland,NULL,Non_Wetland,Forest,Water,Water
671,Forest,Forest,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
672,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Water
673,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Forest
674,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL,Water,Forest
675,Forest,Forest,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
676,Forest,Forest,Bareland,Non_Water,Non_Wetland,Water,Wetland,Water
677,Forest,Forest,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
678,Forest,Forest,Bareland,Non_Water,Non_Wetland,Forest,Water,Forest
679,Forest,Forest,Bareland,Water,Non_Wetland,NULL,Wetland,Forest
680,Forest,Forest,Bareland,Water,Non_Wetland,Water,Wetland,Water
681,Forest,Forest,Bareland,Water,Non_Wetland,Water,Wetland,Forest
682,Forest,Forest,Bareland,Water,Non_Wetland,Water,Water,Water
683,Forest,Forest,Bareland,Water,Non_Wetland,Water,Water,Forest
684,Forest,Forest,Bareland,Water,Non_Wetland,Water,Forest,Forest
685,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,Wetland,Forest
686,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,Forest,Forest
687,Forest,Forest,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
688,Forest,Forest,Built-up,NULL,Non_Wetland,Water,Wetland,Forest
689,Forest,Forest,Built-up,NULL,Non_Wetland,Water,Water,Forest
690,Forest,Forest,Built-up,NULL,Non_Wetland,Forest,Forest,Forest
691,Forest,Forest,Built-up,Non_Water,Non_Wetland,Water,Wetland,Forest
692,Forest,Forest,Water,NULL,Water,NULL,Wetland,Water
693,Forest,Forest,Water,NULL,Water,NULL,Wetland,Forest
694,Forest,Forest,Water,NULL,Water,NULL,Water,Water
695,Forest,Forest,Water,NULL,Water,NULL,Water,Forest
696,Forest,Forest,Water,NULL,Water,NULL,Forest,Forest
697,Forest,Forest,Water,NULL,Water,Grassland,Wetland,Forest
698,Forest,Forest,Water,NULL,Water,Wetland,Wetland,Forest
699,Forest,Forest,Water,NULL,Water,Wetland,Water,Forest
700,Forest,Forest,Water,NULL,Water,Water,Wetland,Water
701,Forest,Forest,Water,NULL,Water,Water,Wetland,Forest
702,Forest,Forest,Water,NULL,Water,Water,Water,Water
703,Forest,Forest,Water,NULL,Water,Water,Water,Forest
704,Forest,Forest,Water,NULL,Water,Water,Forest,Water
705,Forest,Forest,Water,NULL,Water,Water,Forest,Forest
706,Forest,Forest,Water,NULL,Water,Forest,Wetland,Forest
707,Forest,Forest,Water,NULL,Water,Forest,Water,Forest
708,Forest,Forest,Water,Non_Water,Water,NULL,Wetland,Water
709,Forest,Forest,Water,Non_Water,Water,NULL,Wetland,Forest
710,Forest,Forest,Water,Non_Water,Water,NULL,Water,Water
711,Forest,Forest,Water,Non_Water,Water,NULL,Water,Forest
712,Forest,Forest,Water,Non_Water,Water,Grassland,Wetland,Forest
713,Forest,Forest,Water,Non_Water,Water,Grassland,Water,Forest
714,Forest,Forest,Water,Non_Water,Water,Wetland,Wetland,Forest
715,Forest,Forest,Water,Non_Water,Water,Bareland,Wetland,Forest
716,Forest,Forest,Water,Non_Water,Water,Bareland,Water,Forest
717,Forest,Forest,Water,Non_Water,Water,Water,Wetland,Water
718,Forest,Forest,Water,Non_Water,Water,Water,Wetland,Forest
719,Forest,Forest,Water,Non_Water,Water,Water,Water,Grassland
720,Forest,Forest,Water,Water,Water,NULL,Wetland,Grassland
721,Forest,Forest,Water,Water,Water,NULL,Wetland,Water
722,Forest,Forest,Water,Water,Water,NULL,Wetland,Forest
723,Forest,Forest,Water,Water,Water,NULL,Water,Water
724,Forest,Forest,Water,Water,Water,NULL,Water,Forest
725,Forest,Forest,Water,Water,Water,Wetland,Wetland,Water
726,Forest,Forest,Water,Water,Water,Wetland,Wetland,Forest
727,Forest,Forest,Water,Water,Water,Wetland,Water,Water
728,Forest,Forest,Water,Water,Water,Wetland,Water,Forest
729,Forest,Forest,Water,Water,Water,Water,Wetland,Water
730,Forest,Forest,Water,Water,Water,Water,Wetland,Forest
731,Forest,Forest,Water,Water,Water,Water,Water,Water
732,Forest,Forest,Water,Water,Water,Water,Water,Forest
733,Forest,Forest,Water,Water,Water,Water,Forest,Water
734,Forest,Forest,Water,Water,Water,Water,Forest,Forest
735,Forest,Forest,Water,Water,Water,Forest,Wetland,Forest
736,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
737,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
738,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Water
739,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
740,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Water,Water
741,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Water,Forest
742,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
743,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Water
744,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
745,Forest,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Water
746,Forest,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
747,Forest,Forest,Forest,NULL,Non_Wetland,Grassland,Water,Forest
748,Forest,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
749,Forest,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
750,Forest,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Water
751,Forest,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
752,Forest,Forest,Forest,NULL,Non_Wetland,Wetland,Water,Water
753,Forest,Forest,Forest,NULL,Non_Wetland,Wetland,Water,Forest
754,Forest,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
755,Forest,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,Water
756,Forest,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
757,Forest,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
758,Forest,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Water
