Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NGB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NGB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NGB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NGB_M_R
343,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
344,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
345,NULL,Built-up,Forest,Water,Non_Wetland,Water,Water,Grassland
346,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
347,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
348,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Water
349,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
350,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
351,NULL,Water,Grassland,NULL,Non_Wetland,Grassland,Wetland,Water
352,NULL,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
353,NULL,Water,Grassland,NULL,Non_Wetland,Wetland,Water,Water
354,NULL,Water,Grassland,NULL,Non_Wetland,Water,Water,Water
355,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
356,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
357,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
358,NULL,Water,Grassland,Water,Non_Wetland,Water,Water,Water
359,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
360,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
361,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
362,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
363,NULL,Water,Wetland,NULL,Wetland,Grassland,Wetland,Water
364,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
365,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,Grassland
366,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,Water
367,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
368,NULL,Water,Wetland,NULL,Wetland,Water,Water,Water
369,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
370,NULL,Water,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
371,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Water,Water
372,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Water,Forest
373,NULL,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
374,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Wetland
375,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Water
376,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
377,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
378,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
379,NULL,Water,Wetland,Water,Wetland,Grassland,Water,Grassland
380,NULL,Water,Wetland,Water,Wetland,Grassland,Water,Water
381,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
382,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
383,NULL,Water,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
384,NULL,Water,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
385,NULL,Water,Built-up,NULL,Non_Wetland,Grassland,Wetland,Built-up
386,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
387,NULL,Water,Water,NULL,Water,NULL,NULL,Water
388,NULL,Water,Water,NULL,Water,Grassland,Wetland,Water
389,NULL,Water,Water,NULL,Water,Wetland,Water,Grassland
390,NULL,Water,Water,NULL,Water,Wetland,Water,Forest
391,NULL,Water,Water,NULL,Water,Water,Wetland,Grassland
392,NULL,Water,Water,NULL,Water,Water,Water,Water
393,NULL,Water,Water,Water,Water,NULL,NULL,Wetland
394,NULL,Water,Water,Water,Water,NULL,NULL,Water
395,NULL,Water,Water,Water,Water,Wetland,Water,Water
396,NULL,Water,Water,Water,Water,Wetland,Water,Forest
397,NULL,Water,Water,Water,Water,Water,Wetland,Water
398,NULL,Water,Water,Water,Water,Water,Water,Grassland
399,NULL,Water,Water,Water,Water,Water,Water,Water
400,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
401,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
402,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Water
403,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
404,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
405,NULL,Water,Forest,NULL,Non_Wetland,Water,Water,Grassland
406,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
407,NULL,Water,Forest,Water,Non_Wetland,Wetland,Wetland,Water
408,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
409,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
410,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
411,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
412,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
413,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
414,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
415,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
416,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
417,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
418,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
419,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
420,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
421,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
422,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
423,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
424,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
425,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
426,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
427,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
428,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
429,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
430,NULL,Forest,Wetland,NULL,Wetland,Water,Wetland,Forest
431,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
432,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
433,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
434,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
435,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
436,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
437,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
438,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
439,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
440,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
441,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
442,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
443,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
444,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
445,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
446,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
447,NULL,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
448,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
449,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
450,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
451,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
452,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
453,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
454,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
455,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
456,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
457,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
458,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
459,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
460,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
461,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
462,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
463,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
464,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
465,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
466,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
467,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
468,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
469,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
470,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
471,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
472,Grassland,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
473,Grassland,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
474,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
475,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
476,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
477,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
478,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
479,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
480,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
481,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
482,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
483,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
484,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
485,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
486,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
487,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
488,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
489,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
490,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
491,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
492,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
493,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
494,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
495,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
496,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
497,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
498,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
499,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
500,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
501,Cropland,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Forest
502,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
503,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
504,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
505,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
506,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
507,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
508,Cropland,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
509,Cropland,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
510,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
511,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
512,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
513,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
514,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
515,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
516,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
517,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
518,Wetland,NULL,Wetland,NULL,Wetland,Wetland,NULL,NULL
519,Wetland,NULL,Wetland,NULL,Wetland,Wetland,NULL,Wetland
520,Wetland,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
521,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
522,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
523,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
524,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
525,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Water,NULL
526,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
527,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
528,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
529,Wetland,NULL,Wetland,NULL,Wetland,Water,NULL,NULL
530,Wetland,NULL,Wetland,NULL,Wetland,Water,NULL,Grassland
531,Wetland,NULL,Wetland,NULL,Wetland,Water,NULL,Forest
532,Wetland,NULL,Wetland,NULL,Wetland,Water,Wetland,NULL
533,Wetland,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
534,Wetland,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
535,Wetland,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
536,Wetland,NULL,Wetland,NULL,Wetland,Water,Water,NULL
537,Wetland,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
538,Wetland,NULL,Wetland,NULL,Wetland,Water,Water,Forest
539,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
540,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
541,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
542,Wetland,NULL,Water,NULL,Water,NULL,NULL,NULL
543,Wetland,NULL,Water,NULL,Water,NULL,NULL,Grassland
544,Wetland,NULL,Water,NULL,Water,NULL,NULL,Wetland
545,Wetland,NULL,Water,NULL,Water,NULL,NULL,Forest
546,Wetland,NULL,Water,NULL,Water,Wetland,NULL,NULL
547,Wetland,NULL,Water,NULL,Water,Wetland,Wetland,Forest
548,Wetland,NULL,Water,NULL,Water,Wetland,Water,Grassland
549,Wetland,NULL,Water,NULL,Water,Water,Water,Wetland
550,Wetland,NULL,Water,NULL,Water,Water,Water,Forest
551,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
552,Wetland,NULL,Water,Water,Water,NULL,NULL,Wetland
553,Wetland,NULL,Water,Water,Water,NULL,NULL,Water
554,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
555,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,NULL
556,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
557,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
558,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
559,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Wetland
560,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
561,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
562,Wetland,Wetland,Water,Water,Water,NULL,NULL,Wetland
563,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
564,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
565,Wetland,Water,Water,Water,Water,NULL,NULL,Bareland
566,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
567,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
568,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
569,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
570,Wetland,Forest,Wetland,NULL,Wetland,Grassland,NULL,NULL
571,Wetland,Forest,Wetland,NULL,Wetland,Grassland,NULL,Forest
572,Wetland,Forest,Wetland,NULL,Wetland,Wetland,NULL,NULL
573,Wetland,Forest,Wetland,NULL,Wetland,Wetland,NULL,Wetland
574,Wetland,Forest,Wetland,NULL,Wetland,Wetland,NULL,Forest
575,Wetland,Forest,Wetland,NULL,Wetland,Water,NULL,NULL
576,Wetland,Forest,Wetland,NULL,Wetland,Water,NULL,Wetland
577,Wetland,Forest,Wetland,NULL,Wetland,Water,NULL,Forest
578,Wetland,Forest,Wetland,NULL,Wetland,Forest,NULL,NULL
579,Wetland,Forest,Wetland,NULL,Wetland,Forest,NULL,Forest
580,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
581,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
582,Wetland,Forest,Forest,NULL,Non_Wetland,Wetland,NULL,NULL
583,Wetland,Forest,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
584,Wetland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
585,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
586,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
587,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
588,Bareland,NULL,Water,Water,Water,NULL,NULL,Water
589,Bareland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
590,Bareland,Wetland,Water,Water,Water,NULL,NULL,Wetland
591,Bareland,Wetland,Water,Water,Water,NULL,NULL,Water
592,Bareland,Bareland,Wetland,NULL,Wetland,Water,Water,Water
593,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
594,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
595,Bareland,Bareland,Wetland,Water,Wetland,Water,NULL,Water
596,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,Water
597,Bareland,Bareland,Water,NULL,Water,Water,Water,Water
598,Bareland,Bareland,Water,NULL,Water,Water,Water,Forest
599,Bareland,Bareland,Water,Non_Water,Water,NULL,NULL,Water
600,Bareland,Bareland,Water,Non_Water,Water,Water,Water,Water
601,Bareland,Bareland,Water,Non_Water,Water,Water,Water,Forest
602,Bareland,Bareland,Water,Water,Water,NULL,NULL,Water
603,Bareland,Bareland,Water,Water,Water,Wetland,Water,Forest
604,Bareland,Bareland,Water,Water,Water,Water,NULL,Water
605,Bareland,Bareland,Water,Water,Water,Water,Water,Water
606,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
607,Bareland,Water,Wetland,NULL,Wetland,Wetland,NULL,Forest
608,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
609,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
610,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Water
611,Bareland,Water,Wetland,Water,Wetland,Water,Water,Water
612,Bareland,Water,Water,Water,Water,NULL,NULL,Water
613,Bareland,Water,Water,Water,Water,NULL,Water,Forest
614,Bareland,Water,Water,Water,Water,Wetland,Water,Water
615,Bareland,Water,Water,Water,Water,Water,NULL,Water
616,Bareland,Water,Water,Water,Water,Water,Water,Water
617,Bareland,Water,Forest,Non_Water,Non_Wetland,Water,Water,Water
618,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
619,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
620,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
621,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
622,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
623,Water,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
624,Water,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
625,Water,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
626,Water,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
627,Water,NULL,Wetland,NULL,Wetland,Water,Water,Forest
628,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
629,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
630,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
631,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
632,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
633,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
634,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Water
635,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
636,Water,NULL,Water,NULL,Water,NULL,NULL,Grassland
637,Water,NULL,Water,NULL,Water,NULL,NULL,Bareland
638,Water,NULL,Water,NULL,Water,NULL,NULL,Water
639,Water,NULL,Water,NULL,Water,NULL,NULL,Forest
640,Water,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
641,Water,NULL,Water,Non_Water,Water,NULL,NULL,Water
642,Water,NULL,Water,Non_Water,Water,NULL,NULL,Forest
643,Water,NULL,Water,Non_Water,Water,Wetland,Water,Forest
644,Water,NULL,Water,Water,Water,NULL,NULL,Grassland
645,Water,NULL,Water,Water,Water,NULL,NULL,Wetland
646,Water,NULL,Water,Water,Water,NULL,NULL,Bareland
647,Water,NULL,Water,Water,Water,NULL,NULL,Water
648,Water,NULL,Water,Water,Water,NULL,NULL,Forest
649,Water,NULL,Water,Water,Water,Wetland,NULL,Forest
650,Water,NULL,Water,Water,Water,Wetland,Water,Forest
651,Water,NULL,Water,Water,Water,Water,Water,Grassland
652,Water,NULL,Water,Water,Water,Water,Water,Water
653,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
654,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
655,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
656,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
657,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
658,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
659,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
660,Water,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
661,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
662,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
663,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
664,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
665,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
666,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
667,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
668,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
669,Water,Wetland,Wetland,Water,Wetland,Water,Water,Water
670,Water,Wetland,Water,NULL,Water,NULL,NULL,Grassland
671,Water,Wetland,Water,NULL,Water,NULL,NULL,Water
672,Water,Wetland,Water,NULL,Water,NULL,NULL,Forest
673,Water,Wetland,Water,NULL,Water,Water,Water,Water
674,Water,Wetland,Water,NULL,Water,Water,Water,Forest
675,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
676,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
677,Water,Wetland,Water,Water,Water,NULL,NULL,Grassland
678,Water,Wetland,Water,Water,Water,NULL,NULL,Wetland
679,Water,Wetland,Water,Water,Water,NULL,NULL,Water
680,Water,Wetland,Water,Water,Water,NULL,NULL,Forest
681,Water,Wetland,Water,Water,Water,Water,Water,Water
682,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
683,Water,Bareland,Wetland,Water,Wetland,Water,Water,Water
684,Water,Bareland,Water,Water,Water,NULL,NULL,Water
685,Water,Bareland,Water,Water,Water,Water,NULL,Water
686,Water,Bareland,Water,Water,Water,Water,Water,Water
687,Water,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
688,Water,Built-up,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
689,Water,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
690,Water,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
691,Water,Built-up,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
692,Water,Built-up,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
693,Water,Built-up,Grassland,Water,Non_Wetland,Wetland,Wetland,Water
694,Water,Built-up,Grassland,Water,Non_Wetland,Wetland,Water,Water
695,Water,Built-up,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
696,Water,Built-up,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
697,Water,Built-up,Wetland,NULL,Wetland,Wetland,Wetland,Forest
698,Water,Built-up,Wetland,Non_Water,Wetland,Water,Water,Forest
699,Water,Built-up,Water,Water,Water,Wetland,Wetland,Forest
700,Water,Built-up,Water,Water,Water,Water,Wetland,Forest
701,Water,Built-up,Water,Water,Water,Water,Water,Forest
702,Water,Built-up,Forest,Water,Non_Wetland,Wetland,Wetland,Water
703,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
704,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,NULL,Water
705,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
706,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
707,Water,Water,Shrubland,Water,Non_Wetland,Water,Water,Grassland
708,Water,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
709,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
710,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
711,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
712,Water,Water,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
713,Water,Water,Grassland,NULL,Non_Wetland,Grassland,Wetland,Water
714,Water,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,Water
715,Water,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
716,Water,Water,Grassland,NULL,Non_Wetland,Wetland,Water,Water
