Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NVE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NVE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NVE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NVE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NVE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NVE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NVE_M_R
364,Forest,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
365,Forest,Water,Water,NULL,Water,NULL,NULL,Grassland
366,Forest,Water,Water,NULL,Water,NULL,NULL,Wetland
367,Forest,Water,Water,NULL,Water,NULL,NULL,Bareland
368,Forest,Water,Water,NULL,Water,NULL,NULL,Water
369,Forest,Water,Water,NULL,Water,NULL,NULL,Forest
370,Forest,Water,Water,Non_Water,Water,NULL,NULL,Wetland
371,Forest,Water,Water,Non_Water,Water,NULL,NULL,Bareland
372,Forest,Water,Water,Non_Water,Water,NULL,NULL,Water
373,Forest,Water,Water,Non_Water,Water,NULL,NULL,Forest
374,Forest,Water,Water,Water,Water,NULL,NULL,Grassland
375,Forest,Water,Water,Water,Water,NULL,NULL,Wetland
376,Forest,Water,Water,Water,Water,NULL,NULL,Bareland
377,Forest,Water,Water,Water,Water,NULL,NULL,Water
378,Forest,Water,Water,Water,Water,NULL,NULL,Forest
379,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
380,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
381,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
382,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
383,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
384,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
385,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
386,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
387,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Wetland
388,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
389,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
390,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
391,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
392,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
393,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
394,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
395,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
396,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
397,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
398,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
399,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
400,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
401,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
402,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
403,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
404,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
405,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
406,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
407,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
408,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Water
409,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
410,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
411,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
412,Forest,Forest,Water,NULL,Water,NULL,NULL,Water
413,Forest,Forest,Water,NULL,Water,NULL,NULL,Forest
414,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Water
415,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Forest
416,Forest,Forest,Water,Water,Water,NULL,NULL,Water
417,Forest,Forest,Water,Water,Water,NULL,NULL,Forest
418,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
419,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
420,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
421,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
422,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
423,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
424,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
425,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
426,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
427,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
