Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MDS_M_R
1520,Grassland,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
1521,Grassland,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
1522,Grassland,NULL,Wetland,NULL,Wetland,NULL,Water,Water
1523,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
1524,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
1525,Grassland,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
1526,Grassland,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
1527,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
1528,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
1529,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
1530,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
1531,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
1532,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
1533,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Water,Water
1534,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
1535,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
1536,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,NULL
1537,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
1538,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,Water
1539,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
1540,Grassland,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
1541,Grassland,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
1542,Grassland,NULL,Wetland,NULL,Wetland,Water,Water,Water
1543,Grassland,NULL,Wetland,NULL,Wetland,Water,Water,Forest
1544,Grassland,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
1545,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
1546,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
1547,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
1548,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Water
1549,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
1550,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
1551,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
1552,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
1553,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Forest
1554,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
1555,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
1556,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
1557,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
1558,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
1559,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Water
1560,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
1561,Grassland,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
1562,Grassland,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
1563,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
1564,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
1565,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Water
1566,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
1567,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
1568,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
1569,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
1570,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Water,Forest
1571,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
1572,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
1573,Grassland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
1574,Grassland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Water
1575,Grassland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Forest
1576,Grassland,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
1577,Grassland,NULL,Wetland,Water,Wetland,Grassland,Water,Water
1578,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
1579,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
1580,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
1581,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
1582,Grassland,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
1583,Grassland,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
1584,Grassland,NULL,Wetland,Water,Wetland,Wetland,Water,Water
1585,Grassland,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
1586,Grassland,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
1587,Grassland,NULL,Wetland,Water,Wetland,Bareland,Wetland,Water
1588,Grassland,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
1589,Grassland,NULL,Wetland,Water,Wetland,Bareland,Water,Water
1590,Grassland,NULL,Wetland,Water,Wetland,Built-up,Bareland,Grassland
1591,Grassland,NULL,Wetland,Water,Wetland,Built-up,Water,Grassland
1592,Grassland,NULL,Wetland,Water,Wetland,Built-up,Water,Water
1593,Grassland,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
1594,Grassland,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
1595,Grassland,NULL,Wetland,Water,Wetland,Water,Wetland,Water
1596,Grassland,NULL,Wetland,Water,Wetland,Water,Wetland,Forest
1597,Grassland,NULL,Wetland,Water,Wetland,Water,Water,Grassland
1598,Grassland,NULL,Wetland,Water,Wetland,Water,Water,Wetland
1599,Grassland,NULL,Wetland,Water,Wetland,Water,Water,Water
1600,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Wetland,Grassland
1601,Grassland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
1602,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1603,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
1604,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,NULL,Grassland
1605,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
1606,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
1607,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1608,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
1609,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1610,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1611,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Forest
1612,Grassland,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,NULL
1613,Grassland,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
1614,Grassland,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Water
1615,Grassland,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
1616,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1617,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1618,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Water,Grassland
1619,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Water,Forest
1620,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1621,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Water
1622,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1623,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Grassland
1624,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Forest
1625,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
1626,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Water,Grassland
1627,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,Grassland
1628,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Grassland
1629,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland,Wetland,Grassland
1630,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland,Water,Grassland
1631,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
1632,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Wetland
1633,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Water
1634,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Forest
1635,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Grassland
1636,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Wetland
1637,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Water
1638,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Forest
1639,Grassland,NULL,Bareland,Water,Non_Wetland,Bareland,Bareland,Grassland
1640,Grassland,NULL,Bareland,Water,Non_Wetland,Bareland,Water,Grassland
1641,Grassland,NULL,Bareland,Water,Non_Wetland,Built-up,Wetland,Grassland
1642,Grassland,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
1643,Grassland,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Water
1644,Grassland,NULL,Bareland,Water,Non_Wetland,Water,Water,Grassland
1645,Grassland,NULL,Bareland,Water,Non_Wetland,Water,Water,Wetland
1646,Grassland,NULL,Bareland,Water,Non_Wetland,Water,Water,Water
1647,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
1648,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
1649,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
1650,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
1651,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
1652,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
1653,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
1654,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
1655,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Water,Grassland
1656,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1657,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Water,Grassland
1658,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Water,Water,Grassland
1659,Grassland,NULL,Built-up,Water,Non_Wetland,Wetland,Wetland,Grassland
1660,Grassland,NULL,Built-up,Water,Non_Wetland,Wetland,Water,Grassland
1661,Grassland,NULL,Built-up,Water,Non_Wetland,Bareland,Wetland,Grassland
1662,Grassland,NULL,Water,NULL,Water,Grassland,Wetland,Grassland
1663,Grassland,NULL,Water,NULL,Water,Grassland,Bareland,Grassland
1664,Grassland,NULL,Water,NULL,Water,Grassland,Water,Grassland
1665,Grassland,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
1666,Grassland,NULL,Water,NULL,Water,Wetland,Wetland,Water
1667,Grassland,NULL,Water,NULL,Water,Water,Grassland,Grassland
1668,Grassland,NULL,Water,NULL,Water,Water,Wetland,Grassland
1669,Grassland,NULL,Water,NULL,Water,Water,Wetland,Wetland
1670,Grassland,NULL,Water,NULL,Water,Water,Wetland,Water
1671,Grassland,NULL,Water,NULL,Water,Water,Wetland,Forest
1672,Grassland,NULL,Water,NULL,Water,Water,Water,Grassland
1673,Grassland,NULL,Water,NULL,Water,Water,Water,Water
1674,Grassland,NULL,Water,NULL,Water,Water,Water,Forest
1675,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
1676,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Water
1677,Grassland,NULL,Water,Non_Water,Water,NULL,Wetland,Water
1678,Grassland,NULL,Water,Non_Water,Water,Grassland,Water,Grassland
1679,Grassland,NULL,Water,Non_Water,Water,Wetland,Wetland,Grassland
1680,Grassland,NULL,Water,Non_Water,Water,Wetland,Wetland,Water
1681,Grassland,NULL,Water,Non_Water,Water,Wetland,Wetland,Forest
1682,Grassland,NULL,Water,Non_Water,Water,Wetland,Water,Grassland
1683,Grassland,NULL,Water,Non_Water,Water,Wetland,Water,Wetland
1684,Grassland,NULL,Water,Non_Water,Water,Wetland,Water,Water
1685,Grassland,NULL,Water,Non_Water,Water,Wetland,Water,Forest
1686,Grassland,NULL,Water,Non_Water,Water,Bareland,Water,Grassland
1687,Grassland,NULL,Water,Non_Water,Water,Built-up,Wetland,Grassland
1688,Grassland,NULL,Water,Non_Water,Water,Water,Wetland,Grassland
1689,Grassland,NULL,Water,Non_Water,Water,Water,Wetland,Wetland
1690,Grassland,NULL,Water,Non_Water,Water,Water,Wetland,Water
1691,Grassland,NULL,Water,Non_Water,Water,Water,Wetland,Forest
1692,Grassland,NULL,Water,Non_Water,Water,Water,Water,Grassland
1693,Grassland,NULL,Water,Non_Water,Water,Water,Water,Water
1694,Grassland,NULL,Water,Non_Water,Water,Water,Water,Forest
1695,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
1696,Grassland,NULL,Water,Water,Water,NULL,NULL,Wetland
1697,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
1698,Grassland,NULL,Water,Water,Water,NULL,Water,Water
1699,Grassland,NULL,Water,Water,Water,Grassland,Wetland,Grassland
1700,Grassland,NULL,Water,Water,Water,Grassland,Wetland,Water
1701,Grassland,NULL,Water,Water,Water,Grassland,Bareland,Grassland
1702,Grassland,NULL,Water,Water,Water,Grassland,Water,Grassland
1703,Grassland,NULL,Water,Water,Water,Grassland,Water,Water
1704,Grassland,NULL,Water,Water,Water,Wetland,Wetland,Grassland
1705,Grassland,NULL,Water,Water,Water,Wetland,Wetland,Wetland
1706,Grassland,NULL,Water,Water,Water,Wetland,Wetland,Water
1707,Grassland,NULL,Water,Water,Water,Wetland,Wetland,Forest
1708,Grassland,NULL,Water,Water,Water,Wetland,Water,Grassland
1709,Grassland,NULL,Water,Water,Water,Wetland,Water,Wetland
1710,Grassland,NULL,Water,Water,Water,Wetland,Water,Water
1711,Grassland,NULL,Water,Water,Water,Wetland,Water,Forest
1712,Grassland,NULL,Water,Water,Water,Bareland,Wetland,Grassland
1713,Grassland,NULL,Water,Water,Water,Bareland,Water,Grassland
1714,Grassland,NULL,Water,Water,Water,Bareland,Water,Water
1715,Grassland,NULL,Water,Water,Water,Built-up,Wetland,Grassland
1716,Grassland,NULL,Water,Water,Water,Built-up,Water,Wetland
1717,Grassland,NULL,Water,Water,Water,Water,Wetland,Grassland
1718,Grassland,NULL,Water,Water,Water,Water,Wetland,Wetland
1719,Grassland,NULL,Water,Water,Water,Water,Wetland,Water
1720,Grassland,NULL,Water,Water,Water,Water,Wetland,Forest
1721,Grassland,NULL,Water,Water,Water,Water,Water,Grassland
1722,Grassland,NULL,Water,Water,Water,Water,Water,Wetland
1723,Grassland,NULL,Water,Water,Water,Water,Water,Water
1724,Grassland,NULL,Water,Water,Water,Water,Water,Forest
1725,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
1726,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1727,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1728,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1729,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1730,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1731,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
1732,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
1733,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1734,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
1735,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
1736,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1737,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
1738,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
1739,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1740,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
1741,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
1742,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up,Wetland,Grassland
1743,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
1744,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Water
1745,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
1746,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1747,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
1748,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1749,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Water,Grassland
1750,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1751,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Water
1752,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1753,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Grassland
1754,Grassland,NULL,Forest,Non_Water,Non_Wetland,Bareland,Grassland,Forest
1755,Grassland,NULL,Forest,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
1756,Grassland,NULL,Forest,Non_Water,Non_Wetland,Built-up,Wetland,Grassland
1757,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Grassland
1758,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
1759,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water,Water,Grassland
1760,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
1761,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,Water,Grassland
1762,Grassland,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
1763,Grassland,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Wetland
1764,Grassland,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Water
1765,Grassland,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
1766,Grassland,NULL,Forest,Water,Non_Wetland,Wetland,Water,Grassland
1767,Grassland,NULL,Forest,Water,Non_Wetland,Wetland,Water,Wetland
1768,Grassland,NULL,Forest,Water,Non_Wetland,Bareland,Water,Grassland
1769,Grassland,NULL,Forest,Water,Non_Wetland,Built-up,Wetland,Grassland
1770,Grassland,NULL,Forest,Water,Non_Wetland,Water,Wetland,Grassland
1771,Grassland,NULL,Forest,Water,Non_Wetland,Water,Wetland,Water
1772,Grassland,NULL,Forest,Water,Non_Wetland,Water,Wetland,Forest
1773,Grassland,NULL,Forest,Water,Non_Wetland,Water,Water,Grassland
1774,Grassland,NULL,Forest,Water,Non_Wetland,Water,Water,Water
1775,Grassland,Wetland,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
1776,Grassland,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
1777,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
1778,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1779,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1780,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
1781,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
1782,Grassland,Wetland,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
1783,Grassland,Wetland,NULL,Water,Non_Wetland,Wetland,Water,Grassland
1784,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
1785,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
1786,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1787,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1788,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
1789,Grassland,Wetland,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
1790,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1791,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
1792,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Water,Grassland
1793,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
1794,Grassland,Wetland,Grassland,Water,Non_Wetland,Wetland,Water,Grassland
1795,Grassland,Wetland,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
1796,Grassland,Wetland,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1797,Grassland,Wetland,Cropland,NULL,Non_Wetland,Water,Wetland,Grassland
1798,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
1799,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
1800,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
1801,Grassland,Wetland,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
1802,Grassland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Grassland
1803,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
1804,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
1805,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
1806,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
1807,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
1808,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
1809,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
1810,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Water
1811,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Forest
1812,Grassland,Wetland,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
1813,Grassland,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
1814,Grassland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Grassland
1815,Grassland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Water
1816,Grassland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Forest
1817,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
1818,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
1819,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
1820,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Wetland
1821,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Water
1822,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Forest
1823,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Water,Grassland
1824,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Water,Wetland
1825,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Water,Water
1826,Grassland,Wetland,Wetland,Water,Wetland,Water,Wetland,Grassland
1827,Grassland,Wetland,Wetland,Water,Wetland,Water,Wetland,Water
1828,Grassland,Wetland,Wetland,Water,Wetland,Water,Water,Grassland
1829,Grassland,Wetland,Wetland,Water,Wetland,Water,Water,Wetland
1830,Grassland,Wetland,Wetland,Water,Wetland,Water,Water,Water
1831,Grassland,Wetland,Bareland,NULL,Non_Wetland,NULL,Wetland,Grassland
1832,Grassland,Wetland,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1833,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1834,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
1835,Grassland,Wetland,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
1836,Grassland,Wetland,Bareland,NULL,Non_Wetland,Water,Wetland,Water
1837,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1838,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
1839,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
1840,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1841,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Water
1842,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1843,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Water,Grassland
1844,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Bareland,Water,Grassland
1845,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
1846,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Water,Water,Grassland
1847,Grassland,Wetland,Bareland,Water,Non_Wetland,Bareland,Wetland,Grassland
1848,Grassland,Wetland,Built-up,NULL,Non_Wetland,Wetland,Wetland,Forest
1849,Grassland,Wetland,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1850,Grassland,Wetland,Water,NULL,Water,NULL,NULL,Grassland
1851,Grassland,Wetland,Water,NULL,Water,Wetland,Wetland,Grassland
1852,Grassland,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
1853,Grassland,Wetland,Water,Non_Water,Water,Grassland,Water,Grassland
1854,Grassland,Wetland,Water,Non_Water,Water,Wetland,Wetland,Grassland
1855,Grassland,Wetland,Water,Non_Water,Water,Wetland,Water,Grassland
1856,Grassland,Wetland,Water,Non_Water,Water,Wetland,Water,Water
1857,Grassland,Wetland,Water,Non_Water,Water,Water,Water,Grassland
1858,Grassland,Wetland,Water,Water,Water,Grassland,Wetland,Water
1859,Grassland,Wetland,Water,Water,Water,Grassland,Water,Grassland
1860,Grassland,Wetland,Water,Water,Water,Wetland,Wetland,Grassland
1861,Grassland,Wetland,Water,Water,Water,Wetland,Wetland,Water
