Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LFF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LFF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LFF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LFF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LFF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LFF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LFF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LFF_M_R
695,Cropland,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Wetland
696,Cropland,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
697,Cropland,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
698,Cropland,Forest,Water,NULL,Water,NULL,NULL,Water
699,Cropland,Forest,Water,Non_Water,Water,NULL,NULL,Wetland
700,Cropland,Forest,Water,Non_Water,Water,NULL,NULL,Water
701,Cropland,Forest,Water,Non_Water,Water,NULL,NULL,Forest
702,Cropland,Forest,Water,Water,Water,NULL,NULL,Grassland
703,Cropland,Forest,Water,Water,Water,NULL,NULL,Wetland
704,Cropland,Forest,Water,Water,Water,NULL,NULL,Bareland
705,Cropland,Forest,Water,Water,Water,NULL,NULL,Water
706,Cropland,Forest,Water,Water,Water,NULL,NULL,Forest
707,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
708,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
709,Cropland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
710,Cropland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
711,Cropland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
712,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
713,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
714,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
715,Wetland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
716,Wetland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
717,Wetland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
718,Wetland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
719,Wetland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
720,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
721,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
722,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
723,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
724,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
725,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
726,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
727,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
728,Wetland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
729,Wetland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
730,Wetland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
731,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
732,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
733,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
734,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
735,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
736,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
737,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
738,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
739,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
740,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
741,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
742,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
743,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
744,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
745,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
746,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
747,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
748,Wetland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
749,Wetland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
750,Wetland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
751,Wetland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
752,Wetland,NULL,Water,NULL,Water,NULL,NULL,NULL
753,Wetland,NULL,Water,NULL,Water,NULL,NULL,Grassland
754,Wetland,NULL,Water,NULL,Water,NULL,NULL,Wetland
755,Wetland,NULL,Water,NULL,Water,NULL,NULL,Water
756,Wetland,NULL,Water,NULL,Water,NULL,NULL,Forest
757,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
758,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
759,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Water
760,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
761,Wetland,NULL,Water,Water,Water,NULL,NULL,Grassland
762,Wetland,NULL,Water,Water,Water,NULL,NULL,Wetland
763,Wetland,NULL,Water,Water,Water,NULL,NULL,Water
764,Wetland,NULL,Water,Water,Water,NULL,NULL,Forest
765,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
766,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
767,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
768,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
769,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
770,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
771,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
772,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
773,Wetland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
774,Wetland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
775,Wetland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
776,Wetland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
777,Wetland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
778,Wetland,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
779,Wetland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
780,Wetland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
781,Wetland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
782,Wetland,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
783,Wetland,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
784,Wetland,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Wetland
785,Wetland,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Forest
786,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
787,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
788,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
789,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
790,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
791,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
792,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
793,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
794,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
795,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
796,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
797,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
798,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
799,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
800,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
801,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
802,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
803,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
804,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
805,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
806,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
807,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
808,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
809,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,NULL
810,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
811,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
812,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Bareland
813,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
814,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
815,Wetland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
816,Wetland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
817,Wetland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
818,Wetland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
819,Wetland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
820,Wetland,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
821,Wetland,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
822,Wetland,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
823,Wetland,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
824,Wetland,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
825,Wetland,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
826,Wetland,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Water
827,Wetland,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Forest
828,Wetland,Wetland,Water,NULL,Water,NULL,NULL,NULL
829,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Grassland
830,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Wetland
831,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Water
832,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Forest
833,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,NULL
834,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
835,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
836,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Water
837,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
838,Wetland,Wetland,Water,Water,Water,NULL,NULL,NULL
839,Wetland,Wetland,Water,Water,Water,NULL,NULL,Grassland
840,Wetland,Wetland,Water,Water,Water,NULL,NULL,Wetland
841,Wetland,Wetland,Water,Water,Water,NULL,NULL,Bareland
842,Wetland,Wetland,Water,Water,Water,NULL,NULL,Water
843,Wetland,Wetland,Water,Water,Water,NULL,NULL,Forest
844,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
845,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
846,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
847,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
848,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
849,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
850,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
851,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
852,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
853,Wetland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,NULL
854,Wetland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
855,Wetland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Cropland
856,Wetland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
857,Wetland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
858,Wetland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
859,Wetland,Bareland,Wetland,Water,Wetland,NULL,NULL,Wetland
860,Wetland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
861,Wetland,Bareland,Water,Water,Water,NULL,NULL,Water
862,Wetland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
863,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
864,Wetland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
865,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
866,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
867,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
868,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
869,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,NULL
870,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
871,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
872,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
873,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
874,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
875,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
876,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Water
877,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
878,Wetland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
879,Wetland,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
880,Wetland,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
881,Wetland,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
882,Wetland,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
883,Wetland,Water,Water,NULL,Water,NULL,NULL,Forest
884,Wetland,Water,Water,Non_Water,Water,NULL,NULL,Grassland
885,Wetland,Water,Water,Non_Water,Water,NULL,NULL,Wetland
886,Wetland,Water,Water,Non_Water,Water,NULL,NULL,Water
887,Wetland,Water,Water,Non_Water,Water,NULL,NULL,Forest
888,Wetland,Water,Water,Water,Water,NULL,NULL,Grassland
889,Wetland,Water,Water,Water,Water,NULL,NULL,Wetland
890,Wetland,Water,Water,Water,Water,NULL,NULL,Water
891,Wetland,Water,Water,Water,Water,NULL,NULL,Forest
892,Wetland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
893,Wetland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
894,Wetland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
895,Wetland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
896,Wetland,Water,Forest,Water,Non_Wetland,NULL,NULL,Cropland
897,Wetland,Water,Forest,Water,Non_Wetland,NULL,NULL,Wetland
898,Wetland,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
899,Wetland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
900,Wetland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
901,Wetland,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Forest
902,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
903,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
904,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
905,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
906,Wetland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,NULL
907,Wetland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
908,Wetland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
909,Wetland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
910,Wetland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
911,Wetland,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
912,Wetland,Forest,Wetland,Water,Wetland,NULL,NULL,Wetland
913,Wetland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
914,Wetland,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
915,Wetland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
916,Wetland,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
917,Wetland,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
918,Wetland,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
919,Wetland,Forest,Water,Non_Water,Water,NULL,NULL,Wetland
920,Wetland,Forest,Water,Non_Water,Water,NULL,NULL,Water
921,Wetland,Forest,Water,Water,Water,NULL,NULL,Grassland
922,Wetland,Forest,Water,Water,Water,NULL,NULL,Water
923,Wetland,Forest,Water,Water,Water,NULL,NULL,Forest
924,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
925,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
926,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
927,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
928,Wetland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
929,Wetland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
930,Wetland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
931,Wetland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
932,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
933,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
934,Bareland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
935,Bareland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
936,Bareland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
937,Bareland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
938,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
939,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
940,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
941,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
942,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
943,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
944,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
945,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
946,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
947,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
948,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
949,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
950,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
951,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
952,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
953,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
954,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
955,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
956,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
957,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
958,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
959,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
960,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
961,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
962,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
963,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
964,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
965,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
966,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
967,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
968,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
969,Bareland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
970,Bareland,NULL,Water,NULL,Water,NULL,NULL,Cropland
971,Bareland,NULL,Water,NULL,Water,NULL,NULL,Water
972,Bareland,NULL,Water,NULL,Water,NULL,NULL,Forest
973,Bareland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
974,Bareland,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
975,Bareland,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
976,Bareland,NULL,Water,Non_Water,Water,NULL,NULL,Water
977,Bareland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
978,Bareland,NULL,Water,Water,Water,NULL,NULL,Cropland
979,Bareland,NULL,Water,Water,Water,NULL,NULL,Wetland
980,Bareland,NULL,Water,Water,Water,NULL,NULL,Water
981,Bareland,NULL,Water,Water,Water,NULL,NULL,Forest
982,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
983,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
984,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
985,Bareland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
986,Bareland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
987,Bareland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
988,Bareland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
989,Bareland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
990,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
991,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
992,Bareland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
993,Bareland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
994,Bareland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
995,Bareland,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
996,Bareland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
997,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
998,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
999,Bareland,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
1000,Bareland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
1001,Bareland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
1002,Bareland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Forest
1003,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
1004,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
1005,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
1006,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
1007,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
1008,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
1009,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
1010,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1011,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
1012,Bareland,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Water
1013,Bareland,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
1014,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
1015,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
1016,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
1017,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
1018,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
1019,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
1020,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
1021,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
1022,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
1023,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
1024,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
1025,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Cropland
1026,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Wetland
1027,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
1028,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
1029,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
1030,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
1031,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1032,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
1033,Bareland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
1034,Bareland,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Water
1035,Bareland,Bareland,Water,NULL,Water,NULL,NULL,Grassland
1036,Bareland,Bareland,Water,NULL,Water,NULL,NULL,Water
1037,Bareland,Bareland,Water,NULL,Water,NULL,NULL,Forest
1038,Bareland,Bareland,Water,Non_Water,Water,NULL,NULL,Grassland
1039,Bareland,Bareland,Water,Non_Water,Water,NULL,NULL,Wetland
1040,Bareland,Bareland,Water,Non_Water,Water,NULL,NULL,Water
1041,Bareland,Bareland,Water,Non_Water,Water,NULL,NULL,Forest
1042,Bareland,Bareland,Water,Water,Water,NULL,NULL,Grassland
1043,Bareland,Bareland,Water,Water,Water,NULL,NULL,Cropland
1044,Bareland,Bareland,Water,Water,Water,NULL,NULL,Wetland
1045,Bareland,Bareland,Water,Water,Water,NULL,NULL,Bareland
1046,Bareland,Bareland,Water,Water,Water,NULL,NULL,Water
1047,Bareland,Bareland,Water,Water,Water,NULL,NULL,Forest
1048,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
1049,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Water
