Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MVU_M_R
441,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
442,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
443,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Grassland
444,Grassland,Forest,Cropland,Water,Non_Wetland,Grassland
445,Grassland,Forest,Cropland,Water,Non_Wetland,Water
446,Grassland,Forest,Wetland,NULL,Wetland,Grassland
447,Grassland,Forest,Wetland,NULL,Wetland,Wetland
448,Grassland,Forest,Wetland,NULL,Wetland,Water
449,Grassland,Forest,Wetland,NULL,Wetland,Forest
450,Grassland,Forest,Wetland,Non_Water,Wetland,Grassland
451,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland
452,Grassland,Forest,Wetland,Non_Water,Wetland,Water
453,Grassland,Forest,Wetland,Non_Water,Wetland,Forest
454,Grassland,Forest,Wetland,Water,Wetland,Grassland
455,Grassland,Forest,Wetland,Water,Wetland,Wetland
456,Grassland,Forest,Wetland,Water,Wetland,Water
457,Grassland,Forest,Wetland,Water,Wetland,Forest
458,Grassland,Forest,Bareland,NULL,Non_Wetland,Forest
459,Grassland,Forest,Bareland,Non_Water,Non_Wetland,Grassland
460,Grassland,Forest,Water,Non_Water,Water,Grassland
461,Grassland,Forest,Water,Non_Water,Water,Water
462,Grassland,Forest,Water,Water,Water,Grassland
463,Grassland,Forest,Water,Water,Water,Wetland
464,Grassland,Forest,Water,Water,Water,Water
465,Grassland,Forest,Water,Water,Water,Forest
466,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
467,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
468,Grassland,Forest,Forest,Non_Water,Non_Wetland,Grassland
469,Grassland,Forest,Forest,Non_Water,Non_Wetland,Wetland
470,Grassland,Forest,Forest,Non_Water,Non_Wetland,Forest
471,Grassland,Forest,Forest,Water,Non_Wetland,Grassland
472,Grassland,Forest,Forest,Water,Non_Wetland,Wetland
473,Grassland,Forest,Forest,Water,Non_Wetland,Water
474,Grassland,Forest,Forest,Water,Non_Wetland,Forest
475,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
476,Cropland,NULL,NULL,Non_Water,Non_Wetland,Forest
477,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
478,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
479,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water
480,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
481,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
482,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
483,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
484,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
485,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
486,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
487,Cropland,NULL,Shrubland,Water,Non_Wetland,Water
488,Cropland,NULL,Shrubland,Water,Non_Wetland,Forest
489,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
490,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
491,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
492,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
493,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Water
494,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Forest
495,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
496,Cropland,NULL,Grassland,Water,Non_Wetland,Water
497,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
498,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
499,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
500,Cropland,NULL,Cropland,NULL,Non_Wetland,Water
501,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
502,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
503,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
504,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Water
505,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Forest
506,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
507,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
508,Cropland,NULL,Cropland,Water,Non_Wetland,Bareland
509,Cropland,NULL,Cropland,Water,Non_Wetland,Water
510,Cropland,NULL,Cropland,Water,Non_Wetland,Forest
511,Cropland,NULL,Wetland,NULL,Wetland,Grassland
512,Cropland,NULL,Wetland,NULL,Wetland,Water
513,Cropland,NULL,Wetland,NULL,Wetland,Forest
514,Cropland,NULL,Wetland,Non_Water,Wetland,Grassland
515,Cropland,NULL,Wetland,Non_Water,Wetland,Cropland
516,Cropland,NULL,Wetland,Non_Water,Wetland,Wetland
517,Cropland,NULL,Wetland,Non_Water,Wetland,Water
518,Cropland,NULL,Wetland,Non_Water,Wetland,Forest
519,Cropland,NULL,Wetland,Water,Wetland,Grassland
520,Cropland,NULL,Wetland,Water,Wetland,Cropland
521,Cropland,NULL,Wetland,Water,Wetland,Wetland
522,Cropland,NULL,Wetland,Water,Wetland,Water
523,Cropland,NULL,Wetland,Water,Wetland,Forest
524,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
525,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
526,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Water
527,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
528,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland
529,Cropland,NULL,Bareland,Water,Non_Wetland,Water
530,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
531,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Bareland
532,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Water
533,Cropland,NULL,Water,NULL,Water,Water
534,Cropland,NULL,Water,NULL,Water,Forest
535,Cropland,NULL,Water,Non_Water,Water,Grassland
536,Cropland,NULL,Water,Non_Water,Water,Bareland
537,Cropland,NULL,Water,Non_Water,Water,Water
538,Cropland,NULL,Water,Non_Water,Water,Forest
539,Cropland,NULL,Water,Water,Water,Grassland
540,Cropland,NULL,Water,Water,Water,Cropland
541,Cropland,NULL,Water,Water,Water,Wetland
542,Cropland,NULL,Water,Water,Water,Bareland
543,Cropland,NULL,Water,Water,Water,Water
544,Cropland,NULL,Water,Water,Water,Forest
545,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
546,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
547,Cropland,NULL,Forest,NULL,Non_Wetland,Water
548,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
549,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland
550,Cropland,NULL,Forest,Non_Water,Non_Wetland,Cropland
551,Cropland,NULL,Forest,Non_Water,Non_Wetland,Wetland
552,Cropland,NULL,Forest,Non_Water,Non_Wetland,Water
553,Cropland,NULL,Forest,Non_Water,Non_Wetland,Forest
554,Cropland,NULL,Forest,Water,Non_Wetland,Grassland
555,Cropland,NULL,Forest,Water,Non_Wetland,Cropland
556,Cropland,NULL,Forest,Water,Non_Wetland,Wetland
557,Cropland,NULL,Forest,Water,Non_Wetland,Water
558,Cropland,NULL,Forest,Water,Non_Wetland,Forest
559,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
560,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
561,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
562,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
563,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
564,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
565,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
566,Cropland,Cropland,Shrubland,Water,Non_Wetland,Grassland
567,Cropland,Cropland,Shrubland,Water,Non_Wetland,Cropland
568,Cropland,Cropland,Shrubland,Water,Non_Wetland,Water
569,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
570,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
571,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
572,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
573,Cropland,Cropland,Grassland,Water,Non_Wetland,Grassland
574,Cropland,Cropland,Grassland,Water,Non_Wetland,Cropland
575,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
576,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
577,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
578,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
579,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
580,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Water
581,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Forest
582,Cropland,Cropland,Cropland,Water,Non_Wetland,Grassland
583,Cropland,Cropland,Cropland,Water,Non_Wetland,Cropland
584,Cropland,Cropland,Cropland,Water,Non_Wetland,Water
585,Cropland,Cropland,Cropland,Water,Non_Wetland,Forest
586,Cropland,Cropland,Wetland,NULL,Wetland,Grassland
587,Cropland,Cropland,Wetland,NULL,Wetland,Cropland
588,Cropland,Cropland,Wetland,NULL,Wetland,Forest
589,Cropland,Cropland,Wetland,Non_Water,Wetland,Grassland
590,Cropland,Cropland,Wetland,Non_Water,Wetland,Cropland
591,Cropland,Cropland,Wetland,Non_Water,Wetland,Water
592,Cropland,Cropland,Wetland,Non_Water,Wetland,Forest
593,Cropland,Cropland,Wetland,Water,Wetland,Grassland
594,Cropland,Cropland,Wetland,Water,Wetland,Cropland
595,Cropland,Cropland,Wetland,Water,Wetland,Water
596,Cropland,Cropland,Wetland,Water,Wetland,Forest
597,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
598,Cropland,Cropland,Bareland,Water,Non_Wetland,Grassland
599,Cropland,Cropland,Water,NULL,Water,Water
600,Cropland,Cropland,Water,Non_Water,Water,Grassland
601,Cropland,Cropland,Water,Non_Water,Water,Water
602,Cropland,Cropland,Water,Water,Water,Grassland
603,Cropland,Cropland,Water,Water,Water,Water
604,Cropland,Cropland,Water,Water,Water,Forest
605,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
606,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
607,Cropland,Cropland,Forest,NULL,Non_Wetland,Built-up
608,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
609,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Grassland
610,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Cropland
611,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Water
612,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Forest
613,Cropland,Cropland,Forest,Water,Non_Wetland,Grassland
614,Cropland,Cropland,Forest,Water,Non_Wetland,Cropland
615,Cropland,Cropland,Forest,Water,Non_Wetland,Wetland
616,Cropland,Cropland,Forest,Water,Non_Wetland,Water
617,Cropland,Cropland,Forest,Water,Non_Wetland,Forest
618,Cropland,Wetland,Wetland,Non_Water,Wetland,Grassland
619,Cropland,Wetland,Wetland,Non_Water,Wetland,Forest
620,Cropland,Wetland,Wetland,Water,Wetland,Grassland
621,Cropland,Wetland,Wetland,Water,Wetland,Wetland
622,Cropland,Wetland,Wetland,Water,Wetland,Water
623,Cropland,Wetland,Water,Water,Water,Water
624,Cropland,Wetland,Forest,NULL,Non_Wetland,Grassland
625,Cropland,Wetland,Forest,NULL,Non_Wetland,Forest
626,Cropland,Wetland,Forest,Non_Water,Non_Wetland,Grassland
627,Cropland,Wetland,Forest,Non_Water,Non_Wetland,Forest
628,Cropland,Bareland,Wetland,Water,Wetland,Water
629,Cropland,Bareland,Bareland,Non_Water,Non_Wetland,Water
630,Cropland,Bareland,Bareland,Water,Non_Wetland,Water
631,Cropland,Bareland,Water,NULL,Water,Water
632,Cropland,Bareland,Water,Water,Water,Water
633,Cropland,Bareland,Forest,Water,Non_Wetland,Water
634,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
635,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Forest
636,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
637,Cropland,Built-up,Grassland,Water,Non_Wetland,Grassland
638,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
639,Cropland,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
640,Cropland,Built-up,Wetland,NULL,Wetland,Grassland
641,Cropland,Built-up,Wetland,NULL,Wetland,Forest
642,Cropland,Built-up,Wetland,Non_Water,Wetland,Grassland
643,Cropland,Built-up,Wetland,Water,Wetland,Grassland
644,Cropland,Built-up,Wetland,Water,Wetland,Water
645,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
646,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
647,Cropland,Built-up,Forest,Non_Water,Non_Wetland,Forest
648,Cropland,Water,Shrubland,Non_Water,Non_Wetland,Water
649,Cropland,Water,Cropland,NULL,Non_Wetland,Water
650,Cropland,Water,Cropland,NULL,Non_Wetland,Forest
651,Cropland,Water,Cropland,Non_Water,Non_Wetland,Grassland
652,Cropland,Water,Cropland,Non_Water,Non_Wetland,Bareland
653,Cropland,Water,Cropland,Non_Water,Non_Wetland,Water
654,Cropland,Water,Cropland,Water,Non_Wetland,Grassland
655,Cropland,Water,Cropland,Water,Non_Wetland,Water
656,Cropland,Water,Wetland,NULL,Wetland,Grassland
657,Cropland,Water,Wetland,NULL,Wetland,Water
658,Cropland,Water,Wetland,NULL,Wetland,Forest
659,Cropland,Water,Wetland,Non_Water,Wetland,Grassland
660,Cropland,Water,Wetland,Non_Water,Wetland,Cropland
661,Cropland,Water,Wetland,Non_Water,Wetland,Water
662,Cropland,Water,Wetland,Non_Water,Wetland,Forest
663,Cropland,Water,Wetland,Water,Wetland,Grassland
664,Cropland,Water,Wetland,Water,Wetland,Wetland
665,Cropland,Water,Wetland,Water,Wetland,Water
666,Cropland,Water,Wetland,Water,Wetland,Forest
667,Cropland,Water,Bareland,NULL,Non_Wetland,Bareland
668,Cropland,Water,Bareland,Non_Water,Non_Wetland,Grassland
669,Cropland,Water,Bareland,Non_Water,Non_Wetland,Water
670,Cropland,Water,Bareland,Non_Water,Non_Wetland,Forest
671,Cropland,Water,Bareland,Water,Non_Wetland,Water
672,Cropland,Water,Water,NULL,Water,Water
673,Cropland,Water,Water,Non_Water,Water,Grassland
674,Cropland,Water,Water,Non_Water,Water,Water
675,Cropland,Water,Water,Non_Water,Water,Forest
676,Cropland,Water,Water,Water,Water,Grassland
677,Cropland,Water,Water,Water,Water,Wetland
678,Cropland,Water,Water,Water,Water,Bareland
679,Cropland,Water,Water,Water,Water,Water
680,Cropland,Water,Water,Water,Water,Forest
681,Cropland,Water,Forest,NULL,Non_Wetland,Grassland
682,Cropland,Water,Forest,NULL,Non_Wetland,Water
683,Cropland,Water,Forest,NULL,Non_Wetland,Forest
684,Cropland,Water,Forest,Non_Water,Non_Wetland,Grassland
685,Cropland,Water,Forest,Non_Water,Non_Wetland,Cropland
686,Cropland,Water,Forest,Non_Water,Non_Wetland,Water
687,Cropland,Water,Forest,Non_Water,Non_Wetland,Forest
688,Cropland,Water,Forest,Water,Non_Wetland,Grassland
689,Cropland,Water,Forest,Water,Non_Wetland,Water
690,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
691,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
692,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
693,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
694,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,Water
695,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
696,Cropland,Forest,Shrubland,Water,Non_Wetland,Grassland
697,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
698,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest
699,Cropland,Forest,Grassland,Non_Water,Non_Wetland,Grassland
700,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
701,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
702,Cropland,Forest,Cropland,Non_Water,Non_Wetland,Grassland
703,Cropland,Forest,Cropland,Non_Water,Non_Wetland,Cropland
704,Cropland,Forest,Cropland,Non_Water,Non_Wetland,Water
705,Cropland,Forest,Cropland,Non_Water,Non_Wetland,Forest
706,Cropland,Forest,Cropland,Water,Non_Wetland,Grassland
707,Cropland,Forest,Cropland,Water,Non_Wetland,Bareland
708,Cropland,Forest,Cropland,Water,Non_Wetland,Water
709,Cropland,Forest,Cropland,Water,Non_Wetland,Forest
710,Cropland,Forest,Wetland,NULL,Wetland,Grassland
711,Cropland,Forest,Wetland,NULL,Wetland,Water
712,Cropland,Forest,Wetland,NULL,Wetland,Forest
713,Cropland,Forest,Wetland,Non_Water,Wetland,Grassland
714,Cropland,Forest,Wetland,Non_Water,Wetland,Wetland
715,Cropland,Forest,Wetland,Non_Water,Wetland,Water
716,Cropland,Forest,Wetland,Non_Water,Wetland,Forest
717,Cropland,Forest,Wetland,Water,Wetland,Grassland
718,Cropland,Forest,Wetland,Water,Wetland,Wetland
719,Cropland,Forest,Wetland,Water,Wetland,Water
720,Cropland,Forest,Wetland,Water,Wetland,Forest
721,Cropland,Forest,Bareland,NULL,Non_Wetland,Bareland
722,Cropland,Forest,Bareland,Non_Water,Non_Wetland,Grassland
723,Cropland,Forest,Bareland,Non_Water,Non_Wetland,Bareland
724,Cropland,Forest,Bareland,Non_Water,Non_Wetland,Water
725,Cropland,Forest,Bareland,Water,Non_Wetland,Water
726,Cropland,Forest,Water,NULL,Water,Grassland
727,Cropland,Forest,Water,Non_Water,Water,Grassland
728,Cropland,Forest,Water,Non_Water,Water,Bareland
729,Cropland,Forest,Water,Non_Water,Water,Forest
730,Cropland,Forest,Water,Water,Water,Grassland
731,Cropland,Forest,Water,Water,Water,Water
732,Cropland,Forest,Water,Water,Water,Forest
733,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
734,Cropland,Forest,Forest,NULL,Non_Wetland,Cropland
735,Cropland,Forest,Forest,NULL,Non_Wetland,Water
736,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
737,Cropland,Forest,Forest,Non_Water,Non_Wetland,Grassland
738,Cropland,Forest,Forest,Non_Water,Non_Wetland,Cropland
739,Cropland,Forest,Forest,Non_Water,Non_Wetland,Water
740,Cropland,Forest,Forest,Non_Water,Non_Wetland,Forest
741,Cropland,Forest,Forest,Water,Non_Wetland,Grassland
742,Cropland,Forest,Forest,Water,Non_Wetland,Cropland
743,Cropland,Forest,Forest,Water,Non_Wetland,Water
744,Cropland,Forest,Forest,Water,Non_Wetland,Forest
745,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
746,Wetland,NULL,Shrubland,Water,Non_Wetland,Grassland
747,Wetland,NULL,Shrubland,Water,Non_Wetland,Wetland
748,Wetland,NULL,Shrubland,Water,Non_Wetland,Water
749,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
750,Wetland,NULL,Cropland,Water,Non_Wetland,Grassland
751,Wetland,NULL,Wetland,NULL,Wetland,Water
752,Wetland,NULL,Wetland,NULL,Wetland,Forest
753,Wetland,NULL,Wetland,Non_Water,Wetland,NULL
754,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland
755,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland
756,Wetland,NULL,Wetland,Non_Water,Wetland,Water
757,Wetland,NULL,Wetland,Water,Wetland,Grassland
758,Wetland,NULL,Wetland,Water,Wetland,Wetland
759,Wetland,NULL,Wetland,Water,Wetland,Water
760,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
761,Wetland,NULL,Water,Non_Water,Water,Grassland
762,Wetland,NULL,Water,Non_Water,Water,Wetland
763,Wetland,NULL,Water,Non_Water,Water,Water
764,Wetland,NULL,Water,Water,Water,Grassland
765,Wetland,NULL,Water,Water,Water,Wetland
766,Wetland,NULL,Water,Water,Water,Water
767,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland
768,Wetland,NULL,Forest,Non_Water,Non_Wetland,Grassland
769,Wetland,NULL,Forest,Non_Water,Non_Wetland,Bareland
770,Wetland,NULL,Forest,Non_Water,Non_Wetland,Forest
771,Wetland,NULL,Forest,Water,Non_Wetland,Grassland
772,Wetland,NULL,Forest,Water,Non_Wetland,Wetland
773,Wetland,NULL,Forest,Water,Non_Wetland,Water
774,Wetland,Cropland,Forest,NULL,Non_Wetland,Grassland
775,Wetland,Cropland,Forest,Non_Water,Non_Wetland,Grassland
776,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
777,Wetland,Wetland,Shrubland,Water,Non_Wetland,Grassland
778,Wetland,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
779,Wetland,Wetland,Wetland,NULL,Wetland,Grassland
780,Wetland,Wetland,Wetland,NULL,Wetland,Forest
781,Wetland,Wetland,Wetland,Non_Water,Wetland,Grassland
782,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland
783,Wetland,Wetland,Wetland,Non_Water,Wetland,Water
784,Wetland,Wetland,Wetland,Water,Wetland,Grassland
785,Wetland,Wetland,Wetland,Water,Wetland,Wetland
786,Wetland,Wetland,Wetland,Water,Wetland,Water
787,Wetland,Wetland,Bareland,Water,Non_Wetland,Grassland
788,Wetland,Wetland,Water,Non_Water,Water,Grassland
789,Wetland,Wetland,Water,Water,Water,Grassland
790,Wetland,Wetland,Water,Water,Water,Wetland
791,Wetland,Wetland,Water,Water,Water,Water
792,Wetland,Wetland,Forest,NULL,Non_Wetland,Grassland
793,Wetland,Wetland,Forest,NULL,Non_Wetland,Water
794,Wetland,Wetland,Forest,NULL,Non_Wetland,Forest
795,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Grassland
796,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
797,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Water
798,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Forest
799,Wetland,Wetland,Forest,Water,Non_Wetland,Grassland
800,Wetland,Wetland,Forest,Water,Non_Wetland,Wetland
801,Wetland,Wetland,Forest,Water,Non_Wetland,Water
802,Wetland,Bareland,Wetland,NULL,Wetland,Water
803,Wetland,Bareland,Wetland,Water,Wetland,Water
804,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Grassland
805,Wetland,Water,Wetland,Non_Water,Wetland,Grassland
806,Wetland,Water,Wetland,Non_Water,Wetland,Water
807,Wetland,Water,Wetland,Water,Wetland,Grassland
808,Wetland,Water,Wetland,Water,Wetland,Wetland
809,Wetland,Water,Wetland,Water,Wetland,Water
810,Wetland,Water,Water,Non_Water,Water,Grassland
811,Wetland,Water,Water,Water,Water,Grassland
812,Wetland,Water,Water,Water,Water,Wetland
813,Wetland,Water,Water,Water,Water,Water
814,Wetland,Water,Water,Water,Water,Forest
815,Wetland,Water,Forest,NULL,Non_Wetland,Grassland
816,Wetland,Water,Forest,Non_Water,Non_Wetland,Grassland
817,Wetland,Forest,Cropland,Non_Water,Non_Wetland,Grassland
818,Wetland,Forest,Wetland,NULL,Wetland,Grassland
819,Wetland,Forest,Wetland,NULL,Wetland,Forest
820,Wetland,Forest,Wetland,Non_Water,Wetland,Grassland
821,Wetland,Forest,Wetland,Non_Water,Wetland,Wetland
822,Wetland,Forest,Wetland,Non_Water,Wetland,Water
823,Wetland,Forest,Wetland,Non_Water,Wetland,Forest
824,Wetland,Forest,Wetland,Water,Wetland,Grassland
825,Wetland,Forest,Wetland,Water,Wetland,Wetland
826,Wetland,Forest,Wetland,Water,Wetland,Water
827,Wetland,Forest,Bareland,Non_Water,Non_Wetland,Bareland
828,Wetland,Forest,Water,Non_Water,Water,Grassland
829,Wetland,Forest,Water,Non_Water,Water,Wetland
830,Wetland,Forest,Water,Water,Water,Grassland
831,Wetland,Forest,Water,Water,Water,Wetland
832,Wetland,Forest,Water,Water,Water,Water
833,Wetland,Forest,Forest,NULL,Non_Wetland,Grassland
834,Wetland,Forest,Forest,NULL,Non_Wetland,Forest
835,Wetland,Forest,Forest,Non_Water,Non_Wetland,Grassland
836,Bareland,NULL,Shrubland,Water,Non_Wetland,Water
837,Bareland,NULL,Grassland,Water,Non_Wetland,Water
838,Bareland,NULL,Grassland,Water,Non_Wetland,Forest
839,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland
840,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
841,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Water
842,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Forest
843,Bareland,NULL,Cropland,Water,Non_Wetland,Grassland
844,Bareland,NULL,Cropland,Water,Non_Wetland,Wetland
845,Bareland,NULL,Cropland,Water,Non_Wetland,Water
846,Bareland,NULL,Wetland,Non_Water,Wetland,Grassland
847,Bareland,NULL,Wetland,Non_Water,Wetland,Wetland
848,Bareland,NULL,Wetland,Non_Water,Wetland,Water
849,Bareland,NULL,Wetland,Non_Water,Wetland,Forest
850,Bareland,NULL,Wetland,Water,Wetland,Grassland
851,Bareland,NULL,Wetland,Water,Wetland,Wetland
852,Bareland,NULL,Wetland,Water,Wetland,Bareland
853,Bareland,NULL,Wetland,Water,Wetland,Water
854,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
855,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
856,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Water
857,Bareland,NULL,Bareland,Water,Non_Wetland,Water
858,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Bareland
859,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Water
860,Bareland,NULL,Built-up,Water,Non_Wetland,Bareland
861,Bareland,NULL,Built-up,Water,Non_Wetland,Water
862,Bareland,NULL,Water,Non_Water,Water,Cropland
863,Bareland,NULL,Water,Non_Water,Water,Bareland
864,Bareland,NULL,Water,Non_Water,Water,Water
865,Bareland,NULL,Water,Water,Water,Water
866,Bareland,NULL,Water,Water,Water,Forest
867,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
868,Bareland,NULL,Forest,NULL,Non_Wetland,Water
869,Bareland,NULL,Forest,NULL,Non_Wetland,Forest
870,Bareland,NULL,Forest,Non_Water,Non_Wetland,Grassland
871,Bareland,NULL,Forest,Non_Water,Non_Wetland,Bareland
872,Bareland,NULL,Forest,Non_Water,Non_Wetland,Water
873,Bareland,NULL,Forest,Non_Water,Non_Wetland,Forest
874,Bareland,NULL,Forest,Water,Non_Wetland,Water
875,Bareland,Cropland,Grassland,NULL,Non_Wetland,Grassland
876,Bareland,Cropland,Grassland,NULL,Non_Wetland,Bareland
877,Bareland,Cropland,Cropland,NULL,Non_Wetland,Cropland
878,Bareland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
879,Bareland,Cropland,Wetland,Water,Wetland,Water
880,Bareland,Cropland,Bareland,NULL,Non_Wetland,Bareland
881,Bareland,Cropland,Water,Water,Water,Water
882,Bareland,Cropland,Forest,NULL,Non_Wetland,Grassland
883,Bareland,Cropland,Forest,NULL,Non_Wetland,Cropland
884,Bareland,Cropland,Forest,NULL,Non_Wetland,Bareland
885,Bareland,Cropland,Forest,NULL,Non_Wetland,Forest
