Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NWE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NWE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NWE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NWE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NWE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NWE_M_R
366,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
367,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
368,Forest,Forest,Water,NULL,Water,NULL,NULL,Grassland
369,Forest,Forest,Water,NULL,Water,NULL,NULL,Water
370,Forest,Forest,Water,NULL,Water,NULL,NULL,Forest
371,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Forest
372,Forest,Forest,Water,Water,Water,NULL,NULL,Bareland
373,Forest,Forest,Water,Water,Water,NULL,NULL,Water
374,Forest,Forest,Water,Water,Water,NULL,NULL,Forest
375,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
376,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
377,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
378,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
379,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
380,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
381,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
382,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
383,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
384,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
385,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
