Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KFD_M_R
1091,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Water,Wetland
1092,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,NULL,Grassland
1093,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1094,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
1095,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Forest,Forest
1096,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,NULL,Grassland
1097,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Grassland,Grassland
1098,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Water,Grassland
1099,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest,NULL,Forest
1100,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest,Wetland,Grassland
1101,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest,Wetland,Forest
1102,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
1103,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Wetland
1104,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Water,Wetland
1105,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1106,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1107,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
1108,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
1109,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
1110,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Water
1111,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1112,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,NULL
1113,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
1114,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,Cropland
1115,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
1116,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
1117,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
1118,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
1119,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Bareland
1120,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1121,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
1122,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
1123,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Wetland,Cropland
1124,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Wetland,Wetland
1125,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1126,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
1127,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Bareland,Cropland
1128,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Bareland,Bareland
1129,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
1130,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Water,Grassland
1131,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,NULL
1132,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
1133,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
1134,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,Forest
1135,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
1136,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
1137,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
1138,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
1139,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
1140,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
1141,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1142,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
1143,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
1144,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
1145,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1146,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
1147,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
1148,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
1149,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
1150,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Wetland,Cropland
1151,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
1152,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
1153,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
1154,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
1155,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
1156,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
1157,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
1158,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
1159,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
1160,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
1161,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
1162,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
1163,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1164,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
1165,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
1166,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
1167,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1168,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
1169,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
1170,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1171,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
1172,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
1173,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
1174,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
1175,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
1176,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
1177,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
1178,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
1179,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
1180,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1181,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
1182,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
1183,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
1184,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
1185,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
1186,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
1187,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
1188,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
1189,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
1190,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
1191,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
1192,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
1193,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
1194,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
1195,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
1196,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
1197,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
1198,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
1199,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
1200,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
1201,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
1202,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
1203,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
1204,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
1205,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
1206,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
1207,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
1208,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
1209,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
1210,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
1211,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
1212,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
1213,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1214,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
1215,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
1216,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
1217,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1218,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
1219,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
1220,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
1221,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
1222,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
1223,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
1224,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
1225,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
1226,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
1227,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
1228,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
1229,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
1230,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
1231,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
1232,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
1233,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
1234,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,NULL
1235,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
1236,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
1237,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,Forest
1238,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
1239,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
1240,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
1241,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
1242,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
1243,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
1244,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,NULL
1245,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
1246,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
1247,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Forest
1248,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
1249,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
1250,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
1251,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
1252,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
1253,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
1254,NULL,Cropland,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
1255,NULL,Cropland,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
1256,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
1257,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
1258,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1259,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
1260,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
1261,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
1262,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Water,NULL
1263,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
1264,NULL,Cropland,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
1265,NULL,Cropland,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
1266,NULL,Cropland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1267,NULL,Cropland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
1268,NULL,Cropland,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
1269,NULL,Cropland,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Forest
1270,NULL,Cropland,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
1271,NULL,Cropland,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
1272,NULL,Cropland,NULL,Non_Water,Non_Wetland,Forest,Wetland,Wetland
1273,NULL,Cropland,NULL,Water,Non_Wetland,NULL,Water,Grassland
1274,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
1275,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1276,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
1277,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
1278,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
1279,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
1280,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
1281,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
1282,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
1283,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
1284,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
1285,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
1286,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
1287,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
1288,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
1289,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
1290,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
1291,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
1292,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
1293,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
1294,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
1295,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
1296,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
1297,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
1298,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
1299,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
1300,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
1301,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
1302,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
1303,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
1304,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
1305,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
1306,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
1307,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
1308,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
1309,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
1310,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
1311,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Water,Water
1312,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
1313,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
1314,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
1315,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
1316,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
1317,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
1318,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
1319,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
1320,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
1321,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
1322,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
1323,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Water
1324,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
1325,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
1326,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1327,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
1328,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
1329,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
1330,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
1331,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1332,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
1333,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
1334,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
1335,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
1336,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
1337,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Cropland
1338,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
1339,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
1340,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
1341,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
1342,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Water,Water
1343,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
1344,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
1345,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Cropland
1346,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
1347,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
1348,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
1349,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
1350,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
1351,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
1352,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
1353,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
1354,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
1355,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
1356,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1357,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
1358,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
1359,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
1360,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
1361,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1362,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1363,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
1364,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
1365,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1366,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
1367,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1368,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
1369,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1370,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
1371,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
1372,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
1373,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
1374,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1375,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Wetland
1376,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
1377,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
1378,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
1379,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
1380,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
1381,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
1382,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
1383,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
1384,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
1385,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
1386,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
1387,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
1388,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
1389,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
1390,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
1391,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Built-up
1392,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
1393,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
1394,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
1395,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
1396,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
1397,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1398,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
1399,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
1400,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Cropland
1401,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
1402,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
1403,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
1404,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
1405,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Built-up
1406,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Water
1407,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
