Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NDD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NDD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NDD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NDD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NDD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NDD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NDD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NDD_M_R
353,Water,Water,Water,NULL,Water,NULL,NULL,Grassland
354,Water,Water,Water,NULL,Water,NULL,NULL,Wetland
355,Water,Water,Water,NULL,Water,NULL,NULL,Bareland
356,Water,Water,Water,NULL,Water,NULL,NULL,Water
357,Water,Water,Water,NULL,Water,NULL,NULL,Forest
358,Water,Water,Water,Non_Water,Water,NULL,NULL,Grassland
359,Water,Water,Water,Non_Water,Water,NULL,NULL,Wetland
360,Water,Water,Water,Non_Water,Water,NULL,NULL,Water
361,Water,Water,Water,Non_Water,Water,NULL,NULL,Forest
362,Water,Water,Water,Water,Water,NULL,NULL,Grassland
363,Water,Water,Water,Water,Water,NULL,NULL,Wetland
364,Water,Water,Water,Water,Water,NULL,NULL,Bareland
365,Water,Water,Water,Water,Water,NULL,NULL,Water
366,Water,Water,Water,Water,Water,NULL,NULL,Forest
367,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
368,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
369,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
370,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
371,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
372,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
373,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
374,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
375,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
376,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
377,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
378,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
379,Water,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
380,Water,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
381,Water,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
382,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
383,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
384,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
385,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
386,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
387,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
388,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Water
389,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
390,Water,Forest,Water,NULL,Water,NULL,NULL,Water
391,Water,Forest,Water,NULL,Water,NULL,NULL,Forest
392,Water,Forest,Water,Non_Water,Water,NULL,NULL,Water
393,Water,Forest,Water,Non_Water,Water,NULL,NULL,Forest
394,Water,Forest,Water,Water,Water,NULL,NULL,Grassland
395,Water,Forest,Water,Water,Water,NULL,NULL,Water
396,Water,Forest,Water,Water,Water,NULL,NULL,Forest
397,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
398,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
399,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
400,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
401,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
402,Water,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
403,Water,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
404,Permanent_ice_and_snow,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
405,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,NULL,NULL,Water
406,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
407,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
408,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
409,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
410,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
411,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
412,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
413,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
414,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
415,Forest,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
416,Forest,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
417,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
418,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
419,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
420,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
421,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
422,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
423,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
424,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
425,Forest,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
426,Forest,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
427,Forest,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
428,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
429,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
430,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
431,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
432,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
433,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
434,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
435,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
436,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
437,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
438,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
439,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
440,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
441,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
442,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Water
443,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
444,Forest,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
445,Forest,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
446,Forest,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
447,Forest,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
448,Forest,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
449,Forest,NULL,Water,NULL,Water,NULL,NULL,Grassland
450,Forest,NULL,Water,NULL,Water,NULL,NULL,Forest
451,Forest,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
452,Forest,NULL,Water,Non_Water,Water,NULL,NULL,Water
453,Forest,NULL,Water,Non_Water,Water,NULL,NULL,Forest
454,Forest,NULL,Water,Water,Water,NULL,NULL,Grassland
455,Forest,NULL,Water,Water,Water,NULL,NULL,Wetland
456,Forest,NULL,Water,Water,Water,NULL,NULL,Water
457,Forest,NULL,Water,Water,Water,NULL,NULL,Forest
458,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
459,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
460,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
461,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
462,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
463,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
464,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
465,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
466,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
467,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
468,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
469,Forest,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
470,Forest,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
471,Forest,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
472,Forest,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
473,Forest,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
474,Forest,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
475,Forest,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
476,Forest,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
477,Forest,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
478,Forest,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
479,Forest,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
480,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
481,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
482,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
483,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
484,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
485,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
486,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
487,Forest,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
488,Forest,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
489,Forest,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
490,Forest,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
491,Forest,Wetland,Water,NULL,Water,NULL,NULL,Grassland
492,Forest,Wetland,Water,NULL,Water,NULL,NULL,Wetland
493,Forest,Wetland,Water,NULL,Water,NULL,NULL,Water
494,Forest,Wetland,Water,NULL,Water,NULL,NULL,Forest
495,Forest,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
496,Forest,Wetland,Water,Non_Water,Water,NULL,NULL,Water
497,Forest,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
498,Forest,Wetland,Water,Water,Water,NULL,NULL,Grassland
499,Forest,Wetland,Water,Water,Water,NULL,NULL,Water
500,Forest,Wetland,Water,Water,Water,NULL,NULL,Forest
501,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
502,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
503,Forest,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
504,Forest,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
505,Forest,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
506,Forest,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
507,Forest,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
508,Forest,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
509,Forest,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
510,Forest,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
511,Forest,Bareland,Water,Water,Water,NULL,NULL,Water
512,Forest,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
513,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
514,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
515,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
516,Forest,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
517,Forest,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
518,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
519,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
520,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
521,Forest,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
522,Forest,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
523,Forest,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
524,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
525,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
526,Forest,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
527,Forest,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
528,Forest,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
529,Forest,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
530,Forest,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
531,Forest,Built-up,Water,NULL,Water,NULL,NULL,Forest
532,Forest,Built-up,Water,Non_Water,Water,NULL,NULL,Grassland
533,Forest,Built-up,Water,Water,Water,NULL,NULL,Grassland
534,Forest,Built-up,Water,Water,Water,NULL,NULL,Forest
535,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
536,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
537,Forest,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
538,Forest,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
539,Forest,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Grassland
540,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
541,Forest,Water,NULL,Water,Non_Wetland,NULL,NULL,Grassland
542,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
543,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
544,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
545,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
546,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
547,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
548,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
549,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
550,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
551,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
552,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
553,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
554,Forest,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
555,Forest,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
556,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
557,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
558,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
559,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Water
560,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
561,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
562,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
563,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
564,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
565,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
566,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
567,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Water
568,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Forest
569,Forest,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
570,Forest,Water,Water,NULL,Water,NULL,NULL,Grassland
571,Forest,Water,Water,NULL,Water,NULL,NULL,Bareland
572,Forest,Water,Water,NULL,Water,NULL,NULL,Water
573,Forest,Water,Water,NULL,Water,NULL,NULL,Forest
574,Forest,Water,Water,Non_Water,Water,NULL,NULL,Grassland
575,Forest,Water,Water,Non_Water,Water,NULL,NULL,Water
576,Forest,Water,Water,Non_Water,Water,NULL,NULL,Forest
577,Forest,Water,Water,Water,Water,NULL,NULL,Grassland
578,Forest,Water,Water,Water,Water,NULL,NULL,Wetland
579,Forest,Water,Water,Water,Water,NULL,NULL,Water
580,Forest,Water,Water,Water,Water,NULL,NULL,Forest
581,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
582,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
583,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
584,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
585,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
586,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
587,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
588,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
589,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
590,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
591,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
592,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
593,Forest,Forest,NULL,Water,Non_Wetland,NULL,NULL,Grassland
594,Forest,Forest,NULL,Water,Non_Wetland,NULL,NULL,Water
595,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
596,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
597,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
598,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
599,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
600,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
601,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
602,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
603,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
604,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Water
605,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
606,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
607,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
608,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
609,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Water
610,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
611,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
612,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
613,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
614,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
615,Forest,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
616,Forest,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Water
617,Forest,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Forest
618,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
619,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
620,Forest,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
621,Forest,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
622,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
623,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
624,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
625,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
626,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
627,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,NULL
628,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
629,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
630,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
631,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
632,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,NULL
633,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
634,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Wetland
635,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Bareland
636,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Water
637,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
638,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
639,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
640,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
641,Forest,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
642,Forest,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Water
643,Forest,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Forest
644,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
645,Forest,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
646,Forest,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
647,Forest,Forest,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
648,Forest,Forest,Built-up,Water,Non_Wetland,NULL,NULL,Water
649,Forest,Forest,Built-up,Water,Non_Wetland,NULL,NULL,Forest
650,Forest,Forest,Water,NULL,Water,NULL,NULL,Grassland
651,Forest,Forest,Water,NULL,Water,NULL,NULL,Water
652,Forest,Forest,Water,NULL,Water,NULL,NULL,Forest
653,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
654,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Water
655,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Forest
656,Forest,Forest,Water,Water,Water,NULL,NULL,Grassland
657,Forest,Forest,Water,Water,Water,NULL,NULL,Wetland
658,Forest,Forest,Water,Water,Water,NULL,NULL,Water
659,Forest,Forest,Water,Water,Water,NULL,NULL,Forest
660,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
661,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
662,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
663,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
664,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
665,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
666,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
667,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
668,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
669,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
670,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
671,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
