Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MKP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MKP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MKP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MKP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MKP_M_R
2882,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
2883,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
2884,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
2885,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
2886,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
2887,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
2888,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Forest,Built-up
2889,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
2890,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,NULL,Built-up
2891,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,NULL,Forest
2892,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
2893,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
2894,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Bareland,Built-up
2895,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
2896,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Built-up,Grassland
2897,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
2898,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Water,Forest
2899,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
2900,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Forest,Forest
2901,NULL,Built-up,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
2902,NULL,Built-up,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
2903,NULL,Built-up,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
2904,NULL,Built-up,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
2905,NULL,Built-up,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
2906,NULL,Built-up,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
2907,NULL,Built-up,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Forest
2908,NULL,Built-up,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
2909,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
2910,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
2911,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
2912,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
2913,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
2914,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
2915,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
2916,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
2917,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
2918,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
2919,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
2920,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
2921,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
2922,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
2923,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
2924,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
2925,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
2926,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
2927,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
2928,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
2929,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
2930,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
2931,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up,Water
2932,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
2933,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Water,Water
2934,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
2935,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
2936,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
2937,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
2938,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
2939,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
2940,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
2941,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
2942,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
2943,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
2944,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2945,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
2946,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
2947,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2948,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
2949,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2950,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
2951,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
2952,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
2953,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
2954,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
2955,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
2956,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
2957,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
2958,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Wetland
2959,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
2960,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
2961,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
2962,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
2963,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
2964,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
2965,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
2966,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
2967,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
2968,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
2969,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
2970,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
2971,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
2972,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2973,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
2974,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
2975,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
2976,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
2977,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
2978,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
2979,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2980,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
2981,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
2982,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
2983,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
2984,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
2985,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
2986,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
2987,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
2988,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
2989,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
2990,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
2991,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
2992,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
2993,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
2994,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
2995,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
2996,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Wetland
2997,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Bareland
2998,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
2999,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Water
3000,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
3001,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
3002,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
3003,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
3004,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
3005,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
3006,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
3007,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
3008,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
3009,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
3010,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
3011,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
3012,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
3013,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
3014,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
3015,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
3016,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
3017,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
3018,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
3019,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
3020,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Wetland
3021,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Built-up
3022,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Forest
3023,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
3024,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
3025,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
3026,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
3027,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
3028,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
3029,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
3030,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
3031,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
3032,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
3033,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
3034,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
3035,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Water
3036,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
3037,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
3038,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
3039,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
3040,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
3041,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
3042,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
3043,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
3044,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
3045,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
3046,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
3047,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
3048,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
3049,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
3050,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,NULL
3051,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
3052,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Cropland
3053,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
3054,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
3055,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
3056,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
3057,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
3058,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Water,Built-up
3059,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Water,Water
3060,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
3061,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
3062,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
3063,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
3064,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
3065,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,NULL,NULL
3066,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
3067,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,NULL,Cropland
3068,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,NULL,Bareland
3069,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
3070,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
3071,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,NULL
3072,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
3073,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Cropland
3074,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Bareland
3075,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Built-up
3076,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Forest
3077,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,NULL
3078,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
3079,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Cropland
3080,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Bareland
3081,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
3082,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
3083,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Built-up
3084,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Forest
3085,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
3086,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
3087,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
3088,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
3089,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
3090,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
3091,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Wetland
3092,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
3093,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
3094,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Water
3095,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
3096,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
3097,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Forest,Cropland
3098,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Forest,Bareland
3099,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Forest,Built-up
3100,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Forest,Forest
3101,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,NULL,Water
3102,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Shrubland,Forest
3103,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Built-up,Grassland
3104,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Built-up,Wetland
3105,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Water,Water
3106,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,NULL,Built-up
3107,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
3108,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
3109,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
3110,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
3111,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
3112,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Built-up,Built-up
3113,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Built-up,Forest
3114,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Water,Forest
3115,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
3116,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
3117,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
3118,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
3119,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Forest
3120,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
3121,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
3122,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Forest
3123,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
3124,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
3125,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
3126,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
3127,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
3128,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland,Built-up,Forest
3129,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Forest
3130,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
3131,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Forest
3132,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
3133,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland,Shrubland,Forest
3134,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
3135,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
3136,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
3137,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
3138,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Bareland
3139,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Forest
3140,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up,NULL,Grassland
3141,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up,Shrubland,Forest
3142,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
3143,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up,Built-up,Built-up
3144,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up,Built-up,Forest
3145,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest,Forest,Forest
3146,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland,Shrubland,Forest
3147,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
3148,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland,Built-up,Grassland
3149,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
3150,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland,Water,Bareland
3151,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up,Built-up,Grassland
3152,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up,Built-up,Built-up
3153,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up,Built-up,Forest
3154,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest,Water,Forest
3155,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
3156,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
3157,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
3158,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Shrubland,Grassland
3159,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Shrubland,Forest
3160,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
3161,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland,Cropland
3162,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland,Bareland
3163,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland,Built-up
3164,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
3165,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
3166,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Bareland,Grassland
3167,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Bareland,Forest
3168,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Built-up,Grassland
3169,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Built-up,Built-up
3170,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Built-up,Forest
3171,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Water,Forest
3172,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
3173,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Forest,Built-up
3174,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
3175,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
3176,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3177,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
3178,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
3179,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3180,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3181,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
3182,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
3183,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
3184,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
3185,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Forest
3186,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
3187,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
3188,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Built-up,Forest
3189,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
3190,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
3191,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
3192,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,NULL,Bareland
