Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MXB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MXB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MXB_M_R
346,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
347,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
348,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
349,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
350,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
351,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
352,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
353,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
354,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
355,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
356,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
357,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
358,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
359,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
360,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
361,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
362,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
363,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
364,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
365,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
366,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
367,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
368,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
369,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
370,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
371,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
372,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
373,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
374,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
375,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
376,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
377,Cropland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
378,Cropland,NULL,Water,NULL,Water,NULL,NULL,Grassland
379,Cropland,NULL,Water,NULL,Water,NULL,NULL,Bareland
380,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
381,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Water
382,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
383,Cropland,NULL,Water,Water,Water,NULL,NULL,Grassland
384,Cropland,NULL,Water,Water,Water,NULL,NULL,Wetland
385,Cropland,NULL,Water,Water,Water,NULL,NULL,Water
386,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
387,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
388,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
389,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
390,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
391,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
392,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Water
393,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
394,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
395,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
396,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
397,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
398,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
399,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
400,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
401,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
402,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
403,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
404,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
405,Cropland,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
406,Cropland,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
407,Cropland,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
408,Cropland,Cropland,Water,NULL,Water,NULL,NULL,Grassland
409,Cropland,Cropland,Water,NULL,Water,NULL,NULL,Water
410,Cropland,Cropland,Water,Non_Water,Water,NULL,NULL,Grassland
411,Cropland,Cropland,Water,Non_Water,Water,NULL,NULL,Bareland
412,Cropland,Cropland,Water,Non_Water,Water,NULL,NULL,Forest
413,Cropland,Cropland,Water,Water,Water,NULL,NULL,Water
414,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
415,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Water
416,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
417,Cropland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
418,Cropland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
419,Cropland,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
420,Cropland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
421,Cropland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
422,Cropland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
423,Cropland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
424,Cropland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
425,Cropland,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Water
426,Cropland,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
427,Cropland,Wetland,Water,Non_Water,Water,NULL,NULL,Water
428,Cropland,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
429,Cropland,Wetland,Water,Water,Water,NULL,NULL,Grassland
430,Cropland,Wetland,Water,Water,Water,NULL,NULL,Wetland
431,Cropland,Wetland,Water,Water,Water,NULL,NULL,Water
432,Cropland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
433,Cropland,Bareland,Water,Water,Water,NULL,NULL,Water
434,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
435,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
436,Cropland,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
437,Cropland,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
438,Cropland,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
439,Cropland,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
440,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
441,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
442,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
443,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
444,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
445,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
446,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
447,Cropland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
448,Cropland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
449,Cropland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
450,Cropland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
451,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Water
452,Cropland,Water,Water,NULL,Water,NULL,NULL,Bareland
453,Cropland,Water,Water,NULL,Water,NULL,NULL,Water
454,Cropland,Water,Water,Non_Water,Water,NULL,NULL,Grassland
455,Cropland,Water,Water,Water,Water,NULL,NULL,Water
456,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
457,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
458,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
459,Cropland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
460,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
461,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
462,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
463,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
464,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
465,Cropland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Water
466,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
467,Cropland,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
468,Cropland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
469,Cropland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
470,Cropland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
471,Cropland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
472,Cropland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
473,Cropland,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
474,Cropland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
475,Cropland,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
476,Cropland,Forest,Water,NULL,Water,NULL,NULL,Grassland
477,Cropland,Forest,Water,NULL,Water,NULL,NULL,Forest
478,Cropland,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
479,Cropland,Forest,Water,Non_Water,Water,NULL,NULL,Bareland
480,Cropland,Forest,Water,Non_Water,Water,NULL,NULL,Water
481,Cropland,Forest,Water,Non_Water,Water,NULL,NULL,Forest
482,Cropland,Forest,Water,Water,Water,NULL,NULL,Water
483,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
484,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
485,Cropland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
486,Wetland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
487,Wetland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
488,Wetland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
489,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
490,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
491,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
492,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
493,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
494,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
495,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
496,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
497,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
498,Wetland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
499,Wetland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
500,Wetland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
501,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
502,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
503,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
504,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
505,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
506,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
507,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
508,Wetland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
509,Wetland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
510,Wetland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
511,Wetland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
512,Wetland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
513,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
514,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Water
515,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
516,Wetland,NULL,Water,Water,Water,NULL,NULL,Grassland
517,Wetland,NULL,Water,Water,Water,NULL,NULL,Wetland
518,Wetland,NULL,Water,Water,Water,NULL,NULL,Water
519,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
520,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
521,Wetland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
522,Wetland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
523,Wetland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
524,Wetland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
525,Wetland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
526,Wetland,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
527,Wetland,Cropland,Wetland,Water,Wetland,NULL,NULL,Wetland
528,Wetland,Cropland,Wetland,Water,Wetland,NULL,NULL,Forest
529,Wetland,Cropland,Water,Water,Water,NULL,NULL,Grassland
530,Wetland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
531,Wetland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
532,Wetland,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
533,Wetland,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
534,Wetland,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
535,Wetland,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
536,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
537,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
538,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
539,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
540,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
541,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
542,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
543,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
544,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
545,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
546,Wetland,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
547,Wetland,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
548,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Grassland
549,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Water
550,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
551,Wetland,Wetland,Water,Water,Water,NULL,NULL,Grassland
552,Wetland,Wetland,Water,Water,Water,NULL,NULL,Wetland
553,Wetland,Wetland,Water,Water,Water,NULL,NULL,Water
554,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
555,Wetland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
556,Wetland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
557,Wetland,Bareland,Water,Water,Water,NULL,NULL,Water
558,Wetland,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
559,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
560,Wetland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
561,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
562,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
563,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
564,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
565,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
566,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Water
567,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
568,Wetland,Water,Water,Non_Water,Water,NULL,NULL,Grassland
569,Wetland,Water,Water,Non_Water,Water,NULL,NULL,Water
570,Wetland,Water,Water,Water,Water,NULL,NULL,Grassland
571,Wetland,Water,Water,Water,Water,NULL,NULL,Water
572,Wetland,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
573,Wetland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
574,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
575,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
576,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
577,Wetland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
578,Wetland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
579,Wetland,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
580,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
581,Wetland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
582,Wetland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
583,Wetland,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
584,Wetland,Forest,Wetland,Water,Wetland,NULL,NULL,Wetland
585,Wetland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
586,Wetland,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
587,Wetland,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Water
588,Wetland,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
589,Wetland,Forest,Water,NULL,Water,NULL,NULL,Bareland
590,Wetland,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
591,Wetland,Forest,Water,Non_Water,Water,NULL,NULL,Water
592,Wetland,Forest,Water,Non_Water,Water,NULL,NULL,Forest
593,Wetland,Forest,Water,Water,Water,NULL,NULL,Water
594,Wetland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
595,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
596,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
597,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
598,Bareland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
599,Bareland,NULL,Water,NULL,Water,NULL,NULL,Bareland
600,Bareland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
601,Bareland,NULL,Water,Water,Water,NULL,NULL,Grassland
602,Bareland,NULL,Water,Water,Water,NULL,NULL,Water
603,Bareland,NULL,Water,Water,Water,NULL,NULL,Forest
604,Bareland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
605,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
606,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
607,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
608,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
609,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
610,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
611,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
612,Bareland,Bareland,Water,NULL,Water,NULL,NULL,Water
613,Bareland,Bareland,Water,Non_Water,Water,NULL,NULL,Water
614,Bareland,Bareland,Water,Water,Water,NULL,NULL,Grassland
615,Bareland,Bareland,Water,Water,Water,NULL,NULL,Bareland
616,Bareland,Bareland,Water,Water,Water,NULL,NULL,Water
617,Bareland,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
618,Bareland,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
619,Bareland,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
620,Bareland,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
621,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
622,Bareland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
623,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
624,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
625,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
626,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
627,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
628,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Water
629,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
630,Bareland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
631,Bareland,Water,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
632,Bareland,Water,Water,NULL,Water,NULL,NULL,Bareland
633,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Water
634,Bareland,Water,Water,Water,Water,NULL,NULL,Grassland
635,Bareland,Water,Water,Water,Water,NULL,NULL,Water
636,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
637,Water,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
638,Water,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
639,Water,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
640,Water,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
641,Water,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
642,Water,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
643,Water,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
644,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
645,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
646,Water,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
647,Water,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
648,Water,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
649,Water,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
650,Water,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
651,Water,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
652,Water,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
653,Water,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
654,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
655,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
656,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
657,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
658,Water,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
659,Water,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
660,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
661,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
662,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
663,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
664,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
665,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
666,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
667,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
668,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
669,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Water
670,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
671,Water,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
672,Water,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
673,Water,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
674,Water,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
675,Water,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
676,Water,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
677,Water,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
678,Water,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
679,Water,NULL,Water,NULL,Water,NULL,NULL,Water
680,Water,NULL,Water,NULL,Water,NULL,NULL,Forest
681,Water,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
682,Water,NULL,Water,Non_Water,Water,NULL,NULL,Water
683,Water,NULL,Water,Non_Water,Water,NULL,NULL,Forest
684,Water,NULL,Water,Water,Water,NULL,NULL,Grassland
685,Water,NULL,Water,Water,Water,NULL,NULL,Wetland
686,Water,NULL,Water,Water,Water,NULL,NULL,Water
687,Water,NULL,Water,Water,Water,NULL,NULL,Forest
688,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
689,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
690,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
691,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
692,Water,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
693,Water,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
694,Water,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
695,Water,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
696,Water,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
697,Water,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
698,Water,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
699,Water,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
700,Water,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
701,Water,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
702,Water,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
703,Water,Cropland,Wetland,Water,Wetland,NULL,NULL,Wetland
