Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18NTH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NTH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NTH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NTH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NTH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18NTH_M_R
438,Grassland,Cropland,Shrubland,Water,Non_Wetland,Forest
439,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
440,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
441,Grassland,Cropland,Grassland,NULL,Non_Wetland,Built-up
442,Grassland,Cropland,Grassland,NULL,Non_Wetland,Forest
443,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
444,Grassland,Cropland,Grassland,Water,Non_Wetland,Grassland
445,Grassland,Cropland,Grassland,Water,Non_Wetland,Forest
446,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
447,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
448,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
449,Grassland,Cropland,Cropland,Water,Non_Wetland,Grassland
450,Grassland,Cropland,Wetland,NULL,Wetland,Grassland
451,Grassland,Cropland,Wetland,NULL,Wetland,Forest
452,Grassland,Cropland,Wetland,Water,Wetland,Grassland
453,Grassland,Cropland,Wetland,Water,Wetland,Water
454,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland
455,Grassland,Cropland,Built-up,NULL,Non_Wetland,Built-up
456,Grassland,Cropland,Water,NULL,Water,Water
457,Grassland,Cropland,Water,NULL,Water,Forest
458,Grassland,Cropland,Water,Non_Water,Water,Grassland
459,Grassland,Cropland,Water,Non_Water,Water,Forest
460,Grassland,Cropland,Water,Water,Water,Water
461,Grassland,Cropland,Water,Water,Water,Forest
462,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
463,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
464,Grassland,Cropland,Forest,NULL,Non_Wetland,Water
465,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
466,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Grassland
467,Grassland,Cropland,Forest,Water,Non_Wetland,Grassland
468,Grassland,Cropland,Forest,Water,Non_Wetland,Water
469,Grassland,Cropland,Forest,Water,Non_Wetland,Forest
470,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland
471,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Forest
472,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
473,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest
474,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
475,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
476,Grassland,Wetland,Shrubland,Water,Non_Wetland,Grassland
477,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland
478,Grassland,Wetland,Grassland,NULL,Non_Wetland,Forest
479,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Forest
480,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
481,Grassland,Wetland,Built-up,NULL,Non_Wetland,Grassland
482,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland
483,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest
484,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Grassland
485,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Forest
486,Grassland,Bareland,Shrubland,Water,Non_Wetland,Water
487,Grassland,Bareland,Cropland,NULL,Non_Wetland,Water
488,Grassland,Bareland,Water,Water,Water,Water
489,Grassland,Bareland,Forest,NULL,Non_Wetland,Grassland
490,Grassland,Bareland,Forest,Water,Non_Wetland,Water
491,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL
492,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
493,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
494,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Built-up
495,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Forest
496,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland
497,Grassland,Built-up,Grassland,NULL,Non_Wetland,Built-up
498,Grassland,Built-up,Grassland,NULL,Non_Wetland,Forest
499,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland
500,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland
501,Grassland,Built-up,Built-up,NULL,Non_Wetland,Built-up
502,Grassland,Built-up,Built-up,NULL,Non_Wetland,Forest
503,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland
504,Grassland,Built-up,Forest,NULL,Non_Wetland,Built-up
505,Grassland,Built-up,Forest,NULL,Non_Wetland,Forest
506,Grassland,Water,NULL,NULL,Non_Wetland,Grassland
507,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland
508,Grassland,Water,Shrubland,NULL,Non_Wetland,Forest
509,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Grassland
510,Grassland,Water,Shrubland,Water,Non_Wetland,Grassland
511,Grassland,Water,Shrubland,Water,Non_Wetland,Water
512,Grassland,Water,Grassland,NULL,Non_Wetland,Grassland
513,Grassland,Water,Grassland,NULL,Non_Wetland,Forest
514,Grassland,Water,Grassland,Non_Water,Non_Wetland,Grassland
515,Grassland,Water,Cropland,NULL,Non_Wetland,Grassland
516,Grassland,Water,Wetland,NULL,Wetland,Water
517,Grassland,Water,Wetland,NULL,Wetland,Forest
518,Grassland,Water,Wetland,Non_Water,Wetland,Forest
519,Grassland,Water,Wetland,Water,Wetland,Grassland
520,Grassland,Water,Wetland,Water,Wetland,Water
521,Grassland,Water,Wetland,Water,Wetland,Forest
522,Grassland,Water,Water,NULL,Water,Grassland
523,Grassland,Water,Water,NULL,Water,Forest
524,Grassland,Water,Water,Water,Water,Water
525,Grassland,Water,Water,Water,Water,Forest
526,Grassland,Water,Forest,NULL,Non_Wetland,Grassland
527,Grassland,Water,Forest,NULL,Non_Wetland,Water
528,Grassland,Water,Forest,NULL,Non_Wetland,Forest
529,Grassland,Water,Forest,Non_Water,Non_Wetland,Grassland
530,Grassland,Water,Forest,Non_Water,Non_Wetland,Water
531,Grassland,Water,Forest,Water,Non_Wetland,Grassland
532,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
533,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
534,Grassland,Forest,NULL,Water,Non_Wetland,Grassland
535,Grassland,Forest,NULL,Water,Non_Wetland,Forest
536,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
537,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
538,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
539,Grassland,Forest,Shrubland,NULL,Non_Wetland,Built-up
540,Grassland,Forest,Shrubland,NULL,Non_Wetland,Water
541,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
542,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
543,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Water
544,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
545,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL
546,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
547,Grassland,Forest,Grassland,NULL,Non_Wetland,Built-up
548,Grassland,Forest,Grassland,NULL,Non_Wetland,Water
549,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest
550,Grassland,Forest,Grassland,Non_Water,Non_Wetland,Forest
551,Grassland,Forest,Grassland,Water,Non_Wetland,Water
552,Grassland,Forest,Grassland,Water,Non_Wetland,Forest
553,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
554,Grassland,Forest,Cropland,NULL,Non_Wetland,Water
555,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
556,Grassland,Forest,Cropland,Water,Non_Wetland,Grassland
557,Grassland,Forest,Wetland,NULL,Wetland,Grassland
558,Grassland,Forest,Wetland,NULL,Wetland,Forest
559,Grassland,Forest,Wetland,Water,Wetland,Forest
560,Grassland,Forest,Bareland,NULL,Non_Wetland,Forest
561,Grassland,Forest,Bareland,Water,Non_Wetland,Forest
562,Grassland,Forest,Built-up,NULL,Non_Wetland,Grassland
563,Grassland,Forest,Water,NULL,Water,Grassland
564,Grassland,Forest,Water,NULL,Water,Forest
565,Grassland,Forest,Water,Non_Water,Water,Grassland
566,Grassland,Forest,Water,Water,Water,Grassland
567,Grassland,Forest,Water,Water,Water,Water
568,Grassland,Forest,Water,Water,Water,Forest
569,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
570,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
571,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland
572,Grassland,Forest,Forest,NULL,Non_Wetland,Bareland
573,Grassland,Forest,Forest,NULL,Non_Wetland,Built-up
574,Grassland,Forest,Forest,NULL,Non_Wetland,Water
575,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
576,Grassland,Forest,Forest,Non_Water,Non_Wetland,Grassland
577,Grassland,Forest,Forest,Non_Water,Non_Wetland,Forest
578,Grassland,Forest,Forest,Water,Non_Wetland,Grassland
579,Grassland,Forest,Forest,Water,Non_Wetland,Water
580,Grassland,Forest,Forest,Water,Non_Wetland,Forest
581,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
582,Cropland,NULL,NULL,NULL,Non_Wetland,Water
583,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
584,Cropland,NULL,NULL,Non_Water,Non_Wetland,Water
585,Cropland,NULL,NULL,Non_Water,Non_Wetland,Forest
586,Cropland,NULL,NULL,Water,Non_Wetland,Water
587,Cropland,NULL,NULL,Water,Non_Wetland,Forest
588,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
589,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
590,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
591,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
592,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
593,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water
594,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
595,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
596,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
597,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
598,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
599,Cropland,NULL,Shrubland,Water,Non_Wetland,Bareland
600,Cropland,NULL,Shrubland,Water,Non_Wetland,Forest
601,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
602,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
603,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
604,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
605,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
606,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
607,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Forest
608,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
609,Cropland,NULL,Grassland,Water,Non_Wetland,Water
610,Cropland,NULL,Grassland,Water,Non_Wetland,Forest
611,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
612,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
613,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
614,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
615,Cropland,NULL,Cropland,Water,Non_Wetland,Water
616,Cropland,NULL,Wetland,NULL,Wetland,Grassland
617,Cropland,NULL,Wetland,NULL,Wetland,Forest
618,Cropland,NULL,Wetland,Water,Wetland,Grassland
619,Cropland,NULL,Wetland,Water,Wetland,Water
620,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
621,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
622,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
623,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
624,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
625,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
626,Cropland,NULL,Water,NULL,Water,Grassland
627,Cropland,NULL,Water,NULL,Water,Bareland
628,Cropland,NULL,Water,NULL,Water,Water
629,Cropland,NULL,Water,NULL,Water,Forest
630,Cropland,NULL,Water,Non_Water,Water,Grassland
631,Cropland,NULL,Water,Non_Water,Water,Water
632,Cropland,NULL,Water,Non_Water,Water,Forest
633,Cropland,NULL,Water,Water,Water,Grassland
634,Cropland,NULL,Water,Water,Water,Water
635,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
636,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
637,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
638,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
639,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up
640,Cropland,NULL,Forest,NULL,Non_Wetland,Water
641,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
642,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland
643,Cropland,NULL,Forest,Non_Water,Non_Wetland,Bareland
644,Cropland,NULL,Forest,Non_Water,Non_Wetland,Forest
645,Cropland,NULL,Forest,Water,Non_Wetland,Grassland
646,Cropland,NULL,Forest,Water,Non_Wetland,Bareland
647,Cropland,NULL,Forest,Water,Non_Wetland,Water
648,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
649,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
650,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
651,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
652,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
653,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
654,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
655,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
656,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
657,Cropland,Cropland,Shrubland,Water,Non_Wetland,Grassland
658,Cropland,Cropland,Shrubland,Water,Non_Wetland,Cropland
659,Cropland,Cropland,Shrubland,Water,Non_Wetland,Water
660,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
661,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
662,Cropland,Cropland,Grassland,NULL,Non_Wetland,Wetland
663,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
664,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
665,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
666,Cropland,Cropland,Grassland,Water,Non_Wetland,Cropland
667,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
668,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
669,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up
670,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
671,Cropland,Cropland,Wetland,NULL,Wetland,Forest
672,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
673,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
674,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
675,Cropland,Cropland,Water,NULL,Water,Grassland
676,Cropland,Cropland,Water,NULL,Water,Forest
677,Cropland,Cropland,Water,Non_Water,Water,Grassland
678,Cropland,Cropland,Water,Non_Water,Water,Forest
679,Cropland,Cropland,Water,Water,Water,Grassland
680,Cropland,Cropland,Water,Water,Water,Water
681,Cropland,Cropland,Water,Water,Water,Forest
682,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
683,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
684,Cropland,Cropland,Forest,NULL,Non_Wetland,Wetland
685,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland
686,Cropland,Cropland,Forest,NULL,Non_Wetland,Built-up
687,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
688,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Grassland
689,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Cropland
690,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Forest
691,Cropland,Cropland,Forest,Water,Non_Wetland,Grassland
692,Cropland,Cropland,Forest,Water,Non_Wetland,Cropland
693,Cropland,Cropland,Forest,Water,Non_Wetland,Forest
694,Cropland,Wetland,NULL,NULL,Non_Wetland,Forest
695,Cropland,Wetland,NULL,Non_Water,Non_Wetland,Grassland
696,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
697,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Forest
698,Cropland,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
699,Cropland,Wetland,Grassland,NULL,Non_Wetland,Forest
700,Cropland,Wetland,Cropland,NULL,Non_Wetland,Forest
701,Cropland,Wetland,Wetland,NULL,Wetland,Forest
702,Cropland,Wetland,Wetland,Non_Water,Wetland,Forest
703,Cropland,Wetland,Wetland,Water,Wetland,Water
704,Cropland,Wetland,Water,Non_Water,Water,Forest
705,Cropland,Wetland,Forest,NULL,Non_Wetland,Grassland
706,Cropland,Wetland,Forest,NULL,Non_Wetland,Forest
707,Cropland,Wetland,Forest,Non_Water,Non_Wetland,Grassland
708,Cropland,Wetland,Forest,Non_Water,Non_Wetland,Forest
709,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Forest
710,Cropland,Bareland,Forest,NULL,Non_Wetland,Forest
711,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
712,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Bareland
713,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Built-up
714,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Forest
715,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
716,Cropland,Built-up,Grassland,NULL,Non_Wetland,Built-up
717,Cropland,Built-up,Grassland,NULL,Non_Wetland,Forest
718,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
719,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
720,Cropland,Built-up,Built-up,NULL,Non_Wetland,Bareland
721,Cropland,Built-up,Built-up,NULL,Non_Wetland,Built-up
722,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
723,Cropland,Built-up,Forest,NULL,Non_Wetland,Built-up
724,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
725,Cropland,Water,NULL,NULL,Non_Wetland,Forest
726,Cropland,Water,Shrubland,NULL,Non_Wetland,Water
727,Cropland,Water,Shrubland,NULL,Non_Wetland,Forest
728,Cropland,Water,Shrubland,Non_Water,Non_Wetland,Grassland
729,Cropland,Water,Shrubland,Non_Water,Non_Wetland,Forest
730,Cropland,Water,Grassland,NULL,Non_Wetland,Water
731,Cropland,Water,Grassland,NULL,Non_Wetland,Forest
732,Cropland,Water,Wetland,NULL,Wetland,Forest
733,Cropland,Water,Wetland,Non_Water,Wetland,Grassland
734,Cropland,Water,Wetland,Non_Water,Wetland,Forest
735,Cropland,Water,Wetland,Water,Wetland,Water
736,Cropland,Water,Water,NULL,Water,Water
737,Cropland,Water,Water,Water,Water,Grassland
738,Cropland,Water,Water,Water,Water,Water
739,Cropland,Water,Forest,NULL,Non_Wetland,Grassland
740,Cropland,Water,Forest,NULL,Non_Wetland,Water
741,Cropland,Water,Forest,NULL,Non_Wetland,Forest
742,Cropland,Water,Forest,Non_Water,Non_Wetland,Forest
743,Cropland,Water,Forest,Water,Non_Wetland,Grassland
744,Cropland,Water,Forest,Water,Non_Wetland,Bareland
745,Cropland,Water,Forest,Water,Non_Wetland,Water
746,Cropland,Water,Forest,Water,Non_Wetland,Forest
747,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
748,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
749,Cropland,Forest,Shrubland,NULL,Non_Wetland,Cropland
750,Cropland,Forest,Shrubland,NULL,Non_Wetland,Built-up
751,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
752,Cropland,Forest,Shrubland,Water,Non_Wetland,Grassland
753,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
754,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest
755,Cropland,Forest,Grassland,Non_Water,Non_Wetland,Forest
756,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
757,Cropland,Forest,Wetland,NULL,Wetland,Forest
758,Cropland,Forest,Wetland,Water,Wetland,Grassland
759,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
760,Cropland,Forest,Forest,NULL,Non_Wetland,Cropland
761,Cropland,Forest,Forest,NULL,Non_Wetland,Bareland
762,Cropland,Forest,Forest,NULL,Non_Wetland,Built-up
763,Cropland,Forest,Forest,NULL,Non_Wetland,Water
764,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
765,Cropland,Forest,Forest,Non_Water,Non_Wetland,Grassland
766,Cropland,Forest,Forest,Non_Water,Non_Wetland,Forest
767,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
768,Wetland,NULL,Shrubland,NULL,Non_Wetland,Cropland
769,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest
770,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
771,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland
772,Wetland,NULL,Grassland,NULL,Non_Wetland,Cropland
773,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Forest
774,Wetland,NULL,Cropland,NULL,Non_Wetland,Grassland
775,Wetland,NULL,Wetland,NULL,Wetland,Water
776,Wetland,NULL,Wetland,Non_Water,Wetland,Bareland
777,Wetland,NULL,Water,Water,Water,Grassland
778,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland
779,Wetland,NULL,Forest,NULL,Non_Wetland,Cropland
780,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
781,Wetland,NULL,Forest,Water,Non_Wetland,Water
782,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
783,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
784,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
785,Wetland,Cropland,Shrubland,Water,Non_Wetland,Grassland
786,Wetland,Cropland,Grassland,NULL,Non_Wetland,Grassland
787,Wetland,Cropland,Grassland,NULL,Non_Wetland,Cropland
788,Wetland,Cropland,Grassland,NULL,Non_Wetland,Wetland
789,Wetland,Cropland,Cropland,NULL,Non_Wetland,Grassland
790,Wetland,Cropland,Cropland,NULL,Non_Wetland,Cropland
791,Wetland,Cropland,Cropland,NULL,Non_Wetland,Wetland
792,Wetland,Cropland,Forest,NULL,Non_Wetland,Grassland
793,Wetland,Cropland,Forest,NULL,Non_Wetland,Cropland
794,Wetland,Cropland,Forest,NULL,Non_Wetland,Wetland
795,Wetland,Cropland,Forest,NULL,Non_Wetland,Forest
796,Wetland,Cropland,Forest,Water,Non_Wetland,Grassland
797,Wetland,Cropland,Forest,Water,Non_Wetland,Cropland
798,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Forest
799,Wetland,Wetland,Forest,NULL,Non_Wetland,Grassland
800,Wetland,Wetland,Forest,NULL,Non_Wetland,Forest
801,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Forest
802,Wetland,Bareland,Grassland,Water,Non_Wetland,Water
803,Wetland,Bareland,Wetland,Non_Water,Wetland,Grassland
804,Wetland,Bareland,Water,Water,Water,Water
805,Wetland,Built-up,Forest,NULL,Non_Wetland,Forest
806,Wetland,Water,Shrubland,NULL,Non_Wetland,Water
807,Wetland,Water,Grassland,NULL,Non_Wetland,Water
808,Wetland,Water,Forest,NULL,Non_Wetland,Grassland
809,Wetland,Water,Forest,NULL,Non_Wetland,Water
810,Wetland,Water,Forest,NULL,Non_Wetland,Forest
811,Wetland,Water,Forest,Water,Non_Wetland,Bareland
812,Wetland,Forest,Water,NULL,Water,Forest
813,Wetland,Forest,Forest,NULL,Non_Wetland,Grassland
814,Wetland,Forest,Forest,NULL,Non_Wetland,Forest
815,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
816,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
817,Bareland,NULL,NULL,NULL,Non_Wetland,Water
818,Bareland,NULL,NULL,NULL,Non_Wetland,Forest
819,Bareland,NULL,NULL,Non_Water,Non_Wetland,Grassland
820,Bareland,NULL,NULL,Non_Water,Non_Wetland,Bareland
821,Bareland,NULL,NULL,Non_Water,Non_Wetland,Water
822,Bareland,NULL,NULL,Non_Water,Non_Wetland,Forest
823,Bareland,NULL,NULL,Water,Non_Wetland,Bareland
824,Bareland,NULL,NULL,Water,Non_Wetland,Water
825,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
826,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
827,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
828,Bareland,NULL,Shrubland,NULL,Non_Wetland,Built-up
829,Bareland,NULL,Shrubland,NULL,Non_Wetland,Water
830,Bareland,NULL,Shrubland,NULL,Non_Wetland,Forest
831,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
832,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Water
833,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
834,Bareland,NULL,Shrubland,Water,Non_Wetland,Grassland
835,Bareland,NULL,Shrubland,Water,Non_Wetland,Bareland
836,Bareland,NULL,Shrubland,Water,Non_Wetland,Water
837,Bareland,NULL,Shrubland,Water,Non_Wetland,Forest
838,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
839,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
840,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
841,Bareland,NULL,Grassland,NULL,Non_Wetland,Built-up
842,Bareland,NULL,Grassland,NULL,Non_Wetland,Water
843,Bareland,NULL,Grassland,NULL,Non_Wetland,Forest
844,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
845,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
846,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Water
847,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Forest
848,Bareland,NULL,Grassland,Water,Non_Wetland,Water
849,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
850,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland
851,Bareland,NULL,Cropland,NULL,Non_Wetland,Water
852,Bareland,NULL,Cropland,NULL,Non_Wetland,Forest
853,Bareland,NULL,Cropland,Water,Non_Wetland,Water
854,Bareland,NULL,Wetland,NULL,Wetland,Grassland
855,Bareland,NULL,Wetland,NULL,Wetland,Bareland
856,Bareland,NULL,Wetland,NULL,Wetland,Water
857,Bareland,NULL,Wetland,Non_Water,Wetland,Grassland
858,Bareland,NULL,Wetland,Non_Water,Wetland,Water
859,Bareland,NULL,Wetland,Non_Water,Wetland,Forest
860,Bareland,NULL,Wetland,Water,Wetland,Grassland
861,Bareland,NULL,Wetland,Water,Wetland,Bareland
862,Bareland,NULL,Wetland,Water,Wetland,Water
863,Bareland,NULL,Wetland,Water,Wetland,Forest
864,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
865,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
866,Bareland,NULL,Bareland,NULL,Non_Wetland,Forest
867,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
868,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
869,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Water
870,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Forest
