Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LXH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LXH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LXH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LXH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LXH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LXH_M_R
3028,Grassland,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
3029,Grassland,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
3030,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest,NULL,Grassland
3031,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest,Wetland,Forest
3032,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
3033,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
3034,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3035,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
3036,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
3037,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
3038,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Cropland
3039,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
3040,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
3041,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
3042,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
3043,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
3044,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland,NULL,Grassland
3045,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland,NULL,Cropland
3046,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
3047,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
3048,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
3049,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
3050,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
3051,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Grassland
3052,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Grassland
3053,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3054,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
3055,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
3056,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Wetland
3057,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
3058,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
3059,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
3060,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
3061,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3062,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
3063,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
3064,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
3065,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
3066,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
3067,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Cropland
3068,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Wetland
3069,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
3070,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
3071,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
3072,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
3073,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
3074,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
3075,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
3076,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
3077,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Forest
3078,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
3079,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
3080,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
3081,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
3082,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
3083,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Bareland
3084,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
3085,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
3086,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
3087,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
3088,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Wetland,Grassland
3089,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Wetland,Cropland
3090,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Grassland
3091,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Built-up,Grassland
3092,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Built-up,Cropland
3093,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Grassland
3094,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Cropland
3095,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Forest
3096,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
3097,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Cropland
3098,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
3099,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Cropland
3100,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
3101,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Water,Grassland
3102,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,NULL
3103,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
3104,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
3105,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
3106,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
3107,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
3108,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
3109,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
3110,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
3111,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
3112,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
3113,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
3114,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Cropland
3115,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
3116,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Cropland
3117,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
3118,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
3119,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Cropland
3120,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Grassland
3121,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
3122,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Cropland
3123,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
3124,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
3125,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Cropland
3126,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
3127,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Cropland
3128,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
3129,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Cropland
3130,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
3131,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Cropland
3132,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
3133,Grassland,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
3134,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Grassland
3135,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
3136,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,NULL
3137,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
3138,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
3139,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
3140,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
3141,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
3142,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Water,Grassland
3143,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland,NULL,Wetland
3144,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
3145,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland,NULL,Grassland
3146,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland,NULL,Cropland
3147,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
3148,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Forest
3149,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland,Water,Grassland
3150,Grassland,NULL,Cropland,Water,Non_Wetland,Cropland,NULL,Wetland
3151,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland,NULL,Grassland
3152,Grassland,NULL,Cropland,Water,Non_Wetland,Bareland,NULL,Grassland
3153,Grassland,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Grassland
3154,Grassland,NULL,Cropland,Water,Non_Wetland,Bareland,Wetland,Grassland
3155,Grassland,NULL,Cropland,Water,Non_Wetland,Bareland,Water,Grassland
3156,Grassland,NULL,Cropland,Water,Non_Wetland,Forest,NULL,Grassland
3157,Grassland,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
3158,Grassland,NULL,Wetland,NULL,Wetland,NULL,Water,Grassland
3159,Grassland,NULL,Wetland,NULL,Wetland,NULL,Water,Forest
3160,Grassland,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
3161,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
3162,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
3163,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
3164,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
3165,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Cropland
3166,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
3167,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
3168,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
3169,Grassland,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
3170,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
3171,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
3172,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
3173,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
3174,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
3175,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
3176,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
3177,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
3178,Grassland,NULL,Wetland,NULL,Wetland,Bareland,NULL,Grassland
3179,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
3180,Grassland,NULL,Wetland,NULL,Wetland,Forest,NULL,Grassland
3181,Grassland,NULL,Wetland,NULL,Wetland,Forest,Grassland,Grassland
3182,Grassland,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
3183,Grassland,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
3184,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,Grassland
3185,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
3186,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
3187,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
3188,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,NULL
3189,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
3190,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
3191,Grassland,NULL,Wetland,Non_Water,Wetland,Bareland,NULL,Grassland
3192,Grassland,NULL,Wetland,Water,Wetland,NULL,Wetland,Forest
3193,Grassland,NULL,Wetland,Water,Wetland,Grassland,NULL,Grassland
3194,Grassland,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
3195,Grassland,NULL,Wetland,Water,Wetland,Grassland,Wetland,NULL
3196,Grassland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
3197,Grassland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Forest
3198,Grassland,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
3199,Grassland,NULL,Wetland,Water,Wetland,Wetland,NULL,Grassland
3200,Grassland,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
3201,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,NULL
3202,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
3203,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
3204,Grassland,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
3205,Grassland,NULL,Wetland,Water,Wetland,Bareland,NULL,Grassland
3206,Grassland,NULL,Wetland,Water,Wetland,Bareland,Grassland,Grassland
3207,Grassland,NULL,Wetland,Water,Wetland,Forest,NULL,Grassland
3208,Grassland,NULL,Wetland,Water,Wetland,Forest,Wetland,Forest
3209,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,NULL,Grassland
3210,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,NULL,Cropland
3211,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
3212,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Bareland,Grassland
3213,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland,NULL,Grassland
3214,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland,NULL,Cropland
3215,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland,Grassland,Grassland
3216,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Grassland
3217,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
3218,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,NULL,Grassland
3219,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3220,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
3221,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Wetland
3222,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
3223,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
3224,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
3225,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
3226,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland,NULL,Grassland
3227,Grassland,NULL,Bareland,Water,Non_Wetland,Bareland,Water,Grassland
3228,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
3229,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Cropland
3230,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Forest
3231,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
3232,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Cropland
3233,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
3234,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
3235,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
3236,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
3237,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
3238,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
3239,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Cropland
3240,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Built-up
3241,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland,NULL,Grassland
3242,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland,NULL,Cropland
3243,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland,NULL,Forest
3244,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland,Grassland,Grassland
3245,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
3246,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
3247,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Cropland
3248,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
3249,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
3250,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Cropland
3251,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
3252,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
3253,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
3254,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
3255,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up,NULL,Cropland
3256,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
3257,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Cropland
3258,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
3259,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Cropland
3260,Grassland,NULL,Water,NULL,Water,Grassland,NULL,Grassland
3261,Grassland,NULL,Water,NULL,Water,Grassland,NULL,Forest
3262,Grassland,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
3263,Grassland,NULL,Water,NULL,Water,Grassland,Grassland,Forest
3264,Grassland,NULL,Water,NULL,Water,Grassland,Wetland,Grassland
3265,Grassland,NULL,Water,NULL,Water,Grassland,Wetland,Wetland
3266,Grassland,NULL,Water,NULL,Water,Grassland,Wetland,Forest
3267,Grassland,NULL,Water,NULL,Water,Grassland,Water,Grassland
3268,Grassland,NULL,Water,NULL,Water,Grassland,Forest,Grassland
3269,Grassland,NULL,Water,NULL,Water,Cropland,Grassland,Forest
3270,Grassland,NULL,Water,NULL,Water,Wetland,NULL,Grassland
3271,Grassland,NULL,Water,NULL,Water,Wetland,Grassland,Grassland
3272,Grassland,NULL,Water,NULL,Water,Wetland,Wetland,Forest
3273,Grassland,NULL,Water,NULL,Water,Wetland,Water,Forest
3274,Grassland,NULL,Water,NULL,Water,Bareland,NULL,Grassland
3275,Grassland,NULL,Water,NULL,Water,Bareland,NULL,Forest
3276,Grassland,NULL,Water,NULL,Water,Bareland,Grassland,Grassland
3277,Grassland,NULL,Water,NULL,Water,Bareland,Grassland,Bareland
3278,Grassland,NULL,Water,NULL,Water,Bareland,Grassland,Forest
3279,Grassland,NULL,Water,NULL,Water,Bareland,Water,Grassland
3280,Grassland,NULL,Water,NULL,Water,Bareland,Forest,Grassland
3281,Grassland,NULL,Water,NULL,Water,Bareland,Forest,Forest
3282,Grassland,NULL,Water,Non_Water,Water,Grassland,NULL,Grassland
3283,Grassland,NULL,Water,Non_Water,Water,Grassland,Grassland,Grassland
3284,Grassland,NULL,Water,Non_Water,Water,Grassland,Grassland,Water
3285,Grassland,NULL,Water,Non_Water,Water,Grassland,Wetland,Wetland
3286,Grassland,NULL,Water,Non_Water,Water,Grassland,Water,Grassland
3287,Grassland,NULL,Water,Non_Water,Water,Wetland,Water,Grassland
3288,Grassland,NULL,Water,Non_Water,Water,Bareland,NULL,Grassland
3289,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
3290,Grassland,NULL,Water,Water,Water,Grassland,NULL,Grassland
3291,Grassland,NULL,Water,Water,Water,Grassland,NULL,Water
3292,Grassland,NULL,Water,Water,Water,Grassland,Grassland,Grassland
3293,Grassland,NULL,Water,Water,Water,Grassland,Wetland,Grassland
3294,Grassland,NULL,Water,Water,Water,Grassland,Water,Grassland
3295,Grassland,NULL,Water,Water,Water,Wetland,NULL,Grassland
3296,Grassland,NULL,Water,Water,Water,Wetland,Grassland,Grassland
3297,Grassland,NULL,Water,Water,Water,Bareland,Grassland,Grassland
3298,Grassland,NULL,Water,Water,Water,Water,NULL,Water
3299,Grassland,NULL,Water,Water,Water,Forest,NULL,Grassland
3300,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
3301,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
3302,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
3303,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
3304,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Wetland
3305,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
3306,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
3307,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3308,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
3309,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Cropland
3310,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
3311,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
3312,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
3313,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
3314,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Wetland
3315,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
3316,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
3317,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
3318,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Cropland
3319,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Wetland
3320,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
3321,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
3322,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
3323,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
3324,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
3325,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
3326,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Cropland
3327,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
3328,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
3329,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Cropland
3330,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Forest
3331,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Grassland
3332,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Cropland
3333,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
3334,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Wetland,Grassland
3335,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Wetland,Cropland
3336,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Cropland
3337,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Forest
3338,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
3339,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
3340,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
3341,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
3342,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
3343,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
3344,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
3345,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
3346,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,NULL
3347,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
3348,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
3349,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
3350,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
3351,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Cropland
3352,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
3353,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
3354,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Wetland
