Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LVG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LVG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LVG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LVG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LVG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LVG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LVG_M_R
1580,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
1581,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1582,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
1583,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
1584,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
1585,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
1586,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,Forest,Grassland
1587,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,Forest,Forest
1588,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1589,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
1590,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
1591,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
1592,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Shrubland,NULL
1593,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1594,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Grassland,NULL
1595,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1596,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
1597,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Wetland,Forest
1598,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
1599,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
1600,NULL,Forest,Cropland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
1601,NULL,Forest,Wetland,NULL,Wetland,NULL,Wetland,Forest
1602,NULL,Forest,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
1603,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
1604,NULL,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
1605,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,Wetland,Grassland
1606,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
1607,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
1608,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
1609,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
1610,NULL,Forest,Water,NULL,Water,Shrubland,Grassland,Grassland
1611,NULL,Forest,Water,NULL,Water,Cropland,Grassland,Forest
1612,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
1613,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1614,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
1615,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
1616,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1617,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
1618,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1619,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
1620,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
1621,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
1622,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
1623,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
1624,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1625,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
1626,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1627,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1628,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1629,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Water,Forest
1630,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
1631,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1632,NULL,Forest,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
1633,NULL,Forest,Forest,NULL,Non_Wetland,Cropland,Wetland,Forest
1634,NULL,Forest,Forest,NULL,Non_Wetland,Cropland,Forest,Forest
1635,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
1636,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
1637,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Wetland
1638,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1639,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
1640,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
1641,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
1642,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1643,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
1644,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
1645,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
1646,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
1647,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1648,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
1649,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
1650,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
1651,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Bareland
1652,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Built-up
1653,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
1654,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
1655,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1656,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
1657,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1658,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
1659,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
1660,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1661,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1662,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
1663,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
1664,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
1665,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
1666,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1667,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
1668,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
1669,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
1670,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
1671,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
1672,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
1673,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
1674,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
1675,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
1676,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
1677,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1678,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
1679,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
1680,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
1681,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1682,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
1683,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
1684,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
1685,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
1686,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
1687,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
1688,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
1689,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1690,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
1691,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
1692,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
1693,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
1694,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
1695,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
1696,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
1697,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
1698,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
1699,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
1700,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
1701,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
1702,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
1703,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
1704,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
1705,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1706,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
1707,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
1708,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
1709,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
1710,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Cropland
1711,Grassland,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
1712,Grassland,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
1713,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
1714,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
1715,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
1716,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
1717,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
1718,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
1719,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
1720,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
1721,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
1722,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
1723,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
1724,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
1725,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1726,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
1727,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
1728,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1729,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
1730,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
1731,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
1732,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
1733,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
1734,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
1735,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
1736,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
1737,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
1738,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
1739,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
1740,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1741,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
1742,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
1743,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1744,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1745,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
1746,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
1747,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1748,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
1749,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1750,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
1751,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
1752,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
1753,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1754,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
1755,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
1756,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
1757,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
1758,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
1759,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
1760,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
1761,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
1762,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
1763,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1764,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
1765,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
1766,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
1767,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
1768,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Cropland
1769,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
1770,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
1771,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
1772,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1773,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
1774,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
1775,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
1776,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1777,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
1778,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
1779,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
1780,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1781,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
1782,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
1783,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
1784,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1785,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
1786,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
1787,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1788,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1789,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
1790,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
1791,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
1792,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
1793,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
1794,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1795,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
1796,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
1797,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
1798,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1799,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1800,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1801,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1802,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1803,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
1804,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
1805,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
1806,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
1807,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
1808,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
1809,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Cropland
1810,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
1811,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1812,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
1813,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
1814,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Forest
1815,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
1816,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
1817,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
1818,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
1819,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
1820,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
1821,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1822,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1823,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
1824,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
1825,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1826,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
1827,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,NULL
1828,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1829,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Cropland
1830,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
1831,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1832,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
1833,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
1834,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
1835,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Bareland
1836,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
1837,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
1838,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
1839,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
1840,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
1841,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1842,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
1843,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
1844,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Wetland,Grassland
1845,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Grassland
1846,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Cropland
1847,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Forest
1848,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
1849,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Cropland
1850,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1851,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Cropland
1852,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
1853,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1854,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Wetland
1855,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
1856,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
1857,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
1858,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1859,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
1860,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
1861,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
1862,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
1863,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1864,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Forest
1865,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1866,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1867,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,NULL,Wetland
1868,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Grassland
1869,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Wetland
1870,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Forest
1871,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Grassland
1872,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
1873,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
1874,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
1875,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
1876,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
1877,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
1878,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
1879,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
1880,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,NULL,Grassland
1881,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,NULL,Cropland
1882,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
1883,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Cropland
1884,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland,NULL,Cropland
1885,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland,Grassland,Cropland
1886,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
1887,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
1888,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
1889,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
1890,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
1891,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Cropland
1892,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
1893,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
1894,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
1895,Grassland,NULL,Water,NULL,Water,Shrubland,Grassland,Wetland
1896,Grassland,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
1897,Grassland,NULL,Water,NULL,Water,Grassland,Grassland,Wetland
1898,Grassland,NULL,Water,NULL,Water,Grassland,Grassland,Forest
