Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MDQ_M_R
386,Water,Forest,Bareland,Water,Non_Wetland,Water,Water,Water
387,Water,Forest,Water,Non_Water,Water,Bareland,Wetland,Forest
388,Water,Forest,Water,Water,Water,Water,Water,Water
389,Water,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Water
390,Water,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
391,Water,Forest,Forest,NULL,Non_Wetland,Water,Water,Water
392,Water,Forest,Forest,NULL,Non_Wetland,Water,Water,Forest
393,Water,Forest,Forest,Non_Water,Non_Wetland,Bareland,Wetland,Water
394,Water,Forest,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
395,Permanent_ice_and_snow,Water,Wetland,Water,Wetland,Water,Water,Water
396,Permanent_ice_and_snow,Water,Water,NULL,Water,Bareland,Water,Forest
397,Permanent_ice_and_snow,Water,Water,Non_Water,Water,Bareland,Water,Grassland
398,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
399,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
400,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
401,Forest,NULL,Forest,NULL,Non_Wetland,Water,Forest,Grassland
402,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Forest,NULL
403,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
404,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
405,Forest,Bareland,Wetland,Water,Wetland,Water,Water,Water
406,Forest,Water,NULL,NULL,Non_Wetland,NULL,Wetland,Water
407,Forest,Water,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
408,Forest,Water,NULL,NULL,Non_Wetland,NULL,Water,Water
409,Forest,Water,NULL,NULL,Non_Wetland,NULL,Water,Forest
410,Forest,Water,NULL,NULL,Non_Wetland,NULL,Forest,Forest
411,Forest,Water,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
412,Forest,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
413,Forest,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
414,Forest,Water,NULL,NULL,Non_Wetland,Bareland,Wetland,Water
415,Forest,Water,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
416,Forest,Water,NULL,NULL,Non_Wetland,Bareland,Water,Water
417,Forest,Water,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
418,Forest,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
419,Forest,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
420,Forest,Water,NULL,NULL,Non_Wetland,Water,Water,Water
421,Forest,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
422,Forest,Water,NULL,NULL,Non_Wetland,Water,Forest,Water
423,Forest,Water,NULL,NULL,Non_Wetland,Water,Forest,Forest
424,Forest,Water,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
425,Forest,Water,NULL,NULL,Non_Wetland,Forest,Water,Forest
426,Forest,Water,NULL,NULL,Non_Wetland,Forest,Forest,Forest
427,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,Wetland,Water
428,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
429,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
430,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
431,Forest,Water,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
432,Forest,Water,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Forest
433,Forest,Water,NULL,Non_Water,Non_Wetland,Bareland,Water,Water
434,Forest,Water,NULL,Non_Water,Non_Wetland,Bareland,Water,Forest
435,Forest,Water,NULL,Non_Water,Non_Wetland,Bareland,Forest,Forest
436,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
437,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
438,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
439,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Water,Forest
440,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Forest,Water
441,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Forest,Forest
442,Forest,Water,NULL,Non_Water,Non_Wetland,Forest,Wetland,Water
443,Forest,Water,NULL,Non_Water,Non_Wetland,Forest,Wetland,Forest
444,Forest,Water,NULL,Non_Water,Non_Wetland,Forest,Water,Forest
445,Forest,Water,NULL,Water,Non_Wetland,NULL,Wetland,Water
446,Forest,Water,NULL,Water,Non_Wetland,NULL,Wetland,Forest
447,Forest,Water,NULL,Water,Non_Wetland,NULL,Water,Water
448,Forest,Water,NULL,Water,Non_Wetland,NULL,Water,Forest
449,Forest,Water,NULL,Water,Non_Wetland,NULL,Forest,Water
450,Forest,Water,NULL,Water,Non_Wetland,Bareland,Wetland,Water
451,Forest,Water,NULL,Water,Non_Wetland,Bareland,Water,Water
452,Forest,Water,NULL,Water,Non_Wetland,Water,Wetland,Water
453,Forest,Water,NULL,Water,Non_Wetland,Water,Wetland,Forest
454,Forest,Water,NULL,Water,Non_Wetland,Water,Water,Water
455,Forest,Water,NULL,Water,Non_Wetland,Water,Water,Forest
456,Forest,Water,NULL,Water,Non_Wetland,Water,Forest,Forest
457,Forest,Water,NULL,Water,Non_Wetland,Forest,Wetland,Forest
458,Forest,Water,NULL,Water,Non_Wetland,Forest,Forest,Water
459,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,Wetland,Water
460,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
461,Forest,Water,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Water
462,Forest,Water,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
463,Forest,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Water
464,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
465,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
466,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
467,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Water,Forest
468,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Water
469,Forest,Water,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
470,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Forest
471,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,Water,Forest
472,Forest,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Water
473,Forest,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Water
474,Forest,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Forest
475,Forest,Water,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
476,Forest,Water,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Water
477,Forest,Water,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Forest
478,Forest,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
479,Forest,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Forest
480,Forest,Water,Shrubland,Non_Water,Non_Wetland,Water,Forest,Forest
481,Forest,Water,Shrubland,Water,Non_Wetland,NULL,Wetland,Water
482,Forest,Water,Shrubland,Water,Non_Wetland,Wetland,Wetland,Water
483,Forest,Water,Shrubland,Water,Non_Wetland,Bareland,Wetland,Forest
484,Forest,Water,Shrubland,Water,Non_Wetland,Bareland,Water,Bareland
485,Forest,Water,Shrubland,Water,Non_Wetland,Bareland,Water,Water
486,Forest,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Water
487,Forest,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
488,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Wetland,Water
489,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
490,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Water,Water
491,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Water,Forest
492,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Forest,Water
493,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
494,Forest,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
495,Forest,Water,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
496,Forest,Water,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
497,Forest,Water,Grassland,NULL,Non_Wetland,Bareland,Water,Water
498,Forest,Water,Grassland,NULL,Non_Wetland,Bareland,Water,Forest
499,Forest,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Water
500,Forest,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
501,Forest,Water,Grassland,NULL,Non_Wetland,Water,Water,Water
502,Forest,Water,Grassland,NULL,Non_Wetland,Water,Water,Forest
503,Forest,Water,Grassland,NULL,Non_Wetland,Water,Forest,Water
504,Forest,Water,Grassland,NULL,Non_Wetland,Water,Forest,Forest
505,Forest,Water,Grassland,NULL,Non_Wetland,Forest,Wetland,Water
506,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Water
507,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Forest
508,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,Water,Water
509,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,Water,Forest
510,Forest,Water,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Water
511,Forest,Water,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Water
512,Forest,Water,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Water
513,Forest,Water,Grassland,Non_Water,Non_Wetland,Bareland,Water,Water
514,Forest,Water,Grassland,Non_Water,Non_Wetland,Bareland,Water,Forest
515,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Water
516,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Forest
517,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Water
518,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Forest
519,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Forest,Water
520,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Forest,Forest
521,Forest,Water,Grassland,Non_Water,Non_Wetland,Forest,Wetland,Forest
522,Forest,Water,Grassland,Water,Non_Wetland,NULL,Water,Water
523,Forest,Water,Grassland,Water,Non_Wetland,Bareland,Water,Water
524,Forest,Water,Grassland,Water,Non_Wetland,Water,Wetland,Water
525,Forest,Water,Grassland,Water,Non_Wetland,Water,Water,Water
526,Forest,Water,Grassland,Water,Non_Wetland,Water,Water,Forest
527,Forest,Water,Grassland,Water,Non_Wetland,Water,Forest,Water
528,Forest,Water,Cropland,NULL,Non_Wetland,Water,Wetland,Water
529,Forest,Water,Cropland,Non_Water,Non_Wetland,Water,Wetland,Water
530,Forest,Water,Cropland,Water,Non_Wetland,Water,Wetland,Water
531,Forest,Water,Wetland,NULL,Wetland,NULL,Wetland,Water
532,Forest,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
533,Forest,Water,Wetland,NULL,Wetland,NULL,Water,Water
534,Forest,Water,Wetland,NULL,Wetland,NULL,Water,Forest
535,Forest,Water,Wetland,NULL,Wetland,NULL,Forest,Water
536,Forest,Water,Wetland,NULL,Wetland,NULL,Forest,Forest
537,Forest,Water,Wetland,NULL,Wetland,Grassland,Water,Forest
538,Forest,Water,Wetland,NULL,Wetland,Wetland,Wetland,Water
539,Forest,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
540,Forest,Water,Wetland,NULL,Wetland,Wetland,Water,Water
541,Forest,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
542,Forest,Water,Wetland,NULL,Wetland,Wetland,Forest,Water
543,Forest,Water,Wetland,NULL,Wetland,Wetland,Forest,Forest
544,Forest,Water,Wetland,NULL,Wetland,Bareland,Wetland,Water
545,Forest,Water,Wetland,NULL,Wetland,Bareland,Wetland,Forest
546,Forest,Water,Wetland,NULL,Wetland,Bareland,Water,Water
547,Forest,Water,Wetland,NULL,Wetland,Bareland,Water,Forest
548,Forest,Water,Wetland,NULL,Wetland,Bareland,Forest,Forest
549,Forest,Water,Wetland,NULL,Wetland,Water,Wetland,Bareland
550,Forest,Water,Wetland,NULL,Wetland,Water,Wetland,Water
551,Forest,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
552,Forest,Water,Wetland,NULL,Wetland,Water,Water,Water
553,Forest,Water,Wetland,NULL,Wetland,Water,Water,Forest
554,Forest,Water,Wetland,NULL,Wetland,Water,Forest,Water
555,Forest,Water,Wetland,NULL,Wetland,Water,Forest,Forest
556,Forest,Water,Wetland,NULL,Wetland,Forest,Wetland,Water
557,Forest,Water,Wetland,NULL,Wetland,Forest,Wetland,Forest
558,Forest,Water,Wetland,NULL,Wetland,Forest,Water,Water
559,Forest,Water,Wetland,NULL,Wetland,Forest,Water,Forest
560,Forest,Water,Wetland,NULL,Wetland,Forest,Forest,Water
561,Forest,Water,Wetland,NULL,Wetland,Forest,Forest,Forest
562,Forest,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Water
563,Forest,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
564,Forest,Water,Wetland,Non_Water,Wetland,NULL,Water,Grassland
565,Forest,Water,Wetland,Non_Water,Wetland,NULL,Water,Water
566,Forest,Water,Wetland,Non_Water,Wetland,NULL,Water,Forest
567,Forest,Water,Wetland,Non_Water,Wetland,NULL,Forest,Water
568,Forest,Water,Wetland,Non_Water,Wetland,NULL,Forest,Forest
569,Forest,Water,Wetland,Non_Water,Wetland,Grassland,Water,Forest
570,Forest,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
571,Forest,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
572,Forest,Water,Wetland,Non_Water,Wetland,Wetland,Water,Water
573,Forest,Water,Wetland,Non_Water,Wetland,Wetland,Water,Forest
574,Forest,Water,Wetland,Non_Water,Wetland,Bareland,Wetland,Water
575,Forest,Water,Wetland,Non_Water,Wetland,Bareland,Wetland,Forest
576,Forest,Water,Wetland,Non_Water,Wetland,Bareland,Water,Water
577,Forest,Water,Wetland,Non_Water,Wetland,Bareland,Water,Forest
578,Forest,Water,Wetland,Non_Water,Wetland,Bareland,Forest,Water
579,Forest,Water,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
580,Forest,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
581,Forest,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
582,Forest,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
583,Forest,Water,Wetland,Non_Water,Wetland,Water,Water,Bareland
584,Forest,Water,Wetland,Non_Water,Wetland,Water,Water,Water
585,Forest,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
586,Forest,Water,Wetland,Non_Water,Wetland,Water,Forest,Water
587,Forest,Water,Wetland,Non_Water,Wetland,Water,Forest,Forest
588,Forest,Water,Wetland,Non_Water,Wetland,Forest,Wetland,Water
589,Forest,Water,Wetland,Non_Water,Wetland,Forest,Wetland,Forest
590,Forest,Water,Wetland,Non_Water,Wetland,Forest,Water,Water
591,Forest,Water,Wetland,Non_Water,Wetland,Forest,Water,Forest
592,Forest,Water,Wetland,Non_Water,Wetland,Forest,Forest,Water
593,Forest,Water,Wetland,Non_Water,Wetland,Forest,Forest,Forest
594,Forest,Water,Wetland,Water,Wetland,NULL,Wetland,Water
595,Forest,Water,Wetland,Water,Wetland,NULL,Wetland,Forest
596,Forest,Water,Wetland,Water,Wetland,NULL,Water,Water
597,Forest,Water,Wetland,Water,Wetland,NULL,Water,Forest
598,Forest,Water,Wetland,Water,Wetland,NULL,Forest,Water
599,Forest,Water,Wetland,Water,Wetland,NULL,Forest,Forest
600,Forest,Water,Wetland,Water,Wetland,Grassland,Water,Water
601,Forest,Water,Wetland,Water,Wetland,Grassland,Water,Forest
602,Forest,Water,Wetland,Water,Wetland,Grassland,Forest,Water
603,Forest,Water,Wetland,Water,Wetland,Wetland,Wetland,Water
604,Forest,Water,Wetland,Water,Wetland,Wetland,Wetland,Forest
605,Forest,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
606,Forest,Water,Wetland,Water,Wetland,Wetland,Water,Water
607,Forest,Water,Wetland,Water,Wetland,Wetland,Water,Forest
608,Forest,Water,Wetland,Water,Wetland,Wetland,Forest,Forest
609,Forest,Water,Wetland,Water,Wetland,Bareland,Wetland,Water
610,Forest,Water,Wetland,Water,Wetland,Bareland,Wetland,Forest
611,Forest,Water,Wetland,Water,Wetland,Bareland,Water,Water
612,Forest,Water,Wetland,Water,Wetland,Bareland,Water,Forest
613,Forest,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
614,Forest,Water,Wetland,Water,Wetland,Water,Wetland,Water
615,Forest,Water,Wetland,Water,Wetland,Water,Wetland,Forest
616,Forest,Water,Wetland,Water,Wetland,Water,Water,Grassland
617,Forest,Water,Wetland,Water,Wetland,Water,Water,Bareland
618,Forest,Water,Wetland,Water,Wetland,Water,Water,Water
619,Forest,Water,Wetland,Water,Wetland,Water,Water,Forest
620,Forest,Water,Wetland,Water,Wetland,Water,Forest,Water
621,Forest,Water,Wetland,Water,Wetland,Water,Forest,Forest
622,Forest,Water,Wetland,Water,Wetland,Forest,Wetland,Water
623,Forest,Water,Wetland,Water,Wetland,Forest,Water,Water
624,Forest,Water,Wetland,Water,Wetland,Forest,Water,Forest
625,Forest,Water,Wetland,Water,Wetland,Forest,Forest,Water
626,Forest,Water,Wetland,Water,Wetland,Forest,Forest,Forest
627,Forest,Water,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Wetland,Water
628,Forest,Water,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Water,Forest
629,Forest,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water,Wetland,Grassland
630,Forest,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water,Wetland,Forest
631,Forest,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water,Water,Forest
632,Forest,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,Wetland,Water
633,Forest,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Water,Wetland,Forest
634,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Wetland,Water
635,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
636,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Water,Water
637,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Water,Forest
638,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Forest,Water
639,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Forest,Forest
640,Forest,Water,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
641,Forest,Water,Bareland,NULL,Non_Wetland,Wetland,Water,Forest
642,Forest,Water,Bareland,NULL,Non_Wetland,Bareland,Wetland,Water
643,Forest,Water,Bareland,NULL,Non_Wetland,Bareland,Wetland,Forest
644,Forest,Water,Bareland,NULL,Non_Wetland,Bareland,Water,Water
645,Forest,Water,Bareland,NULL,Non_Wetland,Bareland,Water,Forest
646,Forest,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Water
647,Forest,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
648,Forest,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
649,Forest,Water,Bareland,NULL,Non_Wetland,Water,Water,Forest
650,Forest,Water,Bareland,NULL,Non_Wetland,Water,Forest,Water
651,Forest,Water,Bareland,NULL,Non_Wetland,Water,Forest,Forest
652,Forest,Water,Bareland,NULL,Non_Wetland,Forest,Wetland,Water
653,Forest,Water,Bareland,NULL,Non_Wetland,Forest,Wetland,Forest
654,Forest,Water,Bareland,NULL,Non_Wetland,Forest,Water,Forest
655,Forest,Water,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
656,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Water
657,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Forest
658,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,Water,Water
659,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,Water,Forest
660,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,Forest,Forest
661,Forest,Water,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Water
662,Forest,Water,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
663,Forest,Water,Bareland,Non_Water,Non_Wetland,Wetland,Water,Water
664,Forest,Water,Bareland,Non_Water,Non_Wetland,Wetland,Water,Forest
665,Forest,Water,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Water
666,Forest,Water,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
667,Forest,Water,Bareland,Non_Water,Non_Wetland,Bareland,Water,Water
668,Forest,Water,Bareland,Non_Water,Non_Wetland,Bareland,Water,Forest
669,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Water
670,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
671,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Grassland
672,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Water
673,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Forest
674,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Forest,Water
675,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Forest,Forest
676,Forest,Water,Bareland,Non_Water,Non_Wetland,Forest,Wetland,Water
677,Forest,Water,Bareland,Non_Water,Non_Wetland,Forest,Wetland,Forest
678,Forest,Water,Bareland,Non_Water,Non_Wetland,Forest,Water,Forest
679,Forest,Water,Bareland,Non_Water,Non_Wetland,Forest,Forest,Forest
680,Forest,Water,Bareland,Water,Non_Wetland,NULL,Wetland,Water
681,Forest,Water,Bareland,Water,Non_Wetland,NULL,Wetland,Forest
682,Forest,Water,Bareland,Water,Non_Wetland,NULL,Water,Water
683,Forest,Water,Bareland,Water,Non_Wetland,NULL,Water,Forest
684,Forest,Water,Bareland,Water,Non_Wetland,NULL,Forest,Water
685,Forest,Water,Bareland,Water,Non_Wetland,NULL,Forest,Forest
686,Forest,Water,Bareland,Water,Non_Wetland,Grassland,Water,Forest
687,Forest,Water,Bareland,Water,Non_Wetland,Wetland,Wetland,Forest
688,Forest,Water,Bareland,Water,Non_Wetland,Bareland,Wetland,Water
689,Forest,Water,Bareland,Water,Non_Wetland,Bareland,Wetland,Forest
690,Forest,Water,Bareland,Water,Non_Wetland,Bareland,Water,Grassland
691,Forest,Water,Bareland,Water,Non_Wetland,Bareland,Water,Water
692,Forest,Water,Bareland,Water,Non_Wetland,Bareland,Water,Forest
693,Forest,Water,Bareland,Water,Non_Wetland,Water,Wetland,Water
694,Forest,Water,Bareland,Water,Non_Wetland,Water,Wetland,Forest
695,Forest,Water,Bareland,Water,Non_Wetland,Water,Water,Bareland
696,Forest,Water,Bareland,Water,Non_Wetland,Water,Water,Water
697,Forest,Water,Bareland,Water,Non_Wetland,Water,Water,Forest
698,Forest,Water,Bareland,Water,Non_Wetland,Water,Forest,Water
699,Forest,Water,Bareland,Water,Non_Wetland,Forest,Wetland,Water
700,Forest,Water,Bareland,Water,Non_Wetland,Forest,Water,Water
701,Forest,Water,Bareland,Water,Non_Wetland,Forest,Water,Forest
702,Forest,Water,Bareland,Water,Non_Wetland,Forest,Forest,Water
703,Forest,Water,Bareland,Water,Non_Wetland,Forest,Forest,Forest
704,Forest,Water,Built-up,NULL,Non_Wetland,NULL,Wetland,Forest
705,Forest,Water,Built-up,NULL,Non_Wetland,NULL,Water,Forest
706,Forest,Water,Built-up,NULL,Non_Wetland,Bareland,Water,Water
707,Forest,Water,Built-up,NULL,Non_Wetland,Bareland,Water,Forest
708,Forest,Water,Built-up,NULL,Non_Wetland,Water,Wetland,Water
709,Forest,Water,Built-up,NULL,Non_Wetland,Water,Wetland,Forest
710,Forest,Water,Built-up,NULL,Non_Wetland,Water,Water,Water
711,Forest,Water,Built-up,NULL,Non_Wetland,Water,Water,Forest
712,Forest,Water,Built-up,NULL,Non_Wetland,Water,Forest,Forest
713,Forest,Water,Built-up,Non_Water,Non_Wetland,NULL,Water,Forest
714,Forest,Water,Built-up,Non_Water,Non_Wetland,Bareland,Wetland,Water
715,Forest,Water,Built-up,Non_Water,Non_Wetland,Bareland,Wetland,Forest
716,Forest,Water,Built-up,Non_Water,Non_Wetland,Bareland,Water,Water
717,Forest,Water,Built-up,Non_Water,Non_Wetland,Bareland,Water,Forest
718,Forest,Water,Built-up,Non_Water,Non_Wetland,Water,Wetland,Bareland
719,Forest,Water,Built-up,Non_Water,Non_Wetland,Water,Wetland,Forest
720,Forest,Water,Built-up,Non_Water,Non_Wetland,Water,Water,Water
721,Forest,Water,Built-up,Non_Water,Non_Wetland,Water,Water,Forest
722,Forest,Water,Built-up,Non_Water,Non_Wetland,Forest,Wetland,Water
723,Forest,Water,Built-up,Water,Non_Wetland,Bareland,Wetland,Forest
724,Forest,Water,Built-up,Water,Non_Wetland,Bareland,Water,Water
725,Forest,Water,Built-up,Water,Non_Wetland,Water,Wetland,Water
726,Forest,Water,Built-up,Water,Non_Wetland,Water,Water,Water
727,Forest,Water,Built-up,Water,Non_Wetland,Water,Water,Forest
728,Forest,Water,Water,NULL,Water,NULL,Wetland,Water
729,Forest,Water,Water,NULL,Water,NULL,Wetland,Forest
730,Forest,Water,Water,NULL,Water,NULL,Water,Water
731,Forest,Water,Water,NULL,Water,NULL,Water,Forest
732,Forest,Water,Water,NULL,Water,NULL,Forest,Water
733,Forest,Water,Water,NULL,Water,NULL,Forest,Forest
734,Forest,Water,Water,NULL,Water,Grassland,Water,Water
735,Forest,Water,Water,NULL,Water,Wetland,Wetland,Water
736,Forest,Water,Water,NULL,Water,Wetland,Wetland,Forest
737,Forest,Water,Water,NULL,Water,Wetland,Water,Water
738,Forest,Water,Water,NULL,Water,Wetland,Water,Forest
739,Forest,Water,Water,NULL,Water,Wetland,Forest,Water
740,Forest,Water,Water,NULL,Water,Wetland,Forest,Forest
741,Forest,Water,Water,NULL,Water,Bareland,Wetland,Water
742,Forest,Water,Water,NULL,Water,Bareland,Wetland,Forest
743,Forest,Water,Water,NULL,Water,Bareland,Water,Water
744,Forest,Water,Water,NULL,Water,Bareland,Water,Forest
745,Forest,Water,Water,NULL,Water,Water,Wetland,Bareland
746,Forest,Water,Water,NULL,Water,Water,Wetland,Water
747,Forest,Water,Water,NULL,Water,Water,Wetland,Forest
748,Forest,Water,Water,NULL,Water,Water,Water,Bareland
749,Forest,Water,Water,NULL,Water,Water,Water,Water
750,Forest,Water,Water,NULL,Water,Water,Water,Forest
751,Forest,Water,Water,NULL,Water,Water,Forest,Water
752,Forest,Water,Water,NULL,Water,Water,Forest,Forest
753,Forest,Water,Water,NULL,Water,Forest,Wetland,Water
754,Forest,Water,Water,NULL,Water,Forest,Wetland,Forest
755,Forest,Water,Water,NULL,Water,Forest,Water,Water
756,Forest,Water,Water,NULL,Water,Forest,Water,Forest
757,Forest,Water,Water,NULL,Water,Forest,Forest,Water
758,Forest,Water,Water,NULL,Water,Forest,Forest,Forest
