Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NKM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NKM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NKM_M_R
357,Permanent_ice_and_snow,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
358,Permanent_ice_and_snow,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
359,Permanent_ice_and_snow,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
360,Permanent_ice_and_snow,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
361,Permanent_ice_and_snow,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
362,Permanent_ice_and_snow,Bareland,Water,Non_Water,Water,NULL,NULL,Water
363,Permanent_ice_and_snow,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
364,Permanent_ice_and_snow,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
365,Permanent_ice_and_snow,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
366,Permanent_ice_and_snow,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
367,Permanent_ice_and_snow,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
368,Permanent_ice_and_snow,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
369,Permanent_ice_and_snow,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
370,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
371,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,NULL,NULL,Water
372,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
373,Permanent_ice_and_snow,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
374,Permanent_ice_and_snow,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
375,Permanent_ice_and_snow,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
376,Permanent_ice_and_snow,Water,Wetland,Water,Wetland,NULL,NULL,Water
377,Permanent_ice_and_snow,Water,Wetland,Water,Wetland,NULL,NULL,Forest
378,Permanent_ice_and_snow,Water,Water,NULL,Water,NULL,NULL,Water
379,Permanent_ice_and_snow,Water,Water,NULL,Water,NULL,NULL,Forest
380,Permanent_ice_and_snow,Water,Water,Non_Water,Water,NULL,NULL,Bareland
381,Permanent_ice_and_snow,Water,Water,Non_Water,Water,NULL,NULL,Water
382,Permanent_ice_and_snow,Water,Water,Non_Water,Water,NULL,NULL,Forest
383,Permanent_ice_and_snow,Water,Water,Water,Water,NULL,NULL,Grassland
384,Permanent_ice_and_snow,Water,Water,Water,Water,NULL,NULL,Wetland
385,Permanent_ice_and_snow,Water,Water,Water,Water,NULL,NULL,Bareland
386,Permanent_ice_and_snow,Water,Water,Water,Water,NULL,NULL,Water
387,Permanent_ice_and_snow,Water,Water,Water,Water,NULL,NULL,Forest
388,Permanent_ice_and_snow,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
389,Permanent_ice_and_snow,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
390,Permanent_ice_and_snow,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
391,Permanent_ice_and_snow,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
392,Permanent_ice_and_snow,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
393,Permanent_ice_and_snow,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
394,Permanent_ice_and_snow,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
395,Permanent_ice_and_snow,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
396,Permanent_ice_and_snow,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
397,Permanent_ice_and_snow,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
398,Permanent_ice_and_snow,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
399,Permanent_ice_and_snow,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
400,Permanent_ice_and_snow,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
401,Permanent_ice_and_snow,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
402,Permanent_ice_and_snow,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
403,Permanent_ice_and_snow,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
404,Permanent_ice_and_snow,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
405,Permanent_ice_and_snow,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
406,Permanent_ice_and_snow,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
407,Permanent_ice_and_snow,Forest,Water,NULL,Water,NULL,NULL,Bareland
408,Permanent_ice_and_snow,Forest,Water,NULL,Water,NULL,NULL,Forest
409,Permanent_ice_and_snow,Forest,Water,Non_Water,Water,NULL,NULL,Forest
410,Permanent_ice_and_snow,Forest,Water,Water,Water,NULL,NULL,Forest
411,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
412,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
413,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
414,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
415,Permanent_ice_and_snow,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
416,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
417,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
418,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
419,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
420,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
421,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
422,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
423,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
424,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
425,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
426,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
427,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
428,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
429,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
430,Forest,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
431,Forest,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
432,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
433,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
434,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
435,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
436,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
437,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
438,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
439,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
440,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
441,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
442,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
443,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
444,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
445,Forest,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
446,Forest,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
447,Forest,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
448,Forest,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
449,Forest,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
450,Forest,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
451,Forest,NULL,Water,NULL,Water,NULL,NULL,NULL
452,Forest,NULL,Water,NULL,Water,NULL,NULL,Grassland
453,Forest,NULL,Water,NULL,Water,NULL,NULL,Bareland
454,Forest,NULL,Water,NULL,Water,NULL,NULL,Water
455,Forest,NULL,Water,NULL,Water,NULL,NULL,Forest
456,Forest,NULL,Water,Non_Water,Water,NULL,NULL,Forest
457,Forest,NULL,Water,Water,Water,NULL,NULL,Grassland
458,Forest,NULL,Water,Water,Water,NULL,NULL,Water
459,Forest,NULL,Water,Water,Water,NULL,NULL,Forest
460,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
461,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
462,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
463,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
464,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
465,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
466,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
467,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
468,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
469,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
470,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
471,Forest,Wetland,Water,Water,Water,NULL,NULL,Grassland
472,Forest,Wetland,Water,Water,Water,NULL,NULL,Forest
473,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
474,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
475,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
476,Forest,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
477,Forest,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
478,Forest,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
479,Forest,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
480,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
481,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
482,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
483,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
484,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
485,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
486,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
487,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
488,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
489,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
490,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
491,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
492,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
493,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
494,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
495,Forest,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
496,Forest,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
497,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
498,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
499,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
500,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Water
501,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
502,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
503,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
504,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
505,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
506,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Water
507,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Forest
508,Forest,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
509,Forest,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
510,Forest,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
511,Forest,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
512,Forest,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
513,Forest,Water,Water,NULL,Water,NULL,NULL,NULL
514,Forest,Water,Water,NULL,Water,NULL,NULL,Grassland
515,Forest,Water,Water,NULL,Water,NULL,NULL,Bareland
516,Forest,Water,Water,NULL,Water,NULL,NULL,Water
517,Forest,Water,Water,NULL,Water,NULL,NULL,Forest
518,Forest,Water,Water,Non_Water,Water,NULL,NULL,Water
519,Forest,Water,Water,Non_Water,Water,NULL,NULL,Forest
520,Forest,Water,Water,Water,Water,NULL,NULL,Grassland
521,Forest,Water,Water,Water,Water,NULL,NULL,Water
522,Forest,Water,Water,Water,Water,NULL,NULL,Forest
523,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,NULL
524,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
525,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
526,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
527,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
528,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
529,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
530,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
531,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
532,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
533,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
534,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
535,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
536,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
537,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
538,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
539,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
540,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
541,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
542,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
543,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
544,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
545,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
546,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
547,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
548,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
549,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
550,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
551,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
552,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
553,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
554,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Water
555,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
556,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
557,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
558,Forest,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Forest
559,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
560,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
561,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
562,Forest,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
563,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
564,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
565,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
566,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
567,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
568,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
569,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
570,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,NULL
571,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Water
572,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
573,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
574,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
575,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Water
576,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
577,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
578,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
579,Forest,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Forest
580,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
581,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
582,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
583,Forest,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
584,Forest,Forest,Built-up,Water,Non_Wetland,NULL,NULL,Forest
585,Forest,Forest,Water,NULL,Water,NULL,NULL,Bareland
586,Forest,Forest,Water,NULL,Water,NULL,NULL,Water
587,Forest,Forest,Water,NULL,Water,NULL,NULL,Forest
588,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
589,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Bareland
590,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Forest
591,Forest,Forest,Water,Water,Water,NULL,NULL,Water
592,Forest,Forest,Water,Water,Water,NULL,NULL,Forest
593,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
594,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
595,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
596,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
597,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
598,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
599,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
600,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
601,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
602,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
603,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
604,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
605,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Bareland
606,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
607,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
