Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LZK_M_R
948,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
949,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
950,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
951,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
952,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
953,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
954,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
955,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
956,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
957,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
958,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
959,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
960,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Cropland
961,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
962,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Cropland
963,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
964,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
965,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Cropland
966,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Forest
967,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
968,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Cropland
969,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
970,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Grassland
971,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Cropland
972,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
973,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
974,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
975,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
976,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
977,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
978,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
979,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
980,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
981,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
982,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
983,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
984,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
985,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
986,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
987,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
988,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
989,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
990,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
991,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
992,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
993,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
994,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
995,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
996,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
997,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
998,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Grassland
999,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Cropland
1000,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1001,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1002,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
1003,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
1004,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1005,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
1006,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1007,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland,NULL,Grassland
1008,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
1009,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland,Grassland,Grassland
1010,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
1011,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
1012,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
1013,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
1014,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
1015,Grassland,NULL,Water,NULL,Water,Grassland,Grassland,Wetland
1016,Grassland,NULL,Water,NULL,Water,Wetland,Grassland,Wetland
1017,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
1018,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
1019,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
1020,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
1021,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
1022,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1023,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
1024,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
1025,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1026,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Cropland
1027,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
1028,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,NULL
1029,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
1030,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
1031,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,Grassland
1032,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,NULL
1033,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
1034,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
1035,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
1036,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Cropland
1037,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
1038,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
1039,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1040,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
1041,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1042,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
1043,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Wetland
1044,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1045,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
1046,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1047,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1048,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
1049,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
1050,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
1051,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1052,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Grassland
1053,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Cropland
1054,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
1055,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Wetland,Grassland
1056,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Grassland
1057,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Forest
1058,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
1059,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
1060,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
1061,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Wetland
1062,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1063,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
1064,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
1065,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
1066,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
1067,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
1068,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1069,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
1070,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
1071,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
1072,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1073,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1074,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
1075,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1076,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1077,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
1078,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1079,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
1080,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
1081,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
1082,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1083,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
1084,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1085,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
1086,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
1087,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
1088,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1089,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
1090,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
1091,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
1092,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
1093,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
1094,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
1095,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
1096,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1097,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
1098,Grassland,Cropland,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
1099,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
1100,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1101,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Cropland,NULL,Cropland
1102,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
1103,Grassland,Cropland,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
1104,Grassland,Cropland,NULL,Water,Non_Wetland,Water,Grassland,Bareland
1105,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1106,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
1107,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
1108,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
1109,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
1110,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
1111,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1112,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1113,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
1114,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1115,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1116,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
1117,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
1118,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
1119,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Built-up
1120,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
1121,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1122,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
1123,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
1124,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
1125,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
1126,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1127,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1128,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1129,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
1130,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
1131,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
1132,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1133,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1134,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
1135,Grassland,Cropland,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
1136,Grassland,Cropland,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
1137,Grassland,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1138,Grassland,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
1139,Grassland,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
1140,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
1141,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
1142,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
1143,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
1144,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1145,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1146,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1147,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1148,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Cropland
1149,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
1150,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
1151,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
1152,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
1153,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
1154,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland,NULL,Cropland
1155,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland,NULL,Forest
1156,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1157,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland,Grassland,Cropland
1158,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
1159,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland,Forest,Grassland
1160,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland,Forest,Cropland
1161,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland,Forest,Forest
1162,Grassland,Cropland,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
1163,Grassland,Cropland,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1164,Grassland,Cropland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1165,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1166,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
1167,Grassland,Cropland,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
1168,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1169,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
1170,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1171,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
1172,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
1173,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
1174,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
1175,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
1176,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1177,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1178,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
1179,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1180,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Wetland,Cropland
1181,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
1182,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1183,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
1184,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
1185,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
1186,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
1187,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
1188,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
1189,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1190,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
1191,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
1192,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Wetland,Cropland
1193,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Forest,Grassland
1194,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Forest,Cropland
1195,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1196,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
1197,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1198,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
1199,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
1200,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Forest
1201,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1202,Grassland,Cropland,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
1203,Grassland,Cropland,Wetland,Non_Water,Wetland,Shrubland,Grassland,Grassland
1204,Grassland,Cropland,Wetland,Non_Water,Wetland,Shrubland,Water,Wetland
1205,Grassland,Cropland,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
1206,Grassland,Cropland,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
1207,Grassland,Cropland,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
1208,Grassland,Cropland,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
1209,Grassland,Cropland,Wetland,Water,Wetland,Wetland,Grassland,Grassland
1210,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1211,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
1212,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Cropland
1213,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
1214,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
1215,Grassland,Cropland,Built-up,NULL,Non_Wetland,Cropland,NULL,Grassland
1216,Grassland,Cropland,Built-up,NULL,Non_Wetland,Cropland,NULL,Cropland
1217,Grassland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
1218,Grassland,Cropland,Water,NULL,Water,Grassland,Grassland,Grassland
1219,Grassland,Cropland,Water,NULL,Water,Grassland,Grassland,Forest
1220,Grassland,Cropland,Water,NULL,Water,Water,Grassland,Bareland
1221,Grassland,Cropland,Water,Non_Water,Water,Grassland,Wetland,Grassland
1222,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1223,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
1224,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
1225,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
1226,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
1227,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Cropland
1228,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
1229,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
1230,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1231,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
1232,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1233,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1234,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Water,Forest
1235,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
1236,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1237,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
1238,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Cropland
1239,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Forest
1240,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Grassland
1241,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Cropland
1242,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
1243,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Wetland,Grassland
1244,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Forest,Grassland
1245,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
1246,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
1247,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1248,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
1249,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1250,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1251,Grassland,Bareland,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
1252,Grassland,Bareland,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
1253,Grassland,Bareland,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
1254,Grassland,Water,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1255,Grassland,Water,Forest,NULL,Non_Wetland,Shrubland,Wetland,Cropland
1256,Grassland,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1257,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
1258,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1259,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
1260,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1261,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
1262,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
