Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LFP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LFP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LFP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LFP_M_R
9724,Wetland,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
9725,Wetland,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
9726,Wetland,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
9727,Wetland,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
9728,Wetland,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
9729,Wetland,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Wetland
9730,Wetland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
9731,Wetland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
9732,Wetland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
9733,Wetland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
9734,Wetland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
9735,Wetland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Wetland
9736,Wetland,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
9737,Wetland,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
9738,Wetland,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
9739,Wetland,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Water
9740,Wetland,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Wetland
9741,Wetland,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Wetland
9742,Wetland,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Wetland
9743,Wetland,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
9744,Wetland,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
9745,Wetland,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
9746,Wetland,NULL,NULL,Water,Non_Wetland,Water,Water,Water
9747,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
9748,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
9749,Wetland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
9750,Wetland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
9751,Wetland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
9752,Wetland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
9753,Wetland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
9754,Wetland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
9755,Wetland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
9756,Wetland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
9757,Wetland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
9758,Wetland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
9759,Wetland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
9760,Wetland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
9761,Wetland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Wetland
9762,Wetland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Water
9763,Wetland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
9764,Wetland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
9765,Wetland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
9766,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
9767,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
9768,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Water
9769,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
9770,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
9771,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
9772,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
9773,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
9774,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Water
9775,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
9776,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
9777,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
9778,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
9779,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
9780,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
9781,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
9782,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
9783,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
9784,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
9785,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
9786,Wetland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
9787,Wetland,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
9788,Wetland,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Water
9789,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
9790,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
9791,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
9792,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
9793,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Water,Grassland
9794,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Water,Wetland
9795,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
9796,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
9797,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
9798,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
9799,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
9800,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
9801,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
9802,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
9803,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
9804,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Wetland
9805,Wetland,NULL,Shrubland,Water,Non_Wetland,Shrubland,Shrubland,Grassland
9806,Wetland,NULL,Shrubland,Water,Non_Wetland,Shrubland,Wetland,Grassland
9807,Wetland,NULL,Shrubland,Water,Non_Wetland,Shrubland,Water,Grassland
9808,Wetland,NULL,Shrubland,Water,Non_Wetland,Shrubland,Water,Wetland
9809,Wetland,NULL,Shrubland,Water,Non_Wetland,Grassland,Shrubland,Wetland
9810,Wetland,NULL,Shrubland,Water,Non_Wetland,Wetland,Shrubland,Grassland
9811,Wetland,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
9812,Wetland,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
9813,Wetland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
9814,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
9815,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
9816,Wetland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Water,Grassland
9817,Wetland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
9818,Wetland,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
9819,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
9820,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Water,Grassland
9821,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
9822,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
9823,Wetland,NULL,Wetland,NULL,Wetland,NULL,Shrubland,Grassland
9824,Wetland,NULL,Wetland,NULL,Wetland,NULL,Shrubland,Forest
9825,Wetland,NULL,Wetland,NULL,Wetland,NULL,Grassland,Grassland
9826,Wetland,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
9827,Wetland,NULL,Wetland,NULL,Wetland,Shrubland,NULL,Grassland
9828,Wetland,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,NULL
9829,Wetland,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Grassland
9830,Wetland,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Wetland
9831,Wetland,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Forest
9832,Wetland,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Grassland
9833,Wetland,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Wetland
9834,Wetland,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Forest
9835,Wetland,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,NULL
9836,Wetland,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Grassland
9837,Wetland,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Wetland
9838,Wetland,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Forest
9839,Wetland,NULL,Wetland,NULL,Wetland,Shrubland,Water,Grassland
9840,Wetland,NULL,Wetland,NULL,Wetland,Shrubland,Water,Wetland
9841,Wetland,NULL,Wetland,NULL,Wetland,Shrubland,Forest,Grassland
9842,Wetland,NULL,Wetland,NULL,Wetland,Shrubland,Forest,Wetland
9843,Wetland,NULL,Wetland,NULL,Wetland,Shrubland,Forest,Forest
9844,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Grassland
9845,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Forest
9846,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
9847,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
9848,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
9849,Wetland,NULL,Wetland,NULL,Wetland,Cropland,NULL,Grassland
9850,Wetland,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
9851,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,NULL
9852,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Grassland
9853,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Wetland
9854,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Forest
9855,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
9856,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
9857,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
9858,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
9859,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
9860,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
9861,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
9862,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
9863,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
9864,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
9865,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Forest,Wetland
9866,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
9867,Wetland,NULL,Wetland,NULL,Wetland,Bareland,Shrubland,Grassland
9868,Wetland,NULL,Wetland,NULL,Wetland,Bareland,Forest,Grassland
9869,Wetland,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
9870,Wetland,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
9871,Wetland,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
9872,Wetland,NULL,Wetland,NULL,Wetland,Water,Water,Water
9873,Wetland,NULL,Wetland,NULL,Wetland,Water,Water,Forest
9874,Wetland,NULL,Wetland,NULL,Wetland,Water,Forest,Grassland
9875,Wetland,NULL,Wetland,NULL,Wetland,Water,Forest,Wetland
9876,Wetland,NULL,Wetland,NULL,Wetland,Water,Forest,Bareland
9877,Wetland,NULL,Wetland,NULL,Wetland,Forest,Shrubland,Grassland
9878,Wetland,NULL,Wetland,NULL,Wetland,Forest,Shrubland,Forest
9879,Wetland,NULL,Wetland,NULL,Wetland,Forest,Wetland,Wetland
9880,Wetland,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
9881,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,Shrubland,Grassland
9882,Wetland,NULL,Wetland,Non_Water,Wetland,Shrubland,NULL,Forest
9883,Wetland,NULL,Wetland,Non_Water,Wetland,Shrubland,Shrubland,Grassland
9884,Wetland,NULL,Wetland,Non_Water,Wetland,Shrubland,Shrubland,Wetland
9885,Wetland,NULL,Wetland,Non_Water,Wetland,Shrubland,Shrubland,Forest
9886,Wetland,NULL,Wetland,Non_Water,Wetland,Shrubland,Grassland,Grassland
9887,Wetland,NULL,Wetland,Non_Water,Wetland,Shrubland,Wetland,Grassland
9888,Wetland,NULL,Wetland,Non_Water,Wetland,Shrubland,Wetland,Wetland
9889,Wetland,NULL,Wetland,Non_Water,Wetland,Shrubland,Wetland,Forest
9890,Wetland,NULL,Wetland,Non_Water,Wetland,Shrubland,Water,Grassland
9891,Wetland,NULL,Wetland,Non_Water,Wetland,Shrubland,Water,Wetland
9892,Wetland,NULL,Wetland,Non_Water,Wetland,Shrubland,Water,Water
9893,Wetland,NULL,Wetland,Non_Water,Wetland,Shrubland,Forest,Grassland
9894,Wetland,NULL,Wetland,Non_Water,Wetland,Shrubland,Forest,Wetland
9895,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland,Shrubland,Grassland
9896,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland,Shrubland,Forest
9897,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
9898,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland,Forest,Grassland
9899,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland,Shrubland,Grassland
9900,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland,Shrubland,Wetland
9901,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
9902,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
9903,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
9904,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
9905,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Water
9906,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland,Forest,Wetland
9907,Wetland,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Wetland
9908,Wetland,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
9909,Wetland,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
9910,Wetland,NULL,Wetland,Non_Water,Wetland,Water,Forest,Wetland
9911,Wetland,NULL,Wetland,Non_Water,Wetland,Forest,NULL,Forest
9912,Wetland,NULL,Wetland,Water,Wetland,NULL,Water,Grassland
9913,Wetland,NULL,Wetland,Water,Wetland,Shrubland,NULL,Forest
9914,Wetland,NULL,Wetland,Water,Wetland,Shrubland,Shrubland,Grassland
9915,Wetland,NULL,Wetland,Water,Wetland,Shrubland,Shrubland,Wetland
9916,Wetland,NULL,Wetland,Water,Wetland,Shrubland,Grassland,Grassland
9917,Wetland,NULL,Wetland,Water,Wetland,Shrubland,Wetland,Wetland
9918,Wetland,NULL,Wetland,Water,Wetland,Shrubland,Water,Grassland
9919,Wetland,NULL,Wetland,Water,Wetland,Shrubland,Water,Wetland
9920,Wetland,NULL,Wetland,Water,Wetland,Shrubland,Water,Water
9921,Wetland,NULL,Wetland,Water,Wetland,Shrubland,Forest,Wetland
9922,Wetland,NULL,Wetland,Water,Wetland,Wetland,Shrubland,Grassland
9923,Wetland,NULL,Wetland,Water,Wetland,Wetland,Shrubland,Wetland
9924,Wetland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
9925,Wetland,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
9926,Wetland,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
9927,Wetland,NULL,Wetland,Water,Wetland,Wetland,Water,Water
9928,Wetland,NULL,Wetland,Water,Wetland,Wetland,Forest,Grassland
9929,Wetland,NULL,Wetland,Water,Wetland,Wetland,Forest,Wetland
9930,Wetland,NULL,Wetland,Water,Wetland,Bareland,Shrubland,Grassland
9931,Wetland,NULL,Wetland,Water,Wetland,Bareland,Water,Wetland
9932,Wetland,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
9933,Wetland,NULL,Wetland,Water,Wetland,Water,Water,Grassland
9934,Wetland,NULL,Wetland,Water,Wetland,Water,Water,Wetland
9935,Wetland,NULL,Wetland,Water,Wetland,Water,Water,Water
9936,Wetland,NULL,Wetland,Water,Wetland,Water,Water,Forest
9937,Wetland,NULL,Wetland,Water,Wetland,Water,Forest,Grassland
9938,Wetland,NULL,Wetland,Water,Wetland,Water,Forest,Wetland
9939,Wetland,NULL,Wetland,Water,Wetland,Forest,Water,Wetland
9940,Wetland,NULL,Bareland,NULL,Non_Wetland,Shrubland,NULL,Grassland
9941,Wetland,NULL,Bareland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
9942,Wetland,NULL,Bareland,NULL,Non_Wetland,Shrubland,Shrubland,Water
9943,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
9944,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
9945,Wetland,NULL,Bareland,NULL,Non_Wetland,Water,Shrubland,Water
9946,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Shrubland,Water,Wetland
9947,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Shrubland,Forest,Wetland
9948,Wetland,NULL,Bareland,Water,Non_Wetland,Water,NULL,Water
9949,Wetland,NULL,Bareland,Water,Non_Wetland,Water,Shrubland,Water
9950,Wetland,NULL,Bareland,Water,Non_Wetland,Water,Water,Water
9951,Wetland,NULL,Built-up,NULL,Non_Wetland,Shrubland,Wetland,Wetland
9952,Wetland,NULL,Built-up,Non_Water,Non_Wetland,Shrubland,Forest,Wetland
9953,Wetland,NULL,Water,NULL,Water,Shrubland,Shrubland,Grassland
9954,Wetland,NULL,Water,NULL,Water,Shrubland,Shrubland,Wetland
9955,Wetland,NULL,Water,NULL,Water,Shrubland,Shrubland,Water
9956,Wetland,NULL,Water,NULL,Water,Shrubland,Shrubland,Forest
9957,Wetland,NULL,Water,NULL,Water,Shrubland,Grassland,Grassland
9958,Wetland,NULL,Water,NULL,Water,Shrubland,Wetland,Wetland
9959,Wetland,NULL,Water,NULL,Water,Shrubland,Water,Grassland
9960,Wetland,NULL,Water,NULL,Water,Shrubland,Water,Wetland
9961,Wetland,NULL,Water,NULL,Water,Shrubland,Water,Water
9962,Wetland,NULL,Water,NULL,Water,Shrubland,Water,Forest
9963,Wetland,NULL,Water,NULL,Water,Shrubland,Forest,Wetland
9964,Wetland,NULL,Water,NULL,Water,Grassland,NULL,Grassland
9965,Wetland,NULL,Water,NULL,Water,Grassland,Shrubland,Wetland
9966,Wetland,NULL,Water,NULL,Water,Grassland,Shrubland,Water
9967,Wetland,NULL,Water,NULL,Water,Wetland,Shrubland,Grassland
9968,Wetland,NULL,Water,NULL,Water,Wetland,Shrubland,Wetland
9969,Wetland,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
9970,Wetland,NULL,Water,NULL,Water,Wetland,Wetland,Wetland
9971,Wetland,NULL,Water,NULL,Water,Wetland,Water,Wetland
9972,Wetland,NULL,Water,NULL,Water,Water,NULL,Grassland
9973,Wetland,NULL,Water,NULL,Water,Water,Shrubland,Bareland
9974,Wetland,NULL,Water,NULL,Water,Water,Water,Wetland
9975,Wetland,NULL,Water,NULL,Water,Water,Water,Water
9976,Wetland,NULL,Water,NULL,Water,Water,Water,Forest
9977,Wetland,NULL,Water,NULL,Water,Forest,Shrubland,Forest
9978,Wetland,NULL,Water,NULL,Water,Forest,Wetland,Wetland
9979,Wetland,NULL,Water,Non_Water,Water,Shrubland,Shrubland,Wetland
9980,Wetland,NULL,Water,Non_Water,Water,Shrubland,Wetland,Grassland
9981,Wetland,NULL,Water,Non_Water,Water,Shrubland,Wetland,Wetland
9982,Wetland,NULL,Water,Non_Water,Water,Shrubland,Water,Wetland
9983,Wetland,NULL,Water,Non_Water,Water,Shrubland,Water,Water
9984,Wetland,NULL,Water,Non_Water,Water,Shrubland,Forest,Grassland
9985,Wetland,NULL,Water,Non_Water,Water,Shrubland,Forest,Wetland
9986,Wetland,NULL,Water,Non_Water,Water,Wetland,Wetland,Wetland
9987,Wetland,NULL,Water,Non_Water,Water,Wetland,Water,Wetland
9988,Wetland,NULL,Water,Non_Water,Water,Water,Water,Wetland
9989,Wetland,NULL,Water,Non_Water,Water,Water,Forest,Wetland
9990,Wetland,NULL,Water,Water,Water,Shrubland,Shrubland,Grassland
9991,Wetland,NULL,Water,Water,Water,Shrubland,Shrubland,Wetland
9992,Wetland,NULL,Water,Water,Water,Shrubland,Shrubland,Water
9993,Wetland,NULL,Water,Water,Water,Shrubland,Wetland,Wetland
9994,Wetland,NULL,Water,Water,Water,Shrubland,Water,Wetland
9995,Wetland,NULL,Water,Water,Water,Shrubland,Water,Water
9996,Wetland,NULL,Water,Water,Water,Shrubland,Forest,Wetland
9997,Wetland,NULL,Water,Water,Water,Grassland,Shrubland,Water
9998,Wetland,NULL,Water,Water,Water,Wetland,Wetland,Wetland
9999,Wetland,NULL,Water,Water,Water,Wetland,Water,Wetland
10000,Wetland,NULL,Water,Water,Water,Bareland,Shrubland,Grassland
10001,Wetland,NULL,Water,Water,Water,Bareland,Water,Wetland
10002,Wetland,NULL,Water,Water,Water,Bareland,Water,Water
10003,Wetland,NULL,Water,Water,Water,Water,Shrubland,Bareland
10004,Wetland,NULL,Water,Water,Water,Water,Shrubland,Water
10005,Wetland,NULL,Water,Water,Water,Water,Water,Wetland
10006,Wetland,NULL,Water,Water,Water,Water,Water,Bareland
10007,Wetland,NULL,Water,Water,Water,Water,Water,Water
10008,Wetland,NULL,Water,Water,Water,Water,Water,Forest
10009,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
10010,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
10011,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,Grassland
10012,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,Wetland
10013,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
10014,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
10015,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Wetland
10016,Wetland,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
10017,Wetland,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
10018,Wetland,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
10019,Wetland,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Water
10020,Wetland,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
10021,Wetland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
10022,Wetland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Wetland
10023,Wetland,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,NULL
10024,Wetland,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
10025,Wetland,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Wetland
10026,Wetland,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Water
10027,Wetland,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
10028,Wetland,NULL,Forest,NULL,Non_Wetland,Shrubland,Water,Grassland
10029,Wetland,NULL,Forest,NULL,Non_Wetland,Shrubland,Water,Wetland
10030,Wetland,NULL,Forest,NULL,Non_Wetland,Shrubland,Water,Forest
10031,Wetland,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
10032,Wetland,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Wetland
10033,Wetland,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
10034,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
10035,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Wetland
10036,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Water
10037,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
10038,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,NULL
10039,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
10040,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Wetland
10041,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Water
10042,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Forest
10043,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
10044,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
10045,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
10046,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
10047,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
10048,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Wetland
10049,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
10050,Wetland,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Wetland
10051,Wetland,NULL,Forest,NULL,Non_Wetland,Water,NULL,Water
10052,Wetland,NULL,Forest,NULL,Non_Wetland,Water,Shrubland,Grassland
10053,Wetland,NULL,Forest,NULL,Non_Wetland,Water,Water,Grassland
10054,Wetland,NULL,Forest,NULL,Non_Wetland,Water,Water,Wetland
10055,Wetland,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
