Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19KER_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KER_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KER_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KER_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KER_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19KER_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19KER_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KER_M_R
328,Cropland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
329,Cropland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
330,Cropland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
331,Cropland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
332,Cropland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
333,Cropland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
334,Cropland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
335,Cropland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
336,Cropland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
337,Cropland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
338,Cropland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
339,Cropland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
340,Cropland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
341,Cropland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
342,Cropland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
343,Cropland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
344,Cropland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
345,Cropland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
346,Cropland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
347,Cropland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
348,Cropland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
349,Cropland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
350,Cropland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
351,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
352,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
353,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
354,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
355,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
356,Cropland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
357,Cropland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
358,Cropland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
359,Cropland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
360,Cropland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
361,Cropland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
362,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
363,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
364,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
365,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
366,Cropland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
367,Cropland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
368,Cropland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
369,Cropland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
370,Cropland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
371,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
372,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
373,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
374,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
375,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
376,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
377,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
378,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
379,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
380,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
381,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
382,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
383,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
384,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
385,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
386,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
387,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
388,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
389,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
390,Cropland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
391,Cropland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
392,Cropland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
393,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
394,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
395,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
396,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
397,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
398,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
399,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
400,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
401,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
402,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
403,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
404,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
405,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
406,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
407,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
408,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
409,Cropland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
410,Cropland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
411,Cropland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
412,Cropland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
413,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
414,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
415,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
416,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
417,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
418,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
419,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
420,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
421,Cropland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
422,Cropland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
423,Cropland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
424,Cropland,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
425,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
426,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
427,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
428,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
429,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
430,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
431,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
432,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
433,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
434,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
435,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
436,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
437,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
438,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
439,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
440,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
441,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
442,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
443,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
444,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
445,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
446,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
447,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
448,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
449,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
450,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
451,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
452,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
453,Wetland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,NULL
454,Wetland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
455,Wetland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
456,Wetland,NULL,Water,NULL,Water,NULL,NULL,Grassland
457,Wetland,NULL,Water,NULL,Water,NULL,NULL,Water
458,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
459,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
460,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
461,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
462,Wetland,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
463,Wetland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
464,Wetland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
465,Wetland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
466,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
467,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
468,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
469,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
470,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
471,Wetland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
472,Wetland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
473,Wetland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
474,Wetland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
475,Wetland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
476,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Grassland
477,Wetland,Wetland,Water,Water,Water,NULL,NULL,Grassland
478,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
479,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
480,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
481,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
482,Wetland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
483,Wetland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
484,Wetland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
485,Wetland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
486,Wetland,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
487,Wetland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
488,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Water
489,Wetland,Water,Water,NULL,Water,NULL,NULL,Water
490,Wetland,Water,Water,Water,Water,NULL,NULL,Water
491,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
492,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
493,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
494,Wetland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
495,Wetland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
496,Wetland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
497,Wetland,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
498,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
499,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
500,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
501,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
502,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
503,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
504,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
505,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
506,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
507,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
508,Bareland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
509,Bareland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
510,Bareland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
511,Bareland,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
512,Bareland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
513,Bareland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
514,Bareland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Built-up
515,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
516,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
517,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
518,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
519,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
520,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
521,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
522,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
523,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
524,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
525,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
526,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
527,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
528,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
529,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
530,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
531,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
532,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
533,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
534,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
535,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
536,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
537,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
538,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
539,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
540,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
541,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
542,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
543,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
544,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
545,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
546,Bareland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
547,Bareland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
548,Bareland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
549,Bareland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,NULL
550,Bareland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
551,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
552,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
553,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
554,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
555,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Built-up
556,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
557,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
558,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
559,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
560,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
561,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
562,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
563,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Built-up
564,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
565,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
566,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
567,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
568,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
569,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Water
570,Bareland,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Grassland
571,Bareland,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Bareland
572,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
573,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
574,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
575,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
576,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
577,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
578,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
579,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
580,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
581,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
582,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Built-up
583,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
584,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,NULL
585,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
586,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
587,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Built-up
588,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
589,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
590,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
591,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
592,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
593,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
594,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
595,Bareland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
596,Bareland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
597,Bareland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
598,Bareland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
599,Bareland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
600,Bareland,NULL,Water,NULL,Water,NULL,NULL,Bareland
601,Bareland,NULL,Water,NULL,Water,NULL,NULL,Forest
602,Bareland,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
603,Bareland,NULL,Water,Water,Water,NULL,NULL,NULL
604,Bareland,NULL,Water,Water,Water,NULL,NULL,Grassland
605,Bareland,NULL,Water,Water,Water,NULL,NULL,Bareland
606,Bareland,NULL,Water,Water,Water,NULL,NULL,Water
607,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
608,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
609,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
610,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
611,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
612,Bareland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
613,Bareland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
614,Bareland,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
615,Bareland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
616,Bareland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
617,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
618,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
619,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
620,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
621,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
622,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
623,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
624,Bareland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
625,Bareland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
626,Bareland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
627,Bareland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
628,Bareland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
629,Bareland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
630,Bareland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
631,Bareland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
632,Bareland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
633,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
634,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
635,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
636,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
637,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Water
638,Bareland,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
639,Bareland,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
640,Bareland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
641,Bareland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
642,Bareland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Built-up
643,Bareland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
644,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
645,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
646,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
647,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
648,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
649,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Permanent_ice_and_snow
650,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
651,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
652,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
653,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
654,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
655,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
656,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
657,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
658,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
659,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
660,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
661,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
662,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
