Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NZE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NZE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NZE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NZE_M_R
345,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
346,Cropland,Water,Water,NULL,Water,NULL,NULL,Water
347,Cropland,Water,Water,Water,Water,NULL,NULL,Water
348,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
349,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
350,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
351,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
352,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
353,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
354,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
355,Cropland,Forest,Wetland,NULL,Wetland,NULL,NULL,Bareland
356,Cropland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
357,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
358,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
359,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
360,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
361,Wetland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
362,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
363,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
364,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
365,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
366,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
367,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
368,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
369,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
370,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
371,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
372,Wetland,NULL,Water,NULL,Water,NULL,NULL,Bareland
373,Wetland,NULL,Water,Water,Water,NULL,NULL,Grassland
374,Wetland,NULL,Water,Water,Water,NULL,NULL,Water
375,Wetland,NULL,Water,Water,Water,NULL,NULL,Forest
376,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
377,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
378,Wetland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
379,Wetland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Water
380,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
381,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
382,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
383,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
384,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
385,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
386,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
387,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
388,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
389,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
390,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
391,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
392,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
393,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
394,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Wetland
395,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Water
396,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Forest
397,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Water
398,Wetland,Wetland,Water,Water,Water,NULL,NULL,Grassland
399,Wetland,Wetland,Water,Water,Water,NULL,NULL,Wetland
400,Wetland,Wetland,Water,Water,Water,NULL,NULL,Bareland
401,Wetland,Wetland,Water,Water,Water,NULL,NULL,Water
402,Wetland,Wetland,Water,Water,Water,NULL,NULL,Forest
403,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
404,Wetland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
405,Wetland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
406,Wetland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
407,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
408,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
409,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Water
410,Wetland,Water,Water,NULL,Water,NULL,NULL,Water
411,Wetland,Water,Water,Water,Water,NULL,NULL,Bareland
412,Wetland,Water,Water,Water,Water,NULL,NULL,Water
413,Wetland,Water,Water,Water,Water,NULL,NULL,Forest
414,Wetland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
415,Wetland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
416,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
417,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
418,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
419,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
420,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
421,Bareland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
422,Bareland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
423,Bareland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
424,Bareland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
425,Bareland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
426,Bareland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
427,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
428,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
429,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
430,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
431,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
432,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
433,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
434,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
435,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
436,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
437,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
438,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
439,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
440,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
441,Bareland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
442,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
443,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
444,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
445,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
446,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
447,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
448,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
449,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
450,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
451,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
452,Bareland,NULL,Water,NULL,Water,NULL,NULL,Grassland
453,Bareland,NULL,Water,NULL,Water,NULL,NULL,Bareland
454,Bareland,NULL,Water,NULL,Water,NULL,NULL,Forest
455,Bareland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
456,Bareland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
457,Bareland,NULL,Water,Water,Water,NULL,NULL,Grassland
458,Bareland,NULL,Water,Water,Water,NULL,NULL,Bareland
459,Bareland,NULL,Water,Water,Water,NULL,NULL,Water
460,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
461,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
462,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
463,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
464,Bareland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
465,Bareland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
466,Bareland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
467,Bareland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
468,Bareland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
469,Bareland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
470,Bareland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
471,Bareland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
472,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
473,Bareland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
474,Bareland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
475,Bareland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
476,Bareland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
477,Bareland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
478,Bareland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
479,Bareland,Wetland,Water,NULL,Water,NULL,NULL,Bareland
480,Bareland,Wetland,Water,Water,Water,NULL,NULL,Water
481,Bareland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
482,Bareland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
483,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
484,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
485,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Water
486,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
487,Bareland,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
488,Bareland,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
489,Bareland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
490,Bareland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
491,Bareland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
492,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
493,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
494,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
495,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
496,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
497,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
498,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
499,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
500,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
501,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
502,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
503,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
504,Bareland,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
505,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
506,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
507,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
508,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
509,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
510,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
511,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
512,Bareland,Bareland,Water,NULL,Water,NULL,NULL,Bareland
513,Bareland,Bareland,Water,NULL,Water,NULL,NULL,Water
514,Bareland,Bareland,Water,NULL,Water,NULL,NULL,Forest
515,Bareland,Bareland,Water,Non_Water,Water,NULL,NULL,Bareland
516,Bareland,Bareland,Water,Water,Water,NULL,NULL,Grassland
517,Bareland,Bareland,Water,Water,Water,NULL,NULL,Bareland
518,Bareland,Bareland,Water,Water,Water,NULL,NULL,Water
519,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
520,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
521,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Water
522,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
523,Bareland,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
524,Bareland,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
525,Bareland,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
526,Bareland,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
527,Bareland,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
528,Bareland,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Forest
529,Bareland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
530,Bareland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
531,Bareland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
532,Bareland,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
533,Bareland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
534,Bareland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
535,Bareland,Water,NULL,Water,Non_Wetland,NULL,NULL,Bareland
536,Bareland,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
537,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
538,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
539,Bareland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
540,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
541,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
542,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
543,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
544,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
545,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
546,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
547,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
548,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Water
549,Bareland,Water,Water,NULL,Water,NULL,NULL,Grassland
550,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Grassland
551,Bareland,Water,Water,Water,Water,NULL,NULL,Grassland
552,Bareland,Water,Water,Water,Water,NULL,NULL,Bareland
553,Bareland,Water,Water,Water,Water,NULL,NULL,Water
554,Bareland,Water,Water,Water,Water,NULL,NULL,Forest
555,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
556,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
557,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
558,Bareland,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
559,Bareland,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
560,Bareland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
561,Bareland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
562,Bareland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
563,Bareland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
564,Bareland,Forest,NULL,Water,Non_Wetland,NULL,NULL,Grassland
565,Bareland,Forest,NULL,Water,Non_Wetland,NULL,NULL,Bareland
566,Bareland,Forest,NULL,Water,Non_Wetland,NULL,NULL,Forest
567,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
568,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
569,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
570,Bareland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
571,Bareland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
572,Bareland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
573,Bareland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
574,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
575,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
576,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
577,Bareland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
578,Bareland,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
579,Bareland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
580,Bareland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
581,Bareland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
582,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
583,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
584,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
585,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
586,Bareland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
587,Bareland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
588,Bareland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
589,Bareland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
590,Bareland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Bareland
591,Bareland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
592,Water,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
593,Water,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
594,Water,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
595,Water,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
596,Water,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
597,Water,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
598,Water,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
599,Water,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
600,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
601,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
602,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
603,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
604,Water,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
605,Water,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
606,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
607,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
608,Water,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
609,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
610,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
611,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
612,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
613,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
614,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
615,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Water
616,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
617,Water,NULL,Water,NULL,Water,NULL,NULL,Grassland
618,Water,NULL,Water,NULL,Water,NULL,NULL,Bareland
619,Water,NULL,Water,NULL,Water,NULL,NULL,Forest
620,Water,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
621,Water,NULL,Water,Water,Water,NULL,NULL,Grassland
622,Water,NULL,Water,Water,Water,NULL,NULL,Bareland
623,Water,NULL,Water,Water,Water,NULL,NULL,Water
624,Water,NULL,Water,Water,Water,NULL,NULL,Forest
625,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
626,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
627,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
628,Water,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
629,Water,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
630,Water,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
631,Water,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
632,Water,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
633,Water,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
634,Water,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
635,Water,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
636,Water,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
637,Water,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
638,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
639,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
640,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Bareland
641,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
642,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
643,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
644,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
645,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
646,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
647,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
648,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
649,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
650,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Bareland
651,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
652,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
653,Water,Wetland,Water,NULL,Water,NULL,NULL,Bareland
654,Water,Wetland,Water,NULL,Water,NULL,NULL,Water
655,Water,Wetland,Water,NULL,Water,NULL,NULL,Forest
656,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Water
657,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
658,Water,Wetland,Water,Water,Water,NULL,NULL,Grassland
659,Water,Wetland,Water,Water,Water,NULL,NULL,Wetland
660,Water,Wetland,Water,Water,Water,NULL,NULL,Bareland
661,Water,Wetland,Water,Water,Water,NULL,NULL,Water
662,Water,Wetland,Water,Water,Water,NULL,NULL,Forest
663,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
664,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
665,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
666,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
667,Water,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
668,Water,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
669,Water,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
670,Water,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
671,Water,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
672,Water,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
673,Water,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
674,Water,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
675,Water,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
676,Water,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
677,Water,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
678,Water,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
679,Water,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
680,Water,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
681,Water,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
682,Water,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
683,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
684,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
685,Water,Bareland,Water,NULL,Water,NULL,NULL,Bareland
686,Water,Bareland,Water,Water,Water,NULL,NULL,Grassland
687,Water,Bareland,Water,Water,Water,NULL,NULL,Bareland
688,Water,Bareland,Water,Water,Water,NULL,NULL,Water
689,Water,Bareland,Water,Water,Water,NULL,NULL,Forest
690,Water,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
691,Water,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
692,Water,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
693,Water,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
694,Water,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
695,Water,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
696,Water,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
697,Water,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Water
698,Water,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
699,Water,Built-up,Wetland,NULL,Wetland,NULL,NULL,Water
700,Water,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
701,Water,Built-up,Wetland,Water,Wetland,NULL,NULL,Grassland
702,Water,Built-up,Wetland,Water,Wetland,NULL,NULL,Bareland
703,Water,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
704,Water,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
