Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22NCH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NCH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NCH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NCH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22NCH_M_R
354,Water,Water,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Water
355,Water,Water,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Forest
356,Water,Water,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Water
357,Water,Water,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Water
358,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Water
359,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
360,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Forest
361,Water,Water,Shrubland,Water,Non_Wetland,Wetland,NULL,Water
362,Water,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
363,Water,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
364,Water,Water,Shrubland,Water,Non_Wetland,Water,Water,Forest
365,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Water
366,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
367,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
368,Water,Water,Wetland,NULL,Wetland,NULL,Water,Water
369,Water,Water,Wetland,NULL,Wetland,NULL,Water,Forest
370,Water,Water,Wetland,NULL,Wetland,NULL,Forest,Water
371,Water,Water,Wetland,NULL,Wetland,NULL,Forest,Forest
372,Water,Water,Wetland,NULL,Wetland,Wetland,NULL,Grassland
373,Water,Water,Wetland,NULL,Wetland,Wetland,NULL,Bareland
374,Water,Water,Wetland,NULL,Wetland,Wetland,NULL,Water
375,Water,Water,Wetland,NULL,Wetland,Wetland,NULL,Forest
376,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
377,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,Bareland
378,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,Water
379,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
380,Water,Water,Wetland,NULL,Wetland,Wetland,Water,Grassland
381,Water,Water,Wetland,NULL,Wetland,Wetland,Water,Bareland
382,Water,Water,Wetland,NULL,Wetland,Wetland,Water,Water
383,Water,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
384,Water,Water,Wetland,NULL,Wetland,Wetland,Forest,Grassland
385,Water,Water,Wetland,NULL,Wetland,Wetland,Forest,Bareland
386,Water,Water,Wetland,NULL,Wetland,Wetland,Forest,Water
387,Water,Water,Wetland,NULL,Wetland,Wetland,Forest,Forest
388,Water,Water,Wetland,NULL,Wetland,Bareland,Wetland,Forest
389,Water,Water,Wetland,NULL,Wetland,Bareland,Water,Forest
390,Water,Water,Wetland,NULL,Wetland,Bareland,Forest,Forest
391,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Water
392,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
393,Water,Water,Wetland,NULL,Wetland,Water,Water,Grassland
394,Water,Water,Wetland,NULL,Wetland,Water,Water,Wetland
395,Water,Water,Wetland,NULL,Wetland,Water,Water,Bareland
396,Water,Water,Wetland,NULL,Wetland,Water,Water,Water
397,Water,Water,Wetland,NULL,Wetland,Water,Water,Forest
398,Water,Water,Wetland,NULL,Wetland,Water,Forest,Water
399,Water,Water,Wetland,NULL,Wetland,Water,Forest,Forest
400,Water,Water,Wetland,NULL,Wetland,Forest,NULL,Water
401,Water,Water,Wetland,NULL,Wetland,Forest,NULL,Forest
402,Water,Water,Wetland,NULL,Wetland,Forest,Wetland,Forest
403,Water,Water,Wetland,NULL,Wetland,Forest,Forest,Water
404,Water,Water,Wetland,NULL,Wetland,Forest,Forest,Forest
405,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
406,Water,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Water
407,Water,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
408,Water,Water,Wetland,Non_Water,Wetland,NULL,Water,Water
409,Water,Water,Wetland,Non_Water,Wetland,NULL,Water,Forest
410,Water,Water,Wetland,Non_Water,Wetland,NULL,Forest,Forest
411,Water,Water,Wetland,Non_Water,Wetland,Wetland,NULL,Grassland
412,Water,Water,Wetland,Non_Water,Wetland,Wetland,NULL,Bareland
413,Water,Water,Wetland,Non_Water,Wetland,Wetland,NULL,Water
414,Water,Water,Wetland,Non_Water,Wetland,Wetland,NULL,Forest
415,Water,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Bareland
416,Water,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
417,Water,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
418,Water,Water,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
419,Water,Water,Wetland,Non_Water,Wetland,Wetland,Water,Bareland
420,Water,Water,Wetland,Non_Water,Wetland,Wetland,Water,Water
421,Water,Water,Wetland,Non_Water,Wetland,Wetland,Water,Forest
422,Water,Water,Wetland,Non_Water,Wetland,Wetland,Forest,Bareland
423,Water,Water,Wetland,Non_Water,Wetland,Wetland,Forest,Water
424,Water,Water,Wetland,Non_Water,Wetland,Wetland,Forest,Forest
425,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
426,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
427,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
428,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Bareland
429,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Water
430,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
431,Water,Water,Wetland,Non_Water,Wetland,Water,Forest,Water
432,Water,Water,Wetland,Non_Water,Wetland,Water,Forest,Forest
433,Water,Water,Wetland,Non_Water,Wetland,Forest,NULL,Water
434,Water,Water,Wetland,Non_Water,Wetland,Forest,NULL,Forest
435,Water,Water,Wetland,Non_Water,Wetland,Forest,Water,Water
436,Water,Water,Wetland,Non_Water,Wetland,Forest,Water,Forest
437,Water,Water,Wetland,Non_Water,Wetland,Forest,Forest,Water
438,Water,Water,Wetland,Non_Water,Wetland,Forest,Forest,Forest
439,Water,Water,Wetland,Water,Wetland,NULL,Wetland,Forest
440,Water,Water,Wetland,Water,Wetland,Wetland,NULL,Water
441,Water,Water,Wetland,Water,Wetland,Wetland,NULL,Forest
442,Water,Water,Wetland,Water,Wetland,Wetland,Wetland,Water
443,Water,Water,Wetland,Water,Wetland,Wetland,Wetland,Forest
444,Water,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
445,Water,Water,Wetland,Water,Wetland,Wetland,Water,Bareland
446,Water,Water,Wetland,Water,Wetland,Wetland,Water,Water
447,Water,Water,Wetland,Water,Wetland,Wetland,Water,Forest
448,Water,Water,Wetland,Water,Wetland,Wetland,Forest,Bareland
449,Water,Water,Wetland,Water,Wetland,Wetland,Forest,Water
450,Water,Water,Wetland,Water,Wetland,Water,Wetland,Water
451,Water,Water,Wetland,Water,Wetland,Water,Wetland,Forest
452,Water,Water,Wetland,Water,Wetland,Water,Water,Grassland
453,Water,Water,Wetland,Water,Wetland,Water,Water,Bareland
454,Water,Water,Wetland,Water,Wetland,Water,Water,Water
455,Water,Water,Wetland,Water,Wetland,Water,Water,Forest
456,Water,Water,Wetland,Water,Wetland,Water,Forest,Water
457,Water,Water,Wetland,Water,Wetland,Forest,NULL,Water
458,Water,Water,Wetland,Water,Wetland,Forest,NULL,Forest
459,Water,Water,Wetland,Water,Wetland,Forest,Forest,Water
460,Water,Water,Water,NULL,Water,NULL,Wetland,Forest
461,Water,Water,Water,NULL,Water,NULL,Water,Forest
462,Water,Water,Water,NULL,Water,NULL,Forest,Forest
463,Water,Water,Water,NULL,Water,Wetland,NULL,Grassland
464,Water,Water,Water,NULL,Water,Wetland,NULL,Bareland
465,Water,Water,Water,NULL,Water,Wetland,NULL,Water
466,Water,Water,Water,NULL,Water,Wetland,NULL,Forest
467,Water,Water,Water,NULL,Water,Wetland,Wetland,Bareland
468,Water,Water,Water,NULL,Water,Wetland,Wetland,Water
469,Water,Water,Water,NULL,Water,Wetland,Wetland,Forest
470,Water,Water,Water,NULL,Water,Wetland,Water,Bareland
471,Water,Water,Water,NULL,Water,Wetland,Water,Water
472,Water,Water,Water,NULL,Water,Wetland,Water,Forest
473,Water,Water,Water,NULL,Water,Wetland,Forest,Bareland
474,Water,Water,Water,NULL,Water,Wetland,Forest,Water
475,Water,Water,Water,NULL,Water,Wetland,Forest,Forest
476,Water,Water,Water,NULL,Water,Water,Wetland,Water
477,Water,Water,Water,NULL,Water,Water,Wetland,Forest
478,Water,Water,Water,NULL,Water,Water,Water,Bareland
479,Water,Water,Water,NULL,Water,Water,Water,Water
480,Water,Water,Water,NULL,Water,Water,Water,Forest
481,Water,Water,Water,NULL,Water,Forest,NULL,Forest
482,Water,Water,Water,NULL,Water,Forest,Forest,Forest
483,Water,Water,Water,Non_Water,Water,NULL,NULL,Forest
484,Water,Water,Water,Non_Water,Water,NULL,Wetland,Forest
485,Water,Water,Water,Non_Water,Water,NULL,Water,Forest
486,Water,Water,Water,Non_Water,Water,Wetland,NULL,Water
487,Water,Water,Water,Non_Water,Water,Wetland,NULL,Forest
488,Water,Water,Water,Non_Water,Water,Wetland,Wetland,Water
489,Water,Water,Water,Non_Water,Water,Wetland,Wetland,Forest
490,Water,Water,Water,Non_Water,Water,Wetland,Water,Water
491,Water,Water,Water,Non_Water,Water,Wetland,Water,Forest
492,Water,Water,Water,Non_Water,Water,Wetland,Forest,Water
493,Water,Water,Water,Non_Water,Water,Water,Wetland,Water
494,Water,Water,Water,Non_Water,Water,Water,Wetland,Forest
495,Water,Water,Water,Non_Water,Water,Water,Water,Grassland
496,Water,Water,Water,Non_Water,Water,Water,Water,Water
497,Water,Water,Water,Non_Water,Water,Water,Water,Forest
498,Water,Water,Water,Non_Water,Water,Forest,NULL,Forest
499,Water,Water,Water,Water,Water,NULL,NULL,Water
500,Water,Water,Water,Water,Water,NULL,NULL,Forest
501,Water,Water,Water,Water,Water,NULL,Wetland,Forest
502,Water,Water,Water,Water,Water,NULL,Water,Water
503,Water,Water,Water,Water,Water,NULL,Water,Forest
504,Water,Water,Water,Water,Water,NULL,Forest,Forest
505,Water,Water,Water,Water,Water,Wetland,NULL,Grassland
506,Water,Water,Water,Water,Water,Wetland,NULL,Bareland
507,Water,Water,Water,Water,Water,Wetland,NULL,Water
508,Water,Water,Water,Water,Water,Wetland,NULL,Forest
509,Water,Water,Water,Water,Water,Wetland,Wetland,Water
510,Water,Water,Water,Water,Water,Wetland,Wetland,Forest
511,Water,Water,Water,Water,Water,Wetland,Water,Bareland
512,Water,Water,Water,Water,Water,Wetland,Water,Water
513,Water,Water,Water,Water,Water,Wetland,Water,Forest
514,Water,Water,Water,Water,Water,Wetland,Forest,Bareland
515,Water,Water,Water,Water,Water,Wetland,Forest,Water
516,Water,Water,Water,Water,Water,Wetland,Forest,Forest
517,Water,Water,Water,Water,Water,Bareland,Water,Water
518,Water,Water,Water,Water,Water,Water,Wetland,Bareland
519,Water,Water,Water,Water,Water,Water,Wetland,Water
520,Water,Water,Water,Water,Water,Water,Wetland,Forest
521,Water,Water,Water,Water,Water,Water,Water,Grassland
522,Water,Water,Water,Water,Water,Water,Water,Bareland
523,Water,Water,Water,Water,Water,Water,Water,Water
524,Water,Water,Water,Water,Water,Water,Water,Forest
525,Water,Water,Water,Water,Water,Water,Forest,Water
526,Water,Water,Water,Water,Water,Forest,NULL,Grassland
527,Water,Water,Water,Water,Water,Forest,NULL,Water
528,Water,Water,Water,Water,Water,Forest,NULL,Forest
529,Water,Water,Water,Water,Water,Forest,Wetland,Water
530,Water,Water,Water,Water,Water,Forest,Water,Water
531,Water,Water,Water,Water,Water,Forest,Water,Forest
532,Water,Water,Water,Water,Water,Forest,Forest,Water
533,Water,Water,Water,Water,Water,Forest,Forest,Forest
534,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
535,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
536,Water,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Water
537,Water,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
538,Water,Water,Forest,NULL,Non_Wetland,NULL,Water,Water
539,Water,Water,Forest,NULL,Non_Wetland,NULL,Water,Forest
540,Water,Water,Forest,NULL,Non_Wetland,NULL,Forest,Water
541,Water,Water,Forest,NULL,Non_Wetland,NULL,Forest,Forest
542,Water,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
543,Water,Water,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
544,Water,Water,Forest,NULL,Non_Wetland,Wetland,NULL,Water
545,Water,Water,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
546,Water,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
547,Water,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Bareland
548,Water,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Water
549,Water,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
550,Water,Water,Forest,NULL,Non_Wetland,Wetland,Water,Water
551,Water,Water,Forest,NULL,Non_Wetland,Wetland,Water,Forest
552,Water,Water,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
553,Water,Water,Forest,NULL,Non_Wetland,Wetland,Forest,Bareland
554,Water,Water,Forest,NULL,Non_Wetland,Wetland,Forest,Water
555,Water,Water,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
556,Water,Water,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
557,Water,Water,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
558,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
559,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Bareland
560,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
561,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
562,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Bareland
563,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Water
564,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
565,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Water
566,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
567,Water,Water,Forest,NULL,Non_Wetland,Forest,NULL,Water
568,Water,Water,Forest,NULL,Non_Wetland,Forest,NULL,Forest
569,Water,Water,Forest,NULL,Non_Wetland,Forest,Wetland,Water
570,Water,Water,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
571,Water,Water,Forest,NULL,Non_Wetland,Forest,Water,Water
572,Water,Water,Forest,NULL,Non_Wetland,Forest,Water,Forest
573,Water,Water,Forest,NULL,Non_Wetland,Forest,Forest,Water
574,Water,Water,Forest,NULL,Non_Wetland,Forest,Forest,Forest
575,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
576,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
577,Water,Water,Forest,Non_Water,Non_Wetland,NULL,Wetland,Water
578,Water,Water,Forest,Non_Water,Non_Wetland,NULL,Wetland,Forest
579,Water,Water,Forest,Non_Water,Non_Wetland,NULL,Water,Forest
580,Water,Water,Forest,Non_Water,Non_Wetland,NULL,Forest,Water
581,Water,Water,Forest,Non_Water,Non_Wetland,NULL,Forest,Forest
582,Water,Water,Forest,Non_Water,Non_Wetland,Wetland,NULL,Water
583,Water,Water,Forest,Non_Water,Non_Wetland,Wetland,NULL,Forest
584,Water,Water,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Water
585,Water,Water,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
586,Water,Water,Forest,Non_Water,Non_Wetland,Wetland,Water,Water
587,Water,Water,Forest,Non_Water,Non_Wetland,Wetland,Water,Forest
588,Water,Water,Forest,Non_Water,Non_Wetland,Wetland,Forest,Water
589,Water,Water,Forest,Non_Water,Non_Wetland,Wetland,Forest,Forest
590,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Grassland
591,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
592,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
593,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Water
594,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Forest
595,Water,Water,Forest,Non_Water,Non_Wetland,Water,Forest,Bareland
596,Water,Water,Forest,Non_Water,Non_Wetland,Water,Forest,Water
597,Water,Water,Forest,Non_Water,Non_Wetland,Forest,NULL,Water
598,Water,Water,Forest,Non_Water,Non_Wetland,Forest,NULL,Forest
599,Water,Water,Forest,Non_Water,Non_Wetland,Forest,Water,Forest
600,Water,Water,Forest,Non_Water,Non_Wetland,Forest,Forest,Water
601,Water,Water,Forest,Non_Water,Non_Wetland,Forest,Forest,Forest
602,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
603,Water,Water,Forest,Water,Non_Wetland,NULL,Wetland,Water
604,Water,Water,Forest,Water,Non_Wetland,NULL,Wetland,Forest
605,Water,Water,Forest,Water,Non_Wetland,NULL,Forest,Water
606,Water,Water,Forest,Water,Non_Wetland,Wetland,NULL,Grassland
607,Water,Water,Forest,Water,Non_Wetland,Wetland,NULL,Water
608,Water,Water,Forest,Water,Non_Wetland,Wetland,NULL,Forest
609,Water,Water,Forest,Water,Non_Wetland,Wetland,Wetland,Water
610,Water,Water,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
611,Water,Water,Forest,Water,Non_Wetland,Wetland,Water,Grassland
612,Water,Water,Forest,Water,Non_Wetland,Wetland,Water,Water
613,Water,Water,Forest,Water,Non_Wetland,Wetland,Water,Forest
614,Water,Water,Forest,Water,Non_Wetland,Wetland,Forest,Water
615,Water,Water,Forest,Water,Non_Wetland,Wetland,Forest,Forest
616,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Bareland
617,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
618,Water,Water,Forest,Water,Non_Wetland,Water,Water,Water
619,Water,Water,Forest,Water,Non_Wetland,Water,Water,Forest
620,Water,Water,Forest,Water,Non_Wetland,Water,Forest,Water
621,Water,Water,Forest,Water,Non_Wetland,Forest,NULL,Grassland
622,Water,Water,Forest,Water,Non_Wetland,Forest,NULL,Water
623,Water,Water,Forest,Water,Non_Wetland,Forest,NULL,Forest
624,Water,Water,Forest,Water,Non_Wetland,Forest,Forest,Water
625,Water,Water,Forest,Water,Non_Wetland,Forest,Forest,Forest
626,Water,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
627,Water,Forest,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
628,Water,Forest,NULL,NULL,Non_Wetland,NULL,Forest,Forest
629,Water,Forest,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
630,Water,Forest,NULL,NULL,Non_Wetland,Water,Wetland,Forest
631,Water,Forest,NULL,NULL,Non_Wetland,Water,Forest,Forest
632,Water,Forest,NULL,NULL,Non_Wetland,Forest,NULL,Forest
633,Water,Forest,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
634,Water,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Water
635,Water,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
636,Water,Forest,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
637,Water,Forest,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
638,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
639,Water,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
640,Water,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
641,Water,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
642,Water,Forest,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
643,Water,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
644,Water,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
645,Water,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
646,Water,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
647,Water,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
648,Water,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
649,Water,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
650,Water,Forest,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
651,Water,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
652,Water,Forest,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
653,Water,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
654,Water,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
655,Water,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
656,Water,Forest,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
657,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
658,Water,Forest,Wetland,NULL,Wetland,NULL,Wetland,Forest
659,Water,Forest,Wetland,NULL,Wetland,NULL,Water,Forest
660,Water,Forest,Wetland,NULL,Wetland,NULL,Forest,Forest
661,Water,Forest,Wetland,NULL,Wetland,Grassland,Grassland,Forest
662,Water,Forest,Wetland,NULL,Wetland,Wetland,NULL,Forest
663,Water,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
664,Water,Forest,Wetland,NULL,Wetland,Wetland,Water,Forest
665,Water,Forest,Wetland,NULL,Wetland,Wetland,Forest,Forest
666,Water,Forest,Wetland,NULL,Wetland,Bareland,Wetland,Forest
667,Water,Forest,Wetland,NULL,Wetland,Bareland,Water,Forest
668,Water,Forest,Wetland,NULL,Wetland,Bareland,Forest,Forest
669,Water,Forest,Wetland,NULL,Wetland,Water,Wetland,Forest
670,Water,Forest,Wetland,NULL,Wetland,Water,Forest,Forest
671,Water,Forest,Wetland,NULL,Wetland,Forest,NULL,Forest
672,Water,Forest,Wetland,NULL,Wetland,Forest,Grassland,Forest
673,Water,Forest,Wetland,NULL,Wetland,Forest,Wetland,Forest
674,Water,Forest,Wetland,NULL,Wetland,Forest,Forest,Forest
675,Water,Forest,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
676,Water,Forest,Wetland,Non_Water,Wetland,NULL,Water,Water
677,Water,Forest,Wetland,Non_Water,Wetland,NULL,Water,Forest
678,Water,Forest,Wetland,Non_Water,Wetland,Wetland,NULL,Forest
679,Water,Forest,Wetland,Non_Water,Wetland,Wetland,Forest,Forest
680,Water,Forest,Wetland,Non_Water,Wetland,Forest,NULL,Forest
681,Water,Forest,Wetland,Non_Water,Wetland,Forest,Forest,Forest
682,Water,Forest,Wetland,Water,Wetland,Forest,NULL,Forest
683,Water,Forest,Built-up,NULL,Non_Wetland,NULL,Wetland,Forest
684,Water,Forest,Built-up,NULL,Non_Wetland,Forest,Forest,Forest
685,Water,Forest,Water,NULL,Water,NULL,Wetland,Forest
686,Water,Forest,Water,NULL,Water,NULL,Water,Forest
687,Water,Forest,Water,NULL,Water,NULL,Forest,Forest
688,Water,Forest,Water,NULL,Water,Wetland,NULL,Forest
689,Water,Forest,Water,NULL,Water,Wetland,Forest,Forest
690,Water,Forest,Water,NULL,Water,Forest,NULL,Forest
691,Water,Forest,Water,NULL,Water,Forest,Forest,Forest
692,Water,Forest,Water,Non_Water,Water,Forest,NULL,Forest
693,Water,Forest,Water,Water,Water,NULL,Wetland,Forest
694,Water,Forest,Water,Water,Water,Water,Wetland,Forest
695,Water,Forest,Water,Water,Water,Forest,NULL,Forest
696,Water,Forest,Water,Water,Water,Forest,Forest,Forest
697,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
698,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
699,Water,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Water
700,Water,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
701,Water,Forest,Forest,NULL,Non_Wetland,NULL,Water,Forest
702,Water,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
703,Water,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
704,Water,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
705,Water,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
706,Water,Forest,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
707,Water,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
708,Water,Forest,Forest,NULL,Non_Wetland,Wetland,Water,Water
709,Water,Forest,Forest,NULL,Non_Wetland,Wetland,Water,Forest
710,Water,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Water
711,Water,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
712,Water,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
713,Water,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
714,Water,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Water
715,Water,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
716,Water,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
717,Water,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
718,Water,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Water
719,Water,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
720,Water,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
721,Water,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
722,Water,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
723,Water,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Water
724,Water,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
725,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
726,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,Wetland,Forest
727,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,Forest,Forest
728,Water,Forest,Forest,Non_Water,Non_Wetland,Wetland,NULL,Forest
729,Water,Forest,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
730,Water,Forest,Forest,Non_Water,Non_Wetland,Wetland,Forest,Forest
731,Water,Forest,Forest,Non_Water,Non_Wetland,Forest,NULL,Forest
732,Water,Forest,Forest,Non_Water,Non_Wetland,Forest,Wetland,Forest
733,Water,Forest,Forest,Non_Water,Non_Wetland,Forest,Water,Water
734,Water,Forest,Forest,Non_Water,Non_Wetland,Forest,Water,Forest
735,Water,Forest,Forest,Non_Water,Non_Wetland,Forest,Forest,Water
736,Water,Forest,Forest,Non_Water,Non_Wetland,Forest,Forest,Forest
737,Water,Forest,Forest,Water,Non_Wetland,NULL,Wetland,Forest
738,Water,Forest,Forest,Water,Non_Wetland,Wetland,NULL,Forest
739,Water,Forest,Forest,Water,Non_Wetland,Water,Wetland,Forest
740,Water,Forest,Forest,Water,Non_Wetland,Forest,NULL,Forest
741,Water,Forest,Forest,Water,Non_Wetland,Forest,Wetland,Forest
742,Water,Forest,Forest,Water,Non_Wetland,Forest,Forest,Forest
743,Permanent_ice_and_snow,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
744,Permanent_ice_and_snow,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
