Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MGN_M_R
367,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
368,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
369,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Water
370,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Forest
371,Water,Water,Forest,Non_Water,Non_Wetland,Water,Forest,Water
372,Water,Water,Forest,Water,Non_Wetland,NULL,Water,Forest
373,Water,Water,Forest,Water,Non_Wetland,Bareland,Water,Water
374,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
375,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Forest
376,Water,Water,Forest,Water,Non_Wetland,Water,Water,Water
377,Water,Water,Forest,Water,Non_Wetland,Water,Water,Forest
378,Water,Water,Forest,Water,Non_Wetland,Water,Forest,Water
379,Water,Water,Forest,Water,Non_Wetland,Water,Forest,Forest
380,Water,Forest,Forest,NULL,Non_Wetland,Water,Water,Water
381,Permanent_ice_and_snow,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
382,Permanent_ice_and_snow,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
383,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
384,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
385,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
386,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
387,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
388,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
389,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
390,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
391,Forest,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
392,Forest,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
393,Forest,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
394,Forest,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
395,Forest,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
396,Forest,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
397,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
398,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
399,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
400,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
401,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
402,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
403,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
404,Forest,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
405,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
406,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
407,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
408,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
409,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
410,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
411,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
412,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
413,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
414,Forest,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
415,Forest,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
416,Forest,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
417,Forest,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
418,Forest,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
419,Forest,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Forest
420,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
421,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
422,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
423,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
424,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
425,Forest,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
426,Forest,NULL,Wetland,NULL,Wetland,NULL,Wetland,NULL
427,Forest,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
428,Forest,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
429,Forest,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
430,Forest,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
431,Forest,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
432,Forest,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
433,Forest,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
434,Forest,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
435,Forest,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
436,Forest,NULL,Wetland,NULL,Wetland,Water,Wetland,NULL
437,Forest,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
438,Forest,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
439,Forest,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
440,Forest,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Grassland
441,Forest,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
442,Forest,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,NULL
443,Forest,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
444,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
445,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
446,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
447,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
448,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
449,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
450,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
451,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
452,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
453,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
454,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
455,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
456,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
457,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
458,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
459,Forest,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
460,Forest,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
461,Forest,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
462,Forest,NULL,Forest,NULL,Non_Wetland,Water,Forest,Grassland
463,Forest,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
464,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
465,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
466,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
467,Forest,Bareland,Wetland,Water,Wetland,Water,Water,Grassland
468,Forest,Bareland,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
469,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
470,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
471,Forest,Built-up,Bareland,Non_Water,Non_Wetland,Water,Grassland,Forest
472,Forest,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
473,Forest,Built-up,Built-up,NULL,Non_Wetland,Grassland,Forest,Forest
474,Forest,Built-up,Built-up,NULL,Non_Wetland,Water,Grassland,Forest
475,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
476,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
477,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
478,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
479,Forest,Built-up,Forest,NULL,Non_Wetland,Water,Grassland,Forest
480,Forest,Water,NULL,NULL,Non_Wetland,NULL,Wetland,Water
481,Forest,Water,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
482,Forest,Water,NULL,NULL,Non_Wetland,NULL,Forest,Water
483,Forest,Water,NULL,NULL,Non_Wetland,NULL,Forest,Forest
484,Forest,Water,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
485,Forest,Water,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
486,Forest,Water,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
487,Forest,Water,NULL,NULL,Non_Wetland,Grassland,Water,Forest
488,Forest,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
489,Forest,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
490,Forest,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
491,Forest,Water,NULL,NULL,Non_Wetland,Water,Water,Water
492,Forest,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
493,Forest,Water,NULL,NULL,Non_Wetland,Water,Forest,Water
494,Forest,Water,NULL,NULL,Non_Wetland,Water,Forest,Forest
495,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,Wetland,Water
496,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
497,Forest,Water,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
498,Forest,Water,NULL,Non_Water,Non_Wetland,Grassland,Forest,Forest
499,Forest,Water,NULL,Non_Water,Non_Wetland,Bareland,Water,Forest
500,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
501,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
502,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Water,Forest
503,Forest,Water,NULL,Water,Non_Wetland,Grassland,Wetland,Water
504,Forest,Water,NULL,Water,Non_Wetland,Bareland,Wetland,Bareland
505,Forest,Water,NULL,Water,Non_Wetland,Water,Wetland,Water
506,Forest,Water,NULL,Water,Non_Wetland,Water,Water,Water
507,Forest,Water,NULL,Water,Non_Wetland,Water,Water,Forest
508,Forest,Water,NULL,Water,Non_Wetland,Water,Forest,Forest
509,Forest,Water,NULL,Water,Non_Wetland,Forest,Water,Forest
510,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,Wetland,Water
511,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
512,Forest,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
513,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
514,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
515,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Water,Forest
516,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Water
517,Forest,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Forest
518,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Wetland,Water
519,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
520,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Water,Water
521,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Water,Forest
522,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
523,Forest,Water,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
524,Forest,Water,Grassland,NULL,Non_Wetland,Grassland,Wetland,Water
525,Forest,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
526,Forest,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Water
527,Forest,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
528,Forest,Water,Grassland,NULL,Non_Wetland,Water,Water,Water
529,Forest,Water,Grassland,NULL,Non_Wetland,Water,Water,Forest
530,Forest,Water,Grassland,NULL,Non_Wetland,Water,Forest,Water
531,Forest,Water,Grassland,NULL,Non_Wetland,Water,Forest,Forest
532,Forest,Water,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
533,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Forest
534,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,Water,Water
535,Forest,Water,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
536,Forest,Water,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Forest
537,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Water
538,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Forest
539,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Water
540,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Forest
541,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Forest,Water
542,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Forest,Forest
543,Forest,Water,Grassland,Water,Non_Wetland,NULL,Water,Forest
544,Forest,Water,Grassland,Water,Non_Wetland,Water,Wetland,Water
545,Forest,Water,Grassland,Water,Non_Wetland,Water,Wetland,Forest
546,Forest,Water,Grassland,Water,Non_Wetland,Water,Water,Water
547,Forest,Water,Grassland,Water,Non_Wetland,Water,Water,Forest
548,Forest,Water,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
549,Forest,Water,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
550,Forest,Water,Cropland,NULL,Non_Wetland,Grassland,Wetland,Water
551,Forest,Water,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
552,Forest,Water,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
553,Forest,Water,Cropland,Non_Water,Non_Wetland,NULL,Water,Water
554,Forest,Water,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Water
555,Forest,Water,Cropland,Non_Water,Non_Wetland,Grassland,Water,Grassland
556,Forest,Water,Cropland,Non_Water,Non_Wetland,Grassland,Water,Forest
557,Forest,Water,Wetland,NULL,Wetland,NULL,Grassland,Forest
558,Forest,Water,Wetland,NULL,Wetland,NULL,Wetland,Water
559,Forest,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
560,Forest,Water,Wetland,NULL,Wetland,NULL,Water,Water
561,Forest,Water,Wetland,NULL,Wetland,NULL,Water,Forest
562,Forest,Water,Wetland,NULL,Wetland,NULL,Forest,Water
563,Forest,Water,Wetland,NULL,Wetland,NULL,Forest,Forest
564,Forest,Water,Wetland,NULL,Wetland,Grassland,Wetland,Water
565,Forest,Water,Wetland,NULL,Wetland,Grassland,Wetland,Forest
566,Forest,Water,Wetland,NULL,Wetland,Grassland,Water,Water
567,Forest,Water,Wetland,NULL,Wetland,Grassland,Water,Forest
568,Forest,Water,Wetland,NULL,Wetland,Grassland,Forest,Forest
569,Forest,Water,Wetland,NULL,Wetland,Wetland,Wetland,Water
570,Forest,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
571,Forest,Water,Wetland,NULL,Wetland,Bareland,Water,Water
572,Forest,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
573,Forest,Water,Wetland,NULL,Wetland,Water,Wetland,Water
574,Forest,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
575,Forest,Water,Wetland,NULL,Wetland,Water,Water,Water
576,Forest,Water,Wetland,NULL,Wetland,Water,Water,Forest
577,Forest,Water,Wetland,NULL,Wetland,Water,Forest,Water
578,Forest,Water,Wetland,NULL,Wetland,Water,Forest,Forest
579,Forest,Water,Wetland,NULL,Wetland,Forest,Wetland,Water
580,Forest,Water,Wetland,NULL,Wetland,Forest,Wetland,Forest
581,Forest,Water,Wetland,NULL,Wetland,Forest,Water,Water
582,Forest,Water,Wetland,NULL,Wetland,Forest,Water,Forest
583,Forest,Water,Wetland,NULL,Wetland,Forest,Forest,Water
584,Forest,Water,Wetland,NULL,Wetland,Forest,Forest,Forest
585,Forest,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Grassland
586,Forest,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Water
587,Forest,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
588,Forest,Water,Wetland,Non_Water,Wetland,NULL,Water,Grassland
589,Forest,Water,Wetland,Non_Water,Wetland,NULL,Water,Water
590,Forest,Water,Wetland,Non_Water,Wetland,NULL,Water,Forest
591,Forest,Water,Wetland,Non_Water,Wetland,NULL,Forest,Water
592,Forest,Water,Wetland,Non_Water,Wetland,NULL,Forest,Forest
593,Forest,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
594,Forest,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,Water
595,Forest,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
596,Forest,Water,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
597,Forest,Water,Wetland,Non_Water,Wetland,Grassland,Water,Water
598,Forest,Water,Wetland,Non_Water,Wetland,Grassland,Water,Forest
599,Forest,Water,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
600,Forest,Water,Wetland,Non_Water,Wetland,Bareland,Wetland,Water
601,Forest,Water,Wetland,Non_Water,Wetland,Bareland,Wetland,Forest
602,Forest,Water,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
603,Forest,Water,Wetland,Non_Water,Wetland,Bareland,Water,Water
604,Forest,Water,Wetland,Non_Water,Wetland,Bareland,Water,Forest
605,Forest,Water,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
606,Forest,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
607,Forest,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
608,Forest,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
609,Forest,Water,Wetland,Non_Water,Wetland,Water,Water,Water
610,Forest,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
611,Forest,Water,Wetland,Non_Water,Wetland,Water,Forest,Water
612,Forest,Water,Wetland,Non_Water,Wetland,Water,Forest,Forest
613,Forest,Water,Wetland,Non_Water,Wetland,Forest,Wetland,Water
614,Forest,Water,Wetland,Non_Water,Wetland,Forest,Wetland,Forest
615,Forest,Water,Wetland,Non_Water,Wetland,Forest,Water,Water
616,Forest,Water,Wetland,Non_Water,Wetland,Forest,Water,Forest
617,Forest,Water,Wetland,Water,Wetland,NULL,Wetland,Water
618,Forest,Water,Wetland,Water,Wetland,NULL,Wetland,Forest
619,Forest,Water,Wetland,Water,Wetland,NULL,Water,Grassland
620,Forest,Water,Wetland,Water,Wetland,NULL,Water,Water
621,Forest,Water,Wetland,Water,Wetland,NULL,Water,Forest
622,Forest,Water,Wetland,Water,Wetland,NULL,Forest,Water
623,Forest,Water,Wetland,Water,Wetland,NULL,Forest,Forest
624,Forest,Water,Wetland,Water,Wetland,Grassland,Wetland,Water
625,Forest,Water,Wetland,Water,Wetland,Grassland,Wetland,Forest
626,Forest,Water,Wetland,Water,Wetland,Grassland,Water,Grassland
627,Forest,Water,Wetland,Water,Wetland,Grassland,Water,Water
628,Forest,Water,Wetland,Water,Wetland,Grassland,Water,Forest
629,Forest,Water,Wetland,Water,Wetland,Bareland,Wetland,Grassland
630,Forest,Water,Wetland,Water,Wetland,Bareland,Wetland,Water
631,Forest,Water,Wetland,Water,Wetland,Bareland,Water,Grassland
632,Forest,Water,Wetland,Water,Wetland,Bareland,Water,Water
633,Forest,Water,Wetland,Water,Wetland,Bareland,Water,Forest
634,Forest,Water,Wetland,Water,Wetland,Bareland,Forest,Water
635,Forest,Water,Wetland,Water,Wetland,Water,Wetland,Water
636,Forest,Water,Wetland,Water,Wetland,Water,Wetland,Forest
637,Forest,Water,Wetland,Water,Wetland,Water,Water,Grassland
638,Forest,Water,Wetland,Water,Wetland,Water,Water,Water
639,Forest,Water,Wetland,Water,Wetland,Water,Water,Forest
640,Forest,Water,Wetland,Water,Wetland,Water,Forest,Water
641,Forest,Water,Wetland,Water,Wetland,Water,Forest,Forest
642,Forest,Water,Wetland,Water,Wetland,Forest,Wetland,Water
643,Forest,Water,Wetland,Water,Wetland,Forest,Wetland,Forest
644,Forest,Water,Wetland,Water,Wetland,Forest,Water,Water
645,Forest,Water,Wetland,Water,Wetland,Forest,Water,Forest
646,Forest,Water,Wetland,Water,Wetland,Forest,Forest,Water
647,Forest,Water,Wetland,Water,Wetland,Forest,Forest,Forest
648,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Wetland,Water
649,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
650,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Water,Water
651,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Water,Forest
652,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Forest,Forest
653,Forest,Water,Bareland,NULL,Non_Wetland,Grassland,Wetland,Water
654,Forest,Water,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
655,Forest,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Water
656,Forest,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
657,Forest,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
658,Forest,Water,Bareland,NULL,Non_Wetland,Water,Water,Forest
659,Forest,Water,Bareland,NULL,Non_Wetland,Water,Forest,Water
660,Forest,Water,Bareland,NULL,Non_Wetland,Water,Forest,Forest
661,Forest,Water,Bareland,NULL,Non_Wetland,Forest,Wetland,Water
662,Forest,Water,Bareland,NULL,Non_Wetland,Forest,Wetland,Forest
663,Forest,Water,Bareland,NULL,Non_Wetland,Forest,Water,Forest
664,Forest,Water,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
665,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Water
666,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Forest
667,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,Water,Forest
668,Forest,Water,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
669,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Water
670,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
671,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Water
672,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Forest
673,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Forest,Water
674,Forest,Water,Bareland,Water,Non_Wetland,NULL,Wetland,Water
675,Forest,Water,Bareland,Water,Non_Wetland,NULL,Wetland,Forest
676,Forest,Water,Bareland,Water,Non_Wetland,NULL,Water,Water
677,Forest,Water,Bareland,Water,Non_Wetland,NULL,Water,Forest
678,Forest,Water,Bareland,Water,Non_Wetland,Water,Wetland,Water
679,Forest,Water,Bareland,Water,Non_Wetland,Water,Wetland,Forest
680,Forest,Water,Bareland,Water,Non_Wetland,Water,Water,Water
681,Forest,Water,Bareland,Water,Non_Wetland,Water,Water,Forest
682,Forest,Water,Bareland,Water,Non_Wetland,Water,Forest,Forest
683,Forest,Water,Water,NULL,Water,NULL,Wetland,Water
684,Forest,Water,Water,NULL,Water,NULL,Wetland,Forest
685,Forest,Water,Water,NULL,Water,NULL,Water,Water
686,Forest,Water,Water,NULL,Water,NULL,Water,Forest
687,Forest,Water,Water,NULL,Water,NULL,Forest,Water
688,Forest,Water,Water,NULL,Water,NULL,Forest,Forest
689,Forest,Water,Water,NULL,Water,Grassland,Wetland,Water
690,Forest,Water,Water,NULL,Water,Water,Wetland,Water
691,Forest,Water,Water,NULL,Water,Water,Wetland,Forest
692,Forest,Water,Water,NULL,Water,Water,Water,Water
693,Forest,Water,Water,NULL,Water,Water,Water,Forest
694,Forest,Water,Water,NULL,Water,Water,Forest,Water
695,Forest,Water,Water,NULL,Water,Water,Forest,Forest
696,Forest,Water,Water,NULL,Water,Forest,Forest,Forest
697,Forest,Water,Water,Non_Water,Water,NULL,Wetland,Water
698,Forest,Water,Water,Non_Water,Water,NULL,Wetland,Forest
699,Forest,Water,Water,Non_Water,Water,NULL,Water,Water
700,Forest,Water,Water,Non_Water,Water,NULL,Water,Forest
701,Forest,Water,Water,Non_Water,Water,Grassland,Wetland,Forest
702,Forest,Water,Water,Non_Water,Water,Grassland,Water,Water
703,Forest,Water,Water,Non_Water,Water,Grassland,Water,Forest
704,Forest,Water,Water,Non_Water,Water,Water,Grassland,Water
705,Forest,Water,Water,Non_Water,Water,Water,Wetland,Water
706,Forest,Water,Water,Non_Water,Water,Water,Wetland,Forest
707,Forest,Water,Water,Non_Water,Water,Water,Water,Wetland
708,Forest,Water,Water,Non_Water,Water,Water,Water,Water
709,Forest,Water,Water,Non_Water,Water,Water,Water,Forest
710,Forest,Water,Water,Non_Water,Water,Water,Forest,Water
711,Forest,Water,Water,Non_Water,Water,Forest,Wetland,Water
712,Forest,Water,Water,Non_Water,Water,Forest,Water,Forest
713,Forest,Water,Water,Water,Water,NULL,Wetland,Grassland
714,Forest,Water,Water,Water,Water,NULL,Wetland,Water
715,Forest,Water,Water,Water,Water,NULL,Wetland,Forest
716,Forest,Water,Water,Water,Water,NULL,Water,Water
717,Forest,Water,Water,Water,Water,NULL,Water,Forest
718,Forest,Water,Water,Water,Water,NULL,Forest,Forest
719,Forest,Water,Water,Water,Water,Grassland,Wetland,Water
720,Forest,Water,Water,Water,Water,Grassland,Water,Water
721,Forest,Water,Water,Water,Water,Grassland,Water,Forest
722,Forest,Water,Water,Water,Water,Water,Wetland,Grassland
723,Forest,Water,Water,Water,Water,Water,Wetland,Water
724,Forest,Water,Water,Water,Water,Water,Wetland,Forest
725,Forest,Water,Water,Water,Water,Water,Water,Grassland
726,Forest,Water,Water,Water,Water,Water,Water,Water
727,Forest,Water,Water,Water,Water,Water,Water,Forest
728,Forest,Water,Water,Water,Water,Water,Forest,Water
729,Forest,Water,Water,Water,Water,Water,Forest,Forest
730,Forest,Water,Water,Water,Water,Forest,Wetland,Forest
731,Forest,Water,Water,Water,Water,Forest,Water,Water
732,Forest,Water,Water,Water,Water,Forest,Water,Forest
733,Forest,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Water
734,Forest,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
735,Forest,Water,Forest,NULL,Non_Wetland,NULL,Water,Water
736,Forest,Water,Forest,NULL,Non_Wetland,NULL,Water,Forest
737,Forest,Water,Forest,NULL,Non_Wetland,NULL,Forest,Water
738,Forest,Water,Forest,NULL,Non_Wetland,NULL,Forest,Forest
739,Forest,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Water
740,Forest,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
