Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NUD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NUD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NUD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NUD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NUD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NUD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NUD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NUD_M_R
363,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
364,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
365,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
366,Forest,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
367,Forest,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
368,Forest,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
369,Forest,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
370,Forest,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
371,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
372,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Bareland
373,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
374,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
375,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
376,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
377,Forest,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
378,Forest,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
379,Forest,Wetland,Water,NULL,Water,NULL,NULL,Bareland
380,Forest,Wetland,Water,NULL,Water,NULL,NULL,Water
381,Forest,Wetland,Water,NULL,Water,NULL,NULL,Forest
382,Forest,Wetland,Water,Non_Water,Water,NULL,NULL,Water
383,Forest,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
384,Forest,Wetland,Water,Water,Water,NULL,NULL,Water
385,Forest,Wetland,Water,Water,Water,NULL,NULL,Forest
386,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
387,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
388,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
389,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
390,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
391,Forest,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
392,Forest,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
393,Forest,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
394,Forest,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
395,Forest,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
396,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
397,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
398,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
399,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
400,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
401,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
402,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
403,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
404,Forest,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
405,Forest,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
406,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
407,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
408,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
409,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Water
410,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
411,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
412,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
413,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
414,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
415,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
416,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Water
417,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Forest
418,Forest,Water,Water,NULL,Water,NULL,NULL,Grassland
419,Forest,Water,Water,NULL,Water,NULL,NULL,Wetland
420,Forest,Water,Water,NULL,Water,NULL,NULL,Bareland
421,Forest,Water,Water,NULL,Water,NULL,NULL,Water
422,Forest,Water,Water,NULL,Water,NULL,NULL,Forest
423,Forest,Water,Water,Non_Water,Water,NULL,NULL,Grassland
424,Forest,Water,Water,Non_Water,Water,NULL,NULL,Water
425,Forest,Water,Water,Non_Water,Water,NULL,NULL,Forest
426,Forest,Water,Water,Water,Water,NULL,NULL,Grassland
427,Forest,Water,Water,Water,Water,NULL,NULL,Wetland
428,Forest,Water,Water,Water,Water,NULL,NULL,Bareland
429,Forest,Water,Water,Water,Water,NULL,NULL,Water
430,Forest,Water,Water,Water,Water,NULL,NULL,Forest
431,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
432,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
433,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
434,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
435,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
436,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
437,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
438,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
439,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
440,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
441,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
442,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
443,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
444,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
445,Forest,Forest,NULL,Water,Non_Wetland,NULL,NULL,Forest
446,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
447,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
448,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
449,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
450,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
451,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
452,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
453,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
454,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
455,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
456,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
457,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
458,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
459,Forest,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
460,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
461,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
462,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
463,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Bareland
464,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
465,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
466,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
467,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
468,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
469,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
470,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
471,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Water
472,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
473,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
474,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
475,Forest,Forest,Water,NULL,Water,NULL,NULL,Grassland
476,Forest,Forest,Water,NULL,Water,NULL,NULL,Water
477,Forest,Forest,Water,NULL,Water,NULL,NULL,Forest
478,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
479,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Water
480,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Forest
481,Forest,Forest,Water,Water,Water,NULL,NULL,Grassland
482,Forest,Forest,Water,Water,Water,NULL,NULL,Wetland
483,Forest,Forest,Water,Water,Water,NULL,NULL,Water
484,Forest,Forest,Water,Water,Water,NULL,NULL,Forest
485,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
486,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
487,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
488,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
489,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
490,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
491,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
492,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
493,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
494,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
495,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
496,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
497,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
